0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
구포,360506,83126,47657,96005,14420,16009,29195,15636,2758,126544,2258,9299,25391,74167,18464,497927,128500,275168,43289,63195,0,0,0,0,0,0,0,0,3754,0,0,0,0,0,0,0,0,0,162,191,168,1398,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,1355,0,0,0,0,150,0,0,0,0,127,0,5850,4764,3228,0,0,9,13,7,1556,74,131,942,0,0,0,0,0,0,21045,0,0,0,0,0,0,0,9675,5947,6554,2691,5544,1491,311,1384,226,412
부산,2918310,252924,227407,307372,43442,117757,95259,50198,7177,622309,6590,27502,75737,209658,47093,1594779,311427,679824,63393,432,0,269,0,1121,0,995,245,171,10138,1556,381,479,0,0,0,0,0,216,228,171,180,1821,0,0,0,0,929,0,0,0,0,0,209,109,11,0,0,0,11610,0,0,547,0,960,0,0,0,0,843,0,19455,13742,7334,0,0,304,248,108,3072,439,891,6487,0,0,0,0,0,0,3486,7151,8101,6909,34,1357,0,10,6818,2318,3100,2288,3964,1376,525,1403,321,438
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,5711,839,3302,27,647,131,102,213,188,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,26408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,53,268,0,40,80,8,762,554,6,54,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양평,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,5698,8772,12218,34979,32,6678,823,1223,2427,3405,55,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,409870,0,0,0,2088,0,0,0,0,0,0,0,0,0,23,37,217,180,246,1142,3008,130,41,1213,156,3395,2727,1413,149,738,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,9469,196,7300,15,415,24,42,85,205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,33649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,55,122,0,2,38,7,111,74,12,2,1,6,0,524,0,0,0,0,0,0,0,0,0,0,0,0
원주,360,169,0,49,0,0,0,0,216,0,0,0,0,0,0,0,216,0,0,1402,3212,35471,8691,1335,106,23697,7236,10063,11727,14865,177,682,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,144,0,407,0,0,0,0,298137,0,0,0,0,0,0,0,0,0,0,0,0,0,13,52,51,1345,3894,3213,8498,613,311,12330,3835,37428,34261,5769,428,2889,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신림,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,71,16,169,0,175,71,61,66,98,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,95,180,0,40,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,8,0,0,0,0,15,2,17,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,900,975,0,2871,1419,0,5247,44613,6491,72365,0,0,0,0,0,1817,0,0,0,1370,668,7572,510,19974,81,179,4662,10876,25443,24651,398,780,0,141,173,46,40,24,0,0,0,0,0,0,0,0,0,0,134205,11651,8309,40539,0,0,0,0,0,0,0,0,168,126761,0,0,0,0,0,0,0,0,0,2,0,0,0,26,34,85,957,3790,11034,17283,440,177,8442,3667,42814,25288,6380,539,4096,1351,0,0,0,202,0,0,0,0,0,0,0,0,0,227
단양,376,427,0,857,366,0,865,103,29,440,0,0,0,0,0,1052,0,0,0,253,211,1073,25,6608,80,2821,23,1204,2640,6089,196,565,0,0,91,0,0,0,0,0,0,0,297,84,0,0,0,0,3743,192,65,890,0,0,0,0,0,0,0,0,0,27265,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,8,4,52,290,0,0,0,0,0,0,1930,307,1747,673,0,0,0,157,0,0,0,0,0,0,0,0,0,0
풍기,350,330,0,1121,675,0,1154,97,29,397,0,0,0,0,0,896,0,0,0,168,220,1294,47,10038,81,12059,1457,85,1603,12793,341,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,103,103,554,0,0,0,0,0,0,0,0,0,56530,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,13,56,48,263,464,0,0,0,0,0,0,1044,104,1096,298,0,0,0,176,0,0,0,0,0,0,0,0,0,0
영주,748,742,0,2061,910,0,3073,394,148,1422,2,5,7523,6154,789,12437,1262,628,3217,9864,249,2339,57,11020,67,25646,4138,2237,49,38267,4109,3157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4580,245,313,1672,0,0,0,0,0,0,0,0,0,100807,0,0,0,0,0,0,0,0,4079,2944,1698,0,0,1403,7636,10595,14272,2914,9712,16372,0,0,28,55,1260,1337,7389,803,11567,5882,0,0,0,4170,0,0,0,0,0,0,0,0,0,0
안동,510,482,0,1616,898,0,1924,0,0,0,0,0,0,0,0,16046,0,0,0,1679,280,3186,117,15025,53,23942,6418,12424,35208,1423,9762,7992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,139,94,709,0,0,0,0,0,0,0,0,0,93607,0,0,0,0,0,0,0,0,0,0,0,0,0,849,2095,1967,5799,918,4422,6964,0,0,0,0,0,963,16503,1956,20629,16206,0,0,0,7088,0,0,0,0,0,0,0,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16340,0,0,0,369,4,35,0,171,1,309,147,169,3474,10415,2461,9905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,146,110,118,593,139,673,934,0,0,0,0,0,0,5121,498,6686,6087,0,0,0,3940,0,0,0,0,0,0,0,0,0,0
영천,13979,3123,0,7369,466,0,1542,148,15,4149,13,87,984,2901,301,133741,0,0,0,283,0,114,2,732,1,628,274,206,3248,7023,9772,1318,0,6,22,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,325,173,94,2714,129,546,1016,0,0,0,0,0,0,4661,1261,11448,29830,642,13369,0,3494,0,0,0,0,0,0,0,0,0,14
두계,54653,26926,449,16735,4425,83,8280,4323,1070,8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2254,7710,1335,1478,1267,2167,586,256,3112,3207,110,653,397,1698,1375,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,77,10,4851
논산,140267,121499,3159,82881,14660,247,37346,27116,8855,133527,0,6,13,49,7,165,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,12,2751,2362,28030,7315,9780,19025,8022,3063,1181,12584,13342,754,3988,2117,10589,7952,10,14,3,61,0,0,0,0,0,0,192,0,0,1512,72,152,0,0,0,72,1368,0,0,0,0,0,0,0,0,0,0,2,14,202,0,0,0,1,12,17,0,0,0,60,0,0,0,9,0,0,0,0,205,47,53,635,160,21313
익산,445926,153219,24857,128183,27904,4606,47868,26976,8280,136186,0,3,22,61,8,194,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,13,7606,30848,4084,31190,111802,17940,26437,8921,4340,39358,86556,13833,42958,12317,52576,42049,34,14,5,136,0,0,288,0,0,0,1448,0,115,72,0,173,0,0,0,0,47,0,0,0,0,107353,0,0,0,0,1,24,56,948,0,0,24,13,68,219,0,0,0,106,0,0,0,8,0,0,0,0,1059,76,186,1622,337,62057
김제,81769,55741,1798,38944,6525,234,9922,5400,1754,26605,0,2,13,15,2,58,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,1335,8087,32878,1990,17321,6856,9776,2891,1429,12229,0,0,0,0,651,0,28,2,2,19,0,0,141,0,0,0,9,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112,0,0,7,5,29,56,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,699,111,21383
정읍,135157,62791,6396,47017,8319,855,12888,7097,1909,38306,0,0,9,8,5,38,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,9,1289,10350,106961,14664,227,3854,8422,3037,1981,18036,0,0,0,0,546,0,14,4,0,12,0,0,0,0,0,0,529,0,355,0,0,35,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,14,185,0,0,7,0,8,20,0,0,0,27,0,0,0,11,0,0,0,0,0,0,0,521,106,9332
장성,57785,27424,2166,18834,3271,357,4092,5377,912,16602,0,1,3,12,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1346,10933,18148,7023,3434,661,5700,2999,1317,11735,0,0,0,0,149,0,0,6,4,10,0,0,0,0,0,0,29,0,0,576,72,1020,0,0,0,0,6211,0,0,0,0,0,0,0,0,0,0,3,4,41,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,378,67,2367
송정리,168966,33094,12540,22865,5014,1745,6155,4424,1217,21238,0,0,0,0,0,0,0,47,212,486,0,0,0,0,0,0,0,0,0,0,0,0,3136,7830,27416,10157,8177,5691,291,3276,18399,171262,0,0,0,0,2648,751,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,170,216,208,30,211,125,245,13978,2718,2606
나주,55300,26269,3015,18139,2777,670,4429,2589,651,9904,0,0,0,0,0,0,0,9,191,207,0,0,0,0,0,0,0,0,0,0,0,0,968,4007,10199,3217,3567,3231,2917,77,2612,18168,0,0,0,0,1308,439,140,245,233,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,35,81,99,10,112,44,169,1493,261,1410
함평,20481,17546,0,10155,1261,0,2218,1258,382,4583,0,0,0,0,0,0,0,12,176,151,0,0,0,0,0,0,0,0,0,0,0,0,382,1496,4967,1645,2050,1215,16908,1817,749,13057,0,0,0,0,1030,277,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,29,99,111,16,95,24,114,452,677,8167
