0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
청평,2,0,0,0,0,0,0,332,72,0,0,0,0,0,1133,0,72,0,3000,771,0,0,0,0,0,0,0,0,0,0,855,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,388056,112538,0,528,27176,61669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802,0,0,0,0,279,0,784,0,0,0,0,0,0,0
춘천,8,0,144,0,0,0,72,0,72,0,0,0,72,72,0,0,216,0,360,0,0,0,0,0,0,1008,0,288,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104224,205439,0,0,52474,32592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,414,0,0,0,0,0,0,0
일영,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32675,0,0,0,12146,1176,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,0,42013,10355,77510,6469,1161,26882,0,0,0,0,0,9580,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,4142,7473,2315,0,0,0,11,0,298,45,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0
점촌,391,0,5,334,2,0,3,0,1,0,0,36329,17825,76429,6533,2088,34232,0,0,0,0,0,10963,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,6322,1032,4306,0,0,0,100,154,1109,53,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0
예천,0,0,7,0,0,0,0,0,0,0,0,11540,10748,28503,2563,1218,18285,0,0,0,0,0,11445,0,0,0,0,1311,0,0,0,0,0,692,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163,2970,2252,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0
군산,680,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,260,0,0,0,0,0,202343,0,0,0,0,0,54896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,20675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0
춘양,0,0,0,0,0,0,134,0,0,0,0,0,0,8683,0,0,3125,0,48,193,2,211,37822,3487,554,1854,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11670,0,0,0,0,0,0,0,0,1,0,24665,24504,2003,5713,7458,0,0,0,0,5159,265,5534,1447,0,0,0,0,0,0,0,0,0,0,0
철암,35,0,266,0,0,441,91,28,936,0,0,0,361,23555,0,0,6565,12,495,4019,6,3203,49835,17809,1938,4123,0,0,78,0,0,0,0,0,0,0,0,0,0,410,100,0,273,376,95,0,0,0,214,0,25312,0,0,0,0,0,0,0,0,0,0,24572,17578,3900,25576,40884,856,1414,359,3973,6794,1034,9298,3086,0,0,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,0,90,428,0,0,338,0,5079,0,0,817,0,339,6072,0,4822,6995,2183,430,534,0,0,0,0,0,0,0,0,0,0,0,0,0,482,348,0,0,0,0,0,0,0,0,0,32122,0,0,0,0,0,0,11,100,0,0,2013,2775,22139,40114,30957,322,1681,263,1374,1016,69,1525,404,0,0,0,0,0,0,0,0,0,0,0
