0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
홍성,118818,115333,0,70497,15751,0,168990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,259,0,0,309,0,0,0,0,0,231,0,0,0,0,0,0,47609,17675,1266,36567,19898,0,0,0,0,0,0,0,0,0,0,116,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0
대천,119695,101927,0,82404,17035,0,118716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36052,26891,37339,1980,25893,0,0,0,36,0,205,111,32,126,0,85,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,64331,57240,0,38843,5790,0,33904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17561,15311,18776,25521,1608,0,0,0,515,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,24663,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,1572,17383,38570,286086,0,0,0,0,0,0,1,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,281794,0,118,0,0,9247,0,0,0,38708,0,0,0,0,0,51808,1,1411,0,45346,0,0,0,0,0,0,0,0,0,0,0,0,0,670,8130,735,2366,1361,4443,730,0,5793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16625,3604,29052,151202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4987
일산,524114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20960,11563,4383,231255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,1492001,0,0,0,0,0,1,0,0,548,0,0,0,0,0,256,0,0,0,448,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,36,515,44776,26317,45411,112818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,2,12,0,6,0,0,0,0,0,192,0,101,0,0,0,0,0,0,0,0,7490,506978,35003,278054,1879,106669,21166,38402,49588,56622,1094,197,0,0,0,81,0,608,0,0,0,0,11,945,545,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,658,0,0,0,39184,574927,926390,0,0,0,0,0,0,0,0,271,2280,13094,23088,103389,105,700,21852,5482,70135,90521,687,351,1097,426,0,0,8,0,0,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,144,0,512,0,77,0,512,0,0,0,0,61,0,0,0,0,347,0,0,0,0,0,0,0,205,344,0,0,0,0,246,1010,0,0,600,14305,139503,351053,0,0,0,0,0,0,0,0,0,0,0,320,411,0,0,0,0,0,0,0,0,0,576,0,0,955,0,0,0,0,0,0,0,0,0,0,0
의정부,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,60,0,328,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0
동두천,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,336,44,0,320,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,92,654523,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,144,0,0,0,0,0,136,472,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,200,151,0,648,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,600,73,812762,148861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,45224,10524,0,0,0,2202,20887,209742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
