0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포
음성,715,687,0,422,292,0,1190,7600,1712,19677,0,0,0,0,0,0,0,0,0,9,0,0,0,66,0,14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,12302,1248,0,3892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,37,178,0,0,8,0,11,11,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,36,0,54
충주,2048,4188,0,1697,701,0,3894,30373,9153,69820,0,0,0,0,0,0,0,718,69,10,0,0,0,2,0,70892,0,0,0,0,0,0,0,0,0,0,0,36,0,0,361,92,0,0,0,568,0,80357,13944,3068,2472,0,0,0,0,0,0,0,65,51,45,864,0,0,0,368,0,0,0,0,0,0,0,420,0,0,0,6,149,354,0,0,23,0,30,12,371,0,0,0,340,422,0,0,0,0,0,0,0,0,0,0,3,0,222
온양온천,158099,174328,0,112596,32547,0,52416,0,0,14,0,0,0,0,0,140,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,80,8554,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,3706,48364,76892,42029,12175,11354,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,116,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,75
예산,89883,107642,0,66918,21282,0,183567,0,0,69,0,0,0,0,0,197,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,25,235,15940,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,40740,8196,34373,33300,9804,9288,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,223,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,125
홍성,125644,141262,0,93711,25773,0,217809,0,0,760,0,0,0,0,0,85,0,65,0,87,0,0,0,85,0,578,229,40,9,0,0,66,110,726,28635,0,0,0,0,0,0,94,0,0,0,0,63,0,0,0,0,72469,31350,2513,50430,11362,8156,0,0,0,0,0,0,0,0,0,273,171,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0,368,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,335
대천,103383,97380,0,83873,21757,0,133311,0,0,4605,0,0,100,0,0,304,0,154,0,170,0,0,0,0,0,0,0,126,0,0,0,167,306,824,74085,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,38211,26326,47513,2978,17053,15718,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,240
장항,47876,45345,0,31860,5673,0,23131,0,0,3903,0,0,0,0,0,0,0,163,0,126,0,0,0,0,0,0,0,61,0,0,0,132,175,289,36430,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,12099,10524,12027,16621,667,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
군산,24273,26270,0,28029,8473,0,22973,0,0,2588,0,0,0,0,0,0,0,0,0,0,0,0,30,340,0,0,0,0,0,0,0,0,245,1118,23692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936,7918,8198,14813,1188,58,0,0,0,0,25,289,92,5,0,0,382,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,329,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,277
수색,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,3465,0,2886,0,0,22230,0,0,0,56061,0,200,0,1938,0,54241,0,2092,7066,62487,0,0,0,0,0,0,92,0,0,0,0,0,1146,2064,16412,1070,3210,2632,10680,1759,0,8625,298,0,85,1,735,5393,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75,0,0,0,0,0,0,0,0,9926,0,0,211,0,0,0,0,0,0,0,0,0,0,10587,13336,410
