0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
나주,62381,16080,9018,14584,2373,450,4057,1551,783,9421,0,0,0,0,0,0,0,5,54,18,0,0,0,0,0,0,0,0,0,0,0,0,657,2583,8083,2621,3231,2954,1718,57,1662,21732,0,0,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,748,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,15,22,37,2,29,31,54,856,498,1255
함평,16924,12488,608,9045,1357,136,2361,749,466,4906,0,0,0,0,0,0,0,6,62,19,0,0,0,0,0,0,0,0,0,0,0,0,375,1071,3667,1170,2157,1289,15763,1922,685,7057,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,12,26,51,3,80,15,26,364,502,6527
목포,389463,29461,57076,32734,8676,10129,14460,6752,2353,72945,0,0,0,0,0,0,0,43,299,92,0,0,0,0,0,134,0,22,358,0,0,0,2634,9456,46627,9655,16148,9761,202460,20082,7832,670,0,0,0,145,3501,0,0,0,0,0,0,0,427,0,0,0,0,6564,0,213,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,28,209,4,0,0,1021,0,0,0,0,0,0,0,141,303,535,117,997,145,172,1251,4950,48820
전주,57816,62072,0,56121,10638,0,16027,11721,3626,35238,21,124,181,8,170,0,0,0,0,290,0,0,32,795,0,1350,0,0,0,0,0,0,3482,16117,103751,0,0,0,0,0,0,0,3456,20585,63545,26496,84206,85243,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,46,77,1,305,0,0,0,0,0,0,0,0,0,42,155,179,51,319,81,0,0,0,0
임실,11232,9664,0,5465,1089,0,1784,965,364,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,727,12331,0,0,0,0,0,0,0,16241,143,1513,1776,6577,6431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,449,201,15,15,59,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남원,30699,26341,0,19820,3344,0,5886,2523,748,10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,305,2300,43453,0,0,0,0,0,0,0,53056,1185,0,3212,26427,25523,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
구례구,32036,27075,0,18130,2575,0,3879,2032,670,7873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1591,20360,0,0,0,0,0,0,145,22534,1328,2124,1601,25548,26467,0,0,0,0,59,131,469,75,0,0,0,0,0,319,0,43,68,73,117,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
순천,88352,70858,0,55427,9233,0,19663,7438,2381,36163,0,14,54,151,8,574,190,316,1070,301,0,0,0,0,0,0,75,0,0,0,0,223,1339,7928,81745,203,232,85,1850,1164,747,4138,81900,4620,25066,26610,0,61172,0,0,0,382,0,0,5,341,94,393,0,0,0,106,25,123,0,0,0,205,83,46,0,0,0,0,0,0,0,0,0,0,221,171,0,0,0,0,0,0,3399,27,665,357,0,300,53,0,444,1591,2379,769,8265,5637,3863,20238,4035,2290
여수,72891,48127,0,48665,7987,0,16123,7776,2085,32361,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,83,119,0,0,0,0,0,1181,6098,69943,64,88,127,0,0,0,0,82597,4709,23312,26259,61864,1258,0,0,0,267,0,0,0,125,628,0,0,0,0,320,230,310,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,20,350,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,1154,375
청주,5172,5824,0,2019,309,0,1947,14309,2487,46124,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,112841,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,671,2303,8153,58615,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,899,892,0,0,78,0,58,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,5
