0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
일영,4367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,.,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22797,0,0,0,4829,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,0,28373,7039,73701,6630,809,23978,0,0,0,0,0,7048,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,287,0,0,0,0,0,0,0,1761,5739,822,0,1,9,2,191,786,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0
점촌,632,0,417,0,72,0,72,317,1015,175,0,26962,15024,73017,6137,1668,26762,0,0,0,0,0,5439,0,0,0,114,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,220,48,166,593,29,0,143,474,132,99,204,0,0,0,4069,99,682,0,1,34,359,216,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,210,0,0,8965,8575,20823,1743,568,13613,0,0,0,0,0,1862,0,0,0,177,42,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1581,270,51,0,5,2,8,41,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
군산,0,0,0,0,0,0,0,0,401,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,147,230683,220,46,12,20,470,80738,432,0,0,0,179,0,0,0,74,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,17232,0,0,0,0,0,300,0,0,0,290,0,0,0,0,0,0,0,0,183,0,0,0,0,28
춘양,140,0,0,616,0,0,0,0,0,0,0,31,110,7910,0,5,2611,5,40,165,2,177,25042,3170,612,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,506,0,9829,0,0,0,0,0,0,25,12,1,0,7612,13949,1613,4325,6123,53,86,29,927,3452,685,4632,1480,0,0,0,0,0,0,0,0,0,0,0
철암,370,601,661,0,0,92,0,268,640,361,0,64,144,19759,365,32,7846,53,130,2201,3,1899,35352,13243,1645,3188,0,1,1,3,0,0,0,0,0,0,0,0,0,140,22,0,432,0,0,0,0,0,0,42,0,17952,61,0,0,148,148,0,52,62,14,0,15935,9179,1910,15720,32647,549,829,187,1966,4988,599,6656,2243,0,121,0,158,0,0,0,0,0,0,1
도계,0,0,29,0,1,0,68,241,1707,19,414,334,478,8760,0,458,3654,0,381,5770,1,4857,5348,1650,383,1736,614,36,64,0,29,23,435,0,0,0,0,0,0,400,134,30,217,0,0,72,529,272,219,0,182,29275,395,0,0,111,116,0,96,433,29,0,1804,1185,3577,19123,28698,388,1656,241,1303,1086,79,1524,290,89,505,30,714,163,1719,0,509,657,0,83
동해,688,0,231,0,0,0,1975,926,4166,0,0,1113,577,17671,45,870,3211,138,1406,5467,2,20666,20360,8369,1430,2020,571,1088,132,8,0,0,0,1998,71,320,0,189,47,3135,1233,98,276,0,397,607,1020,272,90,2,16,107138,516,859,532,0,0,0,88,200,18,0,4441,13688,18221,71,55916,2767,7085,1050,17340,1100,964,2117,645,0,577,0,0,0,0,0,0,0,0,2067
강릉,0,0,0,0,302,0,198,1762,10337,0,0,468,1143,35558,0,460,15160,128,2344,7268,5,27312,35327,13414,2615,5386,655,1692,711,69,86,0,175,0,0,447,7,1385,566,7110,2977,360,0,0,589,126,933,0,0,652,0,230561,1155,356,70,190,1867,0,814,1264,1091,0,6047,27989,28354,57477,96275,1565,5331,1293,35608,2704,473,7279,4324,0,0,20,331,0,0,0,0,584,0,2777
정선,11449,0,42,0,0,0,0,61,467,0,0,0,0,0,0,0,0,56,612,11311,11,13649,424,79,0,0,0,238,0,0,0,0,0,132,0,0,0,0,0,214,73,538,60,0,0,0,0,0,0,553,141,44600,0,0,0,0,0,0,0,0,0,300,69,401,257,2473,1688,93411,3376,1021,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
쌍룡,105,415,176,423,0,0,0,209,809,0,0,549,0,442,0,0,0,81,1343,15256,7,13142,139,0,0,0,66,122,257,5,0,0,42,0,0,0,0,0,0,577,218,580,361,0,0,0,0,678,0,128,0,65628,516,319,0,0,0,0,0,0,0,0,84,483,1326,6653,6502,2916,3002,891,16639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
석항,0,0,0,0,0,0,0,34,148,0,0,0,0,0,0,0,0,8,268,5396,3,6336,18,0,0,0,0,93,8,0,0,0,0,115,0,0,0,0,0,180,24,0,0,0,0,0,0,0,0,0,0,11543,0,0,0,0,0,0,0,0,0,0,5,177,239,893,1440,727,413,1,3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
고한,616,166,613,0,0,0,421,646,7611,0,0,0,0,182,0,40,832,500,2425,63861,25,46639,4030,476,0,0,330,146,41,3,0,0,0,128,0,0,0,0,0,1798,709,589,795,0,76,138,29,0,0,311,9,185313,143,157,319,0,0,0,0,0,0,0,877,3003,1087,16353,32503,9382,18351,3433,20576,450,0,544,0,291,583,0,60,0,0,0,0,0,0,219
부전,31679,0,9004,0,248,8,54,303,7790,192,511,14,613,12941,0,2,638767,12,865,6055,183,20893,15708,20518,6207,7008,633,755,191,0,0,0,0,0,0,84,412,1711,325,0,0,0,0,0,0,47,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,290,3810,6549,1094,1425,4527,0,0,0,450,154057,256431,122714,81408,19900,0,0,0,0,0,243,0,1055,0,0
좌천,385,0,222,0,164,16,20,16,174,485,522,84,230,2703,0,0,196803,171,145,878,42,3905,1745,3889,1477,3176,75,158,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,665,653,60,232,1217,0,0,0,0,210795,13829,43114,26125,7443,0,0,0,0,0,0,0,977,0,0
울산,77331,0,3486,0,19082,355,8817,862,16996,44,1230,790,8254,13619,0,0,65397,24,1345,9204,184,20647,30770,33780,9547,13395,1668,907,0,0,0,0,0,0,0,466,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,10790,0,0,0,0,0,0,0,0,0,0,4197,6106,1365,1915,6593,0,0,0,544,91268,38956,2184,126687,20619,0,0,0,0,520,0,0,696,0,0
경주,258473,1435,2822,3638,26167,263,9955,486,22318,15,173,2513,7230,94655,0,0,38074,37,745,6036,71,9787,17090,21558,8286,59993,856,1087,138,15,0,0,0,0,0,0,0,1036,0,62,477,0,0,0,0,0,187,143,80,2885,4,6152,0,0,0,0,0,0,0,0,0,0,1434,2149,290,712,4198,0,0,0,0,75867,21368,98756,14906,161829,0,0,1144,0,0,0,0,75,0,407
포항,82390,0,1105,556,20599,3,6437,2,13209,476,65,3528,5158,334398,0,0,14305,0,0,0,0,429,0,1,0,54193,0,0,801,0,0,0,0,811,0,0,0,0,0,0,566,0,1008,0,0,0,0,0,0,5,70,1,0,0,1440,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,291,16663,6939,18066,164949,2005570,720,0,679,0,0,0,0,0,0,0
진해,3435,507,1304,52,588,0,243,106,1345,75,0,349,171,4151,196,83,1232,0,0,0,40,938,875,735,326,0,254,0,0,0,474,257,299,0,160,485,0,0,0,612,0,627,29,0,97,159,255,159,10,86,68,241,0,0,0,0,0,0,0,0,360,0,0,121,505,577,0,0,0,0,583,0,0,0,0,1152,65944,11,51602,0,0,0,0,0,521,1293
진영,12311,0,4274,0,4353,660,1442,769,3919,47,220,301,2129,16299,2641,11979,60154,0,0,0,0,65,0,177,0,0,213,0,27,0,38,35,328,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,18,1631,33094,2234,6359,1400,210,1237,41,284
마산,210070,0,65286,29,73923,9447,26929,10311,54863,756,4979,14734,22255,188023,38834,59058,85301,0,0,0,0,1877,1000,3131,770,0,865,7,457,144,384,376,5032,0,0,0,26,4696,0,0,32,0,0,0,23,36,0,0,0,265,0,0,0,1416,0,0,0,0,0,0,0,0,0,158,610,95,331,0,0,0,60,0,0,520,1166,525,36618,30480,143,77072,49402,16178,2382,2373,196,3069
군북,7905,0,2944,0,2719,259,517,334,1689,43,135,396,878,4249,746,1990,16374,0,0,0,0,10,0,0,0,0,0,0,0,0,27,24,272,0,0,0,0,978,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,2513,84287,1513,32000,1401,336,250,14,272
진주,37604,0,14992,0,20287,7700,5668,5178,10313,108,987,3999,5491,12366,5430,15071,25150,0,0,0,0,265,0,0,0,483,685,1803,608,663,317,223,3857,3599,493,544,159,10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,345,291,0,183,0,0,0,1719,0,0,0,0,0,0,0,0,0,0,0,2640,44799,27192,19062,86131,6935,3067,425,2098
하동,4857,0,1937,0,1334,137,230,260,625,0,0,69,923,1448,25,998,8130,0,0,0,0,96,0,284,0,0,92,125,0,244,45,806,400,138,14,58,33,10580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,327,161,265,0,0,0,1178,15829,1167,76056,6424,3223,1666,67,2270
광양,4809,0,2637,0,1131,125,119,71,304,0,0,0,0,0,0,362,5101,0,0,0,0,0,0,0,0,0,105,209,0,0,108,192,2664,421,42,769,65,6994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,177,2870,422,7126,6369,926,2676,563,1349
보성,35954,0,20364,0,11411,1382,1539,823,2819,0,0,0,0,0,0,1732,12218,0,0,0,0,0,0,0,0,0,868,3243,2620,567,2915,2707,2482,0,0,0,0,45225,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,709,0,0,0,0,503,939,696,75,0,0,1180,2656,287,2909,2255,1455,88396,25561,192685
화순,3783,0,2124,0,1209,154,195,91,286,0,0,80,0,0,0,113,1732,0,0,0,0,0,0,0,0,0,162,316,262,50,341,528,2156,0,0,0,0,5149,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,29,562,17,154,83,201,14550,2864,10125
광주,403859,474,165634,0,104469,19955,26563,15427,51612,0,9,886,120,68,0,480,17033,0,0,0,0,641,43,0,0,17,31119,63800,40817,4264,5029,17051,196871,0,0,0,0,23653,3819,27,59,0,0,0,0,0,662,0,0,603,0,0,0,1282,0,0,422,0,0,0,277,0,0,0,89,828,5145,21,29,4,160,0,170,0,380,0,1053,228,3464,341,1844,2260,1255,212143,42584,14854
