0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
정선,0,0,0,0,0,0,1,625,1,0,0,2,3,194,0,0,364,86,311,33003,213,81702,1255,439,52,114,0,0,0,0,0,0,0,0,0,0,0,0,0,750,958,0,0,0,0,0,0,0,0,0,0,0,47455,0,0,0,0,0,0,0,0,0,0,0,48,8760,152,3785,1693,904650,6199,107872,163879,194,26,343,455,0,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,0,0,8,2,504,2,1,0,2,15,118,0,0,193,182,607,6124,349,18103,523,230,91,81,0,0,0,0,0,0,0,0,0,0,0,0,0,974,997,0,0,0,0,0,0,0,0,0,0,0,19888,0,0,0,0,0,0,28,17,4,0,0,17,1716,377,2338,403,8908,5916,79380,30916,159,12,373,203,4,0,0,0,0,0,0,0,0,0,0
석항,0,0,0,0,0,0,0,3787,0,0,0,3,93,873,0,1,1601,314,1021,46768,895,162367,7773,1930,525,773,0,0,0,0,0,0,0,0,0,0,0,0,0,4447,5181,0,0,0,0,0,0,2,0,0,0,0,109676,0,0,0,0,0,0,0,18,1,0,0,19,10941,6933,11560,5861,112561,71549,255888,221815,833,110,1826,1444,12,0,0,1,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,0,3662,0,0,0,0,0,866,0,0,709,94,1802,97494,833,195022,5587,2262,200,964,0,0,0,0,0,0,0,0,0,0,0,0,0,2039,2713,0,0,0,0,0,0,0,0,0,0,0,215676,0,0,0,0,0,0,0,0,0,0,0,798,74579,756,56672,37783,161697,25458,235345,486558,15,0,183,459,0,0,0,0,0,0,0,0,0,0,0
부전,0,0,0,0,0,0,0,0,0,0,0,1462,0,2208,0,0,23310,26,405,7113,638,19451,28391,37453,19515,11078,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,933,0,0,0,0,0,0,0,0,0,2583,5332,973,1205,2130,3,0,25,5,19282,603773,216146,80710,11602,0,0,120,0,0,0,0,0,0,0
좌천,0,0,0,0,0,0,0,0,0,0,0,0,0,4756,0,0,246990,348,179,1585,181,4098,2783,3921,2512,5908,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3858,0,0,0,0,0,0,0,0,0,0,0,243,361,99,303,422,1,0,17,2,670653,207009,322204,50267,8329,0,2,2,1,2,0,0,0,0,0
울산,2384,0,0,0,0,0,0,0,111,14,84,44,26,15517,0,12,121528,31,1526,21019,1434,42272,40057,44662,20166,39451,693,0,0,0,0,0,0,0,0,0,0,1,0,1,170,0,37,0,0,0,0,54,0,0,0,0,40284,0,1285,0,0,812,0,0,3,0,0,0,3479,7371,966,3157,6313,17,0,102,14,232446,323441,81056,629740,32446,0,3,3310,0,7,0,0,1,0,0
경주,44880,1921,221,1,1653,251,621,10,6756,104,132,3047,1116,131271,352,128,56229,87,983,9643,371,25626,31580,38360,34104,95817,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,26216,0,1642,0,0,1,0,1598,1348,565,207,0,2328,9741,1322,860,4293,300,0,32,29,83861,44518,580741,98213,564309,0,1,70,0,0,0,0,0,0,0
포항,2532,411,3937,1,382,0,0,7,387,12,1009,273,285,62213,2,15,9105,0,2,81,7,1472,2311,701,1038,17746,1079,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,3753,0,0,400,0,0,0,17,157,77,105,0,11,16,0,2,6,0,0,10,1,13270,8474,33200,560704,5174357,978,9,4,1,1,0,0,0,0,0
진해,10399,1359,1559,6,1028,3,1303,768,1916,9,166,863,529,6837,2593,14390,9309,0,0,0,0,0,0,0,0,0,204,0,0,0,296,0,403,0,0,0,799,232,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,231,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7176,601706,35135,319261,4442,1881,551,123,151,8,151
진영,5762,157,1699,0,1029,4,542,285,1880,1,161,614,639,13715,3905,67393,185748,0,0,0,0,0,0,0,0,2,0,0,0,0,21,25,190,0,0,0,0,585,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,6,6,47295,137021,190999,11517,6714,1906,309,543,39,243
마산,70291,3075,14947,61,13079,31,10611,6841,13663,61,5007,13165,7822,28209,15873,165285,123600,0,0,44,0,0,0,0,846,854,3075,1295,0,0,2124,987,7648,1210,0,208,293,13371,82,0,0,0,0,0,0,0,0,0,0,0,146,1793,0,0,3010,0,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234213,186587,4205,423718,120375,28014,4759,3570,791,8946
군북,7765,41,1294,0,900,1,322,185,878,0,69,424,372,2724,130,6543,61022,0,0,0,0,0,0,0,0,0,5,10,0,0,72,30,242,18,0,6,1,1452,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,5974,12026,446247,112886,139947,3938,448,194,22,241
진주,36252,63,4160,0,5594,0,3437,2120,5960,0,1112,649,1437,2338,785,12272,63343,0,0,0,0,0,0,0,0,0,5211,2084,0,0,544,246,3043,1183,105,466,568,29134,379,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,0,5916,0,0,932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1230,6565,118876,133480,422191,298167,19337,4033,235,3537
하동,18819,34,1158,0,1058,0,288,266,725,0,25,36,163,656,28,2238,29506,0,0,0,0,0,0,0,0,0,158,580,0,0,33,32,313,315,20,236,211,53196,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,120,2081,27787,3527,307329,188454,41282,3122,92,859
광양,17641,108,4046,4,1100,27,248,229,258,0,0,12,17,769,12,687,12975,0,0,0,0,0,0,0,0,0,141,229,0,0,54,31,522,636,122,424,1133,160868,11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,219,5872,475,19802,41154,64641,7949,299,1794
보성,36268,302,10955,0,3453,10,1508,790,1514,0,0,1,0,43,0,1308,44688,0,0,0,0,0,0,0,0,0,1415,2741,930,178,3375,2148,4294,37,14,105,90,145196,40562,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,863,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,39,355,4653,88,3591,3612,5807,688199,107725,341101
화순,3350,233,1865,3,806,16,226,131,182,0,0,0,0,25,5,181,5885,0,0,0,0,0,0,0,0,0,95,171,192,13,1442,1309,2726,2,0,0,5,9240,6899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,48,1033,25,312,225,298,91916,128851,211417
광주,221186,58608,72974,0,46626,3468,17995,12262,29407,6,4,238,23,1302,2,1067,29904,0,0,0,0,0,0,300,0,0,18735,26276,27519,9678,76797,65787,285112,0,0,0,0,22645,20412,0,0,0,0,0,0,0,0,0,0,0,0,59,0,244,3911,4386,0,1014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,88,188,7913,112,2622,991,1586,367334,198715,353159
