,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포,광운대
홍성,124216,153396,0,98454,26225,0,220549,0,0,602,0,0,0,0,504,607,0,0,0,0,0,0,0,0,0,69,0,0,0,218,0,0,93,737,30419,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,75087,33031,3020,55365,12236,9324,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,251,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,103,0
대천,99276,96276,0,85349,23701,0,142607,0,0,4184,0,0,0,316,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,280,831,80018,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,38301,25601,53707,3099,17481,16922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,210,0
장항,45450,43867,0,30886,5512,0,23356,0,0,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,127,250,35622,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,11884,11019,12284,17946,747,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,97,0
군산,23738,27077,0,28584,8194,0,24786,0,0,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,908,24661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10114,6986,8777,16492,1253,44,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,483,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,6180,0,3269,0,0,28488,0,0,0,65231,0,403,60,1115,0,61020,0,1489,4764,72436,0,0,0,0,0,0,0,0,0,1008,0,0,2202,1816,17985,1480,4286,2005,14558,1988,0,9186,3063,0,1594,0,3435,10316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,110,0,0,0,13412,0,76,182,0,0,0,0,0,97,0,0,0,0,9541,15751,2928,0
일산,50,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,155,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,432,0,0,0,0,0,491,0,0,0,0,0,50,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,400,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,83291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,206,0,0,0,0,0,0,0,0,0,273,0,683,0,26,232,0,0,0,0,218,364510,54430,542524,5783,208794,38625,66309,68564,74566,3681,760,0,864,0,0,434,112,0,52,0,0,508,0,563,381,1080,0,0,0,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,864,2968,20407,19171,109539,12585,376,32073,5598,66518,62089,3315,1128,2322,0,0,391,0,0,0,212,0,0,0,0,0,0,0,2429,194,0
의정부,0,0,0,0,0,0,0,0,0,0,0,0,60,0,285,27,0,0,0,0,0,0,0,400,0,460,0,0,0,0,0,0,0,0,0,0,116,91,0,0,0,0,151,0,80,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0
