,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
일영,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20730,0,0,0,4325,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
상주,14,0,7,0,15,0,0,0,0,0,0,24228,7379,67599,7522,708,25317,0,0,0,0,0,5799,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,1833,4613,536,0,4,13,5,167,1072,0,0,0,0,0,258,0,0,0,0,0,0,0,247,0,0,0,0,0
점촌,0,0,0,413,361,519,12,0,50,0,0,24353,13657,64825,6898,1937,31370,123,0,0,0,0,4180,0,0,34,0,494,379,0,0,0,0,0,0,426,0,0,0,0,0,0,0,336,129,339,98,13,0,0,627,22,0,0,28,151,0,3189,65,548,0,2,9,4,116,1169,0,0,0,0,318,792,99,262,487,0,79,405,6,258,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,271,0,0,7829,7905,15749,1970,355,14038,0,0,0,0,0,912,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,249,58,0,1,7,1,16,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,195789,766,170,34,43,94,70901,993,0,0,0,386,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,15765,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,17,0,0,0,0,0,0,21
춘양,77,0,117,0,0,0,0,0,0,0,0,107,227,6099,0,10,1953,22,45,136,4,180,21158,2495,458,1410,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,84,442,0,0,0,0,0,132,49,8639,0,0,0,0,0,0,139,48,3,0,6530,11879,1392,4164,5202,70,42,55,949,2558,313,3654,991,0,0,0,356,0,473,0,0,0,0,0
철암,105,0,0,0,0,0,0,14,79,0,0,138,265,21693,0,495,8204,4,129,2195,1,1830,32228,11596,1267,3166,4,1,230,0,0,0,0,0,0,0,0,0,0,61,27,0,0,0,0,0,0,0,0,0,16283,0,0,0,0,0,0,140,68,58,0,13433,7898,1750,14985,27108,527,622,166,1811,3620,437,5896,2441,0,0,0,8,0,13,0,0,0,0,12
도계,0,0,0,0,0,0,0,111,369,0,0,83,365,6894,0,6,1934,3,443,5325,1,4702,4122,1839,304,607,200,35,15,14,0,0,0,0,0,0,0,114,0,176,183,0,0,0,341,0,0,0,0,461,28368,539,33,0,0,0,0,51,54,2,0,1578,1011,2287,16438,27633,299,1515,220,1300,563,53,1154,550,0,0,80,430,0,546,0,0,120,0,73
동해,8,0,0,0,347,0,223,1211,3324,0,0,982,607,10112,0,71,2495,122,2018,5076,12,19480,17902,6839,1060,1648,156,109,529,12,0,0,0,766,10,0,0,0,0,2476,1179,0,0,2,94,665,257,0,0,0,109759,360,0,0,0,360,0,237,147,605,0,4318,12877,15422,592,44241,1887,6938,1077,19084,760,178,1530,740,0,552,0,0,0,540,0,0,0,0,1276
강릉,452,0,0,0,701,0,397,1745,8769,0,0,1501,2845,37612,0,393,13914,80,2348,6817,0,28820,28723,12176,1715,3619,592,1852,334,126,0,0,0,0,0,0,0,23,0,8980,3855,1080,0,87,845,0,0,0,360,0,217711,3583,200,255,0,360,0,1325,1424,1539,0,5440,24310,26875,44319,88991,2067,5669,1522,39368,1986,335,6132,4568,360,0,28,352,0,20,0,452,0,0,2108
