,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
석항,0,0,0,0,0,0,0,15,115,0,0,0,0,0,0,0,0,11,267,5475,5,5524,134,0,0,0,67,8,0,0,0,0,0,0,0,0,0,0,0,78,39,0,0,0,0,0,0,0,0,0,10128,0,0,0,0,0,0,0,0,0,0,12,46,219,185,897,1762,309,367,0,3350,0,0,0,0,0,130,0,0,0,0,0,0,0,0
고한,0,0,1194,0,0,26,550,739,3148,0,0,0,0,2271,0,38,233,243,4458,69257,77,55831,5923,707,0,0,96,178,54,8,0,0,0,0,0,0,0,0,0,1927,823,1769,1498,342,252,12,0,0,0,0,237963,0,0,0,0,0,0,0,0,0,0,305,1059,3907,1385,20241,42916,5951,19170,3128,16521,123,24,485,396,447,207,0,0,0,0,0,0,0,0
부전,46902,0,14293,0,2719,68,92,110,11675,0,51,324,2713,23218,2,375,556479,24,898,5326,214,15545,10620,16858,5312,6541,0,296,0,0,0,0,0,0,0,0,0,1072,0,227,546,0,0,359,0,0,0,0,350,0,1476,0,0,0,0,0,0,0,1,0,0,0,2717,5944,638,1015,3086,0,0,0,109,149911,237517,128136,83194,19251,0,0,0,0,5,25,0,1,0
좌천,494,0,245,0,208,25,34,238,615,0,16,26,186,3575,0,0,229787,260,114,638,35,1926,2292,3161,1436,3317,10087,188,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,250,0,0,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,269,780,62,166,385,0,0,0,20,199086,12414,46319,26444,7213,0,1050,0,0,0,10,0,0,0
울산,75218,0,10724,0,28761,1168,9586,1183,16307,0,420,1050,9460,17334,0,0,73894,18,798,7786,178,16457,30424,32648,8489,16619,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,22,0,0,0,0,0,0,12631,0,0,0,0,0,0,0,417,0,0,0,3294,6091,768,1577,4568,0,0,0,465,111041,43296,3741,100134,21375,0,0,0,0,0,1089,0,0,0
경주,213921,0,6884,702,31483,545,10278,572,22099,0,219,2848,8585,96983,0,0,37903,5,538,6388,104,6169,14140,21277,8214,57886,516,776,229,21,0,0,0,0,0,0,0,0,0,185,506,0,0,0,0,0,0,0,737,0,6920,0,0,0,0,0,0,0,0,0,0,265,1017,2859,207,913,2667,162,1112,0,361,77648,17483,97013,14981,137569,0,0,0,0,1046,0,0,0,0
포항,96498,0,88,0,29775,0,8431,0,13479,0,0,3466,5777,372377,0,0,11593,0,0,0,0,426,0,2,0,48308,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,130,23,0,0,0,0,0,0,0,0,1440,0,360,0,0,0,0,0,0,0,0,0,0,360,20,0,0,447,18027,6786,21520,140282,1724958,360,0,0,0,526,0,0,0,0
진해,2928,0,1030,11,829,685,679,0,1412,0,0,365,214,0,0,0,0,0,0,0,0,0,0,191,0,0,310,0,0,0,52,0,238,0,0,0,0,0,0,767,329,0,0,84,96,0,0,0,47,138,211,362,0,0,405,296,0,79,144,687,0,119,0,178,0,43,620,187,0,130,207,0,0,0,0,0,61469,0,43074,0,0,0,0,30,57
진영,13792,0,5348,0,5644,719,1597,754,4616,44,582,852,2793,20055,2721,10087,56944,0,0,0,0,0,0,125,0,0,0,0,0,0,53,31,369,0,0,0,0,368,46,0,0,0,0,103,0,0,0,0,0,0,0,0,43,0,0,26,0,0,204,0,0,169,0,28,0,0,0,0,50,0,0,0,1050,0,0,0,4,1019,26758,2960,6269,1190,174,235,63
마산,224186,72,78158,0,84588,16971,27991,11658,63307,775,4890,14710,26309,138213,38744,60068,81660,41,0,0,29,3030,986,399,0,0,0,183,0,0,704,377,5475,341,0,0,0,5712,404,193,50,0,0,420,0,0,0,0,0,0,263,0,707,0,0,850,0,0,657,0,0,2113,0,584,379,1626,412,0,1261,0,0,0,0,0,0,0,40220,26058,323,69183,57796,16273,2777,2144,240
군북,7971,0,3132,0,3011,259,545,269,1441,22,126,404,881,4431,632,2358,16293,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,269,0,0,0,0,1070,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618,73166,1774,31185,2863,353,431,31
진주,35530,72,13725,0,18830,5722,5796,4557,7654,614,396,3206,5209,12533,2346,16660,28325,0,0,0,0,0,0,22,470,419,597,1421,472,675,457,260,3583,2754,88,432,245,10740,19,0,0,0,0,522,166,106,0,0,0,0,0,0,0,0,0,0,0,275,652,0,474,1534,0,0,0,0,0,0,0,0,0,0,0,0,1046,526,0,2625,47991,30243,21279,81889,7123,2558,208
하동,4442,0,1553,0,1131,125,226,96,620,0,0,0,0,1,0,791,8834,0,0,0,0,0,0,0,0,0,649,139,0,0,174,683,386,170,23,32,24,8363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,14924,2870,72189,5779,3676,751,456
광양,5277,0,2611,0,1188,168,175,147,300,0,0,0,0,0,0,273,3664,0,0,0,0,0,0,0,0,0,547,772,0,0,275,184,1209,420,20,167,39,5755,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2631,324,7402,5073,46,3151,568
보성,30808,0,19638,0,10529,1423,2001,941,3905,0,0,0,0,818,0,715,10044,0,0,0,0,0,0,0,0,0,804,3796,2288,561,13695,1304,2699,163,0,0,0,41001,3162,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,59718,0,0,0,0,639,0,0,0,0,0,0,0,0,0,30,200,1961,353,2427,732,1800,82509,45943
화순,4044,0,2654,0,1439,235,282,147,353,0,0,0,0,0,0,92,1564,0,0,0,0,0,0,0,0,0,310,438,382,76,3671,639,5075,0,0,0,0,6936,1162,0,20,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,54,236,38,174,460,228,36738,4587
