,서울,광명,영등포,수원,평택,천안,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,진해,하양,진영,장원,마산,함안,진주,하동,광양,보성,화순,울산,공주,포항
장성,34149,3681,14265,15968,2991,4799,536,3989,3201,14851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,4278,29332,4802,13855,1866,9341,2336,830,8794,0,0,0,0,120,0,648,40,53,0,0,0,0,0,0,0,0,0,0,0,549,0,0,15,0,0,0,0,7,7,272,0,0,0,0,4101,0,0,0,0,0,166,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,173,66,0,0,0
광주송정,1065867,250416,16697,25707,7697,5763,69403,7060,3752,35333,0,0,0,0,0,0,0,33,114,259,0,0,0,0,0,0,0,0,0,0,0,0,4168,12222,118644,13653,27413,7589,0,5221,18738,170710,0,0,0,0,2991,0,55308,0,0,0,0,0,0,0,0,0,0,0,0,0,32193,0,0,0,0,0,0,0,0,161,434,0,0,0,0,863,0,0,0,0,0,982,61,0,0,0,0,0,245,158,0,0,0,476,0,65,92,92,39,144,76,56,7745,672,0,6472,0
나주,145641,29147,10691,15729,2939,2918,5872,1845,1142,10760,0,0,0,0,0,0,0,8,59,7,264,0,0,0,0,0,0,0,0,0,0,0,781,1933,15628,3038,3955,1776,6072,115,1794,31217,0,0,0,0,521,0,8495,0,0,0,0,0,0,0,0,0,0,0,0,0,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,106,0,0,0,0,0,0,74,65,0,0,0,3,0,45,37,35,8,46,36,61,192,115,0,584,0
함평,9559,0,7651,7143,1319,1651,0,1037,541,3474,0,0,0,0,0,0,0,6,28,21,0,0,0,0,0,0,0,0,0,0,0,0,280,906,3594,816,984,997,18786,2014,151,7060,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0,0,0,0,0,5,0,0,0,0,0,0,29,65,0,0,0,0,0,7,27,27,10,277,23,32,66,127,0,0,0
목포,338215,73990,17275,25324,9050,7453,25483,5977,3396,40785,0,0,0,0,500,0,0,70,281,914,267,0,0,0,0,0,0,0,0,0,0,0,3105,8666,63322,7217,16304,8126,164893,30418,5691,856,0,0,0,0,476,0,22310,0,0,0,0,231,0,0,0,0,0,0,0,0,9051,0,0,0,0,0,0,0,0,293,0,0,0,0,0,9266,0,0,0,0,9,714,195,0,0,0,0,0,698,590,0,0,0,242,0,122,248,375,99,434,173,72,315,961,0,5395,0
전주,316066,58894,69069,92353,18561,22376,9484,19820,5360,67378,0,0,0,0,0,0,0,61,0,0,0,0,3,324,0,828,0,0,0,0,0,0,7069,31400,158429,0,0,0,0,0,0,0,6133,24459,94728,34927,137632,120324,13756,0,0,0,0,0,394,0,0,0,0,0,0,0,8424,0,0,437,138,145,0,0,0,0,102,0,0,0,0,0,0,0,0,0,516,1269,1150,0,0,0,0,0,630,0,0,774,0,576,0,3,201,81,2,463,0,0,0,0,0,1249,0
임실,7605,0,7537,5508,935,1395,0,877,280,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1004,15962,0,0,0,0,0,0,0,25347,106,900,1374,5096,4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남원,63344,12363,13595,16523,4112,5668,2241,2439,614,13782,0,0,0,0,0,0,0,0,7,0,0,0,0,389,0,828,0,0,350,51,0,0,679,3324,43950,0,0,0,0,0,0,0,96939,791,0,4158,32173,26798,1927,0,0,0,0,466,692,344,0,0,0,0,0,563,3225,0,0,1033,149,586,0,0,27,419,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,35,214,0,0,0,0,9,621,356,0,0,0,0,0,0,184,263,0
구례구,40048,3915,18307,16890,3120,4745,492,3531,1542,12085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,3126,20584,0,0,0,0,0,0,0,37570,1358,4516,1699,45059,35322,972,25,34,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,115,55,0,0,0,0,0,0,0,0,0,0,60,146,0,0,0,0,0,14,0,0,0,0,0,0,420,576,0,0,0,0,0,0,0,0,49,0
순천,253139,55867,27074,36483,10046,14755,13859,7458,3475,46909,576,157,0,0,0,0,0,2761,7937,8882,0,0,0,0,0,335,21,0,13,0,0,0,2135,9079,70943,195,309,161,3560,587,186,579,141384,5002,29821,42518,0,113350,12039,0,0,368,0,0,0,0,0,0,0,0,0,276,7105,0,0,516,0,302,0,0,0,237,326,0,0,0,0,2478,0,0,0,0,0,299,174,0,0,0,0,0,1050,9655,375,443,15,0,0,2000,12782,9218,1294,12805,10259,4115,27210,3567,415,977,190
