0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
성북,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,407,0,0,1,0,1,0,77,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,161,49,0,0,0,20373,137299,337954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,35,0,0,0,0,0,0,0,0,0,0,0
의정부,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,419810,214359,1535219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,114,0,0,0,0,0,0,0,0,0,0,0
동두천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,15,0,0,0,303,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,391461,2405,85207,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,68,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,1341911,81919,187781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0
금곡,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45748,12539,0,0,0,1153,18758,178159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가평,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540064,123701,0,0,0,16210,6424,70675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
춘천,1043,246,0,1,0,0,521,0,648,30,0,0,0,0,0,0,864,0,0,144,0,0,0,0,0,0,0,0,0,0,0,1,0,281,53,0,0,53,0,0,0,0,175,0,23,0,352,0,0,0,0,0,229,155,81,97,0,338,0,0,0,920184,385432,0,0,0,182713,70833,16841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,936,0,0,0,185,0,0,285
일영,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,0,0,13849,11715,1335,39099,4808,807,5543,15897,0,0,0,0,0,0,0,0,3773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,659,1232,0,0,0,4,2,35,10,129,674,0,0,0,0,0,96,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
점촌,0,0,0,0,0,0,0,0,0,0,0,0,9694,7487,1534,24193,3356,643,4718,11505,0,0,0,0,0,0,0,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,418,0,0,2,3,0,16,5,90,612,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
