,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
영동,80413,10369,48296,2613,15777,2671,10650,12016,214352,97252,97124,63840,23001,78100,529,5632,65396,0,0,1,0,8,78,0,0,12,103,85,6,13,5,0,4,2,0,1,0,14,0,21,8,35,168,1,0,1,6,8,1,0,0,0,0,0,0,1,0,2,0,356,230,5,0,4,0,0,4,0,280,0,0,0,0,0,0,3,443,5,69,0,87,4285,13,458,1,0,0,0,3
김천,222070,19212,89367,1860,32793,4807,25862,12284,109560,12591,64224,200275,439875,246391,2684,11254,195014,0,0,85,0,377,21889,7,0,43,1467,295,316,83,95,6,102,35,1,4,4,391,9,9,11,19,61,0,6,4,6,3,2,0,0,1,0,0,2,0,0,5,0,249578,151718,17496,15380,61,1,318,50,64,2065,0,0,7,28,1538,0,240,2596,136,59,1,525,14663,113,1808,14,44,0,0,165
구미,125668,10125,40791,1002,17332,3227,14417,12112,77459,6656,23966,482959,845220,1467628,10980,15678,139427,0,0,10,0,88,12545,815,0,1806,1364,1228,27,3,22,0,11,0,0,13,0,258,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25217,21279,5997,2438,11,4,31,1,5,1509,0,0,6,3,757,1,34,1394,291,221,0,474,10797,223,2584,1,0,3,0,20
동대구,899510,67778,140259,3399,96448,16509,90978,55042,225078,12814,72015,259356,1500535,2638,422721,388894,1323759,0,235,3266,17,9886,116475,85837,90523,366437,6681,2613,3259,610,1511,406,1737,769,25,0,5,6677,26,1,52,154,49,0,0,0,3,243,1,0,386,630,30,0,2450,182,0,1558,0,56400,80919,52430,29735,349,6266,9429,1501,5469,35585,17,0,117,54,4914,2083,13734,129806,91286,7069,0,12928,210796,4901,18355,1142,1522,0,0,2431
청도,12472,6212,4798,514,1542,424,854,642,2873,623,894,4016,14083,474402,226454,144643,364150,0,0,3,0,10,20,39,5,1609,1335,157,70,10,9,5,23,1,0,2,0,9,0,1,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,10,17,6,0,0,0,0,0,6,526,0,0,1,0,0,0,2,1150,37,1370,0,4141,26721,10,397,7,3,2,0,13
삼량진,88964,10496,18048,583,10147,1318,6743,5642,21397,903,3995,9976,13202,384554,143979,483375,2038924,0,0,0,0,4,2,0,1,88,8,15,277,1,33,95,594,1,0,0,0,3425,2,0,2,1,1,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,3,19,12,10,7,0,2,0,0,40,0,0,0,0,0,14,113,106,0,16781,3,60261,219462,6106,13360,1890,905,2319,140,599
부산,1606210,144511,141945,3652,83273,15209,111614,75169,325517,9111,64778,214777,134732,1372830,380159,2063707,58021,1,1480,16250,28,33583,37438,42200,17247,12887,1063,2994,6433,44,2306,5811,38967,840,0,7,1,29433,826,3,29,0,338,0,1,132,0,0,4,0,0,0,2559,0,5929,0,128,2477,0,609,333,3,3,315,6741,12383,2912,22196,60422,12,0,37,45,7598,186128,99265,90443,6414,7188,112,119141,111105,48468,36113,21218,13391,51853,3861,21053
팔당,0,25,0,0,0,0,0,0,0,0,0,3,0,10,0,0,46,26679,30019,10284,338,2084,512,300,69,55,0,0,0,0,0,0,0,0,0,0,0,0,0,12,64,0,1,0,0,0,0,0,8,0,0,0,164207,12,408,79,15,81,0,8,10,11,1,0,58,39,4,5,1,110,47,435,366,65,608,82,316,11,0,0,0,0,0,0,0,0,0,0,0
양평,2,1025,0,0,0,1,0,16,1,0,0,4,0,131,0,0,1949,21119,223394,157252,1309,9030,3617,2219,449,930,2,0,0,0,0,1,2,0,0,1,0,0,0,235,148,0,0,0,0,0,0,0,0,0,0,141,556862,116,639,481,25,210,0,10,18,1,0,0,164,444,169,449,516,602,150,1307,1594,506,122,876,2076,6,0,0,0,100,0,0,0,0,0,0,0
원주,0,568,0,0,0,0,0,451,47,0,0,9,3,6677,0,0,18824,10403,151376,389450,11814,86193,38394,25540,3647,10720,1201,90,0,0,0,0,0,0,0,0,0,0,0,1882,1171,0,0,0,0,0,51,0,0,0,0,0,605924,22,1736,120,13,336,0,15,47,9,3,0,1017,5599,3694,4416,3683,22370,3626,45764,45715,8560,850,11716,9454,160,89,0,0,66,0,0,0,0,0,0,0
봉양,0,0,0,0,2,3,6,2486,9,0,0,6,6,462,0,0,938,356,1445,10689,1967,9839,3690,1052,393,350,1,0,2,0,0,0,0,0,0,0,0,0,0,9087,42920,0,0,0,0,0,0,0,1,0,0,0,27594,2,29,11,0,5,0,30,309,32,0,0,160,508,67,86,15,483,343,2026,2973,1129,157,2178,662,100,0,0,0,0,0,0,0,0,0,0,0
제천,106,0,30,0,612,661,2398,55449,842,0,0,523,113,12087,0,16,29872,1749,8543,74623,8126,99673,232059,95118,8295,15817,0,65,1,0,0,0,112,2,0,2,0,1,400,168129,239429,0,0,0,0,0,0,0,0,0,0,0,344630,0,1,0,0,14,0,647,1857,1171,41,0,4729,10828,3646,12871,9147,66821,18002,197246,107245,22218,2487,26701,19135,832,18,0,0,1,0,0,0,0,0,0,0
영주,0,0,0,0,0,0,64,424,727,28,64,23824,8935,94246,3,25,36707,365,4669,41994,2525,266358,322450,348770,25068,41546,2,2,3,0,0,0,0,0,0,1,0,0,52,716,774,0,0,0,3,0,0,0,0,0,0,0,340971,0,3,0,0,0,0,15924,37575,275481,1219,0,165222,149384,19222,35497,35232,260,64,2722,2549,20823,1600,15299,22321,1825,8,0,0,605,0,1,0,0,0,0,0
안동,0,903,0,0,1,0,0,29,43,0,0,37,801,100845,3,8,46474,252,2123,22330,752,83067,355279,538613,141318,48493,1368,0,0,0,86,0,2,80,0,0,0,0,0,107,213,150,0,0,0,0,0,0,0,0,51,209,311954,0,889,290,113,1540,0,44,33,1242,9,0,8977,26017,3715,6287,8202,35,3,392,410,39184,2640,28079,46794,4187,11,0,0,836,1,0,0,0,2,0,1
의성,0,0,0,0,0,0,0,2,0,0,0,0,9,106843,10,18,17094,93,503,4088,256,10002,24482,153109,217501,113254,1348,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,44051,0,0,0,0,0,0,3,13,10,0,0,1433,7739,889,2049,3133,51,2,261,254,28928,1842,15388,35897,4662,1,0,1,504,0,0,0,0,0,0,0
영천,1207,926,521,4,475,3,114,79,495,11,3,285,1945,388741,111,215,16207,43,757,8968,223,14343,26884,42616,119241,197142,0,135,0,0,1511,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,354,41404,0,471,120,0,467,0,6,18,2,0,3,2198,8555,1599,4932,6381,7,1,54,104,22554,4026,30129,123202,27169,0,0,2,4344,0,1,0,0,1,0,286
논산,123673,52949,83405,5328,28559,8835,22745,16447,523066,90,72,299,52,9467,9,89,13456,0,0,9902,3,241,42,127,0,29,291036,274448,45587,7025,26904,7429,14404,16194,2269,5079,3046,7456,3968,0,108,72,508,0,272,49,11,15,140,0,0,1,0,0,16432,0,0,23440,0,142,1,0,0,19607,0,0,0,2,1,0,0,11,3,0,0,73,124,1,85,0,0,243,7,714,108,54,6,0,11441
이리,208352,62381,87551,5291,33234,7961,22628,16769,152276,58,93,312,83,3003,3,181,4571,0,0,363,0,13,0,0,6,1,289150,1014301,580807,29197,69375,19953,51871,954838,43159,44462,19397,36145,0,0,26,64,326,0,17449,0,0,0,1244,0,0,0,0,0,21,1,0,2,0,0,0,0,1,821738,0,0,0,0,106,2,0,8,0,0,0,2,221,18,71,0,2,1647,2,1600,152,2,360,0,28549
정읍,221764,99075,118141,7329,31427,9358,18276,14023,77694,4,6,307,73,3966,39,424,10299,0,0,0,0,96,5,1,0,1,46719,588164,884469,73865,78059,14402,47051,3976,42,415,241,183,0,0,6,12,64,0,1798,0,0,0,246,0,0,0,1,0,3,0,0,3,0,0,0,0,0,22159,0,0,0,0,0,0,0,0,0,0,0,4,172,24,529,0,0,6,0,0,0,0,67,3,17880
장성,49379,25415,25161,1804,5891,1674,4714,3820,13288,41,33,211,80,840,1,3,108,0,0,0,1,3,4,1,0,0,6842,28409,81468,439072,113199,12081,25427,312,6,2,0,9,71,21,1,3,25,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32,9,3812
송정리,88121,82634,29418,2582,11803,5021,9902,7650,27645,401,1,108,43,1001,164,144,3798,0,0,0,0,0,0,0,0,1575,17432,55407,73197,118459,412844,95832,282949,386,0,6,0,1301,2459,1,0,3,53,0,0,0,0,108,0,0,4,2,0,651,2240,0,1,1523,0,0,0,0,0,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,66,1641,27,215,59,79,5528,2140,38434
영산포,95103,35757,44998,3153,12176,4382,8122,5750,13216,0,0,77,34,443,5,391,7427,0,0,1,0,1,0,0,0,0,9609,21653,19375,14369,134886,57858,167950,81,0,0,0,1043,2906,2,1,0,2,0,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,40,2083,15,156,74,129,3076,1929,65736
목포,300884,99088,71770,5144,20331,5358,14123,10846,41962,0,0,38,29,1492,7,1127,45865,0,2,0,0,59,0,0,0,0,19005,53712,52427,24263,356621,181515,1750473,591,253,2,1,8618,10581,5,2,4,329,0,2,0,1,0,0,60,0,0,0,0,10,0,0,2,0,0,0,0,0,615,0,0,0,0,30,0,0,0,7,0,0,0,0,1,945,0,46,8940,59,1883,515,529,9880,3504,236468
전주,103139,39760,31489,2860,19432,3226,12270,6341,19694,0,5,26,1,247,0,8,632,0,99,30,4,11,0,0,0,101,17552,958096,2632,205,335,48,5446,215093,216556,219872,51066,60598,44224,328,42,58,105,0,1019,0,0,0,470,0,198,266,0,0,868,90,29,1487,0,0,0,0,0,214562,0,3,0,171,5,0,0,0,13,0,0,8,14,0,292,0,7,2603,1,2035,304,27,91,0,532
임실,21754,13460,13575,1704,3892,1133,1647,838,2731,0,0,0,0,8,0,0,22,0,0,0,1,4,1,0,0,0,1835,38827,30,8,3,3,345,194295,36193,65984,12637,20634,11574,1,7,9,34,0,361,9,0,0,117,0,0,1,0,0,8,0,0,0,0,0,0,0,0,4932,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,0,7,99,1,843,252,102,12,1,0
남원,91846,20613,25410,1619,7447,1529,4730,4457,9646,0,0,0,0,0,0,21,422,0,0,0,0,1,0,0,0,0,5489,47577,64,1,0,0,396,208542,71822,380847,61884,71804,38792,0,0,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,117,0,2047,899,191,374,16,0
구례구,78813,9750,19660,1011,5192,1000,2477,1910,7324,0,1,0,6,546,0,28,444,0,0,0,0,0,0,0,0,0,2453,19273,214,0,2,1,7,46916,11918,58073,72168,225502,50111,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,687,2,1329,535,1217,803,6,5
순천,104222,22419,26485,3066,11448,5361,7303,8332,14311,0,3,47,10,5587,0,4524,23584,0,0,0,0,12,0,0,0,0,9628,33134,4,0,918,845,7624,51990,19424,71365,223562,354388,363558,2,0,2,53,0,1,2,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,515,0,0,0,0,1,0,0,1,2,0,0,0,6,112,45,0,419,12199,1252,27195,56778,159624,279715,8717,21010
여수,104077,6051,17523,962,5597,1363,6795,6257,13140,0,0,43,0,42,1,220,2257,0,0,0,2,406,50,0,0,0,8010,28946,170,11,1602,1303,6536,44749,11507,40278,53009,367309,188274,18,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,205,254,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,26,1127,40,3858,4539,9919,60828,5931,20710
청주,32739,1397,24541,290,9352,2322,3975,61497,917,162,95,63,16,119,1,3,191,1,249,1212,9142,176754,1254,421,13,94,5460,21,2,11,124,5,5,11,2,1,1,8,1735,351566,224246,26,44,0,1,2,2,4,3,0,25,333,2,0,1733,168,102,1094,0,0,0,0,0,5,30,130,9,69,2041,527,37,5045,2996,336,0,39,464,3,3,0,0,8,2,0,0,0,0,0,1025
충주,19831,262,7628,243,4070,1114,3405,58752,343,20,64,13,7,64,1,2,241,34,164,1250,40330,233793,2148,785,101,143,81,57,8,3,7,1,113,34,0,2,0,7,21,222062,190536,0,2,0,5,6,9,4,0,2,0,1,3333,0,17,1,2,3,0,0,0,0,0,6,82,281,20,11,38,1761,853,7716,5947,471,0,2258,1783,19,13,0,2,11,0,2,1,0,1,0,4
부평,0,0,0,0,37,7673,3074,404,375,35,18,23,2,49,0,0,145,0,170,0,0,0,0,0,0,0,7,2,10,0,0,1,26,175,70,0,0,0,0,0,0,0,0,0,722,1731,1236,1464,600,0,3369,6952,0,0,28,391,282,670,1,0,0,0,0,0,0,0,0,868,1056,0,0,0,0,0,0,0,2511,0,262,0,0,0,0,0,0,0,0,0,102
인천,0,0,0,0,416,9129,2244,473,374,16,77,75,7,279,2,12,766,0,0,0,0,0,0,0,0,0,4618,175,223,41,78,72,618,37,6,11,22,41,32,3,0,0,0,0,1324,4729,3090,760,1305,0,5603,18601,0,0,6,0,0,0,267,1,0,0,2,1,0,0,0,0,584,0,0,0,0,0,0,0,7053,5,695,1,0,41,0,9,0,0,0,0,1007
송도,0,0,0,0,211056,154,346,12,12,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,83,2,10,1,3,2,8,10,0,3,0,2,0,4,0,0,0,900799,25,75,75,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,17641,6328,78720,13239,25212,25922,119026,586,899,14,5,16,2,126,0,8,129,0,0,0,0,10,0,0,0,0,1596,17092,11,1,7,2,1,2,0,0,3,1,18,2,7,2122,3578,9,144302,223333,56648,30894,29987,44,41,236,2,361,16,2,0,8,0,0,0,0,0,0,0,0,0,0,0,133,0,1,3,0,0,0,1,0,0,0,0,28,0,8,0,0,0,0,2
예산,181919,10673,183000,30022,42245,27845,209292,346,1991,11,0,8,1,23,0,1,161,0,0,1,0,6,0,0,0,0,1428,0,2,0,0,0,10,0,0,0,0,0,0,1,13,3835,11939,0,205692,250629,247762,58996,42362,6,10,169,0,0,41,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
홍성,213549,9382,152862,22298,36943,25658,128111,465,2627,1,1,34,0,54,0,0,39,0,0,51,0,3,0,0,0,0,1387,0,34,0,0,1,0,0,0,0,0,0,0,0,6,3176,7848,0,49643,248678,370160,275862,109183,2,12,78,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0
대천,189396,4921,84250,9087,24762,16969,82949,151,1362,0,0,0,0,105,0,0,218,0,0,0,0,0,0,0,0,0,1300,0,0,0,107,84,0,0,0,0,0,0,0,0,2,726,1890,0,29518,61900,273734,393138,324098,3,18,21,0,0,445,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,1,0,1,0,0,0,0,0,0,0
장항,182581,5305,101021,14673,25480,19043,31766,66,74,0,2,3,0,12,0,1,27,0,0,1,0,0,0,0,0,0,140,1057,173,0,0,0,0,0,117,0,0,0,0,1,1,1404,3738,6,38335,47343,107700,329707,385558,0,31,35,0,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
안성,327,58,895,139,156,45,113743,711,308,9,2,2,0,10,0,3,37,0,0,0,0,6,0,0,0,0,43,16,14,4,70,39,157,0,0,1,3,2,64,56,3,14,61,4,604,522,186,129,10,169844,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,1,18
수색,1109072,1999,5281,587,310,588,389,8,14,0,6,0,0,6,0,0,14,0,10,11,0,2,0,0,0,0,7,16,22,5,6,4,16,4,3,0,0,7,0,0,0,3808,6558,0,158,361,386,227,338,0,828086,2211875,1199,1064,29589,134,7,73,234761,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,3
문산,2222754,3213,8137,1287,1570,1990,554,12,96,0,10,3,0,6,0,0,19,0,130,1,0,2,0,1,0,116,1325,9,40,5,2,2,24,5,0,0,0,3,5,1,0,9569,27485,0,300,263,239,70,126,0,2208859,1155486,0,29,2459,52,0,15,3111,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,113
청량리,2450,23288,1042,0,0,0,0,2,28,0,0,2,0,93,0,0,5487,137765,598199,605547,20458,383909,369006,302818,39185,45758,14828,0,0,0,100,0,0,0,0,0,0,0,0,1,725,0,0,0,0,2,2,2,11,0,2120,18,15600,51992,822932,595850,898082,1552222,73750,1,54,865,0,0,24252,67825,31344,56654,107874,43164,9197,117750,163503,441,2529,21152,26757,3399,0,0,0,0,0,0,0,0,0,0,0
성북,630,5032,0,0,1,8,4,3,681,0,0,0,0,520,0,0,1042,17,387,454,13,27,38,12,6,0,4,0,12,27,1142,1,173,2,0,1,0,0,0,0,0,0,0,0,362,2,3,3,8,0,1689,42,74909,43790,354966,138746,243245,104603,16058,3,0,0,0,0,3,0,0,648,0,6,1,14,3,0,0,0,0,0,106,0,0,246,0,0,0,0,0,0,0
의정부,11093,32360,1390,499,571,203,871,4091,1052,0,2,0,8,13,1,0,172,53,977,692,15,267,143,115,69,482,825,34,74,29,169,2,59,3,6,1,2,4,0,1,0,626,1005,0,96,117,135,2516,116,0,27804,2456,951862,461788,747291,410431,24411,16814,40899,0,0,0,0,0,12,2,0,4,5,10,0,53,24,0,1,4,481,0,2,0,0,3,0,1,0,0,0,0,17
신탄리,748,7986,550,227,229,14,17,288,5,0,0,1,0,341,4,3,90,8,732,231,6,39,6,88,9,122,2,0,6,0,1,2,3,176,1,2,0,0,1,91,0,460,524,0,4,1608,1396,2,4,0,35,13,613979,168995,438005,510096,1519,6008,87,0,3,0,0,0,0,7,0,1,0,0,0,3,9,0,0,4,751,0,0,0,0,452,0,0,0,0,0,0,618
청평,9,2439,0,111,0,0,966,0,0,0,0,0,0,83,0,0,432,7,59,91,16,31,19,26,0,1,0,1,2,1,300,0,16,0,0,0,0,0,0,1,5,145,0,0,3,2,0,0,0,0,2,1,1029680,236432,29225,1823,539524,278681,51,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,22,0,78,0,0,243,0,0,1,0,0,0,2
춘천,6,9259,0,3,25,1,129,552,15,0,0,11,1,718,0,2,649,7,19,533,1,8,5,347,3,466,1595,22,0,0,93,0,3,275,0,0,0,0,0,0,0,0,0,0,5,12,4,70,0,0,0,0,1597543,151681,18560,2449,275738,595020,17,0,0,0,0,0,0,0,0,1,1165,3,0,7,0,0,0,0,0,0,67,0,0,621,0,0,0,0,0,0,2062
일영,231966,25661,283,817,17,81,79,3,4,0,3,0,0,4,0,0,7,0,40,29,0,7,16,7,0,0,0,0,4,0,1,3,9,1,0,0,4,2,0,0,0,107,516,0,3,39,22,9,27,0,235053,5942,63286,17992,54294,667,177,278,49338,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
상주,3212,1444,719,46,169,16,64,6,542,53,184,257839,24804,72035,2,5,629,2,0,277,14,1732,18105,5,0,0,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,247959,164968,11731,26918,0,26,760,112,121,1580,0,0,17,36,257,0,0,3082,23,1,0,0,4,0,0,0,0,0,0,0
점촌,4036,1128,954,59,142,36,56,21,767,7,50,149149,18536,95838,11,24,4126,12,23,312,16,4020,44394,35,13,13,425,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,685,0,0,0,0,0,0,165001,70574,83162,515397,1,227,2504,287,374,1348,4,0,115,92,0,2,9,2317,236,0,0,1,5,0,16,0,0,0,0,0
예천,1,23,36,11,5,3,6,3,466,13,2,32163,8448,57419,14,32,1125,28,27,480,69,4515,288669,3332,170,145,0,0,0,0,0,2,1,0,0,0,0,0,56,8,8,0,0,0,0,0,0,0,0,0,0,0,18670,0,0,0,0,0,0,13612,86599,255625,3486,0,1185,6358,615,653,399,7,1,92,91,713,17,198,2209,96,0,0,0,0,0,20,0,0,0,0,0
문경,99,54,63,2,12,4,5,1,142,15,21,25066,6208,42544,71,72,2102,2,0,13,0,151,3350,5,2,0,0,3,0,0,0,0,0,0,0,0,0,2,205,0,0,0,2,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,24750,539626,3062,145914,0,19,81,24,15,107,8,0,9,13,0,2,2,107,0,0,0,1,1,0,0,0,0,0,0,0
군산,3086,4167,1414,232,232,104,79,219,21603,0,8,100,23,543,2,39,1085,0,0,0,3,6,0,1,0,1,18478,853113,24861,2601,3303,686,1737,232245,3073,3757,1449,1715,1290,2,6,4,36,0,192,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,464640,0,0,2,0,643,0,0,2,19,0,0,10,43,13,27,0,0,17,3,28,0,0,6,0,207
춘양,0,0,0,0,0,0,0,7,72,5,6,303,128,10449,5,24,8343,54,198,1337,139,6138,141624,10233,4063,4719,0,0,0,0,0,0,0,0,0,0,0,0,0,77,83,0,0,0,0,0,0,0,0,0,0,0,31718,0,1,0,0,0,0,238,369,403,13,0,264010,185409,13759,11500,7723,13,8,125,510,4557,144,3664,3989,99,2,0,0,85,0,0,0,1,0,0,0
