,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
도계,0,0,0,0,0,0,0,0,0,0,0,0,178,205,45,4733,137,197,690,1334,456,907,84,5748,6,4271,0,55,1754,805,197,119,0,0,54,0,0,3,0,0,0,0,397,0,0,46,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,26106,0,0,0,0,0,0,0,30,19,4,0,194,166,518,432,232,29330,18590,0,12,1127,266,2306,3676,664,41,149,0,0,31,200,0,0,0,0,80,0,0,0,0,1108,439
동해,593,0,0,0,0,0,295,105,0,216,0,0,147,337,17,5267,35,393,202,264,193,1227,101,2549,28,17748,0,503,11779,5291,1411,444,0,0,47,0,0,0,1121,79,9,499,762,0,0,269,242,158,442,26,10,3,0,0,0,0,0,390,0,267,0,0,18553,219,116,63,0,259,0,2,310,722,161,0,2295,1714,2126,3952,27873,1546,76175,0,124,5474,595,11885,19983,949,118,696,0,780,114,611,0,77,61,0,422,0,0,0,0,735,561
강릉,4318,0,0,668,0,0,0,394,432,260,0,0,343,830,102,10277,316,463,667,1591,229,1705,158,2704,15,16538,0,59,7337,4791,1304,1070,0,0,439,0,0,0,231,21,0,364,746,0,0,68,0,0,614,0,0,0,0,0,0,0,0,260,0,0,0,0,44394,0,0,0,0,0,0,0,536,385,126,0,1146,1154,2543,3975,18042,75758,54259,0,49,4738,660,15241,24878,3144,344,912,0,0,192,565,0,0,0,0,27,0,0,0,0,430,1758
정선,1880,0,0,0,0,0,396,0,0,430,0,0,187,0,0,159,0,0,0,0,0,479,0,1102,0,6814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5405,33,1257,249,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,434,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,37,34,0,201,26,195,45,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,2967,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,424,1922,240,15095,26,19629,11,5,41,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33069,0,0,0,0,0,0,0,0,0,0,0,17,1,40,140,1149,5476,4363,1483,70,0,1319,13694,7766,0,0,132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
예미,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,275,43,4113,5,3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,286,600,781,379,37,1427,0,1767,1246,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민둥산,739,0,0,9,0,0,13,163,68,397,0,0,0,0,0,0,0,0,0,0,800,4639,390,21832,77,30532,4,17,229,0,0,0,0,0,0,0,465,0,0,0,0,0,1173,0,69,0,0,0,178,0,0,504,0,0,0,0,0,375,0,0,0,0,65847,0,0,0,0,0,0,0,0,0,0,0,78,5,901,431,2401,12031,15686,2722,281,10508,1403,1205,13211,0,0,0,0,795,223,0,0,0,0,0,0,0,0,0,0,408,0
태백,8311,0,0,181,0,0,1098,503,199,1147,0,0,0,0,500,0,0,0,0,0,757,2424,248,20766,33,19844,46,85,671,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,6,311,83,579,0,0,24,296,184,264,183,93,0,0,213,0,0,60978,170,9,0,0,0,0,0,0,0,0,0,59,22,1585,161,3780,20681,25290,0,70,6988,1310,10374,2,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0
부전,5183,2749,0,4302,1004,0,1578,976,0,4384,464,960,1781,6192,1653,41615,11398,30918,27792,876,0,2086,14,4150,62,5662,2660,1402,6376,11367,5249,13401,0,0,0,0,45,0,217,79,64,575,0,0,0,0,10487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498,0,0,0,0,129,14,272,0,0,0,0,1339,727,576,2661,709,1263,3777,0,0,0,0,0,0,59468,248872,140261,1340,15278,0,7626,6620,13783,7905,3851,11760,7102,1136,729,148,67,480426
