,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
영동,113676,8961,58057,2731,21572,3440,14108,15791,238923,96837,60017,75450,31740,90528,656,4114,78807,0,0,0,0,11,39,0,0,1,79,32,1,16,2,0,3,3,0,0,0,15,1,8,7,12,152,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,237,194,4,7,7,1,0,2,0,0,0,0,0,0,0,0,0,50,9,36,0,156,5103,13,374,9,0,0,0,2
김천,221666,13957,82892,1711,38877,5667,24183,14741,120993,11680,75263,203806,571601,269303,2652,10293,220259,0,0,88,0,474,21501,12,2,61,1136,143,133,135,74,5,21,20,1,2,1,327,21,6,3,5,56,0,7,5,3,2,1,0,0,0,0,0,1116,2,0,2,0,183047,112106,15786,15629,13,4,200,43,90,2547,0,0,1,19,884,0,12,1496,212,457,0,538,13090,146,839,3,8,0,0,125
구미,186271,11457,56731,961,27556,4469,18514,19644,111575,7517,33137,634870,1175379,1769617,16270,18314,192890,0,0,7,0,21,22249,474,0,1668,2415,7,15,8,4,1,0,0,0,3,0,133,0,2,1,2,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,32399,29187,11406,3251,2,1,8,0,2,1776,0,0,1,1,1111,0,41,1387,339,293,0,411,12234,309,1730,0,7,0,0,2
동대구,1351901,62628,147320,2468,117081,17990,99400,63447,258940,11569,86502,297079,1876153,661,394128,424499,1721040,1,455,5998,22,13740,131366,99609,110591,388617,1690,1531,2500,372,1002,64,421,430,0,0,0,1513,22,28,0,0,0,0,0,0,0,523,0,0,240,80,789,0,3860,0,80,1432,0,47860,72516,59614,28037,137,4939,12112,2139,4831,39360,75,0,169,32,3382,3069,10290,121524,79736,2987,0,11456,55327,1999,4022,283,373,1,0,634
청도,14135,5822,6061,486,1836,500,1063,780,2676,533,1118,3958,20631,470518,187857,135566,414482,0,0,5,0,20,40,29,12,1732,1216,48,58,2,10,0,7,0,0,1,29,44,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,5,15,8,5,7,0,1,0,0,646,0,0,0,0,325,0,8,1652,10,2274,0,5373,22761,107,369,4,4,0,0,5
삼량진,109712,9318,21610,447,12083,1708,6940,6263,24224,508,4642,11091,17813,432000,138418,463642,2476007,0,0,0,0,38,1,0,1,43,1205,24,308,0,9,42,859,2,0,1,10,2485,3,2,0,0,0,0,0,0,13,96,0,0,0,0,0,0,6,0,0,0,0,2,8,9,0,3,0,0,0,0,22,0,0,0,0,0,7,124,23,2,20771,35,61541,170104,6285,12854,1462,427,3,76,791
부산,2261758,117141,135200,2550,116968,19070,134624,100016,426214,10086,81766,260830,197327,1775298,437329,2531403,84057,8,1288,23044,152,41933,47563,55629,21731,13400,667,2963,7615,23,2725,8318,51083,777,0,0,0,29016,302,509,27,0,81,0,0,0,385,383,0,0,0,200,7262,0,6033,0,0,2579,0,38,153,0,0,187,7937,18963,3976,17559,60662,10,1,49,23,21298,290019,142520,82543,7105,7928,15,160023,102120,60491,42787,21159,10428,1588,4621,30268
팔당,0,6,0,0,0,1,0,0,0,0,0,2,0,2,0,0,71,30278,39329,9781,301,2290,625,441,123,44,0,0,0,0,0,0,0,0,0,0,0,0,0,25,97,0,0,0,0,0,0,0,0,0,0,0,208737,0,1,0,14,27,0,4,3,17,0,0,17,51,6,5,0,170,70,540,386,23,1192,141,88,5,0,0,0,0,0,0,0,0,56267,0,0
양평,0,450,0,2,0,0,0,2,0,0,0,2,2,337,0,0,1866,28498,303774,160397,1641,9684,3614,2706,1271,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,177,148,0,0,0,0,0,0,0,0,0,0,91,725890,0,328,34,11,121,0,804,721,804,1,0,139,409,238,889,831,661,111,1282,2218,859,221,1432,1192,266,0,0,0,0,0,0,0,0,0,0,0
원주,0,122,0,0,0,1,0,384,441,0,0,12,3,10026,0,0,24935,8947,150947,428153,8893,92903,36502,27084,3465,12408,3800,0,0,0,254,0,0,0,0,0,0,0,0,828,904,0,0,0,0,0,0,0,0,0,0,0,700557,1,2989,2,8,19,0,4,20,7,0,0,579,5347,4069,5406,5902,29005,3929,54664,60887,10593,1188,20281,11394,81,0,0,0,1925,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,1,2263,0,0,0,30,3,165,0,0,1336,327,1742,8889,1556,8433,3464,1061,428,714,0,0,0,0,1,0,1,0,0,0,0,0,0,8812,45896,0,0,0,0,0,0,0,0,0,0,0,26508,0,0,0,0,0,0,1,2,5,0,0,43,768,64,57,19,895,214,2256,3298,1628,349,3775,1178,16,0,0,0,0,0,0,0,0,0,0,0
제천,298,0,53,0,1317,1084,3504,53222,421,0,0,524,25,17724,0,5,34798,1710,9292,82290,6020,90319,183864,82892,7865,17729,1249,27,0,0,0,0,53,0,0,0,0,0,0,185192,232207,0,0,0,2,0,0,0,0,0,0,0,405295,0,0,0,0,0,0,547,1102,520,4,0,2640,12040,4789,16922,10173,71269,20450,205370,123147,24953,3580,41706,26140,413,3,0,0,0,0,0,0,0,0,0,1
영주,0,0,0,0,0,2,11,351,391,2,20,23927,15144,115930,1,2,45194,340,5193,42431,2293,222117,276639,276381,23341,38475,20,0,3,0,0,0,0,0,0,0,0,1,0,489,511,0,0,0,0,0,0,0,0,0,0,0,373603,0,0,0,0,20,0,15121,32300,287487,1276,0,171832,177302,20960,38849,37634,93,28,2460,1681,25612,2879,32572,29570,2429,0,0,0,0,0,0,0,0,0,0,0
안동,0,179,0,0,0,40,0,81,12,0,0,84,929,117191,2,0,57466,363,2227,25800,638,81410,284495,514269,144810,50010,2600,0,0,0,0,0,0,0,0,0,0,0,0,86,103,162,0,0,0,0,0,0,0,0,0,407,327234,0,278,78,0,689,0,64,70,394,0,0,7303,27938,4104,7439,10864,8,2,151,154,39564,3978,46276,54682,4890,0,0,0,442,0,1,0,0,0,0,0
의성,0,0,0,0,0,0,0,2,0,0,0,0,12,129814,0,5,21477,109,1270,3596,228,9851,23551,153301,231069,113738,380,0,0,0,0,0,0,0,0,0,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,48297,0,708,0,0,0,0,0,5,2,3,0,1051,7324,1099,2194,3097,11,1,225,115,27894,2417,23456,43637,5082,0,0,0,210,0,0,0,0,0,0,0
영천,1043,71,7,7,21,0,99,123,252,3,4,215,1953,424218,301,81,16402,22,789,9493,188,15004,30594,48121,119796,192184,2500,36,20,0,1518,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,257,39720,0,915,125,54,377,0,37,11,0,1,0,2140,11714,1717,4212,7115,0,0,6,8,20480,4920,46886,135670,24636,0,0,0,4197,0,0,0,0,0,0,74
논산,182199,34812,98400,2700,41982,7771,24390,16517,529125,34,43,215,1201,10538,11,86,16782,0,140,4714,0,9,0,128,0,0,329085,228467,38999,5449,27631,5529,16375,15013,1680,4643,2822,6390,7382,135,15,3,21,0,122,1,0,0,0,0,0,0,0,0,19068,0,0,18438,0,2,0,1,0,17444,0,0,0,0,1,0,0,0,0,0,0,0,37,3,338,0,0,272,0,891,92,18,0,0,15495
이리,317860,45784,100784,3209,51584,7582,30280,21875,149298,3,60,391,9,2199,1,173,3796,0,0,0,0,1,0,0,1,2,247954,1015044,645680,26675,59996,15344,52803,1004276,48748,57619,18868,32775,26792,5,16,10,30,0,2736,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879868,0,0,0,0,1,0,0,0,0,0,0,0,63,1,21,0,0,1347,0,1752,131,2,0,0,30569
정읍,282049,85373,130881,7223,43184,9603,16866,12591,71934,3,9,200,51,2985,9,377,10697,0,0,0,0,43,1,0,0,0,42943,652902,828330,62299,73753,10938,35175,4908,29,522,341,45,144,1,5,4,8,0,941,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,27387,0,0,0,0,0,0,0,0,0,0,0,1,69,10,4,0,0,4,0,0,0,0,11,2,19733
장성,61703,22119,29224,2008,7654,1483,4312,3359,12723,12,34,153,34,671,2,3,103,0,0,0,0,0,0,1,0,0,5187,26668,63518,387759,108066,6676,15791,184,1,0,0,3,7,0,0,0,6,0,0,0,1,0,0,1,0,2,0,0,612,0,0,600,0,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,227,7,8834
송정리,126992,71537,42486,2905,15187,5891,9478,7735,24744,0,0,89,45,875,0,159,4875,0,0,40,0,0,0,0,0,1551,15023,46032,63105,110135,430797,69392,227079,221,0,0,0,1249,1606,3,5,0,5,0,14,0,0,191,0,0,0,0,0,647,4555,0,1,1171,0,0,0,0,0,972,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,1412,65,187,67,47,5531,2202,52054
영산포,125102,33983,49221,3417,15851,4796,8697,8289,15328,0,1,5,3,64,0,352,10471,0,0,0,0,0,0,0,0,0,7007,16967,15894,7663,107437,65558,141641,40,0,0,0,1072,2407,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1877,36,253,18,53,2990,1842,86403
목포,310116,98547,87328,5290,24443,4767,15321,10469,39766,1,0,1,2,142,0,1626,61085,0,0,0,0,3,0,0,0,0,20118,58171,48033,19207,207845,155838,2043148,68,0,0,0,7190,10636,26,0,5,72,0,0,0,2,0,0,68,0,0,0,0,614,0,0,748,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,38,10436,54,2194,623,369,8088,3069,303564
전주,161791,40075,47760,2353,30634,2053,13072,8720,20517,0,0,0,0,50,0,8,318,0,71,0,0,4,0,5,0,101,14804,1014430,1982,173,275,6,1608,431464,234867,248779,47135,61308,47540,20,9,54,15,0,156,0,0,0,0,4,0,115,0,0,723,178,80,1164,0,0,0,0,0,245253,0,0,0,0,0,0,0,0,1,0,0,0,485,0,0,0,1,1338,0,1781,315,2,3,0,1
임실,35025,14995,22240,2111,7288,1067,2314,1233,3133,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,2735,44800,21,0,1,0,22,215799,46675,69405,10591,19947,10444,0,0,1,0,0,278,0,0,0,309,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3458,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,88,3,578,97,57,5,0,3
남원,116308,20897,24725,1509,8793,1428,4675,4094,9435,0,0,0,0,0,0,2,280,0,0,0,0,0,0,0,0,0,7205,58932,82,0,0,0,0,223200,71927,366654,44004,63421,34029,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,0,927,862,3,291,0,1
구례구,95480,9345,23825,904,6747,810,2551,1673,8629,0,0,0,0,228,0,38,416,0,0,0,0,2,0,0,0,0,2376,18709,227,0,0,0,10,43867,9640,40118,57541,258477,58256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,10,436,60,1194,449,1322,331,3,8
순천,129894,27524,35456,2759,14707,4697,7732,11975,16301,57,1,3,0,1180,0,2148,22186,0,0,0,0,7,0,0,0,0,10587,31079,10,0,802,824,5457,58597,18680,62822,226554,428323,651502,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,213,11119,1027,26061,55714,183641,186738,7596,19595
여수,122591,10735,18170,657,8020,1197,7126,7592,13696,0,1,74,0,27,0,105,1373,0,0,0,0,18,0,0,0,0,11102,33403,25,8,983,1209,8066,52865,11059,38779,56412,555768,262967,17,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,655,29,2307,5760,11258,48424,6253,17808
청주,67281,185,44650,83,23573,5368,9655,82594,616,40,44,44,12,253,0,18,256,0,64,656,9650,188590,1080,441,10,98,2529,16,10,14,188,8,76,16,0,8,0,20,28,418557,244427,54,1,0,0,0,1,2,0,26,0,146,0,0,1315,108,42,1839,0,0,0,0,0,1,3,141,2,18,311,702,14,5157,3224,0,0,31,26,0,0,0,0,33,2,0,0,3,0,0,20
충주,11993,5,8522,56,7418,3059,7060,54468,255,15,22,6,1,13,0,0,175,35,142,1196,42827,226731,2025,727,115,255,1308,4,0,0,0,0,21,0,0,0,0,0,2,239933,197828,0,0,0,0,0,1,0,0,0,0,0,2081,0,0,0,0,0,0,0,0,0,0,0,34,300,10,7,4,1685,781,8276,7154,92,50,3978,865,3,1,0,0,1,0,0,0,0,0,0,0
부평,0,0,0,0,48,8537,1515,42,33,2,0,0,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,1105,2346,175,255,0,7162,13960,0,0,0,91,241,82,190,0,0,1,0,0,0,0,0,1243,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,31,9473,487,83,94,2,13,22,7,244,2,14,445,0,0,0,0,1,0,1,0,0,3071,71,89,10,30,10,142,26,0,2,18,23,43,4,0,0,0,0,232,1411,1078,174,412,0,7222,27401,0,0,68,2,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,19,5,0,0,0,46
송도,0,0,0,0,112169,103,334,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664679,9,47,91,5,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,75064,4941,79880,14965,28798,29710,121695,264,725,3,1,4,4,123,0,0,82,0,0,0,0,8,0,0,0,0,8,1649,136,0,2,0,17,3,144,0,1,3,5,2,2,2081,2165,1,168714,210285,54055,33249,29348,4,32,156,0,0,2,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,2
예산,158325,9724,174998,30721,52064,27951,201837,229,1063,5,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,4,13,4263,8428,0,189771,222742,222305,59764,44050,3,8,81,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍성,182336,8396,154940,22987,45110,28079,125229,192,1240,0,0,19,0,14,0,1,396,0,0,0,0,0,0,0,0,1,1300,434,0,0,0,0,0,0,0,0,0,0,0,20,4,5096,5934,0,46606,223699,416514,250732,101755,0,0,14,0,0,4,1,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
대천,189173,4815,90577,10516,34619,19166,90794,50,384,0,0,3,91,403,0,92,1216,0,0,0,0,0,0,0,0,12,1300,0,0,0,171,0,0,0,0,0,0,0,0,0,0,667,1076,0,33705,65492,242908,390895,323362,1,15,19,0,0,455,140,0,553,564,0,45,0,0,0,0,0,0,0,0,0,0,0,0,68,0,48,0,39,0,0,0,0,0,0,0,0,0,0,46
장항,182521,4556,114394,15015,31768,18777,33056,21,29,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,309,0,0,0,0,0,0,1627,2772,0,49153,54758,102203,324667,434386,1,19,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
안성,184,134,569,123,149,94,77050,371,193,3,0,2,0,12,0,0,19,0,0,0,0,0,0,0,0,0,1310,6,9,6,26,16,50,0,3,1,0,0,0,63,0,13,36,0,208,233,121,98,2,187466,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,1,0,4
수색,1193748,2293,7328,2581,765,332,189,4,1,0,0,4,0,3,0,0,2,0,0,176,0,6,0,0,0,0,5,2,1,0,0,0,3,0,0,0,0,4,2,0,0,7615,8148,0,75,112,148,50,104,0,676072,2556749,0,3083,45182,67,177,28,219059,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,2845174,11233,21185,5483,3262,1490,329,3,56,0,8,0,0,1,1,1,10,0,2180,0,0,0,0,0,0,149,1218,2,3,0,0,3,8,0,0,0,0,0,0,3,0,20739,46067,0,164,72,108,55,44,0,2614039,1479191,0,1,2739,34,40,11,3647,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,350,0,0,0,2,0,0,0,0,0,0,4
청량리,40,33894,1520,0,0,0,0,0,0,0,0,0,0,494,0,0,8620,179923,745897,746786,19020,444747,416865,338657,44310,37651,100,6,0,0,0,0,60,0,0,0,0,0,0,6,109,0,0,0,0,0,0,0,0,0,0,0,3200,1401,44947,7129,510675,882268,377,0,23,269,4,0,24660,65518,37848,70801,103129,54531,10384,130954,215425,1009,4004,23586,27611,551,0,0,0,0,0,0,0,0,0,0,0
성북,3392,175,0,0,0,0,0,0,344,0,0,0,0,189,0,0,498,2,118,390,0,7,5,0,0,0,13456,6,0,1,649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4086,5,24566,68265,1220343,880850,625461,736064,58370,0,0,0,0,0,0,0,0,374,0,0,0,6,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0
의정부,6612,7204,1198,4,412,1000,0,255,187,0,0,0,0,1,0,0,1,0,669,71,2,9,1,8,3,260,1097,173,240,0,0,0,0,170,0,1,0,1,0,0,0,866,2928,0,437,872,0,393,606,0,40243,1926,217580,1266282,1008842,514188,49110,20339,58669,0,0,0,0,0,0,0,0,1291,0,4,0,15,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,142
신탄리,216,870,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,139,20,3,3,0,0,0,125,0,0,832,0,0,0,0,832,829,29,0,0,0,0,0,110,272,0,0,0,0,130,0,0,34,7,67832,871680,543405,641584,1787,7543,24,0,0,0,0,0,0,0,0,0,0,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청평,0,1494,83,43,76,1,0,0,0,0,0,0,2,487,1,0,534,5,95,29,1,16,22,5,0,0,0,0,0,0,230,0,5,0,0,0,0,1,1,0,1,317,15,0,0,1,0,0,0,0,0,3,698866,640887,56039,2712,641362,340530,111,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,2,0,0,107,0,0,161,0,0,0,0,0,0,1
춘천,0,2426,0,0,2326,0,0,0,915,0,0,0,0,0,0,0,0,0,8,4,0,6,6,0,0,352,2157,0,0,1,0,0,3,1,0,0,0,0,0,439,0,0,0,0,0,0,1,198,0,0,1,20,1014475,744049,20892,5064,340793,683283,0,0,0,0,0,0,0,0,0,1149,0,129,0,1,2,138,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
일영,225187,1818,154,295,12,18,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,256,682,30,1,39,6,569,7,0,204317,3635,2645,75293,73446,221,68,179,45903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,3285,168,840,13,210,9,54,13,563,38,252,175259,33841,64066,12,7,351,1,826,213,4,1617,16803,13,0,0,1906,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171078,122866,12097,24557,4,147,375,61,46,1354,0,0,21,2,0,0,0,1939,3,0,0,0,1,0,0,0,0,0,0,0
점촌,4299,619,837,7,239,13,135,30,531,8,64,109472,28000,90303,8,5,5552,1,605,150,6,2904,40989,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,118989,70110,76389,559745,0,73,1531,181,102,2616,1,0,98,10,0,0,2,2630,43,0,0,0,273,0,3,0,0,0,0,0
예천,0,1,13,0,4,0,0,1,222,8,14,31944,15765,66705,4,103,1915,33,38,364,34,3545,302251,1867,90,121,0,0,0,0,0,0,2,0,0,0,0,0,26,0,7,0,0,0,0,0,0,45,0,0,0,0,15528,0,612,0,0,0,0,14703,85693,294947,2394,0,919,4863,553,807,1972,0,4,64,21,271,11,49,2038,9,26,0,0,2,0,0,0,0,0,0,0
문경,7,2,9,0,1,0,0,0,39,0,2,18488,8232,39227,34,47,3857,2,0,10,0,85,3463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19701,606450,3043,128249,0,18,31,4,4,657,0,0,1,2,0,0,0,705,0,0,0,0,0,0,1,0,0,0,0,0
군산,3744,3339,1566,209,455,111,104,140,15295,40,14,108,21,375,4,11,939,0,0,0,0,7,0,0,0,0,18880,860723,26187,1949,1813,249,512,250435,3263,3636,1145,1181,641,1,0,1,3,0,122,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,0,0,0,0,533773,0,0,0,0,0,0,0,4,1,373,0,7,404,4,8,0,0,0,0,0,0,0,1,0,126
춘양,0,0,0,0,0,0,0,0,24,1,4,235,127,9066,0,1,10512,18,123,999,33,3700,150279,9619,4622,3249,0,0,1,0,0,0,0,0,0,0,0,0,0,30,26,0,0,0,0,0,0,0,0,0,0,0,34591,0,0,0,0,0,0,143,283,171,19,0,297368,194316,14847,11908,7012,1,0,23,1056,5685,176,6865,4117,48,2,0,0,0,0,0,0,0,0,0,0
