0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
의정부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,359,0,0,0,99,131,0,0,252,0,0,0,0,0,0,0,1,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,297,0,0,0,0,0,0,0,0,0,0,0
동두천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,297,0,0,0,32,96,0,0,11,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,39,503967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,0,0,0,0,0,0,0,0,0,0,0
신탄리,0,0,0,1,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,720,0,0,0,52,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,586701,102247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0
금곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,648,0,0,189,0,0,0,0,45,52,0,162,0,0,174,0,0,0,0,0,0,356,143,0,0,0,0,0,0,43965,18482,0,0,0,2636,31061,203602,0,0,0,0,0,0,0,2636,31061,203602,0,0,0,0,0,0,0,225,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
가평,84,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,58,0,0,0,0,19,0,0,89,0,322,92,0,0,0,414,73,55,243,57,0,0,0,0,0,0,496421,146689,0,0,0,23599,10519,76082,0,0,0,0,0,0,0,23599,10519,76082,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0
춘천,413,0,0,0,0,0,0,0,144,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,288,0,0,0,0,234,864,0,0,0,20,348,0,7,0,0,11,0,0,0,0,0,0,539,18,0,0,0,0,0,0,648824,375380,0,0,0,211166,69628,18939,0,0,0,0,0,0,0,211166,69628,18939,0,0,0,0,0,0,0,2,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0
일영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,257,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,0,0,15438,13902,1429,35503,5721,1096,6719,13806,0,0,0,52,0,0,0,0,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,1012,1126,0,7,2,0,0,0,0,1279,1012,1126,0,7,2,126,0,0,0,0,0,0,0,0,0,0,0,0,73,0,97,0,0,0
점촌,0,0,0,0,0,0,0,0,0,0,0,0,8201,7083,973,18248,3745,521,4740,9278,0,0,0,40,0,0,0,0,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,477,0,1,0,0,0,0,0,978,0,477,0,1,0,38,0,0,0,0,0,0,0,320,0,0,0,0,58,0,98,0,0,0
예천,0,0,0,0,0,0,0,0,0,0,0,0,3373,3599,331,4511,1070,215,2743,4206,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,552,88,0,1,0,0,0,0,0,859,552,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170,0,69,0,118,0,0,0
