0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
영동,117315,4,85328,955,50321,7298,16456,13107,239376,5620,5320,30164,29213,58850,3571,2261,58701,0,0,0,0,116,0,0,0,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,223,0,0,0,0,0,1220,228,646,706,25,0,244,4609,96,676,0,0,0,0,0
김천,221676,13,112532,1257,84832,12794,30875,22312,162837,3613,36631,1957,73123,432813,37132,7206,157181,0,0,0,0,576,14004,0,0,1429,0,0,255,0,0,0,281,8,0,0,0,0,0,0,0,0,808,0,8,34,174,59,51,96,0,44,90,53,0,0,64,0,26956,21429,8777,0,0,0,815,368,678,0,0,0,241,392,79,765,2956,4169,10,760,14996,349,2677,722,0,0,0,0
구미,345105,168,161020,1101,130187,17145,36044,26683,158272,4879,29572,75700,62186,1011049,129050,34647,367126,0,0,385,0,468,24784,0,0,4733,0,333,40,0,0,0,673,283,0,26,0,0,0,0,0,20,179,0,0,0,1,1538,0,963,0,144,352,0,0,0,0,0,8835,17028,8886,0,0,0,1541,840,300,0,0,0,0,837,153,8572,7954,6281,0,2085,23279,676,5989,28,2,0,0,0
동대구,1660792,998,516185,3536,410261,67304,135828,60814,476491,10088,60375,454101,967693,1350,210308,360073,2446772,0,1069,6277,0,20514,87019,54732,31379,142908,3420,78,788,0,0,0,0,381,0,0,0,641,414,0,0,0,0,0,287,300,1249,401,105,718,0,537,216,2929,0,0,334,0,72373,65891,20111,0,7525,21498,8987,13033,36000,0,315,0,0,10869,2218,14112,81979,287957,1057,12710,113907,3311,11513,0,0,556,0,469
청도,72474,2507,36936,470,27594,4022,8093,6218,32139,736,3737,42335,125236,213974,27658,53352,507712,0,0,0,0,0,1822,0,0,0,72,72,0,0,0,0,0,0,0,0,0,1111,31,0,0,0,0,0,241,0,0,2016,0,0,0,0,360,648,0,0,144,0,5734,4157,1607,0,0,328,410,1,0,0,0,0,0,0,0,0,0,0,139,2264,45275,577,2732,0,0,1149,0,0
삼량진,85099,1089,27298,282,23164,2612,6451,4530,24159,438,1957,7526,34290,280117,48923,83707,1416562,0,0,0,0,642,1692,568,0,0,233,0,0,0,88,84,455,0,0,57,910,1225,19,0,0,0,0,0,0,0,0,0,0,46,0,0,0,85,0,0,42,0,1000,1221,580,0,0,2265,0,0,68,0,0,0,0,36,0,0,0,0,94,8993,63594,2024,13082,1230,889,1906,95,464
부산,2173417,1569,588062,2810,488152,65713,193275,103637,693387,11042,62468,166637,367112,2408222,509379,1397594,437959,0,917,6707,0,9483,24841,12526,3068,2399,66,0,0,360,955,2226,22716,0,0,238,1305,10790,0,0,0,0,0,0,0,0,1,36,1,150,0,1159,0,1675,0,0,1503,0,21936,21069,11380,0,2410,7812,1065,2885,16224,0,0,0,0,278613,79201,47161,50117,14821,1639,53394,104294,18152,23137,10440,3055,11607,1339,12021
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28425,18848,3961,61,657,350,162,64,33,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,77517,0,0,0,0,0,0,0,0,0,0,0,5,148,11,16,86,83,3,116,34,220,85,40,0,0,0,0,0,0,0,0,0,0,0
양평,1,240,100,120,0,0,0,0,0,0,0,0,0,1741,0,0,1523,19757,12695,47711,109,9335,5246,3958,202,427,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,535517,0,2376,7110,120,0,120,0,0,0,0,301,249,631,1594,2970,383,929,143,2237,898,129,1167,724,0,0,0,0,0,0,0,0,0,0,0
원주,2006,0,0,0,0,0,0,0,648,0,0,0,385,8027,1080,0,8760,2301,46532,26422,864,42856,41276,29762,1291,4200,0,142,298,0,571,0,0,0,0,0,0,0,0,0,2135,0,0,0,0,0,0,898,0,0,0,406544,0,0,0,0,0,0,0,0,0,0,0,2289,6338,8562,13505,13175,14297,4798,65908,6729,670,9840,5909,0,0,0,0,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,0,245,148,0,0,0,0,0,0,0,0,57,367,714,10,630,616,241,34,62,0,0,60,0,0,0,0,0,0,0,0,0,0,2142,1652,0,0,0,0,0,0,0,0,0,0,3775,0,0,0,0,0,0,0,0,0,0,0,2,91,0,0,24,8,1,37,565,43,656,334,0,0,0,0,0,0,0,0,0,0,0
제천,3689,1319,2945,83,6935,2021,10219,54924,106145,157,529,636,408,28888,0,95,12684,528,9482,26297,408,5572,78886,61545,3265,8182,260,300,1690,311,203,520,873,498,0,225,0,0,0,228676,103451,201,0,0,0,0,320,1977,0,279,371,239832,0,0,0,0,0,0,0,0,0,129,225,2316,4826,21505,30719,17111,12780,5558,49086,16851,1729,21255,8406,1508,1298,0,415,0,0,0,0,0,0,475
영주,4665,0,2390,0,12797,3275,5829,434,3086,0,0,14464,20829,89435,1664,1145,28432,340,5720,41517,398,80957,5292,107138,8853,20064,0,0,356,0,0,0,0,0,0,0,0,0,333,11448,5153,0,0,0,0,0,291,0,0,127,0,239905,0,0,0,0,199,0,11866,7684,17198,0,49067,50263,8629,25007,54459,570,1,0,103,15687,1681,27981,17369,420,754,47,615,0,0,0,0,0,0,0
안동,2365,0,947,0,5005,1328,3033,0,450,326,0,0,0,61677,0,568,15716,119,5864,28491,46,60039,91483,8373,21413,26964,0,329,0,0,0,0,0,0,0,0,0,0,18,0,1992,252,28,0,169,26,0,0,0,214,478,305764,0,0,0,0,0,0,0,0,0,0,3576,16184,4491,7916,15027,187,0,82,0,18535,2474,33378,23894,40,1007,0,841,0,0,0,0,0,0,0
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,37601,0,0,3229,55,124,1028,17,2888,8656,27027,7633,19202,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13448,0,0,0,0,0,0,0,0,0,0,642,1595,1943,1392,2212,0,0,0,0,5791,1367,9556,8865,0,0,0,0,0,0,0,0,0,0,0
영천,34124,0,991,0,6109,2,1578,107,7596,0,51,1443,5337,146063,0,0,1846,15,313,2805,43,6236,18812,25759,23998,16026,229,0,0,288,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,309,0,0,966,0,1779,144,449,1084,0,1296,0,0,30,0,0,1893,12776,1914,1580,5097,0,558,0,0,7446,2067,11542,57211,53811,0,0,0,0,0,0,0,0,0,0
논산,279493,11010,164878,1312,100417,17045,33934,29449,137963,0,0,0,0,2310,5596,377,1290,0,0,0,0,260,0,1,228,239,7957,31147,19107,22659,9482,3839,15323,9304,631,4337,2285,11100,8570,374,0,0,0,0,0,0,0,0,0,0,0,2232,13536,14420,0,153,14568,0,0,0,199,0,0,0,444,0,0,0,0,0,0,688,0,0,1,0,362,0,0,0,376,622,16,686,117,26635
익산,426715,836,191767,2292,141139,26103,36972,27243,114938,0,0,0,333,216,0,144,0,0,0,142,0,43,0,329,0,0,32542,23173,132661,25787,21508,9859,53931,103388,8502,42131,9907,43457,38074,0,344,129,957,0,0,0,0,0,0,257,0,0,0,641,0,0,12,0,0,0,22,174540,0,0,0,0,1184,0,0,201,0,0,0,0,489,9,0,0,0,0,2090,88,103,2200,151,57950
정읍,330091,504,153960,1965,102067,14167,21326,13376,52195,0,0,255,40,788,0,0,0,177,8,298,60,1690,356,0,0,0,21919,130667,41513,16924,15275,7206,40166,4,0,0,0,2070,435,753,554,184,429,0,265,40,0,0,0,586,0,938,1211,771,510,18,150,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,622,325,0,0,0,0,469,0,0,1822,94,31983
장성,82252,8396,33070,400,21865,2493,5196,6887,16663,0,0,0,0,216,72,0,0,0,0,0,0,311,0,0,0,0,7379,25906,16866,3040,6559,2788,14611,0,0,0,0,371,21,0,0,0,0,0,32,21,731,0,0,163,0,186,1008,5899,0,0,219,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,244,0,211,0,0,0,267,327,0,499,30,1791
송정리,149991,168,36512,616,22770,5692,5306,3314,13201,142,0,0,0,0,0,95,2255,0,0,499,0,658,0,0,0,0,9572,20457,16401,7449,467,12836,132846,0,0,0,0,1421,304,0,0,0,0,0,0,0,725,0,0,453,0,397,0,38,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,134,0,0,55,255,14,159,65,106,4078,349,5125
영산포,73927,62,42402,1052,25541,4308,5621,3091,8507,0,0,0,0,0,0,129,2205,0,0,0,0,520,0,0,0,0,5020,10364,8153,3087,10988,11,38219,0,0,0,0,1052,262,50,327,0,0,0,42,67,63,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,746,15,228,49,130,1291,315,25982
목포,321093,1343,138494,2267,89237,10284,18176,13633,45913,176,0,281,673,0,0,610,22223,0,0,0,0,873,0,0,0,0,18994,53852,41477,16294,130313,33699,137387,0,0,270,0,5547,1094,580,160,0,0,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,34,28,0,0,0,0,0,624,409,0,0,0,538,0,0,0,0,0,0,314,4714,202,2891,315,998,0,981,191684
전주,210766,631,112361,847,65178,15561,22621,11652,31055,0,0,8,283,540,0,0,2,0,0,0,0,498,0,0,0,0,8905,130393,0,72,0,0,0,7708,3010,22605,11066,65300,66111,0,3312,225,22,0,322,14,0,0,0,267,0,0,0,361,0,0,72,0,0,0,707,90020,0,352,0,430,3569,0,342,0,0,0,0,0,0,0,0,0,0,0,1829,77,269,0,0,0
임실,25025,0,17101,45,7314,1306,1449,831,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,7581,0,0,0,0,0,3352,153,673,350,3571,3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,108,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,14,0,0,0
남원,126036,0,55864,516,32164,4820,8795,4245,15408,0,0,0,297,10,0,57,217,0,0,0,0,372,0,0,0,0,4992,38883,0,0,0,0,0,25069,1353,2383,2007,23356,26938,1,0,0,0,0,353,223,111,12,0,536,20,366,428,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,2,678,0,0,0,0,0,0,0,233,38,77,0,0,0
구례구,82017,359,36238,199,18228,2427,3540,2247,8040,0,0,0,0,0,0,622,1055,0,0,0,0,0,0,0,0,0,3048,9293,0,0,0,0,0,8639,443,1411,467,12529,14098,0,0,0,0,0,254,121,194,27,0,123,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,93,0,0,91,34,25,0,0,0
순천,190298,94,82979,516,58239,8938,17259,10862,34666,490,0,0,0,599,911,1424,12976,0,0,0,0,0,0,0,0,0,13227,42172,1698,276,759,920,4856,65048,3719,24286,10499,7609,61981,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,12,130,0,130,0,0,211,4483,628,6937,7573,5681,61863,5416,20171
여수,131491,0,49721,266,39330,5075,12711,9756,30900,244,0,0,0,414,31,19,0,0,0,0,0,0,333,18,0,611,11526,38292,435,21,76,397,701,67922,3651,28762,19027,56478,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,45,0,0,0,2,5136,1218,4305
청주,9450,1180,13317,0,4692,563,1537,22368,21372,0,3,4,7,79,735,0,84,0,0,0,1928,232767,10330,3485,0,0,4,148,941,1,1,64,550,4,0,3,0,1,2,21765,73397,0,0,0,0,0,0,146,0,0,0,0,0,2,120,0,0,0,0,0,0,0,0,40,1215,2136,4948,731,401,97,1347,34,0,0,17,0,227,0,261,0,0,0,0,0,0,2
충주,13778,0,6375,72,2817,632,3403,45531,78100,0,0,0,0,21,0,335,540,0,0,0,784,90289,5487,3056,0,0,0,87,554,0,455,314,160,0,0,147,0,0,0,68633,12629,316,0,0,24,23,353,445,40,74,1560,0,0,0,0,0,0,0,0,0,0,0,0,11,335,1767,2147,69,106,26,491,540,0,0,238,0,349,0,35,0,0,0,0,0,46,148
부평,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,201,0,360,0,0,0,0,184,129,0,0,0,225,0,0,0,0,0,0,316,0,0,0,0,0,1440,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,0,0,0,0,0,0,0,948,179,0,0,0,0,0,0,0,0,0,0,28,0,0,0,272,781,335,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,229,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0
송도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,195895,1,201475,4102,96402,8665,53055,0,2,0,0,42,0,498,241,0,0,0,0,0,0,0,0,169,0,0,0,0,0,937,42,42,0,322,0,673,280,0,0,0,25,0,0,0,2050,21664,32570,44267,17915,0,0,0,0,0,0,0,19,0,0,0,0,0,0,531,596,710,25,0,0,0,213,0,0,0,0,0,336,0,0,0,0,0,0,0,0,53
예산,231225,166,289588,4048,112425,23226,98906,0,0,0,0,34,0,386,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,69,0,67,0,14,0,374,143,0,0,0,23,0,0,0,29136,6891,35657,37142,27698,0,0,0,0,0,0,0,166,0,0,0,0,0,0,391,505,148,83,0,0,0,358,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
홍성,261254,61,187901,3789,105300,28140,124563,3,77,0,0,174,535,1326,0,0,1,0,0,0,0,2297,291,0,0,309,0,0,0,140,664,52,0,0,0,111,194,0,0,144,659,792,0,0,47618,32066,5767,33050,49490,227,0,0,0,0,0,0,186,0,0,0,0,0,0,0,444,1124,7,305,0,121,69,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0
대천,336119,0,174761,3285,116848,24297,116978,58,806,327,0,384,655,364,2017,0,36,361,385,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,0,0,0,142,878,63,0,60611,42855,24667,3287,80821,833,86,11,0,34,160,141,142,0,0,0,0,0,0,0,141,70,853,0,0,0,0,0,0,0,0,0,75,0,2,0,0,0,0,0,0,0
장항,177457,0,114052,2556,71512,12683,29836,8,18,0,0,51,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40,0,0,0,28451,31887,51771,68726,19394,0,0,23,21,0,0,159,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,510655,288,0,0,0,0,0,72,575,0,0,96,963,360,0,46,143,0,0,4968,0,74,127,214,0,966,0,135,431,0,453,91,1656,271,0,659,0,0,0,0,216,0,0,0,0,0,0,988,0,44022,736995,0,0,14559,0,4392,0,28740,0,0,0,0,0,0,274,0,339,0,279,0,436,0,0,0,1325,0,432,0,0,0,0,0,0,0,0,0
문산,999008,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,371,0,478,0,0,0,147,293,0,0,0,0,38,0,387,0,0,0,0,2720,0,0,0,0,0,0,86,0,651367,711009,0,0,340,120,0,0,73,0,0,0,0,0,0,0,0,360,0,0,0,689,0,0,508,62,0,0,0,0,0,0,0,0,0,0,0
청량리,2,0,4,0,1,0,0,1,18,0,0,234,0,742,0,0,1073,64591,587934,462779,2372,254630,399562,303595,16908,1019,20,0,811,84,397,4,479,0,0,370,0,8,0,0,223,0,0,0,0,11,0,24,0,0,0,10343,415,216,1009,243256,1928647,0,0,0,0,0,9869,19824,30342,97354,398558,48517,63228,12315,216305,938,803,3911,3139,0,298,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,0,0,360,0,49,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,144,288,0,1082,129,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,525,0,0,0,60559,395683,0,0,0,0,0,0,0,501,360,150,0,66,0,0,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0
의정부,737,305,4,0,21,0,57,136,279,189,0,24,240,380,0,49,987,0,3024,187,0,0,0,0,0,360,10,488,448,797,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,8318,91,32,0,2328343,1407772,0,0,3981,0,0,0,0,0,344,4,0,145,0,326,0,82,0,0,0,0,0,0,0,441,0,0,0,0,0,0,1220
신탄리,0,0,480,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,8428,0,0,0,0,0,0,864,294,72,526,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,160,0,0,0,0,0,0,52,1417702,255781,480,0,432,0,0,0,0,0,0,0,0,303,0,59,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,288
청평,2,0,0,0,0,0,0,0,432,0,0,0,0,0,1152,0,0,0,120,0,0,0,0,0,0,0,294,0,18,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,290521,76515,0,480,17710,64780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,0,0,0,0,235,0,576,0,0,0,0,0,0,0
춘천,468,0,1011,0,359,5,356,74,381,0,0,68,0,295,0,20,1095,0,0,0,0,0,0,0,0,1080,452,6,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,95,186,411,75,0,0,2026003,244877,0,0,54576,28171,0,0,0,0,0,0,0,1,0,120,0,0,0,0,144,0,72,0,0,374,0,377,0,72,0,0,0,0,135
일영,2944,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19661,0,0,0,4422,1320,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,1,0,0,0,0,42295,10331,80966,7059,1125,24446,0,0,0,0,0,12728,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,6938,2397,0,0,0,654,63,49,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0
점촌,296,0,0,0,0,0,0,0,0,0,0,31363,17181,72531,5411,1667,23328,0,0,0,0,0,10086,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6385,1059,4390,0,0,0,793,131,738,0,0,0,0,0,0,0,321,0,390,21,113,0,0,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,148,0,0,10536,8835,23007,1912,712,12834,0,0,0,0,0,9076,0,0,0,13,22,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056,4290,1562,0,0,0,0,650,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0
군산,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237975,0,0,0,0,0,79740,0,0,0,0,570,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19329,0,0,161,0,996,0,0,100,0,0,0,0,10,546,0,0,0,0,176,0,0,0,0,0
춘양,0,0,0,0,0,0,0,0,2,0,0,0,0,8422,0,0,3397,0,34,139,1,162,45053,3619,645,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11165,0,0,0,0,245,0,0,0,0,0,28497,23874,2002,5020,6354,8,2,0,31,3627,512,4934,1600,0,0,48,111,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,136,206,348,0,0,0,0,21749,0,1661,7557,13,281,3510,0,2731,46947,16954,1705,4159,0,0,0,0,0,0,0,352,0,0,0,0,0,53,12,0,0,0,176,138,197,0,0,0,0,23237,0,344,0,0,60,0,0,0,0,0,23180,15657,4378,22891,43034,788,1161,304,2972,5835,726,9154,3612,0,0,58,651,0,0,0,0,0,0,0
도계,69,0,78,0,353,78,1323,693,4902,611,1391,1386,974,6362,408,0,3097,137,384,6146,0,5023,7684,2937,1003,2094,444,680,267,0,0,0,0,1343,70,35,440,50,0,374,161,190,96,0,548,450,1220,1344,0,585,360,32414,831,141,291,0,0,0,477,522,0,284,2085,4402,21508,38908,32883,317,1401,209,1481,1181,122,1886,1396,534,0,53,491,0,0,0,0,0,0,0
동해,232,0,694,264,659,25,1512,745,3237,52,223,66,509,11560,0,0,3110,8,1830,7819,91,21770,25952,9143,2530,2014,0,386,109,0,42,2,1033,2656,38,816,22,327,0,3946,2123,0,0,0,353,179,7,1244,0,0,0,104913,360,0,0,0,0,0,190,357,650,0,4811,21084,40916,60,103899,1968,6843,1357,16742,1086,266,2361,1333,0,0,0,0,0,0,0,0,0,0,2028
강릉,432,0,309,178,0,0,984,1158,9755,0,0,397,1136,32889,0,68,13004,0,1802,4598,0,22613,46647,14224,2133,4727,0,118,434,35,0,0,0,0,10,60,0,0,0,5130,2459,1080,0,0,0,0,0,853,0,288,0,217121,18,0,12,0,120,0,92,579,0,551,6359,41490,35297,98847,103099,1173,3576,1057,23875,3282,460,6903,4822,0,666,0,0,0,0,0,0,0,0,3396
정선,118,0,0,0,0,0,0,42,189,0,0,0,0,0,0,0,0,87,770,12953,26,15654,583,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,49,0,0,0,0,0,0,305,0,0,0,42818,0,0,0,0,0,0,0,0,0,0,7,563,321,1750,1422,115199,4363,1946,4996,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0
