0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동안,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
진해,4389,259,0,181,9,0,12,0,0,495,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,360,0,0,0,0,235,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,16489,17943,0,0,0,0,0,0,0
하양,274,98,0,136,59,0,72,24,0,73,0,3,498,1150,818,45503,0,0,0,0,0,0,0,0,0,240,54,251,3272,7811,5963,2923,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,299,90,1409,304,508,590,0,0,0,0,0,0,196,10,8712,26073,1827,36231,0,523,0,0,0,0,0,0,0,0,0,0
진영,4827,3043,0,4081,492,0,1229,569,179,2087,97,132,443,1928,359,29404,6469,15341,9161,5396,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,41,24,35,192,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,16900,0,0,0,0,0,0,0,481,2781,9048,2675,6096,660,201,174,62,64
창원,25098,14897,0,23269,2790,0,7682,2295,558,8836,276,1002,2286,8283,1063,140041,31715,101901,7362,1597,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,182,59,56,674,0,0,0,0,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,7554,0,0,0,0,0,18178,0,3018,154,433,9309,15425,4167,560,875,75,168
마산,32345,22855,0,23572,5893,0,7797,2664,694,9337,295,1164,3051,6405,1062,95163,31294,82329,7567,1462,0,0,0,0,0,0,0,0,0,240,0,0,0,38,0,0,0,0,262,71,95,934,0,0,0,0,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,400,330,0,0,0,0,0,0,9498,0,0,0,0,0,13955,0,10030,644,604,36716,41534,6909,1192,973,97,242
함안,2636,1578,0,1404,176,0,333,185,48,505,23,96,161,381,109,6979,1513,3211,2107,1386,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,40,12,0,152,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,4237,0,0,0,0,0,0,0,2753,9775,37187,2058,21009,734,310,126,37,83
진주,3883,2767,0,3404,2421,0,2160,2417,82,983,52,152,1403,1693,496,10193,6566,11400,6059,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,154,762,0,280,0,1877,298,95,1156,893,23,104,245,8874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,9244,44,436,471,0,0,0,0,5211,14260,34650,20206,14571,42082,4831,1720,356,820
하동,1780,868,0,568,61,0,144,29,0,64,0,0,0,0,0,0,0,230,1247,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,215,0,400,24,22,190,84,0,15,7,6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,0,0,0,0,0,0,0,698,4231,6936,686,42804,2036,1619,621,136,198
광양,3461,2736,0,1214,196,0,250,121,0,311,0,0,0,0,0,0,0,138,291,175,0,0,0,0,0,0,0,0,0,0,0,0,0,30,142,0,0,0,242,211,128,754,251,13,76,15,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,250,0,0,0,0,0,0,719,0,0,0,0,0,0,0,154,552,888,287,3969,2278,317,1463,451,207
보성,15876,14539,0,8168,1176,0,1495,640,0,1705,0,0,0,0,0,0,0,177,1091,694,0,0,0,0,0,0,0,0,0,0,0,0,0,689,1518,625,566,215,13800,1402,469,2145,0,0,0,0,39615,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,2871,0,0,0,0,0,0,0,170,496,654,83,998,510,983,42957,38319,41226
화순,2040,1889,0,1121,139,0,319,152,0,375,0,0,0,0,0,0,0,37,223,189,0,0,0,0,0,0,0,0,0,0,0,0,0,268,480,129,125,83,1573,547,1015,6073,0,0,0,0,4444,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,38,73,86,31,377,75,270,33771,1346,2872
광주,630395,61204,85370,53756,9158,13610,13317,8274,835,74982,0,0,0,0,0,0,0,58,185,48,0,0,0,0,0,110,0,0,0,0,0,0,4360,21907,67397,19959,13968,5342,2134,2907,13520,78231,0,0,0,0,5023,1438,26,9,13,49,0,266,0,0,0,0,6601,0,0,0,0,1366,0,0,0,0,826,0,0,0,0,0,0,0,0,0,9,17,1189,2312,0,0,26,13,153,2592,835,0,0,0,0,0,0,0,37,105,259,48,716,159,213,52052,4579,1245
