0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
안성,87,44,161,0,64,7,15356,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,3,0,100,117,59,16,0,34785,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,430875,2749,5499,3850,1554,197,262,361,0,0,0,0,0,2,0,2,9,0,840,1,0,0,0,0,0,240,0,0,600,0,0,0,2,0,0,0,0,0,0,0,0,4464,4507,0,18,15,17,2060,2,0,40506,2218703,1165,1447,31052,125,5401,43,162372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,360,0,0,0,0,0,0,2
문산,2332500,10622,31320,9732,8418,242,23,0,0,0,0,0,0,589,0,0,8000,0,9000,720,0,0,0,250,0,0,0,1,0,4,0,0,0,1,600,0,0,0,0,0,0,14790,18809,0,2,18,7,963,5,0,2339161,743037,1,332,1022,3,0,0,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,2010,0,0,0,0,0,0,0
청량리,0,0,0,0,0,400,0,1,0,0,0,0,0,75,0,0,465,156466,609489,642090,16513,375942,420201,297243,37058,10427,0,0,0,0,0,0,0,0,0,0,0,0,0,672,29,0,0,0,0,0,0,0,0,0,565,0,3505,0,0,71,58387,474319,557,0,3,123,0,0,22232,62185,43813,50704,71711,67305,8740,119186,238236,1806,1676,22858,17367,27,0,0,0,0,0,0,0,0,0,0
성북,4912,0,0,0,0,0,0,0,360,0,0,0,0,0,0,1,360,0,50,0,0,0,0,0,0,0,0,360,16,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,330,165,17930,678801,429224,543952,938184,25111,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의정부,1403,960,0,90,0,1680,0,0,0,0,0,0,0,1228,0,0,1200,20,5162,1330,6360,122,0,0,0,216,0,0,0,0,0,840,0,907,0,0,0,0,0,0,2520,1680,240,0,0,600,0,0,10,0,29090,819,0,482879,889189,603426,30153,22620,18967,0,0,0,0,0,0,0,2,0,0,0,0,1,8,360,0,0,648,240,0,0,0,0,0,0,0,0,0,0
신탄리,372,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10809,1561,120,0,0,0,216,600,3390,0,0,0,360,600,0,0,0,0,0,0,0,1440,1980,55,0,158,0,0,0,0,600,62,21,160,305159,619618,594409,2778,6552,12,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,720,0,0
청평,3096,121,720,6,0,0,0,0,0,0,0,0,0,0,144,0,10,0,0,1,0,2,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,0,0,3128,0,124164,480728,30090,2589,261528,239344,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,216,0,0,0,0,0,0,0,0,0
춘천,49,0,864,1,0,3600,0,600,39,0,0,0,2,7,0,0,362,0,0,0,0,0,1,4,0,960,0,240,481,0,0,0,427,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,6,0,599966,721296,20059,3894,259878,401737,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,2,0,5,0,120,0,0,1,0,360,0,600
일영,102181,82,525,380,75,2,0,0,0,0,0,0,0,0,0,16,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,112113,3643,1666,25856,15565,74,73,59,7571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0
