0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
목포,233605,116,122879,1783,78325,11515,18523,15705,54060,0,0,0,0,0,0,481,17341,0,0,0,0,0,0,0,0,0,16559,46758,38197,16548,157869,19330,26028,50,0,9,0,6843,1353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,4091,193,2766,313,1000,2635,10446
전주,202995,0,132142,0,92365,19801,31219,17154,45439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12240,96261,0,0,0,0,1,13704,5762,30413,12942,72740,75606,0,388,0,0,0,0,468,0,0,0,381,0,0,0,0,0,0,0,0,0,346,69068,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1364,118,267,332,0
임실,21831,0,17521,89,8851,1297,1473,810,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,10003,0,0,0,0,0,7505,169,601,399,3069,2985,0,139,0,0,0,0,62,0,0,0,34,0,0,0,0,0,0,0,0,0,22,1986,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,42,19,6,0,0
남원,107790,0,60426,0,36314,5172,7512,4736,17007,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,5275,44836,0,0,0,0,0,30723,1253,409,1669,27789,32429,0,143,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,127,10,52,0,0
구례구,63484,0,32639,0,19641,2248,3390,2129,8645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2169,8781,0,0,0,0,0,11482,527,1281,349,6753,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,99,33,19,0,0
순천,184509,0,99647,0,71819,10775,17316,12367,39190,0,0,0,0,289,0,717,10480,0,0,0,0,471,0,0,0,485,12140,42678,1450,232,2445,1294,6396,73874,3303,30355,8181,437,23358,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5819,0,0,0,30,0,0,0,0,0,0,0,0,0,19,0,261,4136,791,7158,5870,2999,33029,5351
여수,139659,0,61881,0,50565,6678,13657,10881,35875,0,0,0,0,0,0,0,1,0,0,0,48,577,0,0,0,0,9556,37828,0,0,324,220,1108,75855,3355,33511,17813,25766,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3104,1258
청주,13767,0,10806,144,4327,681,1177,22717,28936,0,432,1,0,1,2,0,0,0,0,34,2741,184468,8271,2830,0,280,82,55,354,6,0,0,0,0,0,1,0,199,0,20124,60109,360,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,83,0,24,148,1371,6539,244,505,83,2269,0,461,0,753,0,0,0,0,0,0,0,0,0,0
충주,18272,0,4816,0,2431,1148,2313,46595,80900,0,0,0,0,0,0,0,0,0,0,0,490,60463,3345,1394,0,203,223,204,46,201,181,0,0,28,139,143,0,0,0,59574,8197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,4,111,558,2447,110,132,22,831,0,147,0,273,0,0,84,128,3,0,0,0,0,0
부평,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,93,0,0,52,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
