0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,태화강,여수엑스포
경주,604325,1152,119532,42797,77,24882,186,0,0,100695,18,294,280,2448,0,20674,0,106,1159,524,59,725,59,1456,3,1812,1081,657,3166,7933,2471,36858,0,0,162,0,0,38,0,0,0,0,0,0,0,0,142,6765,0,0,0,0,0,0,0,0,0,0,4328,0,0,1980,0,0,0,0,0,0,0,0,0,0,0,369,214,149,745,112,237,1096,0,0,0,0,0,0,132737,28386,3643,3076,54618,0,24518,125,419,322,43,236,19,425,0,0,146,168551,0
안강,924,480,0,676,162,0,257,0,0,564,0,0,121,363,0,191460,0,21,865,97064,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,370,4032,0,4025,0,496,8,20,18,0,10,1,3,0,0,0,1799,0
포항,7197,4469,0,6362,1087,0,2290,23,670,3403,54,534,1857,2643,0,7216,0,0,35,6,0,0,0,0,0,566,212,0,702,676,37,3772,0,0,0,0,0,0,0,0,0,0,0,0,345,0,122,95,18,9,0,0,0,0,0,0,385,0,0,0,0,0,165,93,259,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,6,0,0,0,0,12233,3778,59526,4129,186,0,6593,167,927,322,61,386,35,21,350,0,0,7818,0
진해,4031,241,0,234,150,0,125,406,9,473,56,116,151,196,0,47408,0,87,1142,602,0,0,0,0,0,892,2,65,526,394,132,0,0,0,0,0,0,0,175,0,0,0,0,0,3,757,196,119,94,23,659,0,0,0,0,0,345,0,0,0,0,0,290,47,2,0,562,204,333,217,146,107,0,87,127,110,0,0,134,371,39,35,200,30,152,149,0,0,0,0,0,0,0,781,13059,0,0,0,0,0,0,196,381,0,970
하양,1088,785,0,1375,166,0,314,0,0,889,0,0,1539,3054,90,27779,6081,8674,0,0,0,0,0,0,0,0,0,0,2558,7850,4790,4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,195,134,851,248,505,561,0,0,0,0,0,0,5486,2319,25037,500,9104,0,0,0,0,0,0,0,0,0,0,0,0,25433,0
진영,28496,1126,6994,2180,456,0,610,395,154,7661,49,101,466,1141,0,81107,0,0,0,0,0,0,0,0,0,0,0,0,41,191,0,0,0,0,0,0,0,0,91,139,42,235,0,0,0,0,990,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9843,225,186,9,191,740,0,409,10528,5819,1721,5463,1320,309,108,33,39,109,0
창원,312940,3918,82136,6804,1985,6585,1932,1233,1074,56584,170,1054,2145,5267,231,48603,12582,29410,6388,1893,0,0,0,0,0,0,0,0,45,200,0,0,0,0,0,0,0,0,79,34,21,363,0,0,0,1014,4009,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,32,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,12189,1434,934,17,1075,6148,0,13932,3449,4309,8682,19080,7280,1611,422,301,84,223,0
마산,185255,3059,43446,5732,4249,4429,1603,848,175,31005,177,622,1443,2202,832,199313,51349,140541,20288,2230,0,0,0,0,0,632,92,0,194,34,0,0,0,0,0,0,21,0,82,66,57,451,0,0,0,0,6122,1301,0,0,276,0,0,0,0,0,0,0,0,0,398,0,0,0,99,0,0,40,0,0,0,0,0,0,0,0,64,0,46,0,0,0,52,0,0,375,7611,1911,605,16,465,0,0,6051,4269,309,15512,36434,12852,1442,540,20,29,164,0
함안,981,561,0,662,104,0,181,113,25,211,27,62,124,180,565,73369,30985,49687,6851,1188,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,22,0,22,6,0,138,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,41,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3532,80,65,0,82,0,0,2011,9346,16259,2040,16616,1990,328,76,26,24,69,0
진주,418,293,0,361,136,0,236,90,13,292,17,146,243,357,76,1383,439,857,2613,789,0,0,0,0,0,0,0,0,627,636,0,0,19,152,183,0,64,0,108,47,28,749,100,0,63,433,13878,0,0,0,0,0,0,57,149,141,0,0,0,0,0,0,0,0,210,0,0,357,0,177,121,72,0,0,0,0,75,0,213,0,0,0,0,0,0,238,13480,166,293,5,433,0,0,5256,19443,34339,15813,22819,50281,4929,793,63,59,302,0
하동,53,54,0,64,13,0,34,8,1,119,12,64,19,63,194,1214,1901,3554,8274,3186,0,0,0,0,0,0,0,0,4,12,0,0,12,221,0,0,706,0,89,19,28,305,0,0,0,0,8881,0,0,0,0,0,39,99,163,94,0,0,0,0,0,0,0,0,81,0,0,50,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3616,12,22,0,25,0,0,1263,7965,11720,1580,50306,3893,1786,205,48,95,80,0
광양,1,2,0,2,1,0,1,1,0,191,0,13,20,85,28,747,293,541,1987,756,0,0,0,0,0,0,0,0,0,0,0,0,15,148,0,0,0,0,82,87,46,217,0,0,0,0,2929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,587,35,427,2,17,0,0,273,1200,1240,288,4579,1930,119,335,152,52,43,0
보성,10838,8999,0,5340,782,0,1182,401,192,1388,0,0,0,0,12,583,169,106,229,109,0,0,0,0,0,178,21,0,33,33,0,0,157,719,1076,355,332,212,12658,207,127,562,0,0,0,0,26205,0,0,0,153,0,1,110,237,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,883,0,0,0,0,0,60,971,0,0,0,350,0,0,115,233,358,50,372,237,442,12237,18756,27106,13,0
화순,1727,1545,0,1148,147,0,240,115,58,342,0,0,0,0,0,1633,0,39,293,180,0,0,0,0,0,0,0,0,0,0,0,0,55,158,395,105,199,92,1286,154,134,1191,0,0,0,0,4500,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,196,0,34,34,28,32,351,82,156,15941,306,1193,0,0
광주,524296,34948,112133,41291,9973,28209,8486,7251,384,70118,0,0,0,0,0,0,0,11,76,54,0,0,0,0,0,928,25,4,45,85,0,0,5819,17330,75674,19871,17268,4702,515,2259,3256,23792,0,0,0,0,3088,2649,0,0,16,0,0,0,0,0,0,0,10827,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,196,480,150,0,146,0,0,381,0,54,13,14,12,139,186,51,27856,2024,104,0,0
태화강,941850,0,212902,60455,0,120610,0,0,0,202200,0,302,0,11808,0,0,0,6,27,10,0,661,11,2635,22,4165,3238,2123,7831,12880,5206,25232,0,0,0,0,0,0,0,0,0,0,500,0,0,0,211,13922,0,0,0,0,0,0,0,0,0,0,10227,0,0,4153,0,0,0,0,0,0,0,0,0,0,0,1238,828,444,4283,333,874,2154,0,0,0,0,0,0,401134,68555,169306,2023,8984,0,24521,142,237,192,50,347,94,48,13,0,0,7646,200
여수엑스포,82352,37298,3663,45112,8566,1280,16391,8018,2267,37500,0,0,0,0,0,342371,0,123,988,137892,0,0,0,0,0,0,0,0,0,0,0,0,1540,6784,63552,0,0,0,0,0,0,0,82717,4657,23902,32150,79461,0,0,0,423,72,146,171,3,0,347,0,0,0,0,0,64,85,301,0,0,0,638,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,108,5,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,200,1287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
