0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
옥천,23481,21350,0,17207,5460,0,15313,8239,5835,44033,582,15502,6946,6108,1200,11655,1361,459,2602,5001,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,437,0,72,0,0,33,113,156,36,16,3,0,0,0,0,0
영동,64457,52945,0,38261,8247,0,19946,9889,8681,298460,14366,7886,27307,22695,3489,42670,3504,1900,9153,18835,0,0,0,23,0,0,0,46,0,0,0,32,0,0,0,0,182,159,311,0,14,174,0,0,0,112,288,450,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,231,245,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,29,108,0,2,88,19,166,650,832,25,77,13,21,0,0,257,848
김천,112723,55810,5846,51326,8837,841,23447,10500,5243,129014,7274,28716,2,175507,26209,390099,30935,3980,22969,40217,24,120,0,0,0,0,0,0,6662,0,0,1740,0,0,0,0,2,0,0,140,0,39,0,0,0,0,141,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,3,115,2,0,0,0,0,0,14976,8355,3894,0,54,8,6,55,5,295,632,0,0,0,0,0,0,2689,364,2837,135,1931,0,3677,592,2981,2665,70,420,23,46,0,0,0,5768
구미,243311,82218,26059,113707,17611,4030,42289,10802,6635,191399,5942,22789,163766,71,61771,1183033,131222,14184,78330,137631,0,0,0,0,0,0,10,0,4113,0,0,6246,0,0,12,0,0,0,0,234,0,55,0,0,0,0,438,0,87,0,0,0,0,0,750,0,0,0,0,281,0,15,0,0,0,0,0,0,0,0,0,18632,8583,4231,144,2,3,9,101,73,387,961,0,0,2,0,1378,0,8865,1237,4974,317,2366,0,6219,1745,6325,4255,158,432,45,80,0,0,0,10036
왜관,20800,13705,0,14426,5197,0,6413,3560,1475,26979,1273,4111,29005,61197,339,491303,74565,4369,19493,27187,0,0,0,0,0,0,0,0,955,0,0,483,0,0,19,0,37,0,0,52,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4499,2991,974,0,2,0,2,21,6,101,615,0,0,0,0,0,0,1049,49,586,0,0,0,227,393,957,860,59,273,309,17,0,0,0,847
동대구,3551272,112257,774152,240472,49263,296203,61912,27737,12542,713358,9979,40747,388914,1212562,494956,34729,501335,227879,520136,1218681,0,0,0,0,0,1078,37,0,12611,6830,11634,192500,0,0,252,1626,731,360,0,0,0,77,0,0,0,927,1895,0,5187,0,0,0,0,0,0,0,0,0,0,45896,0,227,60,0,0,0,0,0,0,0,0,33098,20154,6677,432,1262,1393,1388,8218,2184,4444,13451,432,0,448,0,2097,680,42647,16464,150906,16535,136406,24943,60139,39848,149094,65199,860,2141,1329,98,2314,0,0,157590
경산,25100,16821,0,23262,5357,0,7150,4387,6426,20337,1293,3155,31311,136382,78410,512200,97058,87700,160201,188099,0,0,0,0,0,0,2,0,939,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5544,3422,1149,0,9,5,0,18,15,34,311,0,0,0,0,24,36,13525,0,0,0,0,5924,0,10617,43679,29299,388,2100,549,171,0,0,0,0
밀양,400107,6551,81853,12565,2940,28175,3366,2284,624,58681,366,2125,4803,16810,5047,228047,82514,59903,367421,370512,0,0,0,0,0,0,68,21,608,0,0,0,0,0,0,53,0,0,123,2,5,74,0,0,23,0,768,0,146,0,0,0,0,0,0,0,0,588,0,1284,0,0,0,0,0,0,21,0,0,0,0,866,569,222,0,3,1,0,45,4,24,416,0,0,0,0,0,37,29188,54,22,0,43,26654,0,30812,195871,83893,1360,4981,674,143,85,30,20,85
구포,716540,25504,181978,47623,10101,90024,13319,7268,2189,216158,2442,9342,23598,82587,21874,493208,160288,396761,49637,59078,0,0,0,0,0,0,175,0,2289,0,0,0,0,0,0,165,0,0,77,37,38,295,0,0,266,216,2141,0,639,0,0,0,0,0,0,0,0,102,0,6567,0,0,0,0,0,0,0,0,0,0,0,6556,4873,2313,0,12,17,7,143,58,67,1280,0,0,0,0,55,0,32324,627,820,9,253,0,0,9304,9621,7672,2530,9780,2041,297,424,81,57,352
부산,3364136,55971,651279,142624,22995,310191,25160,16271,4465,704580,4420,18800,43112,153931,32487,1182821,202329,391574,61698,459,0,0,0,0,452,22,62,0,3634,0,0,0,0,0,0,18,0,216,14,5,12,57,430,0,53,15,760,0,16451,0,0,176,0,0,0,0,0,6,0,42964,0,558,0,0,0,0,220,0,0,0,0,14562,9430,4203,576,37,42,34,3064,84,224,4152,0,0,0,0,4469,6,180,443,15230,0,67,0,0,2329,1033,615,727,3106,556,474,202,56,379,17916
