,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
인천,0,0,477,0,421,8317,743,168,384,1,32,24,8,165,1,12,529,0,48,0,0,0,0,0,0,0,3652,65,118,13,46,30,379,67,2,7,17,20,22,0,0,0,0,0,388,2336,1711,420,821,0,5329,22665,0,0,421,7,0,35,1099,0,0,0,0,0,0,0,0,0,1167,0,0,0,0,0,0,0,0,1,1,0,0,98,0,12,3,0,0,0,526
송도,0,0,0,0,129050,65,312,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,674884,5,21,40,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,74711,5098,76497,13349,26919,26368,121168,292,645,3,5,3,2,38,3,1,47,0,0,0,0,14,0,0,0,0,1409,1910,163,2,5,0,0,289,94,1,0,2,1,2,2,2084,2334,6,161076,213621,52779,31575,30229,16,44,298,1,0,13,1,0,7,7,0,2,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
예산,168226,9267,176061,29951,48359,27713,212940,344,1260,5,0,7,2,13,0,3,55,0,0,0,2,19,0,0,0,0,3326,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4469,9265,0,201230,231605,233963,61707,43316,4,7,111,0,0,6,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0
홍성,196671,8371,155008,22152,41492,27650,126875,319,1451,0,2,18,0,54,0,0,27,0,0,1,0,1,0,0,0,0,1348,375,0,0,1,0,0,0,0,0,0,2,0,1,0,3191,6861,0,46070,234975,409667,260895,106924,2,6,40,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
대천,189771,4192,88498,9340,30954,18369,87300,146,605,0,0,2,0,268,0,0,289,61,0,0,0,0,0,0,0,0,0,400,0,0,120,87,0,0,0,0,0,0,0,0,0,1387,1614,0,30958,63313,252864,419341,325155,0,41,47,281,0,284,0,0,230,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,45,0,40
장항,187214,4571,109642,14700,30359,18270,32165,52,73,0,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,1385,3086,6,44369,52864,107818,326370,416722,0,11,20,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
안성,287,40,389,70,119,22,84802,525,134,1,0,0,5,2,1,1,15,0,0,0,0,0,0,0,0,0,1602,6,5,0,23,21,289,0,1,0,0,0,0,11,0,28,80,0,359,339,245,110,5,165244,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
수색,1333391,1551,5639,1993,527,386,243,4,8,0,0,6,0,7,0,1,92,0,0,371,0,0,0,1,0,0,3940,11,10,0,0,2,6,4,1,0,0,0,0,0,0,4761,5876,0,136,181,236,135,164,0,853613,2383698,227,2574,35430,221,365,3,222703,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
문산,2537821,5326,15737,2494,2330,1443,441,28,121,0,0,0,0,3,0,0,15,0,0,0,0,0,1,0,0,123,1613,7,9,3,9,0,10,0,0,1,0,0,3,0,0,16734,35698,0,295,119,165,46,78,0,2403772,1364927,0,1,2553,37,2,14,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,3
청량리,1845,21397,1825,1,0,0,1,0,0,0,0,0,0,703,0,0,7067,156721,695685,736272,20337,451199,422452,339246,40963,325896,8837,0,3,0,0,0,0,0,0,0,0,0,0,0,452,0,436,0,0,0,1,1,1,0,455,0,9524,5896,35630,4604,905656,1570934,12738,1,42,200,3,0,24327,69549,35475,73001,125616,51718,10607,132080,192510,1028,3153,22643,32508,1332,0,0,0,0,0,0,0,0,0,0,106
성북,2216,14895,0,0,0,0,0,0,382,0,0,110,0,321,0,0,801,1495,339,325,0,4,21,2,2,0,0,15,5,4,1216,0,72,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3,2,0,2428,13,41199,63935,950025,717755,280351,134113,40312,0,0,0,0,0,6,0,0,425,0,3,0,5,3,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0
의정부,5871,5100,854,150,249,38,16,5,5,0,0,0,0,3,0,0,2,2,48,91,4,17,3,1,9,381,1929,253,18,1,1853,4,8,1,12,3,0,4,0,0,0,262,553,0,11,39,25,263,21,0,32663,2639,131596,1164461,811744,441215,30945,15678,42578,0,1,0,0,0,0,1,0,865,7,2,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141
신탄리,110,993,717,244,254,6,2,0,0,0,0,1,0,0,3,0,7,0,7205,19,0,7,2,3,0,0,0,1,0,5,1,1,6,0,0,0,0,0,0,0,0,891,478,0,7,6,4,0,1,0,62,37,42875,781434,464407,594886,1475,6688,59,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1
청평,0,1700,2,27,41,0,0,0,0,0,0,2,0,0,0,0,191,9,91,57,1,21,9,27,1,2,0,1,1,0,65,0,5,0,0,0,2,0,0,0,1,71,36,0,0,0,0,0,0,0,12,6,1106680,254376,42522,2359,599624,302122,79,1,0,0,0,0,2,0,0,0,0,4,0,9,2,0,0,0,50,0,297,0,0,589,0,0,0,0,0,0,2
춘천,79,7030,0,0,0,0,0,591,0,0,0,1,0,644,0,1,111,2,25,16,110,7,7,171,2,571,1665,1,4,0,354,0,0,0,0,0,0,0,0,99,1,0,0,0,0,5,0,181,0,0,0,0,1615004,183428,18295,3438,293629,644825,9,0,0,0,0,0,0,0,0,3,108,2,0,268,5,556,0,2,1,0,39,0,0,143,0,0,0,0,0,0,340
일영,217135,8139,539,1061,69,54,44,0,5,0,0,0,0,3,0,0,7,0,11,9,0,6,2,0,0,1,2,2,1,3,0,0,8,1,0,2,0,1,0,0,0,494,1332,0,11,20,6,413,27,0,222866,5111,11309,56739,59740,518,169,250,49504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,3637,342,763,3,267,3,66,6,435,21,296,210174,29298,72872,0,0,549,0,1,247,9,1851,18895,4,0,0,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217969,146610,12101,25266,0,68,414,32,71,2203,0,0,5,7,0,0,0,307912,0,0,0,0,0,0,0,0,0,0,0,0
점촌,6137,633,902,20,189,10,84,18,528,7,59,141140,25231,97170,18,19,4345,6,16,224,3,3354,45015,30,2,16,0,1,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,142775,75956,83817,559391,0,189,1978,206,216,1749,1,0,86,18,0,0,5,3331,84,0,0,0,3,0,1,0,0,0,0,0
