,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
인천,0,0,0,0,25,8720,166,40,27,0,17,13,8,157,0,18,141,0,0,0,0,0,0,3,0,0,2681,30,16,6,7,5,31,23,3,6,17,10,15,0,0,0,0,0,156,463,342,60,90,0,6534,39401,0,0,0,0,2,0,750,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,126,0,0,0,2,20,0,8,0,0,0,0,23
송도,1,0,0,0,112366,524,436,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,608397,6,33,63,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,87490,4895,100061,0,30586,32930,127786,679,853,2,1,5,0,3,0,3,2,0,0,0,0,0,0,0,0,0,128,3067,1340,0,0,0,0,546,0,0,0,0,0,0,3,338,421,0,158523,219172,56512,43645,33155,8,23,47,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,144384,9825,179439,2,73859,30902,231298,125,1052,8,3,2,0,27,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,2,1364,3221,0,205982,178385,232580,67785,45157,0,2,5,0,0,730,0,0,950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
홍성,178501,8437,169739,6,68647,24763,150050,125,1210,0,0,0,1,9,0,0,32,0,0,0,0,0,0,0,0,0,723,779,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,2032,0,53188,240287,424921,254271,90822,0,0,4,1288,0,670,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
대천,217117,5152,125102,16,53729,24109,127087,9,566,0,0,0,60,476,0,32,334,0,0,0,0,1,0,0,0,0,822,0,0,0,89,44,0,0,0,0,0,0,0,0,0,1666,416,0,52276,68856,245901,362454,344470,8,1206,25,0,0,1565,0,0,118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
장항,181033,3162,120221,7,43270,17269,40552,3,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,350,0,0,0,0,0,0,0,431,582,0,44994,57919,89363,329903,297262,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
안성,105,278,710,7,225,129,60190,502,179,6,1,6,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1025,9,4,2,17,22,117,0,0,1,0,3,0,5,0,32,16,0,433,243,207,103,2,141879,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
수색,639313,3143,5755,3256,2053,426,102,2,0,0,0,0,0,1592,0,0,4548,0,0,0,0,0,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4650,6642,0,58,63,80,395,53,0,3321267,2370437,0,3809,46774,317,5,22,197805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0
문산,2802865,7848,26119,6990,6794,1113,141,5,3,0,2,1,0,3968,0,3,4645,0,128,400,0,0,0,200,0,504,801,3,0,0,0,1,0,1,0,0,9,0,1,0,0,23327,49015,0,81,55,63,93,27,0,2460781,1302893,0,33,2685,50,0,1,4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,619,0,0,0,0,0,0,0
청량리,1,110,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,5681,183896,749788,735574,20052,411083,409103,302328,43559,22833,0,2,0,0,0,0,0,0,0,0,0,0,34,0,20,0,0,0,0,0,331,2,0,0,0,0,1312,212,1161,210,12469,161048,620,0,13,40,1,0,18170,62010,39568,54432,93810,59393,9672,132059,224003,428,3112,20402,32015,1187,0,0,0,0,0,0,0,0,0,480
성북,4079,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,128,112,0,0,0,0,0,0,8551,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917,25,0,51464,841922,573164,763418,1062428,70274,0,0,0,0,0,0,0,0,100,0,0,0,3,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
의정부,2711,100,25,0,357,20,0,0,0,0,0,0,0,0,0,0,0,12,1057,2654,0,13,1,1,0,300,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,0,910,0,0,0,0,219,0,0,42838,1836,1030,569682,1180749,558315,65637,31678,50699,0,0,0,0,0,0,3,0,1420,903,3,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신탄리,42,46,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,6,2709,956,1,4,1,0,0,200,0,0,0,0,0,0,0,2602,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,58,67,244,371352,610240,654513,4048,9790,27,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921
청평,30,0,0,2,800,0,0,0,0,0,0,0,0,339,134,0,546,0,15,6,2,4,0,12,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,269,2,0,0,0,0,0,0,0,120,0,20181,615031,66518,4191,589241,358121,74,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,1,0,26,0,442,0,0,0,0,0,0,0
춘천,0,297,0,88,356,240,76,0,0,0,0,0,0,0,0,100,2,0,5,0,0,0,0,0,0,305,1080,2330,0,0,0,0,0,0,0,0,0,0,0,380,2760,0,0,0,0,0,311,128,0,0,4,0,224192,934438,29369,7087,359550,684763,4,0,0,0,0,0,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,252,0,30,0,0,0,0,0,0,634
일영,216452,328,655,490,178,4,1,0,0,0,0,0,0,0,0,0,0,1,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,2,9,7,0,0,0,185415,4777,3535,76097,67085,283,166,228,37378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
