0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
영동,80695,0,64429,670,39053,6662,14553,9800,182842,1160,1881,19482,19366,44979,3790,1669,44233,0,0,0,0,0,3,0,0,39,1029,42,23,8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,4,5,3,0,78,0,0,0,0,0,0,0,0,0,512,68,320,178,81,450,31,3781,74,200,0,0,0,0
김천,161954,23,97939,1127,73263,12711,25430,18037,141767,3171,19889,2541,48367,356127,76421,5660,116580,0,0,0,0,0,7575,0,0,2150,377,269,603,19,0,0,0,0,0,0,0,0,0,1,0,0,0,222,229,0,221,0,0,186,138,0,27,0,0,23,0,12554,14674,4303,0,487,24,64,23,155,757,0,0,0,334,2323,89,4021,2844,3864,0,919,13317,210,1935,0,0,0,0
구미,321555,1194,193040,1183,160597,21953,44027,22791,162445,4812,19566,47415,49633,845310,168942,25496,370030,0,0,0,0,0,8979,0,0,11495,307,1887,563,26,0,0,2,0,0,0,0,0,0,980,0,0,0,0,375,0,340,0,0,370,0,0,0,0,0,2,0,6151,9374,6258,0,596,13,185,90,363,2302,0,0,0,254,10185,144,12328,7907,10980,0,3271,28129,734,4272,0,0,0,0
동대구,1406182,1254,603279,3884,477530,74346,142828,61344,456800,9655,44846,362915,865120,914,171251,243612,2159910,0,2,4,0,3509,16684,19078,15430,156192,964,1468,1635,281,0,0,0,0,0,0,0,265,0,0,0,0,0,0,3,0,0,0,0,1,1,0,290,0,0,298,0,43583,44039,8684,0,214,3247,21305,2816,7408,22377,258,0,0,0,51221,3104,18819,103738,279186,0,17091,115553,3184,9317,539,0,501,0
청도,85460,303,48934,354,37148,6233,11616,8441,47293,1089,4004,76361,166854,171082,20803,49775,454886,0,0,0,0,0,1813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637,6165,1987,0,0,0,0,0,0,1,0,0,0,0,1107,0,0,0,0,0,4292,46645,430,2013,246,0,20,0
삼랑진,74219,227,34994,268,27477,3177,7426,4898,27500,532,1799,6639,25676,245191,44989,52899,963355,0,0,0,0,0,734,0,0,0,0,0,0,0,91,79,404,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,31,0,646,962,237,0,238,3,164,13,56,556,0,0,0,0,4230,1,0,0,0,0,4648,39729,1756,9897,655,147,778,68
부산,1840323,1780,657821,3462,551713,74929,187368,94965,582713,10603,45880,119998,370268,2125728,454270,978413,76650,0,1142,4942,0,5062,19204,7055,1614,1976,0,90,0,288,1957,1398,16748,0,0,0,0,8365,0,0,0,0,0,315,104,18,0,0,0,0,2059,0,1803,0,0,1334,0,22666,25683,11756,0,4254,1539,12469,685,2233,13432,0,0,0,0,46092,85292,64491,52699,12463,576,39429,49738,14158,19916,7563,2381,9271,1254
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5201,6675,3416,56,652,392,414,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47585,0,0,0,0,0,0,0,0,0,0,0,0,1,22,30,561,49,75,6,713,24,280,14,50,0,0,0,0,0,0,0,0,0,0
양평,0,144,0,144,0,0,0,0,0,0,0,0,0,0,0,0,1395,9549,9726,51853,40,7516,3322,3816,109,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,358072,0,288,5614,504,0,144,0,0,0,0,0,27,149,198,1513,2691,555,933,152,4389,906,110,759,416,864,0,0,0,0,0,0,0,0,0
원주,371,0,0,0,0,0,0,0,938,0,0,0,0,0,299,0,5800,2678,43172,17010,271,30286,24006,16230,344,1400,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,432,0,0,0,0,0,0,18,0,356393,0,0,72,72,0,0,0,0,0,0,0,66,1258,3841,3174,11069,9222,14209,3967,63094,4392,550,4190,1762,2088,0,0,144,0,0,0,0,0,0
봉양,105,0,0,0,0,0,0,257,158,0,0,0,0,0,0,0,0,47,125,714,19,597,516,139,22,39,0,0,0,0,0,0,0,64,0,0,0,0,0,2731,499,0,0,0,0,0,0,0,196,60,3679,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,0,1,0,24,288,30,302,74,0,0,0,33,0,0,0,0,0,0
제천,1832,0,3189,0,5521,2504,7558,48362,85891,0,0,0,0,3490,0,0,6601,456,4718,25970,281,4422,39760,28310,1080,2462,116,177,56,25,0,0,0,386,0,0,0,0,0,171835,58331,0,0,0,161,305,92,66,0,0,182825,0,0,0,0,0,0,0,0,0,231,192,74,1186,3660,11734,19194,12891,7844,4030,55813,8294,1272,10547,4136,0,0,0,852,0,0,0,0,0,0
영주,1613,0,2226,0,5585,2135,4979,522,1974,7,2,8568,8122,16402,1596,607,18001,156,3571,21971,302,41311,2328,48247,5547,10304,0,0,0,0,0,0,0,0,0,46,0,0,0,8563,2723,0,0,0,0,0,0,0,120,0,198173,0,0,0,0,0,0,3607,2868,754,0,0,9920,25149,3304,11234,19020,111,30,94,3304,6228,927,16033,8575,0,0,0,0,0,0,0,0,0,0
안동,643,0,607,0,2272,853,1598,0,0,0,0,0,0,20273,0,0,7486,411,3650,16340,38,28122,44901,3136,10777,17352,0,0,0,0,0,0,0,0,0,0,0,0,0,2413,871,0,0,0,0,0,0,0,20,0,125845,0,0,0,0,0,0,0,0,0,0,0,1665,8102,1043,4845,6749,0,0,0,1360,11681,1741,24481,17442,0,0,0,507,30,0,0,0,0,0
의성,0,0,0,0,1,0,0,0,0,0,0,0,0,19028,0,0,1525,44,68,356,13,1102,4877,15308,3668,16958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,5178,0,0,0,0,0,0,0,0,0,0,0,222,819,184,777,1205,0,0,0,0,4183,541,7762,8306,0,0,0,0,0,0,0,0,0,0
영천,31475,0,2913,0,11483,962,2621,567,8188,0,71,2391,13277,176168,0,0,1437,6,138,1233,4,2067,9669,16993,19374,6541,77,147,76,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,1459,0,335,801,0,735,0,0,0,0,0,29,1265,3463,405,1226,1935,125,0,0,0,6433,2042,14966,69960,64531,0,0,0,0,0,0,0,0,0
논산,235070,5860,182740,1089,106449,18467,44715,30521,158128,0,1014,110,196,817,0,0,0,0,1,0,0,26,0,0,0,77,5537,30453,17218,22868,9304,3034,16307,12987,631,4455,2045,10649,8464,25,14515,0,0,0,0,0,0,0,0,348,9288,2016,9576,0,0,5546,0,0,0,0,0,29659,0,0,1,11,196,1,0,3,37,0,0,0,587,0,0,0,0,0,445,48,29,1095,225
익산,322090,498,211452,1228,148008,27091,45006,29532,126165,0,37,241,1369,1366,0,0,648,0,0,0,0,227,0,0,0,117,29578,9290,122978,18517,23244,8325,40731,67238,13539,41456,8459,39313,33335,51,325,0,0,0,0,0,0,0,485,44,72,0,41,0,0,22,0,0,0,0,98470,67642,0,1,11,37,1451,224,19,10,279,0,0,0,538,0,67,61,417,0,1609,85,177,2611,387
정읍,242496,117,160646,1326,102104,15479,22953,14799,62566,0,10,555,446,994,0,0,1,0,0,0,0,16,0,0,0,73,17571,121503,30680,13644,15603,5690,32831,0,0,0,0,1518,0,366,15,0,451,335,98,0,0,0,0,0,205,306,400,201,276,0,0,142,187,0,41,36444,0,0,9,31,221,301,0,0,61,0,0,0,249,0,0,0,0,0,110,160,0,1680,243
장성,70023,417,38844,688,25935,3203,4957,20835,18651,0,0,18,27,23,0,0,0,0,0,0,0,19,0,0,0,5,5699,19923,12045,630,5534,3161,15211,0,0,0,0,199,0,7,4,0,0,0,0,0,0,0,144,288,1008,0,667,864,0,597,0,0,0,0,5,2959,0,0,0,4,48,1,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,457,61
송정리,101400,584,52099,537,28463,5106,6373,4669,17316,0,0,0,0,0,0,144,4626,0,0,0,0,0,0,0,0,0,9171,24629,17874,5587,461,3271,171816,0,0,0,0,3133,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,112,790,95,500,183,305,14087,2483
영산포,51130,60,36439,583,22499,3464,4911,2914,9809,0,0,0,0,0,0,75,1401,0,0,0,0,0,0,0,0,7,3445,8937,6571,3715,2268,0,21720,0,0,3,0,1388,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,281,11,175,46,181,1545,118
목포,216504,77,120278,1724,73682,11226,19719,15103,51839,70,37,0,0,0,0,431,15122,0,0,0,0,0,0,0,0,0,15444,41357,33494,16694,169420,18308,29478,0,0,0,0,7969,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65978,0,0,0,0,0,0,0,0,0,1,0,0,0,0,440,292,3815,315,2710,298,1142,3037,5587
전주,170836,0,120328,195,87744,18977,33500,16839,43649,0,0,0,0,0,0,0,0,0,0,0,64,226,0,0,0,0,11953,81571,0,121,0,0,0,6743,5516,30002,13122,69143,72711,43,65,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,65256,0,0,0,0,0,0,380,53,0,0,0,0,0,0,0,0,0,0,0,1496,85,222,0,0
임실,18912,0,13972,0,7991,1439,1515,596,2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,10154,0,0,0,0,0,8164,167,409,454,2904,2754,0,0,0,0,0,0,0,0,0,104,26,559,0,0,0,0,0,0,0,0,0,2259,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,15,2,5,0,0
남원,97672,0,53914,0,34534,5363,7419,4182,15785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4417,41027,0,0,0,0,0,29185,1169,215,1577,25420,32193,0,0,0,0,0,0,0,0,0,94,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,124,22,68,0,0
구례구,54397,0,30077,0,18337,2297,3146,2141,7388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,7931,0,0,0,0,0,11100,717,1385,267,7012,15173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,13,3,0,0
순천,166470,0,91472,0,65664,10081,18487,12055,39901,0,0,0,0,265,129,659,10419,0,0,0,0,0,0,0,0,0,11009,39712,1355,265,2952,1496,7411,69633,2977,28059,7848,455,22408,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5528,0,0,0,341,86,0,0,0,0,0,0,0,0,0,0,319,4632,893,9243,6008,3296,37872,5397
여수,127226,0,59212,0,51234,7016,13516,10422,33287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9132,33745,0,0,311,1044,1248,71818,3124,33111,18863,23991,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,3487,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,1422
청주,8532,0,11059,0,5005,690,1085,22720,29503,0,0,0,0,504,0,0,2,0,0,10,2573,173864,7226,2547,0,0,176,71,1068,6,0,0,0,42,0,0,0,173,0,18614,54577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,28,144,3903,5494,493,578,94,4979,0,0,0,0,0,617,0,0,0,0,0,0,0,0
충주,11451,0,3345,0,2026,1020,2333,43361,77752,0,0,0,0,0,0,0,0,0,0,6,314,53012,2799,868,0,0,171,286,38,17,0,0,0,65,0,0,0,0,0,55421,7724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,18,48,401,1944,144,119,23,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,0
인천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0
온양온천,174750,0,168234,3823,76296,9131,14845,801,563,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,12584,32642,35709,14491,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0
예산,147553,0,141864,1326,84687,14452,65493,81,109,0,0,229,366,0,0,0,105,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,145,0,0,12600,2631,15513,23185,19197,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,138,0,0,0,0,0,21
홍성,171723,0,144005,2239,94261,33249,102052,90,4,0,0,433,350,0,0,0,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,35205,14665,3250,20141,29417,0,0,96,64,0,0,169,209,0,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
대천,211447,27,166674,2832,106551,22482,112033,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,320,432,41182,26553,15303,8182,31091,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,109526,4,78984,1216,51556,9181,27249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,19043,19966,27206,28173,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,319767,0,20,0,50,0,0,0,460,0,44,0,80,0,460,0,0,0,0,2372,196,0,180,20,330,144,0,505,0,20,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,1080,0,36987,719489,20,0,16338,0,4632,0,13112,0,0,0,0,0,0,0,0,0,500,0,40,0,146,776,0,1,3451,0,0,0,144,0,0,0,0,0,0
문산,1034190,0,0,0,0,0,0,0,169,0,0,186,370,0,0,0,0,0,0,0,60,0,19,0,0,0,328,44,0,288,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,581410,819322,0,0,575,0,0,1172,397,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청량리,0,0,481,0,0,0,72,0,13,0,0,244,0,72,0,0,1582,20425,437876,405218,2609,202452,193612,121926,5189,846,0,144,160,910,0,0,0,205,559,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,11512,583,0,0,284141,1950647,0,0,0,0,0,0,4305,26119,17366,49847,245436,34976,40443,7729,258586,1191,763,3400,3035,0,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,288,0,72,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,123,40,0,0,77455,434302,0,0,0,0,0,19,0,0,0,0,141,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0
의정부,50,0,12,0,25,0,88,0,599,0,0,12,0,479,0,79,794,0,144,0,0,0,0,0,0,360,0,83,227,667,216,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,10277,401,0,0,2024161,1151383,0,0,6185,0,0,0,0,741,0,0,0,0,161,0,0,0,0,0,0,420,0,432,0,4,153,0,0,0,0,0,0
신탄리,0,0,648,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,5392,72,0,0,0,0,0,864,0,0,227,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358521,170538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0
청평,36,0,0,0,0,0,0,0,792,0,0,0,0,0,936,0,0,0,216,864,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,314226,48868,0,0,25884,199361,0,0,0,0,0,802,0,0,0,0,56,0,0,0,0,432,0,0,0,0,0,0,1440,0,0,0,0,0,0
춘천,0,0,569,0,49,0,40,0,455,0,0,14,2,105,0,13,432,0,1,3,0,0,0,2,0,648,0,18,0,713,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,209,0,0,0,1172,1956844,364939,0,0,204109,91497,0,0,0,0,0,681,0,0,0,0,1584,0,0,0,0,0,0,0,0,0,0,6,160,0,0,0,0,0,0
일영,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7628,0,0,0,2302,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,356,0,180,0,209,25,73,77,316,3,6,20569,7156,52673,6264,754,24103,0,0,0,0,0,3918,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,3072,573,0,0,1,28,12,61,815,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
점촌,151,0,73,0,37,26,49,56,444,13,19,19347,11018,51679,5799,1145,25691,0,0,0,0,0,3383,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,4,191,0,0,1,32,10,97,717,0,0,0,10,73,0,0,0,0,0,0,0,0,0,0,0,0,0
예천,26,0,0,0,7,4,14,7,78,8,6,5762,6482,10602,1856,281,11799,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,102,26,0,0,0,1,1,27,201,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,0,0,0,0,1,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,473,136185,2265,220,94,59,83,54914,2046,1,0,0,224,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16480,132,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0
광주,317596,172,170427,0,105085,16970,23983,16218,58276,0,59,499,348,195,0,181,4117,0,0,0,0,128,0,0,0,50,29417,64155,36938,4626,2524,2548,79724,0,0,0,0,6375,3257,42,113,0,0,0,340,0,0,0,0,0,0,0,1906,0,0,1751,0,0,0,0,0,1731,0,11,34,182,3378,11,38,12,1551,0,0,0,268,0,594,82,1489,87,1118,870,420,71464,7786
춘양,80,0,0,0,0,0,0,0,0,0,0,73,120,3714,0,7,1518,13,18,51,1,109,12139,1994,264,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,3986,0,0,0,0,0,0,51,12,0,0,0,2600,7934,689,2386,3740,43,62,19,735,1824,296,2827,741,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,25,39,0,0,133,438,22319,0,192,12124,13,133,1898,0,1513,21513,8065,946,3679,2,0,0,0,0,0,0,0,0,0,0,0,0,32,26,0,0,0,0,0,0,0,0,0,10481,0,0,0,0,0,0,105,79,59,0,7,8281,5908,1319,7856,18669,510,1407,121,1421,3267,351,6571,2077,0,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,0,111,333,0,0,47,105,2924,0,6,869,18,332,4328,1,3826,3138,1232,214,466,15,197,33,0,0,0,0,0,0,0,0,0,0,633,64,0,0,0,0,0,0,0,0,0,20148,0,0,0,0,0,0,37,39,4,272,343,752,619,711,11155,21486,779,1035,98,2051,416,38,815,250,0,0,0,0,0,0,0,0,0,0
동해,0,0,0,0,0,0,0,396,864,0,0,221,432,7781,0,73,2221,7,1540,3004,3,12232,10895,4799,785,1309,24,80,32,7,0,0,0,0,0,0,0,0,13,4193,494,0,0,0,0,0,0,0,0,0,49011,0,0,0,0,0,0,136,164,55,0,880,2578,6677,10412,378,34079,1261,4969,814,17232,772,168,1461,490,288,0,0,511,0,0,0,0,64,0
강릉,1368,0,679,0,0,0,0,1322,3406,0,0,731,2008,18701,0,490,10435,369,2845,5469,0,17169,15289,7020,1228,2184,166,865,184,23,0,0,0,0,0,0,0,0,0,4985,1971,0,0,0,0,0,0,0,360,0,153669,141,161,0,0,1512,0,853,802,253,20,2045,3799,15117,21266,35799,52074,2065,3453,1224,42715,2150,259,4350,2130,432,0,0,0,0,0,0,0,0,0
정선,0,0,0,0,0,0,0,67,204,0,0,0,0,258,0,0,0,34,711,8901,6,12861,207,0,0,125,0,297,253,1,0,0,0,424,41,0,0,0,0,332,126,0,0,0,0,0,0,0,0,0,34879,0,0,0,0,0,0,0,0,0,0,10,41,284,188,995,1799,44250,2508,387,2252,0,0,0,0,0,135,0,0,0,0,0,0,0,0
쌍룡,40,0,324,0,0,0,0,149,1036,0,0,0,0,0,0,0,0,71,1162,13191,121,9132,111,0,0,0,0,40,6,0,0,0,0,155,0,0,0,0,0,834,157,0,0,0,0,0,0,0,40,0,40397,0,0,0,0,0,0,0,0,0,0,87,92,1302,935,4935,4363,2296,338,333,18901,0,0,1,0,0,0,0,0,0,0,0,0,0,0
