"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구","경산","영천","건천","경주","서울산","통도사","양산","부산","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","판암","덕유산","무주","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","청북","송탄","서안성","상주","선산","감곡","북충주","충주","현풍","창녕","영산","남지","칠서","칠원","마성","동수원","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북창원","서부산","장유","가락","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"영천",66717,10735,3238,12741,9990,19612,11056,8983,10931,8834,37221,7544,1475,6366,6614,2220,26859,52960,74538,85081,642267,597420,649594,156170,22226,22524,177446,52571,27633,39931,177085,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,1,0,1,3,0,0,0,5,30,8,1,3,0,0,14,29,14,25221,79,17,26,6,7435,4036,2690,2990,1800,1031,613,191,0,1,0,0,0,1,0,0,0,0,213543,5179,7648,1153,10885,1261,555,174,702,1126,36,57,213,10,0,0,0,0,0,0,25,7404,44,41,12,142,108,4,1253,6054,206,27,77,11,37273,1272,3332,3998,600,3658,5469,2543,6568,3078,596,952,4,5,12,20,3273,3490,293,12037,5238,114,15,144,0,0,0,0,0,0,2309,668,1390,664,406,1788,1022,1438,272,385,175,241,215,101,28,152,7274,616,986,1066,35872,16705,1845,2651,1692,68507,3201,15246,1217,1777,2323,2426,693,3256,1261,577,222,2442,416,2867,1630,916,942,318,327,0,1,0,0,1843,7627,18259,9980,3707,2,0,48893,18640
"건천",6011,1127,418,1807,999,1578,1388,790,1258,510,2565,502,49,408,667,246,2286,5152,5369,6579,41991,46627,86527,32947,25707,370,56190,23510,15434,11819,50210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,4,8,3,1857,13,1,7,1,751,188,201,431,49,41,78,20,0,0,0,0,0,0,0,0,0,3,61735,315,323,37,270,47,8,9,36,57,2,0,16,0,0,0,0,0,0,0,2,1202,6,2,2,21,2,0,79,526,15,2,6,1,4403,134,424,334,87,239,336,195,640,146,49,68,2,1,3,6,364,256,50,1455,601,26,4,49,0,0,0,0,0,0,325,71,159,99,59,225,123,225,39,39,36,30,41,34,10,28,1159,55,145,109,1961,539,202,420,315,6308,697,3023,266,494,1350,907,214,1133,426,131,43,523,107,659,411,320,260,55,86,0,0,0,0,120,551,1395,759,310,0,0,15131,5705
"경주",109500,23998,10109,22639,15190,34363,27246,12760,20339,27264,44092,12287,1722,7258,8087,2367,28813,62627,77063,66704,515631,477131,796873,327637,206696,84980,137370,332410,213197,321909,1238179,0,47,0,0,0,0,0,0,2,0,4,2,0,0,0,0,1,0,0,0,0,4,0,0,1,5,0,1,0,6,311,93,0,3,0,0,132,299,119,27744,356,73,223,44,10840,3288,4092,9084,1096,750,1722,404,0,0,0,0,0,0,0,4,2,3,607479,5788,17383,1485,9517,1358,390,179,852,908,23,35,342,6,0,0,0,0,0,0,37,19855,116,52,12,119,100,35,1394,7831,404,83,180,52,69113,2139,5258,3955,1385,3649,5728,2810,10927,2592,818,1164,45,55,105,179,6504,3353,540,16648,5897,255,52,461,0,0,0,0,0,0,5148,1155,2525,1327,2644,3092,1900,5192,683,813,741,518,531,388,197,481,12731,1103,2093,2403,49224,11923,4039,7276,4421,60627,4003,21484,2908,5799,13746,11881,2638,17206,4615,1715,673,9158,1737,8712,6752,3877,3301,966,1237,0,0,1,1,1841,11019,22600,10688,5315,0,0,465461,156557
"서울산",19310,4640,1952,7087,2917,7754,2922,1694,4246,3051,7154,1657,159,1113,1574,769,3748,6118,16097,8994,34969,31605,45965,28265,41547,22151,251169,64018,73670,185439,671124,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,134,40,0,1,0,0,57,130,51,8144,132,28,92,18,2373,487,751,937,252,86,365,108,0,1,0,0,0,0,0,1,0,0,987875,965,1106,144,819,153,54,26,98,62,0,0,14,1,0,0,0,0,0,0,6,1537,21,6,5,23,32,13,249,1089,78,20,44,20,16785,447,2104,1320,345,1502,1068,594,2199,679,214,193,18,23,45,77,1414,866,218,2072,800,59,6,87,0,0,0,0,0,0,1138,286,1056,353,455,754,369,659,255,214,152,151,112,113,32,155,4172,356,1552,563,8769,2067,944,1142,798,5220,669,3281,394,1074,2301,2087,448,2208,801,266,139,1245,258,1561,1684,836,448,292,360,0,0,0,0,269,1226,3512,1606,683,0,0,216425,83956
"통도사",24920,4998,2220,8719,4181,7884,3980,1787,10499,4576,8075,1555,455,917,1172,710,3399,4857,10741,7398,26794,24143,32299,22740,29340,12757,205100,72333,38000,162303,909634,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,143,42,0,1,0,0,61,137,54,11524,123,30,99,19,4890,627,1045,1125,174,70,156,86,0,0,0,0,0,0,0,1,0,0,525110,650,1271,38,227,67,26,4,15,14,1,0,2,0,0,0,0,0,0,0,0,1723,11,4,0,24,5,13,216,1711,62,20,47,20,17198,549,3361,3994,691,2956,1464,577,3484,918,90,170,19,26,48,82,2164,1753,372,1483,1129,79,10,248,0,0,0,0,1,0,1031,155,1458,496,1081,1433,775,532,204,141,85,89,54,69,25,159,5850,560,1007,487,11026,3303,754,781,526,3041,428,2333,407,754,2085,1205,259,1665,459,188,129,1181,207,896,644,371,348,205,209,0,1,0,0,253,1575,2874,1431,922,0,0,232202,108627
"양산",16943,3598,1517,4456,2577,6314,2540,1584,5220,3217,6256,1629,235,1209,1231,544,3872,6393,11861,8340,22899,30895,41640,31489,43453,13885,363832,242597,224203,281299,2939306,0,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,485,145,0,0,0,0,208,467,185,7133,411,102,331,66,2140,467,480,860,436,64,371,241,0,0,0,0,0,0,0,6,0,0,683345,1122,304,32,372,158,48,7,4,11,0,1,12,1,0,0,0,0,0,1,0,1274,11,3,1,4,3,47,319,1053,200,68,148,68,11127,409,2290,1123,331,1165,846,486,1986,720,216,294,67,85,163,278,814,560,139,2347,995,60,6,114,1,0,0,0,0,0,2380,200,716,448,284,688,500,682,206,486,156,160,93,172,63,240,4338,605,576,952,9309,2060,1967,1115,1015,4169,541,3243,578,1143,3310,1777,514,2934,712,405,195,2674,267,1310,952,756,523,404,430,0,0,0,0,373,2104,2813,1338,574,0,0,649021,236242
"부산",161707,25791,8641,17688,12630,21909,10120,10676,16966,7207,34314,6392,1227,7140,6247,2771,21834,37938,67152,32466,82810,141107,253650,130613,182398,55051,1285140,757347,948610,2687525,92973,0,41,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,2,4,0,1,0,4,0,0,0,1,269,80,0,0,0,0,115,259,103,23116,271,60,190,38,5463,2071,1442,1552,543,228,608,227,0,0,0,0,0,0,0,3,1,0,759640,2052,1045,97,763,181,56,21,33,39,2,4,51,0,0,0,0,0,0,0,3,3408,76,24,19,52,26,26,558,4218,166,44,99,42,77222,3166,8233,4890,1696,4851,3473,2717,11750,2235,297,420,37,47,91,155,2772,2613,531,13411,4314,264,41,439,0,0,0,0,0,0,5599,1917,3063,1398,1399,3939,2008,2897,986,715,700,809,972,470,169,667,10485,1768,1987,2277,35304,5097,4136,8749,5683,21289,2330,16290,2614,6610,16878,11844,3053,16545,4619,1784,702,11858,1529,8466,6805,2200,2990,2420,2778,0,3,0,0,768,6267,12124,4277,2081,1,0,1688000,608456
"군북",2880,502,217,541,402,645,340,214,504,202,837,58,5,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,502,14803,152951,720846,48852,15295,40261,35385,218454,570,5697,8974,911,1614,3680,11795,8251,5539,0,2637,46143,55744,52348,45121,9195,1144,0,3,16,884,148,112,74,228,36,835,0,0,0,1044,2,0,0,0,446,70,64,158,31,36,22,7,0,0,0,0,0,0,0,0,0,0,0,119,36,0,6,0,2,0,0,0,0,0,0,7120,165,343,355,93,716,295,0,126,2,1,0,2,3,502,352,227,308,313,2240,173,1960,64,199,137,41,104,137,135,303,71,362,240,972,816,1707,12408,173,50,8,0,0,1,0,0,1660,2447,5633,6458,20735,0,113,25,78,23,26,84,27,1,2,0,0,0,1,1,0,0,329,59,38,73,1226,188,110,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,59451,200360,25219,12103,67,154,875,442,356,14978,0,0,0
"장지",1075,252,66,272,164,367,205,117,443,118,874,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5864,18,27655,221490,14840,5731,7184,6770,31628,559,2177,3920,126,654,1552,2206,3071,2240,0,551,8924,12090,19767,13716,2957,666,1,1,1,497,34,13,11,21,28,380,0,0,0,685,1,0,0,0,115,24,37,134,24,19,6,0,0,0,0,0,0,0,0,0,0,0,0,38,9,1,3,2,0,0,0,0,0,0,0,4515,75,53,285,39,267,58,0,106,0,0,1,1,0,212,257,93,89,76,1324,57,1061,16,38,85,23,29,58,59,128,47,92,62,340,265,536,2661,58,31,8,0,0,1,0,0,1216,1434,2241,2931,7345,0,68,4,19,6,4,52,8,0,2,0,0,0,0,0,0,0,136,10,10,14,699,86,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19666,29886,6351,3629,24,65,430,103,192,14477,0,0,0
"함안",7005,1456,415,1229,1158,1819,907,597,1176,633,2299,110,4,3,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,161491,26604,257,1163751,81285,23702,46341,35732,179337,1559,10677,13093,750,3212,2883,20198,16789,10149,0,2516,57105,87371,91211,78588,15804,3892,5,10,48,2697,299,327,155,785,199,2740,0,0,0,2133,5,0,2,0,497,134,150,261,78,83,40,11,0,0,0,0,0,0,0,0,0,0,0,459,80,13,25,3,3,1,0,1,0,0,1,13382,259,689,486,206,1498,608,0,384,2,4,2,16,6,2118,980,595,759,1142,5868,711,4891,211,357,351,107,333,425,303,1166,318,1031,611,3691,3626,7335,23159,357,190,52,0,0,4,0,0,7122,12362,16656,14972,16607,1,298,102,184,97,38,168,67,7,0,0,1,0,0,1,1,0,831,78,571,140,2435,500,240,5,2,0,0,0,0,0,0,0,0,0,0,4,1,4,0,1,2,0,0,3,2,118872,151933,40454,13763,199,467,2391,1474,854,68165,1,0,0
"산인",103886,15812,5333,17081,11924,20281,10422,8117,12450,6465,36818,773,17,33,5,0,6,6,1,0,19,1,0,1,1,1,2,0,0,3,2,745807,237731,1100730,33,2,1,2,0,2,12123,93748,80788,6164,20295,19708,102544,109876,44248,0,11548,314575,494057,352730,283374,54638,30186,73,34,266,21006,2056,2645,1203,5271,554,20695,2,1,0,24629,44,7,11,3,6586,1559,1588,4142,683,805,587,118,0,3,0,0,0,0,0,0,1,0,1,3873,1046,65,377,33,8,5,10,10,0,1,11,120949,2687,5519,2819,1799,10883,4564,3,4872,57,38,22,108,64,13259,8798,6345,6516,11240,56583,5287,44410,1671,4140,3036,1550,2211,3309,2332,8886,1915,8848,3808,25481,22517,47611,112780,3595,3863,470,0,1,17,1,8,1,0,0,0,1,0,2670,989,1807,802,652,1345,283,25,22,3,6,5,9,2,0,1,7571,1080,1957,1125,31372,4689,2045,25,17,2,0,0,0,0,0,0,0,0,0,4,3,18,3,5,0,0,0,48,36,3,1,0,0,6171,7533,26981,14744,7994,309,0,0,0
"동창원",6498,1487,500,1323,1105,2475,2001,755,2006,925,2115,81,3,4,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,3,48770,16015,77472,2,514,66030,162191,209061,896341,1555,13258,16073,763,3590,4426,14008,10537,5587,923885,2411,38351,43045,37466,32144,7717,3197,9,5,22,3527,273,450,145,577,60,1328,0,0,0,3391,5,1,0,0,727,168,264,224,117,62,68,12,0,1,0,0,0,0,0,0,0,0,1,767,250,5,45,11,4,0,2,2,0,0,6,20687,499,1185,494,229,2179,515,0,1170,9,2,9,22,7,1280,925,693,577,875,9485,602,5470,160,640,408,101,922,395,278,1111,334,962,650,2272,2173,4993,11478,389,446,83,0,0,1,0,1,11601,10598,5538,19798,65266,4,241,64,187,78,65,309,54,5,0,1,0,0,0,0,0,0,840,103,204,134,3342,801,234,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,43399,918513,308814,96829,251,641,3114,1628,1052,85005,0,0,2
"진례",2512,602,386,787,917,1765,729,422,1122,553,1119,57,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13426,5096,19112,0,69504,3167,116290,269752,1042077,505,5128,6844,305,1316,1513,3742,2799,1683,352728,462,10061,12287,11764,8905,2778,767,2,0,6,1059,124,93,39,149,21,400,0,0,0,1561,4,0,0,0,464,142,192,141,39,67,42,7,0,0,0,0,0,0,0,0,0,0,0,859,84,2,21,2,3,0,0,1,0,0,1,7256,183,467,139,106,540,169,0,234,2,0,1,8,3,374,419,410,173,255,3260,149,2450,90,338,220,51,207,292,164,587,174,279,233,588,592,1118,3027,281,170,102,0,0,2,0,1,10236,5830,4024,7862,25199,2,105,28,124,46,38,103,24,3,0,1,1,0,0,0,0,1,471,64,172,61,1599,652,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38541,1062745,269264,159876,92,354,1222,716,436,61241,0,0,0
"서김해",11502,1735,627,1472,1358,2564,1610,733,1515,781,2267,101,4,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,33385,6894,35032,1,173204,127016,343,182057,2869164,2075,13127,11423,684,2488,3466,12425,12118,4312,499538,1209,29908,36328,25316,18524,4240,3122,8,4,28,2604,272,392,157,704,53,2436,0,0,0,2513,7,0,1,0,523,196,257,306,50,52,52,8,0,0,0,0,0,0,0,0,0,1,1,577,250,4,39,7,6,3,1,2,0,0,2,14879,241,786,401,312,1677,562,0,569,7,2,5,25,16,1737,976,830,859,1577,6963,641,4606,231,540,428,107,478,422,412,1053,368,1026,532,3121,2507,5188,9771,364,406,114,0,0,2,0,0,13534,14231,8508,14641,33325,2,336,178,235,95,85,228,46,5,3,1,0,2,0,0,0,0,804,96,693,155,2783,622,252,1,3,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,2,3,48983,64651,48513,10529,259,605,3110,1731,1151,101832,0,0,0
"동김해",8647,1895,893,1764,1599,2655,1200,638,1975,1169,2622,106,4,6,0,1,1,0,0,0,7,0,0,0,0,0,1,1,0,0,6,32703,6515,33618,0,226251,320342,216119,1245,5626095,1687,13899,15068,877,3357,5422,12712,13298,4939,448959,1038,32622,35962,26013,18510,5269,3010,10,5,26,3947,288,403,201,773,56,2062,0,0,1,3394,12,2,0,0,819,662,291,347,52,91,64,32,0,0,0,0,1,0,0,0,0,0,0,668,278,15,62,7,1,1,2,3,0,0,1,17774,313,871,650,333,2277,611,0,495,3,4,6,29,20,1558,1096,902,1065,1484,8924,743,5022,237,850,532,136,479,531,385,1294,373,1001,617,2777,2677,4704,8277,326,265,75,0,0,3,0,0,17064,15430,9610,13342,31405,5,312,121,309,87,139,275,72,1,6,1,0,0,1,0,0,2,1127,147,473,129,3049,798,239,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,6,4,42373,8401,446776,3149,3392,599,3111,2080,943,122576,0,0,1
"북부산",39801,7544,3743,5677,4969,10374,5387,3296,7542,5138,11812,413,8,14,0,1,1,0,0,1,7,1,1,0,0,0,7,1,2,3,16,212943,32908,164221,1,999676,1203843,2977888,5554686,1942,18216,166421,201505,14249,44053,43769,110536,90480,32512,2073251,6641,210567,246988,145854,94597,25745,23136,20,25,229,35481,2947,5885,1905,6580,390,11263,0,0,0,10583,23,2,3,1,2298,788,1004,1149,240,239,282,68,0,1,0,0,1,2,0,0,0,2,2,3581,1105,68,406,66,17,11,14,17,3,1,2,210534,3551,9782,8623,3358,19463,6646,3,1857,30,15,19,139,79,10633,4795,4024,6935,14285,67690,4536,23051,786,3140,2405,670,1953,1777,1264,4848,1187,7112,3558,20388,17964,35600,55913,1404,967,237,0,0,20,0,0,92605,87450,53275,73011,139909,16,1234,896,1124,737,524,1296,266,23,18,5,2,0,5,0,1,1,3884,763,1433,587,12741,3257,877,9,5,0,0,0,0,0,0,0,0,0,1,5,2,19,1,3,1,1,1,11,16,146957,7881,2007734,7710,2477,3733,14049,8614,4327,322105,0,3,1
"서순천",1128,146,91,391,75,102,42,59,188,88,354,39,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1320,632,1269,9559,1295,567,2234,1600,16404,734,4825,25939,144426,23990,30077,9212,1532,1521,0,445,12313,7340,904,1354,480,101,25,53,50,73,201,7385,33,22,19,293,0,0,0,180,0,0,1,0,25,3,11,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,614003,20532,28125,27368,23000,182757,73291,0,12,0,0,0,0,0,64,230,149,147,188,43,21,1365,92,92,80,30,30,43,86,163,27,119,86,90,187,484,3079,10,10,4,1,0,2,0,0,187,266,341,130,310,0,46,8,11,7,6,43,34,7,4,0,1,4,1,4,0,0,92,4,16,17,239,28,18,23,10,0,0,0,0,0,1,0,0,0,0,0,0,25,1,2,1,0,1,20,14,816,11387,1035,689,18,90,261,140,218,5652,0,0,0
"순천",12086,1985,706,2788,1019,1366,648,823,2375,1171,4899,437,10,32,27,9,20,7,5,0,1,2,0,0,0,0,0,0,0,0,0,11687,2901,9331,80849,13077,5701,15148,14144,167315,8770,3011,27603,262727,148121,161167,66050,13473,9237,0,3256,97570,59554,7832,11205,4046,1115,261,725,655,229,528,16155,56,89,262,4070,0,0,0,2177,1,0,0,0,316,110,88,62,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,32,5,1,6,0,0,0,1,0,1,0,5,1357137,39972,58615,50169,29604,256950,82649,0,175,7,4,3,2,1,790,2483,1674,1959,2298,452,288,13462,528,984,896,310,420,629,1477,1680,385,1198,960,897,1696,4999,26129,244,212,49,1,2,8,1,4,3515,3148,3661,1498,2503,0,501,83,188,113,86,801,264,83,124,22,22,15,23,26,13,24,1066,94,175,174,2335,345,275,159,99,0,0,0,0,0,0,0,0,0,0,25,11,202,10,10,0,0,0,223,179,6889,123431,8303,7918,99,1252,3139,1586,2403,84371,0,0,0
"광양",10199,1977,519,1161,1049,1350,654,768,1922,1352,3522,464,11,33,19,3,14,4,0,1,1,0,1,0,1,0,0,0,0,0,1,9671,4377,11035,75496,15445,7396,11921,13875,205755,31527,22813,89,16616,73651,272516,121671,17663,14323,0,3669,135578,80562,7413,13605,3757,1358,127,558,534,58,63,1809,14,30,307,14742,0,0,0,1825,0,0,0,0,290,73,82,141,11,6,2,2,0,0,0,0,0,0,0,0,0,0,0,39,1,1,2,0,0,0,1,1,0,0,1,155252,5384,8044,13679,3295,24536,8163,0,273,4,2,2,0,2,1602,1788,1428,2190,3447,342,597,9546,404,778,774,301,571,741,1526,1607,531,1474,1112,1957,2127,5641,24276,213,228,53,1,0,6,0,3,4470,3031,3356,1863,5445,0,416,219,277,206,171,597,403,157,107,22,34,19,23,20,13,22,907,83,111,153,2263,304,242,119,98,0,0,0,0,0,0,1,0,0,0,15,5,170,6,10,1,2,0,266,230,5646,169461,7623,7679,153,1499,3241,1508,1541,117815,1,0,0
"동광양",1680,325,150,213,270,493,125,621,284,276,755,41,0,13,4,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1135,245,821,5890,883,338,848,878,13051,125359,264801,25083,1262,4295,14370,24605,7435,4197,0,1636,11994,9064,659,1183,254,169,12,31,39,20,66,1824,6,8,23,457,0,0,0,395,0,0,0,0,67,14,33,67,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,0,0,0,0,0,0,0,1,176535,5486,11230,12198,3796,31839,11116,0,75,1,2,0,0,2,120,325,247,196,255,120,28,1452,65,178,116,31,105,237,220,285,134,208,151,317,188,516,3116,50,35,9,0,0,1,0,0,237,152,174,93,622,0,66,14,42,19,16,84,36,11,21,1,7,7,5,3,0,1,171,29,27,41,656,110,63,13,12,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,24,19,475,12624,523,806,24,184,563,220,276,8238,0,0,0
"옥곡",7609,1280,372,794,814,1389,749,590,963,709,2015,192,11,18,4,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2252,638,2906,16917,3035,1531,2798,2966,44227,25768,147706,75288,3811,556,18468,65567,15526,8801,0,1889,46320,30565,2662,3639,855,745,37,92,223,41,57,893,5,46,94,1739,0,0,0,1788,0,0,0,0,392,191,110,181,25,18,3,0,0,0,0,0,0,0,0,0,0,0,0,52,8,3,1,0,0,0,0,0,0,0,4,56694,2201,3224,2208,1279,9994,4613,0,136,6,1,0,0,0,413,856,721,1261,2511,375,180,9944,257,420,417,100,279,465,846,761,306,677,428,697,1318,1984,14426,165,140,21,1,0,4,1,3,717,895,995,374,668,0,289,123,146,85,57,242,238,44,43,12,10,9,10,7,6,10,590,81,56,106,2411,557,202,60,76,0,0,0,0,0,0,0,0,0,1,16,7,93,5,3,0,1,0,131,55,1498,29392,1763,1884,125,472,1682,898,936,19269,0,0,0
"진월",3822,602,229,1011,536,2180,513,342,1299,1371,1277,107,2,20,2,1,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2482,1722,2426,16355,3250,2290,2794,5061,46337,23886,145449,245521,7308,9792,30,38904,9550,4178,0,1236,25248,18859,2264,2776,614,427,32,60,61,28,12,428,6,33,34,2339,0,0,0,2054,0,0,0,0,850,208,338,603,143,48,11,0,0,0,0,0,0,0,0,0,0,0,0,36,11,0,0,0,1,0,0,0,0,0,2,53979,1429,10430,8355,2579,21258,2424,0,323,31,2,0,22,2,398,437,305,874,913,429,109,3124,114,468,257,60,761,712,620,391,125,332,1313,1418,613,1236,5555,347,243,69,0,1,5,0,1,970,832,743,893,1282,0,196,18,114,60,29,245,194,154,27,4,0,2,1,46,0,2,559,73,55,67,3721,2838,153,24,26,0,0,0,0,0,0,0,0,0,0,9,1,36,1,1,0,0,0,104,19,1584,29304,1674,4597,42,576,848,697,505,22880,0,0,0
"하동",6306,1158,296,1211,881,2395,855,787,1946,2495,2295,159,3,10,3,1,4,5,0,1,1,0,0,0,0,0,1,0,0,0,0,15683,2689,17453,83216,14292,4166,13212,12896,122465,8187,61200,113166,19825,49676,34908,60,52300,30344,0,9971,175623,198953,15017,21720,4932,2634,133,279,375,71,38,955,16,120,185,3411,0,0,1,1701,0,2,1,0,513,85,153,328,84,20,7,1,0,0,0,0,0,0,0,1,0,0,0,102,7,2,3,1,0,0,1,0,0,0,0,39270,1729,2195,1500,1031,6182,3173,0,340,8,0,0,9,3,1179,1134,811,1225,1610,845,262,5310,211,480,702,152,255,488,863,1129,263,689,1699,2102,2278,8470,60772,257,254,54,1,1,3,0,0,2267,2395,2941,3431,5513,0,285,45,560,170,35,455,200,356,85,18,14,4,11,5,3,8,1441,48,65,114,2400,1817,162,59,43,0,0,0,0,0,0,0,0,0,0,8,1,60,2,2,0,0,0,95,46,8557,88746,7478,7775,162,770,2112,1102,1263,44359,0,0,0
"진교",12729,1695,524,1057,965,1399,741,567,1512,651,2154,152,4,11,5,0,8,3,3,0,3,0,1,0,1,0,2,1,0,0,0,14366,4032,14077,88999,10434,3461,13409,12555,87608,1612,13600,17525,5562,15264,10073,49971,16,17184,0,12334,174693,378331,19714,19709,6599,2637,174,402,423,177,13,159,44,225,242,4391,0,0,0,1739,1,1,0,0,337,75,91,55,48,19,19,1,0,0,0,0,0,0,0,0,0,0,1,127,46,4,8,0,0,0,0,0,0,0,2,5864,196,573,265,246,863,502,0,137,7,5,1,4,2,1439,1655,1038,925,718,997,477,6977,278,670,503,140,225,281,518,782,230,961,707,2525,3197,8626,115007,243,126,29,0,0,4,0,2,1670,1963,2442,1246,2514,0,383,61,118,58,37,217,116,29,37,10,8,17,7,11,4,7,973,90,103,179,2124,294,303,32,25,0,0,0,0,0,0,0,0,0,1,8,12,51,0,6,0,0,0,42,32,6745,97584,7278,4388,146,609,2334,1290,1359,26079,0,0,0
"곤양",2706,489,128,412,293,491,262,143,298,166,612,36,1,7,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6560,2344,9170,38191,5488,1895,4974,5077,31970,1125,8051,14033,3234,9465,4485,24564,12161,711,0,17425,264066,312138,18015,13245,3957,2300,42,105,123,342,20,136,26,272,121,1600,0,0,0,504,1,0,0,0,134,26,47,26,22,67,3,3,0,0,0,0,0,0,0,0,0,0,0,88,17,1,6,2,0,0,0,0,0,0,0,4361,175,281,188,306,1371,829,0,92,2,0,0,2,1,870,458,218,351,383,1041,244,1851,83,144,125,44,76,107,169,232,57,275,186,1844,2145,4952,58609,96,65,9,0,0,3,0,0,498,1544,906,691,1078,0,113,23,36,16,14,39,36,6,14,2,1,0,1,0,0,2,266,15,35,58,587,88,96,25,9,0,0,0,0,0,0,0,0,0,0,11,4,18,1,3,0,1,0,35,15,3249,30705,3043,1712,81,177,719,378,285,8697,0,0,0
"마산",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969733,365453,522217,430385,1958235,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843558,402311,80562,0,0,0,0,0,0,0,0,0
