"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","고창","곡성","곤양","곤지암","광양","광주","광천","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남제천","남지","논산","다부","단성","단양","달성","담양","당진","대전","대천","덕유산","덕평","동광양","동광주","동군산","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","무주","문막","문산","물금","발안","백양사","부곡","부산","부안","북단양","북대구","북대전","북수원","북원주","북창원","비봉","사천","산인","산청","삼례","상주","새말","생초","서김제","서김해","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","석곡","선산","선운산","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영광","영동","영산","영주","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","제천","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘장대","춘천","칠곡","칠서","칠원","태인","통도사","판암","풍기","하동","함안","함양","함평","해미","해인사","현남","현풍","홍성","홍천","화원옥포","황간","횡계","횡성"
"가락",1558,0,30,0,107,0,0,17,0,2,22,0,26,217,47,890,0,0,0,1316,0,0,150,13,0,79,0,47,0,0,0,30,0,0,313,0,5,0,385,12,0,133,0,2,36,0,113,0,43,9,40,781,0,12,765,0,361,16,20304,0,10655,1,5,0,78,0,0,40,0,285,0,1,0,3,0,0,0,0,15,69,0,1090,1,1278,0,66,2,0,0,159,0,1625,0,30,310482,0,16,117,70,0,56,475,0,1,2,301,0,51,0,36,0,0,45,0,93,0,75,9,1122,22,0,60,15,66,18,0,1,1,0,0,308,0,0,0,75,12,223,75,4,0,15,2,0,64,5,0,12,7,34,0,128,41406,482,0,0,0,0,0,9,40,16,171,635,12074,0,317,138,2074,7,708,19,138,80,24,14,0,54,0,1,0,1064,0,0,1,28,0,569,1403,68,0,0,56,0,876,0,0,7969,0,0,0
"가산",0,1499,0,477,0,3463,50318,35,37852,0,0,0,0,0,66,0,1,0,230,0,0,23023,152,15,14,5,2,35,3,344,360,12,204069,3996,1,552,0,368,0,44,6777,0,707,0,0,0,300,0,0,9,0,1,1,2,0,118374,551,167,0,44,0,5,6,74,69,0,0,6,102,0,3050,4,0,5,38218,0,448,321974,49,65,72,0,3,0,0,0,15,31,36,0,0,0,1039369,71,0,0,0,75,0,55744,30,831,6637,7,13,1,0,64,6,0,6,0,0,8,0,2,139,0,0,0,74,65,32,85,18,5413,23,61,0,63,0,61265,17306,9930,115,7,0,0,76,1495,27,30782,56,127,23,66979,68,52,28,1,0,0,0,18,26,4,450,0,36,0,0,0,0,0,36,0,0,0,32,0,0,143,85,42,5,43,0,0,916,237519,0,0,6,3892,50,36464,0,0,0,0,0,0,271,0,0,220,0,62,94,88
"가조",28,0,200,0,28384,0,0,7,0,2,2344,0,0,8,14,73,0,0,0,19,0,0,37,7,0,33,0,18,0,0,0,42,0,0,323,1,25,0,21,12,0,201,0,12,23,0,57,0,38,1,1,455,0,2,219,0,181,11,45,0,53,0,2,0,23,0,0,44,0,32,0,0,0,1,0,0,0,0,12,19,0,50,0,365,47,280,0,0,4,191,0,123,1,34,450,0,36,56,2,0,10,216,0,0,0,848,0,12,0,0,0,0,2617,0,1,0,27,25,39,1,0,11,7,18,32,0,2,2,0,0,143,0,0,0,40,2,9,2,3,0,5,0,8,38,5,0,8,4,12,0,83,84,8,0,0,0,0,0,3,70,111,4,32,56,0,29,3,316,2,58,4,40,23,11,7,1,6,0,0,0,67,521,0,0,27,0,13,27,1121,0,0,2940,0,34,0,1,9791,0,0,4
"강릉",0,264,2,612,5,4,41,1386,58,163,0,4,0,4,3813,4,992,35,40,0,52,44,12540,1472,3,48,10,624,15,75,5,31,67,16,15,8941,1,135,0,310,55,7,136,0,0,180,1902,94,13,1008,1,0,34,571,1,136,45247,3954,0,3902,0,361,365,3831,44,24,9,51,7280,3,4,139,27,543,119,1,195,350,695,5739,1300,0,176,45,8,5,100,2,23159,2,9,0,953,328,1,200,7,6694,0,239,1839,27231,14,229,77,35,19,2201,134,0,1,0,0,3938,0,90,4117,0,12,1,366,889,2275,433,78,14,2865,5236,3,36,0,180,17,239,1131,896,7,0,227,11,3282,84,26721,688,537,62,6738,586,2747,244,21,0,3,15127,520,121,3443,0,462,5,3,1,8,0,20042,4,1,21,530,0,0,985,464,29,51,5,0,10,6219,192,0,0,38,15,144,320,12,3,13,3,79,0,12961,0,51,1468,0,9,56482,295
"거창",100,0,29622,3,2053,0,0,25,0,90,5145,0,3,118,56,575,1,0,0,120,0,0,207,21,0,294,0,60,0,1,0,245,0,0,3778,13,249,0,100,52,0,1420,0,76,418,0,331,0,241,8,74,4653,0,22,960,0,742,31,200,0,212,0,8,1,81,0,0,295,3,425,0,0,0,12,0,0,0,0,68,90,0,212,0,3647,1782,1417,2,0,16,696,0,560,1,160,2105,1,209,132,21,0,26,1246,0,13,0,7428,0,56,0,5,0,0,7910,1,10,1,188,567,476,7,0,98,39,119,120,0,12,11,0,0,912,0,0,0,369,8,198,2,13,0,18,1,15,268,24,0,14,24,65,0,445,377,40,4,4,1,0,0,28,415,873,33,503,260,0,430,214,2821,36,374,32,134,115,45,86,0,49,0,3,0,205,2046,0,0,111,1,360,298,11328,0,0,6145,3,92,0,0,46423,0,0,0
"건천",0,2795,0,6,1,817,50869,176,61948,8,0,0,0,0,439,0,5,1,5196,0,2,266,1200,108,46,32,32,326,9,2478,4142,63,956,11265,5,54,0,13,0,347,628,1,15,0,2,0,2324,3,0,65,0,0,4,25,0,119945,3355,1371,0,4,0,36,32,2,1295,1,0,22,24,0,4535,17,1,71,51580,0,8,51892,556,537,5,0,16,0,0,1,48,590,12,1,0,0,37902,678,0,1,0,590,0,964,382,7055,19763,95,34,5,1,606,22,0,63,0,0,2,0,11,1143,1,0,0,6,708,154,1068,144,10788,64,112,0,519,0,1049,24484,327,1663,78,0,0,577,6273,144,56480,51,1077,269,558,419,482,370,1,0,0,0,4,131,35,19,0,199,0,1,0,0,0,5,0,0,0,218,0,0,1170,927,804,46,187,0,0,18,7177,0,0,29,9886,376,1453,0,0,2,0,1,0,2,0,1,14,0,610,4,3
"경산",0,45743,2,70,3,51432,2943,972,447564,233,0,0,0,0,3321,0,126,3,61320,0,6,6948,7892,704,582,195,58,2405,112,22841,71356,481,13604,28269,12,266,1,57,0,3146,9323,4,122,0,5,3,16597,7,3,657,0,0,10,564,0,1254659,18765,8764,0,27,0,153,218,14,8365,3,1,99,217,0,12327,45,5,232,152965,0,43,1306844,3557,4016,11,0,131,0,0,2,307,4220,44,4,0,0,967014,5448,0,3,1,3383,0,8532,2744,38132,38086,223,307,13,3,2882,53,0,802,0,0,8,0,26,6614,4,0,0,19,3824,971,7274,1349,31277,347,529,0,2964,0,8715,236038,1989,11333,953,0,0,4470,129780,1005,176093,198,6327,1283,9040,1166,2956,1888,10,3,0,1,29,1066,330,130,0,1179,0,2,0,0,0,49,0,0,0,2105,0,0,7320,4925,3309,370,1695,0,1,157,140646,0,0,296,21040,3187,8326,0,0,6,0,4,1,31,0,4,68,0,3815,12,18
"경기광주",1,22,5,1053,15,202,963,551,2975,104,2,0,0,3,104138,3,17715,10,3353,10,5,15,1419,212,81,1186,349,512,614,4405,416,358,34,471,13,25039,0,39,2,5100,15,37,28,0,0,168,17075,19,15,9562,3,0,10,57,22,2357,2248162,3008,6,2136,6,627,60,1433,134,2,0,3918,8127,4,196,94,727,139,4861,0,35,4125,9384,844,172,2,88,65,86,10,1633,20,5017,8,0,14,11746,4784,37,31,16,472,1,104,355,2576,456,14736,1636,72,1,30573,53,0,34,0,0,878,0,85,2174,3,18,0,1714,9929,512,753,586,523,5837,17967,1,964,0,82,1316,13,1166,12368,9,0,3143,962,2035,2509,9174,8964,33508,16,36782,10058,73689,1589,61,11,16,2544,10903,4398,7524,1,16561,25,7,1,19,14,4972,7,4,58,14430,1,0,1661,7223,39,961,524,0,1,156,735,1,0,1775,366,1583,129,12,10,23,0,23,3,739,0,17,92,0,678,179,148
"경주",0,31205,30,179,48,84078,445152,3651,145541,264,7,9,0,0,8475,0,178,35,72624,0,95,3133,35038,2818,1200,789,156,12027,275,33934,68894,1502,10987,338457,172,1253,27,182,0,6581,4394,61,298,0,78,21,53569,103,22,4470,0,1,150,890,0,1006615,65706,33352,0,243,0,1128,869,102,42593,49,26,624,2789,0,127181,525,17,1238,1320254,6,118,498440,15856,10838,80,0,589,0,0,36,1347,7005,412,58,4,0,470996,10838,0,49,10,13044,0,13699,9648,154045,302255,869,1041,188,49,9931,742,0,781,1,0,65,0,347,33685,66,0,0,159,22965,4330,21365,3151,312225,1102,1888,6,8828,0,14218,231473,4173,30585,1493,0,0,15431,74388,3545,525292,953,23927,4047,6848,4846,15832,5492,34,30,0,18,194,4343,730,574,6,4304,6,39,0,0,0,250,0,0,0,5525,0,0,28384,18714,12017,910,3509,0,23,381,68827,0,0,563,208879,8052,22278,0,0,87,11,63,19,143,0,58,337,0,9596,93,102
"계룡",4,0,1,191,63,8,247,173,271,155,2,0,0,12,354,8,5263,0,677,10,0,1,1419,108,59,1192,139,297,212,884,48,5995,4,91,10,756,1,0,2,5057,0,39,1,1,0,0,13122,0,47,187,0,6,0,178,237,230,6017,239,34,11,49,36,10,8,585,0,0,1861,64,85,144,0,250,45,294,0,0,1584,7942,452,10,26,11,289,733,27,1329,38,45,24,0,82,1340,6997,134,0,28,786,0,2,120,8404,39,82,1167,336,0,1746,0,0,37,0,6,8,0,0,1345,0,15,0,14,4979,128,830,9092,73,51,109,0,468,3,4,224,0,860,600,8,0,2431,114,95,876,195,20227,275,2,262,6061,421,597,63,72,4,23,3621,1232,19,0,1159,38,7,3,18,40,57,25,3,148,380,8,0,1376,4260,418,1394,72,3,0,176,59,5,1,483,45,8484,3,11,20,64,0,0,15,45,1,0,163,16,131,6,17
"고령",17,0,2035,0,4485,0,0,1,0,2,5596,0,0,11,4,35,0,0,0,6,0,0,18,0,0,32,2,6,0,1,0,31,0,0,664,0,52,0,155,11,0,37,0,1211,81,0,36,0,35,0,2,887,0,3,148,0,65,1,27,0,28,0,0,0,15,0,0,23,0,3,0,0,0,0,0,0,0,0,5,15,0,16,0,58,4,58,0,1,0,42,0,73,0,19,334,0,25,10,6,0,7,85,0,0,0,63,0,13,0,0,0,0,48079,0,2,0,11,105,29,1,0,6,4,12,12,0,1,0,0,1,1410,0,0,0,16,0,6,3,0,0,0,0,0,43,0,0,3,4,3,0,110,62,0,0,0,0,0,0,9,32,120,0,19,83,0,1,7,30,2,661,4,17,4,4,6,0,1,0,0,0,318,6908,0,0,16,0,9,13,570,0,0,150968,0,783,0,0,813453,0,0,0
"고창",0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,1,125,0,0,670,0,774,85,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,97,0,385,0,1,0,0,2188,0,0,1,3,33,0,0,0,3,247,0,0,2267,452,0,0,0,0,136,0,20,0,1069,0,0,0,37,0,0,223,0,0,0,0,0,0,0,827,0,0,0,0,128,0,2286,0,0,104,51,0,0,0,0,237,0,370,0,0,665,0,0,0,35,14,0,0,0,0,0,166,0,0,0,1,1,1059,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,0,0,0,0,0,0,0,581,206,0,0,0,193,3,0,0,0,0
"곡성",33,0,1,0,1,0,0,0,0,0,0,0,690,458,0,13661,0,0,0,53,0,0,0,0,0,1,0,0,0,0,0,1,0,0,492,0,2,0,2,0,0,236,0,0,6535,0,1,0,1,0,12132,706878,0,0,440,0,0,0,79,0,100,0,0,0,0,0,0,1,0,515,0,0,0,0,0,0,0,0,1,0,0,26,0,3367,357,110,0,0,0,250,0,171,0,0,570,0,0,0,27033,0,0,1,0,0,0,930,0,0,0,9709,0,0,1,0,26431,0,0,126,48979,6029,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2690,19609,0,0,0,0,0,1,0,0,0,0,0,0,1,176,82,0,0,0,0,0,0,0,3,264,1092,81,0,910,8749,5330,0,6,35600,0,0,0,0,0,119,0,0,0,15,0,0,0,0,0,1859,57,4,0,0,1,0,5,0,0,36,0,0,0
"곤양",300,0,21,1,168,0,0,7,0,8,16,0,582,3573,14,24007,0,0,1,916,0,0,47,7,0,76,0,16,0,1,0,103,0,0,88,4,9,0,88,4,0,6462,0,0,354,0,102,0,55,1,1961,14822,0,2,2289,1,163,6,662,0,538,0,0,0,22,0,0,99,0,17064,0,1,0,4,0,0,0,1,21,17,0,322,0,273807,6768,3275,1,0,0,6639,0,1379,0,49,4803,0,21,22,1699,0,8,248,0,2,0,74706,0,20,0,355,0,0,5,0,2349,0,51,10,17073,1325,0,20,13,28,64,0,0,3,0,0,150,0,0,0,56,2,9340,724,8,0,1,0,2,78,2,0,6,1,13,0,58,960,322,0,2,0,0,0,13,65,22,5885,24573,1071,1,24658,5850,356193,12,212,264,37,42,34,25,0,18684,0,1,0,219,0,0,0,51,0,34323,1638,217,0,0,18,3,69,0,1,1051,0,0,1
"곤지암",13,51,9,4607,60,390,3423,121265,6532,349,6,2,0,8,3457,23,40272,42,9402,31,37,52,10893,2208,212,2404,772,7127,1412,14989,1255,925,141,1310,65,120252,1,206,0,9643,15,114,170,0,0,792,36155,77,43,19540,8,5,17,660,153,5937,2292056,24828,41,8476,25,1895,471,5192,471,6,0,9137,39497,42,1758,697,1700,1935,14137,1,263,10958,16002,6754,698,18,863,331,394,32,3401,69,21150,58,1,87,33477,9517,449,186,82,4506,1,514,4104,12600,1387,21134,2810,182,12,90343,596,0,109,0,1,3364,1,470,19528,6,38,0,9750,33217,3332,3388,1313,2848,15372,81140,0,2362,1,346,3296,134,9287,45524,25,0,8403,2802,12031,5952,44868,15471,153735,83,128590,22598,293533,3196,237,63,14,9483,20698,9709,43275,0,69523,93,42,7,42,55,19697,46,6,172,55583,1,0,6792,27384,201,2273,1543,5,11,669,1842,12,1,3230,1294,3665,593,29,36,58,3,70,8,3091,1,87,446,6,1851,735,1130
"광양",1065,0,64,12,1133,0,0,8,0,10,46,0,14426,24082,34,36721,1,0,0,1556,0,0,100,5,0,88,0,79,0,2,0,95,0,0,195,7,2,0,248,5,0,10936,0,1,2674,0,161,0,246,15,32459,185194,0,11,10685,0,853,1,2771,0,3103,2,2,0,32,0,0,244,6,19024,0,1,1,5,0,0,0,0,43,43,0,712,1,169430,11392,5418,1,0,2,13489,0,5531,0,50,26868,0,38,48,23182,0,33,486,0,6,0,43122,0,48,1,3466,0,0,27,0,24178,0,81,70,56876,8112,0,42,19,56,42,0,1,8,0,4,539,0,0,1,81,17,115987,8633,17,0,12,0,12,104,10,0,6,1,36,0,58,4805,566,0,1,0,1,0,65,79,15,7843,45790,3468,1,34165,287706,250553,17,679,4373,67,61,34,44,1,4803,0,6,0,927,0,0,0,39,0,139675,1881,114,0,0,58,9,593,0,1,16825,0,0,0
"광주",0,3,0,955,0,2,43,19931,117,6795,0,0,0,0,45128,0,397,0,4188,0,0,3,95958,11722,136,2313,167489,28363,312691,1872,451,9287,6,6,0,8449,0,10,0,284143,1,0,10,0,0,25,47340,0,3,8848,0,4,1,6383,8,61,357651,119080,1,854,3,3660,1533,673,24176,0,0,1434,4433,0,9,60,404708,3422,85,0,4,126,49983,34354,172,0,260,0,2,0,118141,53,3054,0,0,3,222,114151,0,2,0,40928,0,9,15194,849932,21,3566,198269,1,0,37616,26,0,23,0,0,955,0,11,117010,0,0,0,296,37114,17654,59692,13962,6,5762,11409,0,2718,0,9,47,0,99280,6458,0,0,14834,85,11252,57,14193,235888,13734,2,24817,153743,23958,1034513,5,3,0,1899,721072,813892,1007,0,37947,0,0,0,0,1,3540,0,0,1,15032,0,0,63705,47662,28026,2399,273,0,0,2379,33,0,0,169590,3,13721,14,0,0,1,0,0,0,581,0,1,1440,1,970,88,211
"광천",0,0,0,23,0,0,1,9,0,0,0,137,0,0,39,0,0,295,0,0,8874,0,12164,2159,0,0,0,48,0,0,0,0,0,0,0,66,0,2,0,0,0,0,0,0,0,4592,1,20207,0,68,0,0,13706,0,0,0,33,1094,0,3,0,106,3938,7,0,274,40,0,53,0,0,4918,0,559,0,195,17,0,0,827,3,0,4992,0,0,0,0,0,20,0,167,0,0,0,0,4359,0,47222,0,0,2158,1744,0,59,0,0,7031,0,6685,0,0,33,0,5,0,1963,503,0,0,0,19,0,2100,3,0,0,86,123,76,0,0,0,0,1,4,0,0,0,0,0,576,0,62,0,7,0,131,0,8,0,0,0,0,14,0,0,272,74,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,3517,27,0,0,0,0,0,0,6,0,0,0,52,12841,0,17,0,7703,38,0,0,2,17
"구미",0,410,0,58,0,5986,67526,4331,81218,684,0,0,0,0,10270,0,4407,0,30035,0,2,196,26059,2464,3072,1091,274,16763,473,354076,27119,2167,750,6022,3,851,0,2,0,9631,358,0,2,0,1,4,96884,2,12,1826,0,4,2,2373,0,157298,58026,32809,0,92,0,1461,415,102,19791,0,0,701,818,0,2361,23,152,1171,53772,0,2,742328,17471,13801,18,0,159,0,0,0,1666,71072,216,1,0,0,976654,18516,1,0,2,13539,0,398,8702,145261,9609,874,1409,3,0,28998,17,0,7042,0,0,57,0,6,35260,0,0,0,12,18007,3358,28314,5584,7479,2161,1965,0,20912,0,502,47516,51,45816,3178,2,0,20595,187269,3251,36319,1132,33789,5602,320,6963,16154,8038,481,27,0,0,140,8127,3016,39,0,5182,4,1,0,0,0,296,0,0,0,8165,0,0,36804,31475,13894,1293,26440,0,0,148,96282,0,0,1376,5610,16082,242,0,0,1,0,0,0,22,0,0,116,2,42255,6,16
"군북",1590,0,16,0,149,0,0,7,0,13,6,0,67,820,22,1583,0,0,0,376,0,0,99,6,0,60,0,25,0,0,0,52,0,0,391,1,16,0,665,34,0,320,0,0,37,0,120,0,86,5,209,1693,0,8,13606,0,195,9,3660,0,3174,2,1,0,58,0,0,86,1,2817,0,0,0,3,0,0,0,0,24,51,0,3948,0,6019,103606,251,0,0,0,397,0,8447,1,105,24884,0,26,66,100,0,26,337,0,4,1,2754,0,27,0,24,0,0,21,0,152,0,56,10,1300,50,0,25,14,126,38,0,0,1,0,1,890,0,0,0,59,1,433,91,4,0,5,0,1,84,8,0,10,6,23,0,219,5896,1525,0,1,0,0,0,22,76,30,1625,1645,7444,0,3719,439,17864,8,552,26,66,36,22,20,0,172,0,0,0,2438,0,1,0,41,0,1664,27888,183,0,0,24,0,251,0,1,2422,1,0,0
"군산",0,0,0,44,0,0,0,10,0,0,0,625,0,0,17,0,0,7576,0,0,273,0,24229,2078,0,0,0,80,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,4314,0,36071,0,65,0,0,16672,0,0,0,59,1519,0,6,0,160,5075,4,0,1705,221,0,24,0,0,5781,1,457,0,637,1,0,0,906,8,0,6149,0,0,0,0,0,14,0,1014,0,0,0,0,4102,0,58160,0,0,3672,2871,0,26,0,0,13785,0,11019,0,0,396,0,3,0,2120,512,0,0,0,3,1,3088,3,0,0,103,70,461,0,0,0,0,0,3,0,0,0,0,0,392,0,47,0,3,0,128,1,11,0,0,0,0,10,0,0,30,646,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,1,0,0,0,9404,33,0,0,0,0,0,0,0,0,0,0,260,11077,0,34,0,10597,31,0,0,3,2
"군위",0,25215,0,52,0,298,6505,25,3825,1,0,0,0,0,47,0,1,0,125,0,0,448,162,19,3,3,1,41,6,200,102,8,26230,584,0,213,0,94,0,48,22241,0,194,0,0,0,270,0,0,4,0,0,0,4,0,22771,507,133,0,12,0,2,5,11,56,0,0,3,43,0,228,0,0,3,3440,0,89,85549,41,49,23,0,2,0,0,0,14,14,16,0,0,0,226514,61,0,0,0,77,0,17842,20,709,712,3,10,0,0,35,0,0,1,0,0,4,0,0,137,0,0,0,32,36,28,68,11,585,24,35,0,50,0,14793,1081,3986,116,6,0,0,56,756,25,3537,26,107,11,13146,54,42,25,0,0,0,0,3,27,8,141,0,10,1,0,0,0,0,8,0,0,0,22,0,0,117,64,37,4,16,0,0,247,104888,0,0,1,477,53,15647,0,0,0,0,0,0,35,0,0,83,0,35,15,23
"군자",108,124,36,12264,205,1421,9584,1299,26919,1649,29,1526,0,48,8305,71,94812,15250,28166,101,41087,130,4729,812609,461,6946,2144,127126,2689,32385,4886,1899,372,4543,126,96810,7,501,10,14585,163,316,344,1,0,415942,76290,24647,201,71245,23,12,92570,126,329,12530,16514,765458,145,11090,66,96056,236456,7839,50072,3571,834,27478,45378,115,3000,572490,3038,186858,38181,1272,355,22162,35369,372864,1692,75,274135,2150,2079,150,5042,238,34290,156,1908,241,96077,18281,1629,71231,254,327850,7,1034,9919,56344,4427,6609,5801,809,14030,17066,743136,0,490,432,9,7803,1,234363,309399,6,103,2,13818,50063,1694532,158307,2733,6018,190556,85832,1279,7622,8,803,13950,241,163958,13113,70,0,23634,6625,223474,23555,62554,35080,78243,252,171863,35817,80649,8676,495,169,41,16094,41544,20180,75825,762,46267,351,125,29,172,221,35319,181,64,898,24806,5,0,229659,45714,128281,6216,3160,19,4164,2752,4548,54,7,6606,4285,7208,1443,123,288,284,758,26655,24,8375,3,29947,4482,12,4764,1838,2232
"군포",4,27,10,1845,21,146,910,259,2726,81,1,148,0,6,2187,7,13977,2649,3057,10,3606,20,863354,989,94,849,241,22768,366,3129,589,230,49,394,14,16978,3,75,1,1900,8,39,44,0,0,51810,11937,3721,31,14029,1,1,7521,31,30,1374,2678,178678,14,1907,8,22768,11611,1446,6861,347,103,3401,7220,15,362,96163,431,25042,3480,105,57,2567,5953,18289,230,4,54344,163,149,17,739,22,6271,28,153,18,8906,2475,121,7152,44,523041,1,190,244805,25926,430,1872,854,101,2167,2321,94821,0,51,39,5,1429,0,34573,69490,1,16,0,2636,6010,78867,24881,394,576,39411,17233,123,984,0,140,1054,40,17943,2166,13,0,2749,670,53354,1955,11092,4932,12334,40,32413,5024,15426,963,73,28,3,2844,7449,3882,12594,70,6411,63,15,2,23,23,6275,27,8,101,3453,0,0,30026,3665,18083,677,308,3,694,673,481,5,0,1163,292,1072,249,13,21,57,69,3291,7,1298,0,4990,1320,1,547,279,423
"금강",0,5,0,5,0,55,575,94,991,43,0,0,0,0,193,0,141,0,3229,0,0,6,453,62,45444,165,5,193,7,4864,448,786,10,115,0,51,0,0,0,274,5,0,0,0,0,0,32084,0,0,12,0,1,0,22,1,989,1230,453,0,0,0,11,14,0,464,0,0,146,20,0,73,0,9,29,1052,0,1,2158,2474,248,0,0,1,1,0,0,30,16,7,1,0,0,4909,2510,0,0,0,310,0,8,81,2564,173,18,19,5,0,1139,1,0,31,0,0,1,0,0,519,0,0,0,4,2951,96,526,3079,187,46,52,0,6754,0,3,581,0,571,194,2,0,12744,839,67,776,40,2639,90,4,91,202,159,17,1,0,0,7,139,70,8,0,580,1,1,0,0,0,17,0,0,0,94,0,0,670,2594,414,302,1057,0,0,7,327,0,0,13,100,10990,1,0,0,0,0,0,0,2,0,0,2,0,1764,1,6
"금산",48,2,50,45,201,36,164,1299,510,994,45,0,0,32,3155,64,2832,0,920,85,0,4,6441,717,172,1265,134,2060,987,696,110,240883,9,87,205,509,15,1,11,5380,2,507,0,2,13,0,146170,0,1711,244,32,123,0,355,240,298,16822,5727,51,41,58,140,132,18,7230,0,0,80670,202,106,43,7,137,295,728,0,0,820,21090,2960,8,58,23,1417,849,281,493,16,145,258,0,154,1855,50575,813,0,514,3781,10,9,1137,33936,116,306,480,1406,0,8087,1,0,29,0,44,48,4,2,5665,18,94,1,18,40989,1042,6950,107889,108,404,554,0,495,20,5,320,0,7202,1759,74,0,3072,213,577,480,500,59857,2014,8,1224,2767,3640,371,1687,101,6,78,1551,1140,51,0,6959,439,87,23,100,104,173,158,28,832,3294,8,1,9684,17363,5124,26251,213,33,0,96,135,31,1,494,66,67041,4,58,124,317,0,0,34,31,1,0,69,146,321,4,15
"금산사",0,0,0,9,1,42,74,441,160,196,0,0,0,0,1120,0,184230,0,283,0,0,1,1483,213,6,179,45,520,3765,285,84,459,3,5,0,130,0,0,0,9615,2,3,1,0,0,0,1454,0,1,76,0,0,0,48,0,110,7216,2254,0,13,0,71,23,3,545,0,0,122,53,0,0,0,12894,91,32,0,0,245,1024,765,1,0,4,0,0,0,16872,3,45,1,0,0,345,4157,4,0,0,845,0,1,223,13912,30,71,3929,1,0,870,0,0,3,0,0,7,0,0,1941,0,1,0,2,850,339,1094,910,6,107,146,0,125,0,5,100,1,1873,139,0,0,493,73,186,208,124,6941,278,5,464,9468,751,17990,1,0,0,20,20376,50270,21,0,901,0,0,0,0,0,49,0,0,0,291,0,0,1065,1380,449,109,43,0,0,25,47,0,0,6263,6,602,0,0,0,0,0,0,0,8,0,0,17,2,49,1,3
"기흥",36,18,14,1021,34,187,1701,633,6054,217,2,0,0,12,7174,13,17873,53,14617,12,77,12,132011,18570,103,1190,304,3923,653,6490,2228,502,45,759,38,19778,0,31,2,2905,30,47,17,0,0,909,19076,83,25,24167,7,1,54,14216,54,2970,2829,226878,17,1687,11,38335,2292,2320,22989,7,1,4852,8982,15,762,802,605,22189,8445,1,32,5414,14862,158237,129,14,1644,200,248,23,1646,49,3748,35,1,20,21197,4317,703,218,31,112205,2,88,34588,2283275,2120,2117,1219,145,39,567,636,0,55,0,2,696,0,482,210852,3,26,1,3603,17342,16136,225100,640,1130,47651,16711,2,1391,1,73,2001,9,86059,566,13,0,4307,1384,95147,5125,9540,10963,11706,30,52000,9476,10005,1307,98,24,1,1620,8843,3647,5812,1,3997,39,25,4,20,22,3475,27,4,105,3060,0,0,211391,11814,49957,1096,739,4,11,735,744,5,1,1310,1314,1812,75,17,47,32,1,82,6,622,1,100,762,3,781,142,307
"김제",0,1,1,17,0,13,257,643,238,231,0,0,0,0,1479,1,273748,0,461,0,0,2,2293,308,21,993,3764,847,215,687,56,735,11,8,0,229,0,0,0,16088,0,0,0,0,0,0,2154,0,2,134,0,0,0,95,0,164,9568,3421,0,19,0,109,76,6,782,0,0,172,119,0,2,1,15782,122,60,0,0,352,2315,948,2,1,4,1,1,0,20886,9,117,1,0,0,682,7121,3,0,1,1269,0,7,372,17233,32,117,4594,1,0,1510,1,0,7,0,0,20,0,0,3660,0,0,0,10,1863,525,1783,1195,15,158,215,0,168,0,6,239,0,2901,329,0,0,755,147,402,195,307,10042,640,6,680,13270,1047,23827,0,0,0,37,18833,429560,32,0,1819,0,0,0,0,0,81,0,0,1,822,0,0,1804,2676,706,201,36,0,0,37,53,0,0,30568,21,1026,0,0,0,1,0,0,0,25,0,0,34,0,68,0,3
