"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","일죽","장성","전주","정주","진천","천안","청원","청주","추풍령","태인","통도사","판교","황간"
"남구미",7487,1,20807,3,48,224,16,2,2,0,612,0,23,493000,946,4,30817,14,12,74,4,1,64639,0,2,60116,24,5927,2,943,43,63,3112,2,1250,12,70,2573,1453,64,6818,12,7771,11,4,33,50,2,2,72,21,2,171,70,239,51,0,2677,111,89
"논산",69,18,1196,30,32545,429,20,1546,37,1323,834,39,0,3663,1697,31,448,325,177,719,12,829,2738,2952,196,281,112475,42019,66,3431,2404,1260,474,10,19,82,134,117,5517,1581,67,45,583,0,8163,239,8676,28,2178,39785,10631,68,1547,5234,2497,86,1863,9,2766,48
"대구",39267,63,107052,180,47,153602,409,33,1457,56,18578,141712,1973,0,73328,310,36241,939,180,14977,61,0,28964,22,147,1629,1760,243036,171,30271,2885,7866,5432,125,2409,629,4845,22399,66784,9565,192039,1674,21215,568,806,3419,1882,72,1,976,217,86,14338,10108,12887,1235,11,1299,32077,7741
"대전",2609,197,27747,420,17203,15231,28942,52,794,166,40066,0,2421,127441,0,161,9990,4112,2685,60568,547,72,54722,172,4953,3240,760,390221,3163,46355,29470,26550,3439,215,563,912,17463,2301,73152,53334,1387,5,16707,1634,3385,1704,10032,321,72,20824,3504,861,140163,95343,116858,4868,117,1404,26472,14794
"덕평",15,58,84,124,337,179,0,1,588,6,72,1,25,1078,622,0,84,1564,3005,56,2574,2,572,0,1091,55,15,64692,63,10694,37,327,60,996,5,4426,9,0,957,15,4,174,42,1729,7,39591,85,100,3,204,27,74,844,12,210,3,5,2,8506,4
"동대구",120338,5,570788,37,35,51428,92,12,103,23,4816,91,566,72195,14342,43,0,212,268,2336,15,0,269630,10,10,715,466,38188,68,5289,579,1560,20238,16,11113,44,945,106177,6937,1636,23578,3,94628,89,36,1619,633,7,1,437,333,11,2417,1692,7908,719,7,7728,8861,1268
"동서울",162,26127,1206,37543,5091,972,46,56,13,282,1643,0,825,6507,17302,1664,655,0,0,305,5820,74,3988,219,9241,369,713,94,16444,426,1325,90,235,686,56,5806,412,128,99,631,101,939,508,9175,0,26268,2065,21973,118,3778,1237,11950,387,520,138,114,229,29,0,105
"마성",43,2,261,2,837,215,6,29,1861,35,482,0,96,122,1418,541,110,69,0,951,1034,32,577,86,1634,1334,98,161266,14,74344,161,1306,59,1623,18,1377,113,25,3434,126,16,4256,94,1175,694,4304,445,0,20,694,158,3,4939,518,1704,28,53,17,18844,14
"목천",1199,5,4784,3,7787,5982,191,275,162,179,6346,0,1071,20339,76374,52,1777,20,852,0,153,318,14835,346,755,0,3121,63543,0,9204,14508,4751,1629,39,435,732,922,940,11428,2554,418,877,1428,422,0,375,2315,0,137,5288,2045,0,8364,8227,59573,1124,270,444,5911,262
"문막",1,72,16,362,157,53,4,3,367,4,47,0,25,1142,436,2230,100,5069,4434,290,0,3,954,7,5689,66,9,111183,89,36899,37,412,17,6355,1,52077,2,0,1799,9,29,227,22,2624,132,128706,413,122,4,129,29,166,1018,5,92,5,9,0,7383,0
"백양사",1,3,232,12,52112,8,0,1152,9,2971,6,1,810,10,520,0,5,8,43,365,0,0,1,297,25,19,2136,6649,5,770,52,206,0,1,0,31,1,0,1074,30,0,8,0,14,264,35,358,9,32056,4356,48437,2,285,222,178,0,1198,0,1715,1
"부산",39035,82,644774,229,10,68972,134,708,1040,133,11329,2765,1992,78075,36072,303,257076,935,1036,10037,229,1,0,21,62,2358,2833,246063,412,49355,4748,13109,1030271,214,161744,679,2781,83038,93954,4177,11692,1396,173728,686,18883,4674,4883,70,0,24631,1361,83,17493,6971,26571,507,27,236907,19100,3035
"삼례",7,2,80,16,5008,174,3,932,7,826,99,3,3261,62,206,8,25,118,23,660,3,257,110,0,66,169,5547,9627,15,873,170,229,3,4,7,27,3,7,2302,179,5,136,37,54,910,76,467,5,133,2266,3702,4,456,1055,731,9,901,3,1807,3
"새말",0,84,24,321,1109,53,4,7,241,31,93,6,150,237,5055,771,24,5308,2616,1018,5626,7,157,20,0,113,122,243740,153,39210,169,1587,4,3866,3,11322,46,2,3521,71,6,3033,14,221900,216,110558,495,85,11,882,134,43,4950,64,785,4,20,1,10894,10
"서대구",34431,52,93754,102,111,515557,390,64,694,88,25176,66485,1903,2463,71336,83,33979,765,869,6699,83,3,75929,42,80,0,1440,183600,83,20408,4983,5538,9179,112,2934,355,4260,15936,37801,8771,345741,233,18795,252,279,783,3067,62,2,1763,617,35,9047,6677,7385,2210,35,2323,15418,9229
"서대전",213,20,1543,66,50015,627,124,1566,46,3499,1440,0,125169,4650,1219,10,503,439,270,3057,34,1993,4812,5708,142,45,0,26742,487,3403,5333,1399,305,10,21,70,172,124,6898,1072,39,43,502,118,5585,294,99408,46,1565,90759,19453,44,3026,10549,3771,118,3308,25,2684,67
"서울",6417,1,98569,57,341512,53815,2721,3238,426993,9712,101460,127,42637,348095,460646,66826,25598,14,81850,65915,94304,4431,282074,6763,239773,18316,21971,0,159,1567947,51945,623168,14303,338260,2834,82019,22242,7258,888937,29841,4613,567916,39644,200516,20001,295524,127384,935,5475,209335,70493,762,1083869,21997,448778,6227,12827,3077,402441,5294
"서청주",14,342,108,807,491,137,10,6,3,9,149,0,88,511,8070,47,223,16513,154,0,75,4,810,20,164,0,607,1698,0,242,269,2,48,73,2,162,72,14,8,665,5,0,78,248,0,731,200,1077,4,577,73,1907,0,100,0,10,9,0,0,32
"수원",2122,17,22032,98,47864,15863,260,246,95721,1293,21207,0,4801,87732,63826,11857,6080,64,95141,9110,35551,637,82131,964,44035,0,3101,1456984,78,0,10463,77565,6160,23163,1006,40711,2444,1664,38751,4415,1048,558,5164,37672,0,134045,11493,576,663,32007,7013,370,116104,3657,67928,1066,1003,2629,167482,1141
"신탄진",126,43,2553,90,3666,1649,932,87,488,132,2016,5,3034,8000,43914,43,1144,889,429,15129,48,79,7577,348,220,550,5514,64717,312,10315,0,5381,185,93,100,152,1939,149,31712,11166,481,95,618,247,224,800,3149,118,78,4927,814,151,16133,4361,6917,347,166,40,5379,530
"안성",411,1,8088,3,9586,1911,204,93,2484,318,5266,0,1335,7891,29716,233,1517,6,13,5926,395,133,10960,189,1641,10316,1331,592840,0,77164,5102,0,1795,370,223,849,800,328,91275,2087,585,3418,1459,1400,0,2184,3932,0,204,7235,2019,0,38990,1871,35275,293,330,441,54798,237
"양산",8604,7,177602,30,4,6663,6,3,94,2,1145,170,447,12909,5159,41,22258,170,128,1559,14,0,934006,0,6,326,438,23599,18,4039,626,1360,0,13,38833,91,296,18503,15003,503,1891,166,158338,320,82,309,164,9,0,279,3,6,1229,1096,2306,18,1,20136,2492,303
"양지",10,21,192,49,273,80,1,0,937,10,83,2,15,392,386,1115,30,642,958,71,7482,4,426,5,5404,126,23,353813,75,20225,115,296,30,0,4,13387,16,10,1352,17,3,4608,44,4507,43,32915,57,46,3,145,36,79,770,18,131,6,2,7,48588,2
