"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"원주",0,141,4221,1955,29944,7297,1027,9,46,1014,131,1634,0,2006,11853,23521,2144,526,397643,95596,19,103,46738,77,6572,818,137,435870,64,2264,101737,18635,81528,3976,2598,540,11886,95,72616,158,64,8325,1254,100,16576,1418,0,0,2625,59386,5155,14613,98,5558,1034,2470,3627,6070,1153,4,64,85,25,52
"유성",2,4143,4907,21795,12961,119784,17172,3801,4969,2031,8565,22040,40,98670,76757,83889,875,13813,76858,13086,5973,44718,2820,3583,30680,2307,11079,7153,0,37542,445729,3020,130535,26566,22456,3637,1095,632,3135,7925,1642,27691,53791,2580,0,10206,6217,0,8477,8265,131903,7740,5198,143416,30518,36507,9080,66610,35558,87038,2336,9690,374,2754
"음성",1,1253,17107,3360,108833,8069,3169,82,240,1854,465,3014,0,3822,13495,37188,4029,1828,993751,185242,14775,0,3238,215,6344,1796,488,5001,0,3289,58595,139264,50253,16518,0,1365,6847,210,4544,958,252,1834,4486,398,0,2290,3217,0,0,17981,6296,30469,470,6528,2155,50155,33309,0,6779,0,166,627,93,977
"이천",0,1119,11967,7237,46506,17707,5483,31,167,6110,852,6478,0,6613,20881,36488,16480,4172,665605,369684,686,202,122279,469,13427,2256,450,95229,0,3646,104658,42692,74947,10598,3083,1531,31249,325,36276,1284,330,13548,2991,841,30239,3622,73485,0,15587,0,11080,24067,606,12190,3227,12720,13151,6364,4167,0,325,416,200,258
"익산",0,1963,3946,10851,16546,85709,11580,158,5988,1787,6895,7076,0,52367,22037,60941,1004,4012,197432,103366,356,7698,3232,4393,7961,16327,1531,6968,0,266720,323369,3447,50352,16150,19262,1145,978,460,2615,1471,766,37158,9653,818,4450,6205,6005,118788,5587,11419,0,6733,5155,19133,35621,23037,4914,24043,20618,39916,404,6987,178,654
"일죽",0,1168,23718,5386,103312,13093,2806,336,146,650,595,5412,0,4799,17823,36795,8033,1948,728267,124761,0,0,15578,526,8157,406,635,24505,0,4757,17893,47541,1633,11510,0,1471,3914,280,7593,858,370,660,4039,541,8161,2241,17606,0,31182,28613,7396,0,821,10635,2590,22690,15949,4,5483,0,232,517,300,303
"장성",0,0,377,0,1545,662948,0,0,8421,134,11337,0,0,8944,0,7495,0,0,22627,9383,1,760,0,14777,0,1492,2336,328,0,9084,32542,763,5912,988,1484,0,0,0,331,0,0,3632,451,0,372,0,382,0,406,621,4945,572,0,26880,40406,1441,511,2135,1486,1527,0,3769,0,0
"전주",0,795,4730,3882,21411,509399,7115,139,19307,2053,20694,3792,0,125775,6698,78215,1483,1565,292221,191756,11,12771,2358,20438,5645,14455,4056,6732,0,202356,438302,52978,10629,16009,21108,581,1134,163,3896,996,267,68293,6364,358,6088,5315,6037,129437,6038,10401,21022,8292,22647,0,270890,25515,5249,35519,19188,3794,198,42249,76,412
"정읍",0,306,1532,1541,7467,442494,2020,2,26227,273,339807,1915,0,38673,2542,41302,703,306,124097,18350,6,3518,416,38113,484,4168,27029,2447,0,46404,155607,1445,51055,3218,6481,14,146,5,1032,239,23,14833,2783,32,1273,744,1523,0,1673,3040,35140,1766,38798,290485,0,5713,1269,10228,4042,8537,57,20956,13,100
"증평",0,1414,8369,5110,42501,29986,5041,219,699,207,1803,4281,0,13636,18422,194830,2386,2943,338058,68671,7750,0,2014,821,9993,7795,1756,5594,0,20295,18672,96640,14817,73734,0,1882,4843,388,2452,3003,551,456,19457,550,0,4090,3747,0,53209,14732,22291,23545,1719,25568,5596,0,44998,0,41651,0,281,2609,639,965
"진천",0,900,7026,2999,34083,7677,2386,65,104,248,327,3228,0,4797,12897,47827,2600,1620,236217,12491,3712,0,3735,376,5281,1780,369,5046,0,4653,8301,145220,43532,21705,0,989,2310,333,3020,1095,257,302,5917,502,0,2131,3667,0,32492,14146,4892,15165,581,5673,1359,37892,0,0,11326,0,149,444,361,473
"천안",4,5736,736,23591,1497,47416,17140,518,1328,25936,2679,20896,0,12020,72958,349665,2540,11071,2498,703277,27243,36316,3112,1058,38022,13854,1923,10986,0,23119,2964104,0,340363,78785,99897,6899,1819,1823,3574,5085,2041,214702,23708,2698,72,841,7667,0,61,6965,25667,105,1928,34165,9744,32,8,0,28468,215775,1261,2289,9902,2578
"청원",2,2707,2356,13682,6977,21650,7119,1611,627,1142,1861,13711,29,14934,40351,184520,413,6312,49962,54124,2445,39527,1768,825,14596,3836,1403,3845,0,31313,86316,32603,18964,25334,12519,2435,466,517,1242,12541,859,22689,87531,1415,0,235,2228,16,7840,4417,21720,7158,2170,20581,4926,54689,14035,36399,0,4445,1255,3422,5554,4868
"청주",1,2500,0,9940,0,16481,8705,773,325,8993,1406,9481,0,6983,35900,135777,77,5245,0,359265,4859,140353,128,557,22119,5574,1013,498,77,8778,728039,0,143592,27858,109663,2996,156,524,126,4237,808,167670,17066,1287,0,344,432,18,0,401,12595,0,714,16271,3455,0,0,229285,12449,0,595,1057,5989,1476
"추풍령",4,805,154,1879,609,217,14784,659,38,83,141,18845,0,686,23373,15048,223,3816,4085,3223,235,1477,74,5,4289,365,19,100,685,661,16439,2354,5119,1004,994,650,23,148,135,4799,326,2088,6562,1897,2,63,205,2085,221,349,577,258,14,410,135,364,147,1646,1215,6,0,43,919,4215
"태인",0,80,373,378,2259,61797,505,26,2755,83,25019,430,28,10725,274,37,83,94,20690,14661,18,781,143,4045,109,989,7756,435,352,13998,47007,2426,5339,978,2074,27,43,4,198,66,21,3782,525,44,336,239,250,12406,512,579,8309,402,3870,46780,24210,2111,384,2898,1807,1367,44,0,1,29
"통도사",11,7193,103,89168,925,12,6512,12,1,136,18,2112,0,196,18443,5837,62,29647,4801,7370,0,756,104,0,884830,516,7,11,0,157,16349,398,5026,366,1303,144374,40,38592,75,377,8998,4116,1344,2328,288,0,171,0,297,582,402,306,0,143,14,283,292,1270,518,786,81,0,279220,296
"황간",2,3176,263,7728,877,547,26876,781,67,113,67,34180,0,943,53615,47520,139,7428,1434,7437,202,1362,96,14,13081,700,45,175,0,739,27022,5187,4776,2026,1257,2409,34,496,107,9938,1084,3245,20767,3883,0,208,173,2727,1440,287,673,330,32,460,238,949,460,2801,4733,581,3898,82,5328,0
