"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"김천",1190,436,5951,1669,197,23200,946,39,373,197,0,0,1435,50093,47955,194,5035,40654,956,7658,83,3,16977,109,282,0,1642,125867,1557,15500,2448,4576,1712,115,381,563,7213,703,27046,9186,831,234,2064,410,5205,128,3299,2168,525,9,1956,522,223,493,6327,6833,5677,4541,126,230,9740
"남구미",9327,7,26016,26,50,554,39,1,11,13,1138,0,33,711511,1600,9,37316,872,4,161,13,0,74605,3,19,6900,47,4450,75,1543,152,121,5531,2,3038,11,114,2455,2862,161,10826,55,17725,22,0,2,91,83,19,3,150,37,14,23,248,67,306,76,1,1685,134
"논산",145,275,1457,911,43966,750,77,1639,52,2316,1522,0,0,6569,4183,167,803,19365,299,1425,367,1338,4672,4192,603,0,151712,50346,1848,6217,4063,2007,557,38,51,367,323,128,8546,2705,165,103,864,512,12623,368,1025,11830,618,1604,55460,14383,366,835,2114,5393,3630,150,2451,24,110
"대구",56472,818,147867,3860,36,352831,645,44,1064,85,28252,94626,3365,0,91693,868,66237,86190,0,17712,491,1,44788,55,571,4252,2820,247655,2545,38683,2862,10294,8017,291,4084,1323,6395,21114,76750,11771,252835,2767,35254,1761,0,250,7497,3169,1312,1,1168,377,462,1064,15477,9024,15377,1656,21,1621,10300
"대전",3155,2350,29137,7064,22616,21279,38605,111,1145,495,48963,241,5814,153047,0,604,14603,175796,3930,104428,2605,145,65120,481,9859,382,1992,372555,57223,58319,35986,31824,6101,525,1109,2959,28944,2191,95726,106935,1919,233,20699,5627,9564,1809,6887,13281,6032,114,26910,4631,10494,10399,140573,87353,156358,5805,449,1654,19249
"덕평",35,844,191,2468,681,331,4,1,837,9,230,2,168,1985,1619,0,154,27875,3634,98,3224,6,1048,6,950,18,89,88296,1627,22109,210,750,354,918,8,2241,23,8,3524,59,7,442,56,2290,0,258,7200,174,2039,5,464,215,129,553,1319,82,88,5,14,2,13
"동대구",87608,151,615683,642,8,68610,121,13,111,44,7646,408,1007,124838,21203,110,0,20032,528,3191,78,0,314827,11,71,267,1072,47454,1929,7805,835,2201,32109,44,16919,181,1386,42875,10736,2367,30124,24,122631,340,74,56,2708,1019,290,0,766,320,103,350,3492,2005,8075,873,12,7943,1880
"동서울",2503,572884,25323,686531,98501,20128,1062,1665,185,5405,32540,10,18569,119861,220704,35227,12121,0,4870,2584,156642,2161,66727,3628,253864,1582,11153,758,273360,7543,22522,346,4311,11835,1171,123648,10790,2350,995,13111,2050,16949,10571,199828,1052,31595,416800,39514,355538,2547,74452,26630,30335,120101,5665,9055,18,2262,5140,832,2823
"마성",38,131,335,138,1162,278,7,32,2052,48,532,0,128,1662,2796,746,171,2554,0,2790,1401,51,721,72,1874,171,114,232538,990,102162,249,1585,86,1669,35,1734,106,21,4883,97,20,4616,179,1149,19,21,4099,687,276,24,904,245,41,185,5782,190,1281,35,67,20,19
"목천",1115,14,6662,54,10622,6709,320,479,264,326,8961,0,1479,28705,132573,62,3033,121,37,0,174,382,20617,429,976,122,4173,99955,0,15772,23553,7058,2814,101,776,640,1410,890,19058,4005,294,3267,3280,416,0,0,415,3273,10,416,7502,2238,1,0,6928,9379,67288,1222,348,197,391
"문막",21,1660,144,22898,861,65,4,8,646,56,235,0,386,1951,3612,1879,196,194378,6450,316,0,25,1829,34,8235,7,281,74061,2721,49744,552,701,54,5861,11,37885,55,21,3100,123,17,0,123,4276,0,459,83138,837,3587,14,708,193,164,1686,1448,86,16,15,30,4,8
"백양사",2,30,221,171,72603,2,2,1612,5,3795,12,1,1461,18,843,0,0,3978,81,394,0,0,1,576,0,25,3317,8161,149,981,75,275,0,0,0,110,8,0,1622,55,5,5,0,0,440,0,85,612,70,29423,5868,34253,0,39,432,293,269,5,1469,0,5
"부산",48310,1573,755029,3515,7,85248,195,171,909,102,18014,467,3576,105915,36263,449,306548,57542,13,13585,735,0,0,46,179,5256,3392,253981,8056,53348,6109,13595,1239799,358,210553,1321,4055,101857,98385,6201,16009,2326,233665,1282,30377,244,7929,5273,1036,0,21431,1518,365,966,18467,6526,24661,553,35,312393,3851
"삼례",14,64,65,260,7836,202,6,1479,17,1652,176,0,5149,330,564,11,69,5388,5,468,55,543,136,0,150,155,7846,14813,270,1578,249,356,7,15,3,63,20,6,3509,299,7,194,57,156,1773,86,238,955,110,295,2784,7430,73,187,699,1090,1388,10,1842,3,5
"새말",4,1897,72,33111,3350,200,15,38,377,90,259,0,538,1270,11565,607,55,289011,1549,1037,7726,20,462,63,0,0,461,139974,6340,52584,934,1841,19,3636,11,12535,105,3,5145,206,19,5364,63,275934,0,256,58513,1576,4653,30,1768,391,382,1158,4546,326,35,13,69,1,36
"서대구",40188,1096,107526,3022,80,757081,588,103,575,98,34216,18,3122,2845,83984,352,44975,35886,993,8001,350,1,97668,104,266,0,2563,205202,1790,24955,5826,6230,14066,163,3875,1000,5233,11504,41840,10361,396287,594,23682,761,0,120,3627,3661,732,1,2093,768,215,580,9417,6496,9844,2429,65,2196,11432
"서대전",275,252,1840,904,61344,1248,233,1844,74,5705,2043,0,167807,5648,2658,136,1158,14166,280,4636,339,2854,4965,7536,786,1577,0,27827,6207,4866,6520,1759,700,164,33,557,454,130,8494,1701,67,125,811,558,7365,236,2806,120841,809,1621,112310,23457,904,735,3758,10453,6188,180,4712,31,119
"서울",7222,61,94245,367,404385,58816,2720,3948,587186,14194,113296,0,54239,387626,504692,83137,30143,270,227211,88864,78754,5695,297740,9971,192413,318,21620,0,2274,2396005,59848,830192,21812,326158,3643,65245,23810,6094,1333411,31243,4707,703645,45117,145755,78,3538,198289,144444,20408,7057,240147,82270,2945,10059,1508847,20012,403484,5473,16038,2580,6504
"서청주",398,3949,2988,18214,13134,3323,431,163,8,504,3746,0,3567,15102,168756,1117,5788,287701,4268,0,2399,132,15297,752,6362,60,8930,5258,0,3427,10857,6,1552,764,150,3854,2643,283,49,14601,129,7,3554,7664,0,6663,10876,6363,12818,159,13198,2439,3694,25000,0,4602,0,350,435,74,673
"수원",1892,448,18622,1920,49063,19820,418,553,125237,1972,23587,0,6834,88903,74944,24974,7345,991,132763,13992,48582,751,73647,1267,62347,0,3332,2216539,866,0,12283,98971,6298,31385,3309,55246,3391,1237,48984,4553,1112,823,7414,52369,0,2362,149080,14234,13684,913,35512,7634,2682,6705,139985,4102,77092,986,1637,2802,1322
"신탄진",188,506,3012,1782,4950,2257,1132,265,528,233,2791,0,5128,9971,41365,218,1675,29855,455,24216,896,99,10563,314,1234,21,6628,71093,6009,13211,0,7508,474,228,143,591,3104,114,42708,17933,269,302,861,1068,75,294,4715,3968,1850,93,5462,1017,2333,2336,20029,6372,14782,248,302,17,629
"안성",395,35,11414,141,10048,2755,223,85,3467,408,5206,0,1620,19894,35194,429,1873,132,0,7626,623,178,10964,318,1954,0,1473,788466,0,96341,6673,0,2856,482,291,1023,1049,405,114795,2994,559,4516,1792,1466,0,3,1762,4462,3,177,7248,2009,4,8,44553,2092,40132,281,408,376,243
"양산",12941,175,263281,718,4,11178,16,2,165,8,2176,0,669,21350,9562,97,36139,6556,53,2259,65,0,1131844,2,18,398,719,36888,786,6838,933,2803,0,59,51679,153,564,28151,26453,1159,3091,427,279571,572,0,37,885,226,153,0,284,12,63,142,2181,1364,4020,59,2,32874,544
"양지",25,522,412,1099,550,229,7,4,1191,11,305,0,70,1560,1125,1000,104,10028,1596,121,7506,4,2478,12,4964,26,179,335399,1140,29547,331,472,350,0,14,7414,40,30,2352,80,10,5025,139,5164,0,169,10109,126,745,14,374,48,485,771,1086,48,92,9,9,3,15
"언양",4739,18,64198,183,3,2939,8,0,64,3,309,0,43,7586,1893,8,15619,1727,8,1166,9,0,188964,1,5,0,56,7097,72,1841,271,611,41985,10,0,22,71,3392,6396,186,977,109,670019,46,0,6,177,43,40,0,37,22,10,29,476,421,630,17,2,10830,118
"여주",32,1592,536,3791,1955,176,14,28,1546,82,519,0,407,2627,3931,2265,162,135456,2194,685,38862,98,2435,45,12316,0,393,48056,3861,53752,573,999,98,4947,15,0,159,44,3748,348,28,9007,238,38829,0,253,21578,623,4412,33,1149,357,261,1057,2642,268,27,60,40,20,38
"영동",240,143,2459,386,200,2842,2367,7,36,25,7109,0,311,10458,28343,20,1019,11410,175,1147,49,3,3915,9,127,0,321,21012,1100,2927,2327,960,577,39,116,172,0,174,4373,31693,208,8,727,107,1382,77,242,311,217,5,283,65,154,241,1464,2747,2677,1753,11,56,12841
"영천",12637,23,19738,72,6,3876,9,22,59,10,767,0,104,30960,2331,2,47515,3001,6,558,15,0,100940,4,3,0,170,5248,100,793,122,219,25827,11,4134,138,182,0,1427,385,2086,42,14470,42,0,6,103,196,39,0,137,37,27,22,566,364,409,40,32,1820,402
"오산",6659,136,68340,509,116694,36474,461,1036,4026,3255,45033,0,11261,181904,140534,3847,15386,185,2788,21504,2997,1834,135931,3469,6743,0,9736,1356570,38,42159,42417,137590,30899,2446,5708,4318,5895,2435,0,13100,1929,10127,21171,5659,0,71,11669,31675,264,1917,64554,18515,69,210,295756,16903,183136,4813,2868,3064,2750
"옥천",714,226,2540,1057,1984,3710,35615,63,101,220,10566,22,2951,21009,95642,44,2460,16390,292,4534,124,80,6918,288,254,0,1549,31770,8898,4845,16341,3231,995,67,176,327,33678,601,11960,0,353,13,2584,358,8912,154,839,2418,718,35,2594,902,535,879,4623,26734,12093,2104,199,148,6361
"왜관",10462,20,14939,174,3,14501,27,3,33,7,1055,1398,92,567628,2739,8,28368,2750,58,299,23,1,23771,5,34,68823,55,5894,66,812,337,622,4270,5,1278,26,287,2773,1360,417,0,1,3450,45,14,11,124,158,67,1,100,43,17,33,462,283,379,218,1,684,406
"용인",24,342,759,608,1533,717,4,8,2081,30,679,0,225,3783,3082,3993,216,5539,7561,515,4875,70,3944,29,5338,291,205,697186,3066,28908,801,1278,363,7009,37,9608,60,25,4165,119,29,0,368,5951,0,265,20334,460,1394,21,1056,140,400,979,3742,141,743,16,29,82,39
"울산",20447,212,37701,669,9,30305,125,20,1083,90,2545,0,1376,64112,31339,98,128901,14254,0,5034,196,0,222024,44,61,354,769,59612,2707,15115,1210,2307,255857,78,665344,207,877,16118,33731,2041,3868,781,0,447,0,78,2093,2779,525,1,8346,528,218,303,3840,2071,4801,67,49,74299,669
"원주",15,1641,290,23458,1672,138,1,28,532,64,313,2,454,1957,5694,1862,136,215925,6373,371,4890,14,1368,68,296978,14,352,112877,6084,48430,791,1350,154,3483,26,38997,79,29,4386,213,26,575,238,0,51,252,50737,846,3094,18,1222,228,213,816,2850,201,29,15,48,10,21
"유성",544,701,3614,2029,20169,3657,1496,623,471,1299,6895,0,12620,18973,9564,201,1861,55130,1250,16304,572,575,9555,1734,1310,0,4886,126653,3860,14946,6970,5701,755,234,414,741,1683,677,22006,8372,237,197,1530,1183,0,335,1731,22152,1265,457,30349,5160,1476,1810,17773,12331,26286,586,1136,79,487
"음성",11,533,103,3632,321,40,3,1,40,12,103,2,257,251,1812,181,30,32262,237,2,542,7,234,45,434,9,140,147,7247,2058,248,2,12,108,2,460,45,5,56,108,8,0,49,376,0,0,2244,188,4091,1,277,81,2055,3550,8,125,0,9,17,2,14
"이천",156,3650,2573,3422,5285,1120,37,42,3855,140,2753,0,1133,10617,8418,8328,2338,436300,4247,417,90745,104,11875,167,71962,0,1180,161737,10712,133631,1940,1610,735,8379,96,23530,200,89,8911,650,55,15744,1689,61299,0,1747,0,2754,18946,55,7217,591,1037,5832,4472,701,1,113,148,45,72
"익산",137,399,3692,1879,10284,1732,101,638,371,660,2344,0,10309,8495,10337,123,847,46150,1121,2856,893,372,6914,843,1448,28,114808,144226,3283,13557,2867,4311,213,95,51,665,316,199,23072,2210,115,95,2524,1192,19647,408,4680,0,850,236,4927,3756,986,799,4517,10247,8381,261,821,20,221
"일죽",93,5660,1167,21986,2184,480,31,23,132,59,887,0,1042,4283,7674,1704,423,313913,445,27,3765,48,3624,115,5321,35,643,492,13424,14477,1990,3,462,464,60,5026,232,67,189,788,100,1386,361,3952,0,3827,24100,919,0,27,1458,443,1741,8986,19,509,0,57,52,42,57
"장성",0,10,0,82,521796,6,1,765,13,2564,8,3,1341,0,581,0,0,2861,0,262,0,28973,0,289,0,2,1733,7613,118,945,73,253,0,0,0,0,3,0,1436,29,2,0,0,0,44,2,37,425,55,0,4653,16951,16,22,285,208,285,2,807,0,5
"전주",135,949,2290,3550,193823,3192,82,14554,505,11270,1821,0,50404,1797,25314,271,721,76967,2352,7372,470,4701,17386,1170,1661,3822,108123,250763,4262,33379,4824,6965,185,131,29,1086,291,184,42450,2410,118,98,7367,1887,28863,443,5153,4335,991,4044,0,84986,998,1225,9224,10914,18718,134,18015,14,122
"정읍",548,245,492,1105,212239,429,17,10607,71,193815,635,0,16322,91,9695,174,147,27056,474,2244,150,34566,1029,6713,559,2376,22657,99927,1095,7308,636,1846,187,25,27,363,74,52,15012,772,47,20,435,380,0,82,602,4694,396,16515,89282,0,226,310,2867,2300,2536,83,6569,19,54
"증평",19,575,141,3416,1409,242,24,23,29,48,237,0,431,717,10740,89,91,35159,36,3,107,23,724,63,454,36,723,124,3221,2894,1740,7,54,191,12,268,236,31,55,518,15,285,172,339,0,1728,1365,1025,1450,15,1137,289,0,1275,3,386,0,18,35,3,37
"진천",55,1995,587,11716,1255,399,21,19,63,65,530,16,581,1389,11932,364,276,126295,1105,5,1747,18,1315,149,1438,122,478,839,22390,6628,2024,11,104,413,23,1274,248,47,151,699,28,69,248,1129,36,3140,7078,549,8813,23,984,278,1999,0,5,1435,0,28,60,10,62
"천안",983,100,6627,407,12711,4491,453,201,5120,548,7397,0,2166,24460,144897,1123,2692,320,3880,6456,1361,329,17602,543,5156,1692,2857,1512816,5,130948,16204,42818,1735,977,356,2708,1561,589,245655,3829,420,6145,2544,3756,0,5,4904,5094,30,252,9500,2824,11,16,0,5876,80309,777,545,161,696
"청원",564,198,3091,688,15362,2241,830,174,335,580,8093,0,5206,18274,105914,75,2085,13016,304,8933,169,271,10348,831,554,3,8449,25065,3735,3605,3191,2178,1464,56,259,354,3369,325,13251,26021,233,5,1733,496,0,205,1550,10734,647,213,12318,2646,657,1680,7845,0,3705,644,651,89,1618
"청주",383,3,3012,10,8786,3082,381,150,1665,374,4014,36,2359,16896,60319,31,3327,1567,1962,68661,12,110,16496,425,79,130,2220,410350,0,73343,5478,41125,1479,80,237,42,1459,285,159791,4899,203,24,1859,62,149,0,146,5302,2,164,10774,1544,0,0,85534,1695,0,338,370,112,436
"추풍령",230,33,287,107,31,1528,372,6,51,11,3648,0,157,4020,5716,14,809,2556,56,675,18,1,698,8,20,480,189,6532,215,1261,407,353,41,13,21,37,1832,34,2389,2066,171,2,93,38,527,8,132,229,60,1,241,37,18,60,730,755,471,0,11,5,1697
"태인",22,70,132,221,22413,133,5,9920,14,119358,143,5,2742,54,87,22,32,6621,20,494,18,1506,101,1934,137,160,5080,17379,363,1674,212,404,7,7,1,61,11,7,2820,221,8,150,51,110,1680,36,178,975,80,958,23020,7280,39,113,600,666,651,12,0,3,7
"통도사",2192,15,35156,211,3,2199,4,0,21,2,272,0,43,4993,1492,8,9733,1488,0,247,10,0,300743,0,0,0,35,5625,94,1586,41,320,21766,7,13624,16,80,2202,2972,160,459,83,76643,28,0,4,137,31,25,0,52,9,9,28,293,140,271,12,2,0,65
"황간",654,37,2190,122,113,6291,391,1,21,72,9761,0,164,21713,20778,15,1664,3439,52,435,10,2,4728,2,65,0,129,7204,614,1620,543,289,657,12,119,41,13570,407,2356,6019,502,12,879,34,452,29,94,240,47,5,157,58,48,74,621,1640,799,1603,10,67,0
