"","가락","가산","가조","감곡","강릉","거창","건천","경기광주","경산","경주","계룡","고령","고성","고창","곡성","곤양","곤지암","광양","광주","광천","괴산","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","기흥동탄","김제","김천","나주","남강릉","남공주","남구미","남김천","남대전","남밀양","남상주","남성주","남안동","남안성","남양산","남원","남원주","남장수","남제천","남지","남천안","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김해","동대구","동대구.구.","동서울","동수원","동창원","동함평","동해","둔내","마산","마성","망상","매송","면온","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","보은","부곡","부산","부안","북강릉","북광주","북단양","북대구","북대전","북부산","북상주","북수원","북영천","북원주","북창원","북충주","북통영","비봉","사천","산인","산청","삼랑진","삼례","상동","상주","새말","생초","서김제","서김해","서논산","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서안성","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예천","오산","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","울산.구.","원주","유성","음성","의성","이천","익산","일죽","장성","장성물류","장수","장안","장유","장지","장평","전주","점촌함창","정안","정읍","제천","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","포항","풍기","하동","함안","함양","함평","해미","해운대","해인사","현남","현풍","홍성","홍천","화서","화원옥포","황간","회인","횡계","횡성"
"상주",2544,23,134,12400,450,434,1550,3710,7816,7449,254,2576,35,4,5,58,16462,824,470,4,5524,75682,189,27,22,29077,3316,75,54,14,801,2192,35,7896,0,3,24,13517,16215,58,417,2785,3065,19,542,1821,394,553,17,1,1495,1896,8,1024,504,35,63,1,0,63,238,11265,2787,18,6,4954,12,0,25,475,6,4910,1072,10002,0,126435,7254,808,0,117,91,1,461,31,1188,85,8853,30,5,0,13,11,29910,2005,545,379,9054,0,1126,1100,1169,15,2160,1031,5294,4,139,44,4,58370,1546,2650,63029,16056,1543,29,1169,3024,48,591,852,3,106,516,109,467,16222,135,44,0,1458,15,72477,550,5586,401,8,29946,51,13,9083,730,26309,1190,1794,136,109,21,6389,1426,761,1,37860,6,4124,9068,23,2359,29,378,1783,9400,9192,58,451,15,7,3996,2149,3300,321,1428,8895,7435,16,21682,9,4,96,2288,7,3535,1,6553,3417,21,134,1,145,192,119,12510,3445,7380,0,417,2035,892,20,13344,468,501,46,4,12,157,1733,136,83,576,28336,31,178,15,6,0,598,12,93,136,145,703,115,415,14,87,544,999,1439,21,8701,1076,414,1867,5122,3810,1320,86,280,55,10,907,31416,7181,663,13402,9,68,421,590,573,5334,10510,2,205,766,286,0,31,328,348,295,7873,63,551,4009,2129,279,437,164,204
"새말",2,584,79,3879,187425,6,96,6667,155,398,165,26,5,4,1,3,17001,57,1687,75,389,235,2,59,300,30546,6929,15,94,45,1431,2703,56,120,1,1752,47,37,53,94,78,4,3,299,333,231,29,56723,2,1254,2,101,14,116,802,199,13,781,0,23,327,1475,2059,179,21,8481,0,0,2,9,11,3773,4,709,0,144900,16978,4,0,63717,64516,0,831,24047,1389,39952,48,105,27,7,79,21,244,84824,9,27,55,0,136,132,241,44,46,1899,620,8,46833,67,1473,1227,1339,9,176,22477,50,2530,1,226,8,817,57,1,33,88,140,55,153,184,11,6,4,29,3795,475,20,404,12,24439,32,1775,5982,123,30116,113,2445,165,61,33,3392,188,27,3,139,3,17,79,19,15,15980,186,181,298,11536,0,55,4,3097,2340,4215,358,172,102,23522,17660,23,112,3,20,16,25,513,109,397,2080,2112,8848,22,7,97,13,367,24,5038,775,0,77304,1221,1290,456,16200,558,8818,70,6,196,6,5,1,53767,803,187,61,638,7529,10,3,787,9,18,5,16,2,42287,7,23,10,39,1453,15,4,1211,16,27,242,1366,10,29,180,3,1,13,3969,791,1227,8,84,8,76,25,82,360,169,460,2173,14,14,39,6,69,52,4,32133,8,187,1854,6,2,17,8,49341,618
"생초",1206,0,2293,10,99,11889,0,196,2,0,208,726,3251,62,4,1288,588,2732,7,0,10,110,2547,0,0,1646,71,21,4211,54,0,607,327,16,0,1,43,4,183,1768,0,11,72,0,243,0,4910,55,687,0,208,282,29,1,767,0,7889,0,0,424,71,2,2674,5,3054,68,1181,0,485,2102,4,564,1872,0,0,6046,273,4472,0,10,2,2,44,1,374,4,1589,6,1,0,2362,1,18,79,3943,0,124,0,0,0,272,10,12,56,0,5,21,106,0,1,628,19184,32,824,0,2,1450,6,1162,148,17829,21752,9676,0,2168,0,40,11,1748,0,3417,364,2,1013,14371,102,6745,1912,73,0,588,307,8834,0,196,438,33729,0,751,1266,1,2,50,29,371,234,10578,10,10,81,272,0,1422,500,897,27,0,785,132,842,1256,0,57,313,100,10,2652,72,5,305,0,1,0,1613,436,0,684,7,48,0,6443,1,79,2,0,44,2186,202,0,210,4420,721,67,7,2581,0,2081,564,10,3696,23,38,186,0,30,48,450,4174,1872,1628,2153,838,11,4497,1437,411,19408,1915,132,22,1816,0,0,454,1284,408,0,1032,4,1391,0,76,12,1,464,22,28,99,0,10386,957,0,0,0,3450,2240,6096,2,2,0,1283,43,140,7,71,4,11133,1,6,8,18
"서김제",3,0,0,4,4,4,0,6,1,2,2,0,8,36683,543,47,26,178,33125,3854,0,7,5,2929,0,12972,1330,0,2,3,1,542,2,1,261,0,40,0,1,2,0,2,0,0,107,0,74,14,1,1,0,701,4,0,2,0,0,0,0,1311,2637,3,54,10153,0,4,0,91,437,272,11359,54,16,0,0,128,633,17,102,5,0,0,69,2,5980,1,95,49302,6781,2692,0,3397,0,7,2,0,4,1431,0,0,5264,71,0,571,3,10248,1,2972,0,2,89,65,7,646,0,2,2,1,4,6311,21,50,0,0,2,0,0,6,3,42,11,1,4,11,65,2012,0,40200,1067,0,2532,497,5033,0,9,1,2,4934,19,4521,0,569,0,27972,2,0,0,3,1,1255,599,0,932,133,3250,145,0,21,1331,416,11,0,13,15,0,1,1,20458,0,2,0,0,0,957,6,0,93,483,8,0,0,1,84,11,0,8,194,41,0,19,3,16,1343,4764,0,0,8,1,0,8,1,307,5,0,670,17318,17,0,9,1,12,7,1,6,3,156,16,14,1,459,603,0,1,1726,9,17,1,0,1,1,2946,13,0,2,2,0,3,5,0,32,6,1,2,0,147,3,3,14971,3423,0,2,8,0,6792,10,1,24,1,1,1,1
"서김해",6197,0,913,664,5,5580,3,350,1,42,177,775,683,431,502,4691,1962,17472,13,4,298,554,38100,8,0,2997,237,526,995,59,14,901,155,807,0,0,45,31,3388,356,0,214,1467,0,203,34,1544,23,159,1,15414,671,199,4,565,0,3480,3,0,822,237,20,2831,14,1433,309,560,0,1397,13122,14,175,147147,0,0,10053,813,117939,0,0,3,529357,141,1,349,3,2074,47,6,0,502,2,576,99,30532,1,803,0,5,3,354,69,91,161,16,107,0,839,5,0,1155,3314375,577,1294,1,1,55407,178,709,257,38650,3,2731,1,941,2,1243,6,3238,4,244,191,7,1092,40669,279,848,2925,2536,1,1183,205,11748,4,186,299,9583,7,1220,445,0,275,896,162,2325,1967,3845,135,0,367,484,1,1205,164,14272,547,0,774,289,1036,461,10,571,548,65,551,395,283,122,7231,1,1,1,1699,486,1,3536,567,144,2,2022,1,419,55,0,21,1446,387,0,831,1338,160,347,92,713,1,36937,11747,9,3100,507,28,581,2,1760,283,173,1597,744,5493,13300,125614,10,21568,550,2516,38564,367,14241,275,2056,0,3,526,852,711,1,371,84,1697,5,35,1612,0,48161,4,34,116,2,7102,869,0,1,1,14183,42062,4664,15,15,1,2247,8,7684,38,28,210,46332,229,36,5,5
"서논산",35,0,7,12,100,43,7,86,28,40,116,14,40,47,318,10,195,447,63224,9,1,76,23,16,0,20897,1476,4,66,1388,0,15355,2159,49,0,0,18653,18,4,78,3,42,8,1,967,5,60,114,2,2,9,35743,752,3,1100,0,54,1,0,1434,2333,40,483,49,28,90,7,0,314,167,3,2795,23,21,0,1639,5091,30,0,49,19,0,1773,17,5853,16,4718,516,69,28,44,14,8,93,23,0,75,0,2,3,2885,1991,38,996,21,3,26,2038,5,72,680,157,50,13853,4,6,10,1,22,1931,146,170,40,1,5330,0,17,26,61,1,31,151,129,307,183,4160,82,31041,3017,0,4874,9972,200325,5,126,7790,174,34,226,2546,3,276,12,5,7,5,1708,9,8,1055,6760,17,26519,70,6350,354,4,275,1957,16638,187,3,236,235,14570,1,12,133,11,8,0,14,0,30736,98,4,57,632,35,1,23957,18,1265,57,0,76,1193,298,0,254,26472,218,3049,319,322,2,23,8,13,44652,17,11739,10017,19,1798,1,192,40,72,12,35,10,20,32,1242,33,91,86,3,329,30193,5,7,5138,267,401,9,65,12,5,23,126,4,23,21,12,22422,5329,0,249,179,13,52,1,39,25,97,56,107,1,12,87,6,93,86,13,19,5,6,24,24
"서대구",1,1228797,6,12833,15885,6,105321,6390,1427680,497400,4527,11,0,4,0,2,28930,15,111,29,6209,1058523,1,626,287776,56083,5175,3402,1330,151,362,17065,573,204886,0,121,335,1382643,4386,3280,12421,27487,49,425349,3400,26862,23,41350,0,46189,3,10321,43,16163,10113,297007,0,41254,0,2,3108,157810,97772,209,19,6343,3,0,0,21,21,9048,7,951196,0,235899,14941,4,0,1262,3139,1,1770,685,6625,5229,45049,19,0,1,112,225,30676,4096,4,17579,17786,0,15769,34337,7979,11,2833,2147,78801,14,3168,2,35998,340867,25667,8,67974,26574,266056,1932,3,3509,0,3918,8,1,2,9600,876,14001,71155,3259,1,0,5,279,627,19344,7,8545,4,50555,4,154985,20490,5229,127183,42582,2984,892,2,235,25435,9058,70996,0,61716,5,26,164,64,3924,989,3824,8070,511122,26333,0,9,0,5260,17243,5165,20155,9301,31152,11228,15739,222,15791,0,3,7625,7,201871,477731,28844,35859,13395,434,0,1,7341,7404,545,1475459,8662,288702,0,4710,35152,5574,322173,16892,9708,2560,20,3,15,5582,11,1,2182,7809,36967,510,479,16743,3,3,4095,6,1,0,0,0,3278,1,5,6,4,8619,6,2,44701,41295,17570,9066,19693,19628,330565,3928,17874,0,263,34266,34401,917046,3,64,65,511,14846,12,22947,379921,839937,47938,3,2,3,0,246,5850,9,11082,56,465,19997,13311,136,17645,557,5690,5794
"서대전",1157,47,178,116,1604,813,1368,2418,5632,8940,21469,278,1164,100,227,300,6253,1091,72337,79,23,17437,292,390,45,14055,856,5298,55506,3640,1,7114,7381,18631,3,17,961,3470,958,270596,415,2860,443,128,1677,1440,559,2646,27,11,949,5912,2563,802,199133,36,972,10,0,1508,4140,8488,310381,870,4828,1185,270,0,129,203,94,1439,1146,4880,0,54076,2904,808,5,760,265,0,963,328,3921,370,21544,2007,252,143,37429,628,309,1942,1248,496,6337,1,812,810,1992,3324,2137,621,4041,85,462,2356,39,14843,301653,2302,2567,7199,2022,83,641,27,487,1470,5373,4166,951,434,16029,413,782,514,1132,7,1407,625,24544,18599,5082,8953,1643,18993,1418,54,2692,3336,64639,1417,3134,27218,3387,1672,47426,2717,897,140,2323,40,1091,1518,3675,977,111,1727,3662,3074,14343,64,3682,258,91,125629,1445,10197,260589,1156,774,3562,1642,38,222,397,11137,1067,26,3333,4,15442,22679,67,582,549,63984,281,38483,4586,1252,9737,0,1297,143439,7212,80,4734,108840,9842,4890,285,4993,253,791,124,256,126091,1141,1242,29562,150,1187,40,33835,1166,924,99,834,297,371,485,1282,376,2426,10261,698,249,32686,770,586,3088,93516,11872,1358,86098,3666,116,1336,2166,95,3570,390,8059,200,10690,363,8483,373835,3055,10223,12,788,521,2745,153,284,336,240,1365,1852,519,1825,1034,302,4021,833,533,417
"서부산",3549398,0,6068,2173,14,29588,1,814,1,107,1030,4350,3363,2842,3936,27115,6795,166975,69,8,639,663,151631,45,0,15311,716,549,10249,520,93,10347,900,2545,0,0,249,35,14536,1747,10,583,8692,1,853,17,12864,26,1254,4,81496,2442,1078,2,4170,0,15232,0,0,6214,740,46,11853,89,11063,2243,3192,0,13888,123204,139,1503,7151,6,0,37249,1706,536975,2,1,7,1818348,249,2,1382,7,7879,360,27,22,3270,28,2956,276,136178,2,2215,3,7,12,1896,484,335,1091,15,800,6,4474,1,5,3964,5021,2624,4325,0,13,116678,375,3799,1177,223732,6,12476,0,7621,4,4357,17,14351,43,43354,1235,19,4167,1183,1141,3594,11751,9710,1,6863,929,16596,8,1074,2281,38073,25,4856,2532,0,1855,1838,1094,12474,9684,29641,371,1,1268,2312,6,3913,1523,106356,3798,0,6161,621,3520,2376,10,2226,2358,513,3753,1749,2679,542,49932,0,3,1,6733,3039,0,36125,4413,584,1,22878,9,1641,107,0,62,4709,2558,0,3773,11686,997,2315,620,4995,1,5362930,37445,3,32293,1205,79,3217,2,11213,2057,770,8434,4702,18950,92858,869183,10,76664,3384,24992,184385,1855,71304,2358,8780,4,38,2847,3217,2858,1,2304,512,6519,15,132,5774,5,158156,8,94,1078,3,49655,3338,2,2,0,82589,129619,22620,60,39,5,9528,28,61264,98,42,761,153882,610,82,9,11
"서산",706,20,18,223,1309,92,452,217,3488,5733,1378,124,244,1931,139,53,825,272,14648,31326,44,10409,57,22430,16,231813,22612,164,1358,28,53,13598,45,4473,51,9,1510,3203,291,1944,171,709,409,25,17574,812,55,1659,3,51,335,507,27,429,167,7,109,41,0,415,71546,5068,36561,41247,143,841,43,49,706,105,26813,21,365,1171,0,1874,28240,930,16,713,282,0,3535,219,79772,373,1074,8101,963,325,1330,5909,97,1301,99,536,526,38,508,270,115373,90,363,26476,2074,5347,398,1043,142,4041,24785,467,525,8214,334,125,580,40,164,171881,808,416,100,190,118,256,352,473,117,2731,407,4920,10106,8797,1707,76,166,710364,976,145,30952,39601,74435,931,847,169,613,12845,2281,154620,191,79,552,1413,502,334,36,179,99,55626,21824,1033,23494,36,4316,122,102,7641,13952,9515,7229,842,909,2409,971,24,40,2111,448,402,84,1112,9,22807,2152,49,214,209,1623,218,509,1778,2471,8362,0,843,82383,13990,20,2147,579,3996,393,816,135,139,441,19,249,955,416,1992,211,500,368,1594,3465,92,49,19,83,310,306,118,30,88,528,2526,191,67,6571,137,1156,48023,2787,4856,226,2044,384,9,3948,946,159,1125,155,4750,585,114,149,1744,5396,558,2754,255,144,79,152,1424,39718,116,40,929,421,53471,918,294,75,271,92,396,260
"서상",180,0,370,12,72,839,1,583,2,1,331,343,540,15,1,113,1063,479,43,2,4,36,459,1,0,2603,389,5,4298,95,2,1313,272,10,0,3,62,2,46,3884,0,6,44,0,332,3,1558,68,163,0,42,410,33,1,875,0,2404,0,0,176,81,11,4911,1,7063,107,71,0,20,1149,2,304,512,0,0,15640,578,509,0,8,23,3,62,7,741,4,2168,7,0,0,5585,0,8,49,713,1,144,0,1,0,207,13,12,98,4,3,7,67,1,5,1209,3912,11,1716,1,1,277,1,222,158,2187,3585,5428,0,2733,0,11,11,5981,0,774,296,5,2108,2825,140,210,3576,14,2,4253,882,16274,0,375,652,9255,1,1431,109,0,2,10,2,198,42,12890,8,6,42,656,1,6187,104,213,6,1,817,369,2345,2949,0,95,227,78,6,230,23,7,143,0,0,0,2803,908,4,124,2,79,1,10079,0,143,1,0,25,3911,486,0,424,3746,1919,94,4,21297,0,481,85,13,5352,6,49,418,1,7,6,862,22159,1110,279,270,137,4,795,4687,137,3933,501,112,14,2209,0,0,1151,1836,850,0,1664,4,90,0,110,15,2,130,34,33,338,0,1695,2122,2,4,0,391,354,45167,1,2,0,235,35,124,3,65,11,4218,1,10,15,12
"서서울",5048,118,822,107619,55108,3410,3686,141,10730,28943,10658,2144,3395,53180,2311,566,2133,3533,248881,156234,12364,44652,938,255617,481,662580,2275339,859,12256,2123,270541,241637,3270,20246,1733,877,22218,12982,6339,5520,1670,3824,1641,3076,170753,7091,1606,61035,79,5245,2787,131418,1225,4031,2726,116,3147,4509,0,7516,718984,43820,122330,273957,3562,91476,986,801,2569,1702,198560,26,3003,9813,0,1140,2214927,3569,462,29711,17314,2,181075,9596,796938,18493,95922,254868,35716,9468,17769,57717,17889,70094,1770,1740,6934,1280,4363,2815,988265,3620,9942,780498,19670,110723,17253,15015,12827,40066,81722,5440,10944,545324,2919,3009,2747,15847,1713,2222437,12058,2001,2593,1816,8104,1764,26727,23762,1985,47944,3814,38748,61913,21054,13142,705067,5128,1520,12796,21993,4452857,61253,16501,4846,15231,11693,12689,123428,35357,1358061,1742,1734,9120,36048,5448,5560,2622,3551,4142,711307,261069,7980,953896,726,31379,1889,10126,141588,3418456,305705,10271,5207,380048,128948,22819,7517,701,62678,5270,4477,6026,6642,1186,433964,64524,3107,2686,3535,14760,941,36053,8702,416330,30365,0,38725,84209,108669,807,161208,40026,66643,9366,13070,8006,1073,3719,812,11537,67486,33076,79951,15154,49498,9691,35260,61203,3242,3497,251,3292,1835,15829,1236,2296,1879,7873,53020,2713,1438,435744,2020,2651,533461,43550,189411,1797,16493,3003,405,51069,1961,62906,7412,1861,46797,6619,8077,1860,25473,17996,4567,24751,28868,2802,1779,5926,44510,153939,1354,642,34918,5539,483709,5026,4949,1526,2579,1940,20967,8520
"서순천",782,3,20,5,80,187,0,205,0,1,418,25,736,3902,29080,2731,413,30005,319,583,10,42,1167,847,0,6408,312,1,90,1794,0,1899,1342,20,0,1,709,2,83,225,0,8,25,0,140,1,89,127,30,2,109,4233,1857,0,1598,0,183,0,0,15710,1170,1,601,1252,205,48,258,4,67651,468724,5366,341,982,1,0,3592,665,1616,1,8,9,2,219,16,1796,11,643,119,51,34,123,344,17,123,789,0,89,0,0,0,1025,1418,18,186,1,1791,26,24644,1,2,694,12850,42,1762,1,4,633,5,377,928,4364,8959,106,0,742,0,27,17,59,892,2284,1815,1,1519,8244,737,22,9801,79,0,1387,1230,24913,0,201,2083,1948,435,820,1509,0,25505,12,2042,23,73,26,9,1,1080,845,0,3337,332,24291,90000,3,316,454,2062,570,0,48,238,1060,15,208,3792,1,271,0,0,0,3827,224,5,21161,22612,24,0,106,0,163,5,0,64,3943,252,0,359,1039,347,6902,3539,10,0,882,428,11,4717,21,690,5969,4,199221,2515,444,58,14,635,3117,559,12,1308,10,17245,6398,231,141,13521,3681,0,0,842,1364,476,0,67,0,306,206,133,44,0,200,1,236,1429,0,4628,272,0,1,0,10134,810,111,151,1590,0,45,55,93,1556,95,7,4031,0,5,27,27
"서안동",0,44836,0,342,3534,1,1568,3339,9610,10266,28,1,0,0,0,0,8713,0,3,6,2,124,0,2,18714,17093,3740,5,8,3,778,1700,2,126,0,31,1,152,12,13,1077,0,19,73749,20,2635,1,26458,0,25426,0,4,0,1496,27,19680,0,30515,0,0,78,16333,199,11,0,2605,0,0,1,0,1,1831,2,15204,0,118331,9330,0,0,233,1370,0,552,150,844,1217,42,2,0,0,4,1,5,15673,0,526,5,0,1548,1199,213,0,2,856,7366,0,815,0,29521,82255,45,1,3,12138,780,3749,1,12,0,450,1,0,0,1306,6,1083,4,1281,0,0,0,0,147564,50,0,115,0,17400,0,59,3309,14,29416,1541,1054,22,0,1,28,91,548,0,12,0,0,0,1,3,273,39,77,13098,6493,0,0,0,4110,23,2816,72,40,1316,6274,6717,0,2,0,0,7,0,98250,2771,27352,1236,6,60,0,0,10,271,12,619,2593,10804,0,2643,84,60,18965,5691,47,517,2,0,0,132,0,0,600,53,3,1,7,35390,0,0,1,0,0,0,0,0,737,0,1,0,1,22,0,0,83,1609,555,78,10,15,1082,8,8,0,1,17444,10,70028,0,3,0,4,402,0,77,9362,5500,43898,0,0,1,1,10,519,0,2495,0,29,7402,1,2,11,0,1238,4669
"서안산",4625,28,92,34900,9924,530,1094,92,3613,12655,857,423,499,2633,199,65,2168,402,32545,8570,1841,11993,191,17710,124,4328628,500352,149,1507,275,50404,36995,428,4912,137,140,2820,5204,2093,1043,750,1122,717,662,32576,1984,122,12472,8,799,1856,22853,159,1006,347,28,376,881,0,660,45844,11825,17047,9710,416,24365,161,71,337,148,16300,2,1372,2517,0,435,519133,2351,27,6589,2567,2,39759,2007,45141,2068,16003,11783,1482,427,1815,1956,4790,20714,229,769,1591,106,1321,686,110342,440,1481,230810,5397,4914,3354,1696,2901,8077,8339,2173,2507,120498,1219,791,971,3609,169,151921,1924,312,320,496,1062,1275,12938,6240,347,2854,1212,5058,22284,2965,6777,30254,3686,3949554,1283,3724,663,10808,24390,1377,9990,1527,1623,8616,8790,131678,381,173,3258,1434,2455,1625,344,576,802,67661,36835,1602,193516,71,3272,188,2020,26672,139844,54106,1572,3079,114193,33350,2802,2620,88,2804,658,1556,1220,4814,227,80410,14483,593,386,315,2325,257,4731,3723,117798,9476,0,10441,9500,35408,167,48350,5273,19102,1118,1427,1053,344,1626,269,1837,8862,7482,10642,1969,10103,868,1667,17375,529,422,69,340,1278,2422,238,278,520,1364,11567,518,129,61507,404,1190,60824,9451,33882,638,2289,684,71,1516,1499,15811,1547,617,13290,754,1058,551,2638,2930,929,6042,6611,361,423,754,2007,6439,187,68,6061,2275,15069,2536,611,391,331,230,2463,3267
"서안성",750,3,74,124,306,340,213,127,1307,1595,1531,150,347,792,140,76,493,426,26248,8581,17,4263,63,5828,1,39456,2081,168,1504,576,5,76115,891,2952,14,11,6508,1690,443,1333,330,862,143,7,190727,566,165,389,13,17,578,57867,318,286,766,6,403,14,0,606,39383,3092,17377,13476,320,162,71,6,183,72,1994,4952,207,1011,0,2637,19808,275,15,166,83,0,1036,75,16826,123,34766,5460,767,273,1517,3028,34,382,131,145,1489,11,311,308,28669,819,1375,3724,1415,2067,166,864,39,2870,11151,539,88,28933,214,27,468,26,173,10485,1182,188,355,121,2196,114,597,136,297,512,280,9685,7750,2980,1135,37200,629,64854,1279,43,12415,8686,293303,392,404,3189,1245,3746,20737,66232,100,118,1634,745,295,302,710,585,28,47357,21762,718,76487,32,2762,145,37,24668,4412,32424,1858,644,191,732,6316,6,85,1146,465,423,22,492,2,96799,25031,33,199,272,2091,36,9760,1451,579,2050,0,342,11796,60000,1,832,10916,5160,1264,170,1284,31,324,28,69,18225,82,28651,4160,132,746,517,29188,379,317,33,332,450,102,128,563,163,781,25795,187,134,161482,395,187,120639,11540,20992,153,2251,530,61,2244,279,64,563,175,2352,1756,2210,137,1798,2725,535,1184,67,296,166,574,632,7427,103,46,344,494,20033,258,848,88,363,328,115,78
"서울",3218,160,1659,110920,101810,8945,6623,328,14501,63005,30040,3721,12671,7036,2860,1511,2639,9599,564093,14702,14809,68369,1544,68927,666,45574,29526,2324,26507,12470,1776958,2002796,19171,47169,99,936,102996,11332,8792,11110,2100,9439,1711,3691,338825,15937,4131,99020,182,7402,2288,393817,6757,9496,13876,258,18111,4322,0,12870,74043,100333,400718,39072,7859,153382,1894,43,3778,1597,16255,14909,3545,19467,0,3531,2414803,4621,81,34704,25328,3,690860,21147,9325,36691,289187,48693,6289,2184,50103,7548,19189,125949,4433,1848,14780,106,9312,5703,10499,17964,19112,10274,52451,19169,22622,18183,14877,100484,293472,8704,16203,119166,4067,3290,5484,20551,13020,15959,38627,6196,10282,2513,47222,2794,22819,26700,7112,4843,5899,167866,134181,56415,15091,88719,19615,20484,27283,33744,31670,234463,6145,9352,10307,68898,44410,16557,29785,56182,2998,2494,12531,7562,3002,8567,15125,8191,4531,53983,422001,17502,6947769,702,58937,3242,9654,349988,27796,1873859,25170,7449,881271,220205,112575,6753,1836,11970,11291,5923,5836,10392,1194,2675178,99994,3921,7288,5712,35731,1259,208887,12722,1243924,71594,0,43720,266588,76490,934,182297,234062,71763,27487,3090,27377,1157,11879,554,13520,395075,39863,388438,89837,69925,16142,4274,51764,8001,9660,698,13216,1272,19260,2631,12291,3781,37237,41181,4599,2917,2169954,3542,1905,65846,76371,561426,3167,40533,8407,606,6863,2064,89279,14705,2628,102686,28494,47475,2819,86938,42619,10649,61197,35942,7763,2862,17350,5026,20544,5353,1403,55492,7206,52980,4409,10946,2942,6771,3713,37540,7688
"서울산",2,3976,1,707,97,0,21007,523,17180,120762,201,1,0,0,0,0,1789,1,3,2,353,4646,6,22,433,4977,372,86,87,3,24,999,18,2656,0,0,13,6315,113,127,1510,183,4,2215,310,97583,1,732,1,813,1,692,1,90476,582,932,0,1268,0,0,282,657284,5239,9,2,644,0,0,0,0,1,659,8,28843,0,16954,875,2,0,4,93,15,147,5,546,90,3716,1,0,0,9,4,911,260,4,14549,1036,0,55540,217,796,2,122,144,703415,0,24,0,568,26480,1089,4,808,2450,33,48,0,200,0,402,3,0,0,1972,59,33844,1078,59,0,0,8,15,27725,1074,6,567,3,4079,0,1336,1878,310,8933,1011,233,113,1,11,1544,905,28,0,539,0,0,9,6,131,25,265,709,6331,1700,0,1,0,112,1978,316,1409,812,219430,718,902,18,1165,0,0,376,0,1973,22543,296,2531,941,1,0,0,591,34515,32,6623,528,436180,0,230,1849,763,838,922,654,184,0,0,1,12379,7,0,48,485,533,20,22,315,0,0,249,0,0,0,1,3,77,2,0,0,0,499,0,0,4772,275,42069,1068,1386,1012,303,204,430,0,12,805,1948,3446,0,1,2,67,23312,0,1195,6481,83,530,0,1,0,0,16,25611,2,121,3,26,471,242,3,671,26,113,127
"서이천",260,4,57,11992,3118,181,108,118661,768,805,1506,56,181,30,32,38,180139,632,12084,212,722,1149,19,271,36,27176,9951,66,814,183,5902,6640,483,937,1,47,117,311,302,952,140,83,52,99,2322,378,189,5350,7,261,339,370,126,212,3694,5,227,339,0,221,692,2283,13801,468,212,16537,80,1,49,48,69,4334,604,493,0,1787648,31483,110,1,1125,1020,1,3784,443,1895,800,231,567,51,21,740,97,1009,5504,149,48,909,1,227,116,902,308,766,3470,967,50,1192,411,443,1863,6546,544,1114,20864,152,214,98,1598,93,2867,900,33,166,65,1018,59,2055,1488,157,17,243,122,4582,2917,755,1034,323,18495,330,671,11668,573,11547,201,277,1430,908,225,36124,724,94,27,353,19,94,160,236,295,236,661,741,334,22963,18,712,46,626,18316,5361,1073,1080,218,17914,21606,139,493,39,112,351,201,204,234,58,5419,26442,133,177,100,1244,20,2702,668,10800,904,0,3794,10675,42242,21,10515,5749,90630,662,52,1296,38,480,1,541,7016,1555,278,3263,1854,161,15,14091,252,299,13,201,70,731,62,185,86,585,21562,92,409,3840,83,60,753,8885,84,69,1548,174,30,93,1396,5012,437,54,1294,35,1147,78,1402,2100,183,729,915,160,54,417,39,203,43,22,1871,151,705,996,398,84,140,156,1178,620
