"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남원주","논산","다부","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"일죽",3,205,2262,46103,5104,162451,17422,4356,2,157,370,2596,1112,8100,431,5,33592,6545,1,23975,13840,2199,711683,206378,5705,26,21476,1092,11244,4697,7495,1315,48947,14847,5597,9,98464,70944,39700,17959,142,1808,8053,461,18710,1299,792,1777,6734,1840,22552,3163,26454,7919,42870,11,46554,9752,0,1804,14663,3923,35742,23004,224,21106,22,656,535,1066,466,570
"장성",0,1,11,1391,28,3484,840449,228,0,13,17372,861,18454,205,24,0,508,17258,0,2391,255,17,29774,24949,163,1802,274,42200,16,40,3012,7665,933,20,12790,2,60530,3229,8166,2263,3476,4,331,2,676,166,7,8077,918,5,1071,27,818,15061,886,0,1963,10437,1411,0,40555,59276,3455,950,4526,2890,1483,26,8,8678,0,126
"전주",2,342,2407,12948,4786,38117,655161,10926,8,242,21829,10121,25709,5111,1082,36,4429,54603,3,64815,2409,2354,272767,254913,3305,20923,2023,32487,5458,3619,55153,20028,10659,3373,226796,38,593624,37329,84063,29055,36882,742,2220,285,5259,1333,753,87359,8637,964,6184,5414,7212,224979,9771,13,17079,20028,13956,41927,0,340982,33819,9287,54150,33260,20714,417,403,54664,260,571
"정읍",0,33,542,4727,1805,12953,593878,3200,4,87,63530,2883,414136,1901,389,8,1350,55243,0,11874,1028,408,106647,84108,636,5877,620,68408,328,1625,12054,55608,3317,974,53144,8,205961,7371,28166,6462,11541,85,610,70,1307,534,200,21734,3596,300,1748,977,2142,49406,2520,4,4583,51712,3926,61703,358617,0,8166,2589,13359,7848,4576,257,114,38492,21,419
"증평",2,273,2883,20441,7082,79324,45079,7053,3,516,1026,1091,2980,8175,1035,9,4729,21182,3,174328,5245,3299,394952,154224,3841,26,2370,1645,14134,7093,44920,3635,11281,21211,26774,7,76124,216870,26135,110820,107,2758,7859,861,4709,4628,993,824,29567,1343,17535,5903,6363,39092,106923,2,24799,32126,42499,4077,33473,8416,0,95062,115,97324,20,777,577,3188,488,1451
"진천",4,186,2619,14159,3565,54119,13317,4326,6,206,195,846,612,5995,591,9,4911,6500,2,44664,3127,1996,230425,89016,1936,4,3302,872,7612,4884,11317,1071,9655,12853,6889,7,39002,282012,11913,33993,52,2019,4958,816,5204,1717,699,606,11188,1108,8016,2813,5612,9319,56352,3,21749,7938,25990,1130,9222,2108,85150,0,54,38325,9,515,556,844,403,726
"천안",35,1101,16251,1180,45002,4226,74006,27212,16,1317,2010,93581,5205,36123,3705,88,8272,18849,15,339902,6686,13217,3514,1183712,27049,122669,4368,2574,53970,28969,72138,5372,21943,76898,32573,75,3760092,81,510223,139856,213492,11192,6417,3375,7453,8764,3879,388782,40829,4039,22260,18065,11315,63337,309,48,15547,39927,409,4980,50232,13995,83,51,0,93035,334732,3370,3586,3873,2063,4614
"청원",5,568,5932,6657,18991,19550,42464,14495,8,2785,1022,7546,3872,22527,1450,17,4066,25813,4,287428,1665,7464,86269,113236,1559,74918,2502,1715,23037,21679,357541,3661,7239,43119,45241,22,172658,63944,48795,55707,34175,4168,1617,1170,3539,19188,2240,46151,132608,3846,4568,8699,4606,68180,21115,14,12883,31903,21345,4114,33634,8494,99689,38050,84926,0,34092,2219,1499,4753,1064,8105
"청주",5,459,5337,68,10137,255,22310,13661,8,1226,585,26545,1953,13329,1370,36,337,10489,3,123931,251,5368,398,448547,4536,181054,182,814,22206,13140,29065,2248,1206,27663,11822,19,869325,60,177914,53663,162033,3466,648,986,304,6026,1492,222108,27939,2397,2865,6823,481,25871,35,25,642,16922,35,1655,22296,4712,54,16,350455,43499,0,1120,1202,1867,651,2151
"추풍령",8,179,1758,402,2815,1296,318,23422,4,1702,44,383,101,27363,1643,5,124,895,5,20503,121,4193,8441,14831,88,2170,104,18,5006,15814,1249,84,187,17432,940,3,19270,2062,3490,2075,2228,943,100,232,209,7604,666,5703,11122,3870,304,1354,177,2694,483,9,683,840,597,40,544,227,665,438,2640,2276,1033,0,1511,143,199,8506
"칠곡",37551,8205,152890,938,71611,2252,19,93559,23749,1239,19,497,124,26559,84668,32539,460,1706,12508,18460,166,245601,16152,16094,190,2612,199,5,45823,786084,2332,133,455,3000379,1081,42389,29755,2569,6339,1886,2981,10686,187,4407,343,3227,38144,4034,6328,108897,493,26999,640,3951,765,40958,1187,1597,869,6,654,99,1192,976,5300,4384,1687,2678,0,136,2701,5206
"태인",0,11,190,1523,465,5188,97978,936,2,29,8986,815,32977,829,97,0,293,16048,0,3192,193,156,28732,27155,288,1660,100,8836,178,566,4367,16656,657,296,21274,2,61827,2979,8946,2688,3868,33,203,28,398,241,102,7037,1176,135,692,311,439,18921,1136,1,1200,14606,1233,7565,61488,41742,2963,934,3775,3486,1594,101,57,0,21,108
"통도사",596,6301,12153,362,114133,2315,5,4267,48,244,3,944,42,2884,4999,115,116,455,59,6434,312,27260,10174,20105,74,2125,220,7,1158393,14115,621,27,112,14770,341,479,26095,1804,5699,1239,2730,309676,210,60493,278,901,13574,7553,2372,2803,537,327000,240,1112,981,135,1029,882,739,0,326,26,615,603,3021,1307,765,305,2624,10,0,823
"황간",10,717,6163,593,10579,1839,897,42623,15,2585,40,569,130,51274,3217,34,163,1491,14,61433,487,8048,12211,14256,97,2646,75,26,16758,30078,2097,156,257,40335,1354,25,22909,5205,4382,4220,2416,3535,122,1062,153,20649,1950,4938,31512,7495,321,7405,191,4380,2259,27,810,1133,815,117,644,357,1639,877,3934,7856,1922,7341,3480,115,678,0
