"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"논산",619,559,1981,2124,51736,1642,126,2202,145,3271,3409,0,0,10372,11321,210,1434,35613,150,1703,770,1983,5730,3555,1008,0,210311,65344,2473,10358,5716,3174,1030,106,204,746,544,187,13590,4699,275,504,1470,856,24553,1125,2196,23498,1061,2094,67295,16917,2791,671,3963,5495,6147,227,3279,64,254
"대구",97891,1321,214387,8411,23,623759,884,42,1167,91,50382,0,5273,0,122983,842,163155,85479,0,17198,789,0,66980,76,967,39658,4036,329441,711,47329,3158,13521,10651,550,6512,2438,8628,34747,89087,14918,304896,3921,67719,2688,0,1316,7638,3920,1934,0,1334,344,2218,1564,18854,10318,24862,2274,74,2854,13485
"대전",4055,3332,33997,12869,31171,30103,47125,265,1849,1129,60029,0,13115,186103,0,623,18634,201798,5996,146077,3623,296,78823,755,13376,1406,5119,500950,122294,75951,54178,40019,7876,750,1849,4903,43230,2608,117417,194580,2896,857,30303,8524,21406,7190,10817,21537,8894,208,37903,6225,49268,15242,160328,111832,158926,7257,814,2172,24103
"덕평",31,595,200,3644,980,592,6,4,1239,24,567,0,299,2611,2143,0,196,40451,460,109,2845,12,1170,10,1201,4,164,104822,2634,40250,233,965,405,1004,15,2736,42,15,4695,67,15,6270,183,2178,0,1623,7969,458,3172,14,534,292,718,607,1613,123,26,10,44,15,62
"동대구",107257,425,750946,1327,18,115178,217,45,226,80,13987,0,1703,312209,29408,235,0,36426,889,3121,189,3,357093,30,143,0,1482,57690,1411,11256,936,3001,42446,81,19882,488,2182,69156,13198,3470,44107,51,192784,583,0,248,3314,1672,574,0,895,183,496,502,4650,2364,10031,1496,18,9414,3166
"동서울",4466,876561,39652,1033048,174498,31283,1382,2752,327,9641,52736,29,33576,185137,345232,59987,22052,0,1094,1451,265748,3432,97993,5318,394915,3980,22234,1119,439494,11951,37797,600,7239,19486,2017,187137,16319,3815,1724,20740,3423,34769,21631,287241,4188,173507,571626,75698,510228,4333,122998,42692,117891,128893,8315,16549,9,3174,8696,1003,4993
"마성",75,281,483,250,1912,522,17,59,3587,93,660,0,217,2492,4582,1253,292,4301,0,2474,2050,43,994,37,2501,0,161,292042,1711,132468,353,2130,111,2162,68,2500,120,27,7219,163,31,5867,293,1557,0,243,4919,1127,710,34,1363,275,280,258,7133,275,1700,39,76,25,30
"목천",1078,12,7520,29,10534,5005,536,307,460,417,8898,0,1920,28479,181014,45,3322,72,25,0,96,372,19630,316,492,1326,5178,100465,0,17349,29388,9964,3599,92,1130,327,1616,701,25650,5006,453,3055,4341,318,0,3,334,4653,7,501,7942,2240,3,1,9023,10416,74007,998,378,232,445
"문막",24,2884,315,41661,1432,167,2,34,919,93,464,2,619,2448,5460,1875,185,314634,3455,172,0,9,1754,98,11372,24,592,82247,4909,67115,1048,1033,101,5975,49,43710,99,113,4636,217,19,5797,268,6265,0,1458,73627,1341,7559,23,993,298,521,1261,1931,123,9,26,58,11,15
"백양사",2,59,50,177,99083,2,1,2363,15,5509,1,0,2126,9,179,0,6,6426,82,356,0,0,4,740,0,7,3641,8594,278,1391,59,352,0,0,0,94,4,1,2068,106,2,39,2,0,1609,0,118,1180,67,31368,8686,35204,0,137,467,242,395,8,1422,0,8
"부산",57176,2665,901657,5099,5,91350,247,258,993,238,25421,737,4706,142388,78541,484,351586,93635,512,14098,863,1,0,32,346,344,3528,276200,5055,56582,6352,14550,1393513,389,251887,1548,5072,121362,102467,7867,18171,2052,374106,1640,216,916,9363,4990,1513,1,14241,840,2258,1543,18101,6848,30061,4440,60,379158,5221
"삼례",25,78,87,385,12888,223,5,2095,30,2597,188,3,4127,515,1013,14,82,6839,14,277,84,787,142,0,237,9,8153,13394,160,1906,325,378,11,18,7,109,16,13,3026,267,8,151,64,137,2204,76,352,1042,130,463,2780,10535,442,93,657,655,1046,8,2646,1,11
"새말",18,3170,115,43403,5378,509,4,59,582,200,575,0,1033,2222,16857,702,85,418258,12,482,9825,41,836,78,0,2,973,152636,9781,72785,1600,2326,52,4710,16,16920,178,13,7968,363,28,9496,98,355296,0,955,48656,2647,7952,54,2869,1037,1676,1013,5539,361,21,15,414,13,89
"서대구",69484,1982,145814,4830,61,884509,707,134,739,159,53349,0,4267,8027,93414,286,101406,37371,62,7609,441,1,121577,80,336,0,3337,228823,1063,27591,5838,7321,21183,296,5211,1283,6612,23906,46318,12578,409049,2015,44065,1334,0,597,4744,4608,1103,7,1856,783,798,906,10824,6209,13507,2911,109,3698,14256
"서대전",490,527,2017,1558,70700,1551,440,2422,162,7704,2998,0,228183,7767,6324,208,1962,29003,274,5713,556,3102,5479,7621,1425,1848,0,40955,5798,7171,10398,2825,1012,218,84,667,595,199,11740,3250,121,433,1391,1090,12547,983,3785,153033,860,2209,123878,27750,5329,899,9663,13151,10090,202,5569,77,264
"서울",9260,115,100754,936,456790,69668,2387,5061,734010,18199,124303,10,72749,434422,610845,86496,36865,518,7606,85272,88800,6632,308914,10068,212895,1914,36346,0,1088,3058401,67077,995730,23514,341588,4670,66659,27451,6617,1614823,38286,5641,1072944,61810,145223,723,16380,183253,191291,30219,9283,280644,91232,10709,11408,1818765,22382,438576,9119,18509,3002,8475
"서청주",796,6546,5624,35483,19386,5856,735,197,21,1037,6671,0,6331,23403,240934,1716,6903,475154,6975,0,4825,219,19259,526,10243,0,10748,9,0,5844,20913,1,2481,1869,229,6365,3877,340,33,15787,265,0,5192,10580,0,30160,16589,11725,17677,280,18136,3239,15399,38391,0,5991,0,511,577,285,1254
"수원",2666,878,21335,4103,65059,24245,486,693,161552,2910,30003,0,11957,104170,102105,42527,10488,1780,96384,15898,64439,1058,79975,1387,84275,0,5395,2863157,1602,0,14370,129928,7251,46091,5830,71169,4631,1444,61246,6668,1732,94296,15582,71190,0,14340,189644,24874,26606,1515,40566,10376,11405,9987,183424,6030,99416,1526,2276,1580,1968
"신탄진",349,749,3960,2886,6452,2780,1424,218,812,401,3032,0,6983,11864,60448,227,1945,48435,579,31606,1281,91,11847,326,2085,65,9854,80430,6049,15927,0,9750,821,411,286,770,4346,103,46005,18832,199,725,1801,1717,0,1900,6546,6323,2647,144,7092,999,12137,3884,25610,9988,27487,343,354,49,953
"안성",854,63,14944,236,15416,3679,272,146,4895,758,7365,0,2647,25780,48071,612,2819,267,8,10059,797,288,13286,372,2613,0,2392,957168,9,120350,8485,0,3222,680,315,1311,1326,493,135839,3253,666,5347,3672,2002,0,14,2064,6680,10,279,9731,3023,13,14,58284,2699,47759,573,508,304,406
"양산",15697,177,314763,1139,6,12908,17,3,172,17,3654,32,1140,30008,12620,126,46222,10170,29,2715,144,0,1271025,4,29,264,1011,40081,809,8551,1226,3716,0,75,61992,207,853,34626,28184,1708,4100,552,418630,532,0,191,790,289,180,0,367,8,247,238,2631,1333,4946,60,4,42513,1117
"양지",38,711,530,1399,891,445,17,12,1662,28,461,0,238,2388,1745,1253,249,15615,0,91,7631,13,2261,14,6048,0,212,358942,2088,45222,375,509,594,0,28,7200,73,26,2689,170,17,11796,360,4932,0,785,10045,340,1041,27,774,115,1996,603,1276,69,64,26,41,14,12
"언양",5035,23,81136,249,8,3388,16,4,50,5,532,0,217,10620,2886,14,18787,2824,17,1330,11,0,224463,5,2,65,96,7973,66,3034,412,602,51991,21,0,68,133,5059,6769,259,587,162,872719,59,0,48,347,85,79,0,48,23,45,40,1114,409,825,22,4,10266,139
"여주",59,2450,754,6484,2846,420,11,58,1736,115,942,0,807,4668,6295,3190,483,191696,32,384,44627,39,2972,63,17791,0,481,55552,5814,68573,826,1206,221,5263,20,0,230,93,5025,364,34,12154,511,44853,0,984,23809,1078,8581,102,1710,529,1558,1019,2904,357,5,50,56,24,58
"영동",377,183,2931,638,306,3967,2363,10,63,30,7873,0,477,13402,38717,24,1634,16763,246,1315,76,2,5051,18,181,1,393,24605,1173,4002,3643,1133,696,43,150,244,0,210,5547,34807,269,2,1822,152,2393,218,375,520,286,12,471,89,594,319,1770,3271,3929,2131,14,132,14420
"영천",20328,47,28981,154,6,5750,19,6,44,12,1191,0,162,55122,3234,10,80849,4861,2,501,23,0,121911,5,10,191,169,6860,69,1214,147,470,32657,6,5767,176,250,0,2172,448,2929,75,35804,76,0,20,124,212,79,1,188,67,74,54,598,322,569,67,51,2544,441
"오산",8177,232,67813,1117,139649,40102,546,1399,5875,4505,48468,9,18514,197541,173263,4740,15253,512,138,30419,4525,2197,133098,3172,9649,823,12669,1633839,66,52432,46594,157381,31482,2943,5268,5891,7487,2534,0,16368,2968,17497,31704,7136,1013,394,13228,56310,505,2789,77971,21283,237,229,361478,20929,222015,3837,3994,3211,3321
"옥천",1094,346,3116,1925,3036,5433,40063,107,161,281,12454,0,4570,26885,184823,44,3190,25877,394,5518,169,130,8543,305,497,0,3168,38261,16675,7102,17880,3788,1461,158,268,472,37730,508,16092,0,640,79,3744,479,16314,658,1232,3953,1126,79,3559,1250,3172,1097,6264,35165,6441,2084,203,234,7109
"왜관",12465,51,16178,433,7,33313,48,9,36,11,2315,656,242,638556,4776,10,39650,5334,100,463,20,1,27358,5,63,29804,135,8386,98,1502,268,873,4511,16,881,49,420,2959,2586,754,0,6,5838,107,0,51,264,248,72,0,100,56,75,55,695,497,864,300,11,758,786
"용인",63,298,942,879,2296,1104,27,21,2607,66,1036,1,447,5703,5596,6351,539,7774,8404,487,6722,123,4023,42,7279,22,366,797043,5689,50915,1001,1744,457,15841,34,9520,146,59,6248,147,31,0,745,8403,0,1650,20441,1154,2829,37,1797,271,2476,1388,6272,137,1102,130,55,124,67
"울산",29614,366,118294,1249,12,47676,377,27,4849,138,5233,0,2055,117071,42393,141,195833,30782,0,5528,212,0,353927,28,31,0,852,77121,2762,20226,2054,3937,413819,208,863939,556,2219,33686,44244,2846,7080,1387,0,712,0,486,3084,5373,908,2,7169,793,1356,592,5690,3134,7762,138,58,95292,1172
"원주",53,2456,431,25997,2554,342,4,31,648,97,540,1,709,3268,9294,1376,292,299358,2447,218,7076,29,2014,60,372103,29,725,117470,8539,65008,1370,1856,190,3329,42,44520,121,49,5345,376,47,6611,517,0,0,779,48116,1501,5407,40,1745,328,917,861,3723,318,25,23,75,24,41
"유성",602,1150,5907,4543,30001,5502,2190,799,667,2246,8168,0,23604,25880,23728,311,3197,65010,2300,22522,1077,688,10536,2026,2289,0,9358,198794,10629,21903,11660,8524,998,399,331,1223,3169,503,29539,15312,539,51,2686,2038,0,1398,2784,36922,2256,661,43193,7187,8777,2598,25743,17373,37021,755,1564,129,801
"음성",95,2632,389,18532,1675,423,17,21,193,81,499,21,924,1771,8599,1297,245,196730,1582,1,1437,54,1345,57,1328,266,801,337,31847,14567,1638,6,143,477,30,1661,176,18,368,636,48,299,325,1008,0,0,8414,996,12320,26,1346,507,8404,14223,18,634,0,24,54,19,55
"이천",240,5256,3270,8479,8699,2092,49,109,4863,184,4215,0,2160,11711,12683,9799,2221,509306,96,260,86219,116,12082,175,65567,0,2232,183809,15681,165464,2606,1767,793,7695,170,27346,345,125,9854,932,121,20968,2880,57913,0,6657,0,6835,23692,122,8034,789,4744,5804,4989,921,2,124,276,83,107
"익산",242,1080,3799,3920,18911,3490,143,1284,551,1424,3652,0,19917,10844,19482,233,1401,85282,1894,3603,1175,994,6286,701,2740,75,147468,194606,4252,22606,4722,6158,234,208,105,1217,439,291,37041,3370,169,581,4343,2054,34531,1039,8997,0,1362,566,5843,6953,7459,938,7171,11481,14048,235,1389,38,280
"일죽",120,9970,1360,32972,3324,774,51,36,279,136,1267,0,1260,4502,11801,2608,612,497232,2,12,8491,56,2959,129,8704,36,838,327,17633,28454,2382,2,323,658,59,8684,286,86,373,1088,74,3540,708,6641,0,12237,29698,1932,0,75,2295,687,11151,7538,17,670,2,80,124,45,102
"장성",0,27,0,183,685730,2,0,1914,19,3189,4,1,1571,7,848,0,0,5734,3,164,0,30219,0,365,42,4,1932,8692,126,1593,85,275,0,0,0,18,5,0,1946,85,0,63,0,88,132,24,194,871,37,0,5607,17941,130,33,366,327,471,3,905,0,2
"전주",263,1373,1842,5846,243363,3697,100,17435,698,14032,1943,0,62235,5304,37486,357,928,132171,1397,7616,842,7208,10464,1936,2462,164,120186,288188,2454,36788,6471,8590,249,380,37,1708,522,200,55052,2992,110,1931,5762,2526,41532,1176,6506,5443,1610,5543,0,105498,5809,1102,11397,10853,24504,230,24013,28,162
"정읍",234,444,599,1979,251919,660,29,12179,116,252292,889,1,17831,429,13186,176,200,52600,531,2045,233,33211,792,9397,1114,2062,26965,101153,1397,9640,827,2396,48,51,288,514,141,46,17133,1093,86,123,532,550,43,304,927,8778,620,17284,110835,0,1289,316,3419,2170,2996,111,7165,16,69
"증평",97,1814,637,12633,6681,1083,72,169,136,352,892,0,2896,3405,52380,387,451,129667,20,4,581,115,3369,339,1824,91,3947,1136,12358,11859,10020,6,271,909,66,1497,680,93,200,2900,63,1930,1322,1247,0,7417,5566,7199,5844,146,5752,1462,0,5323,13,2228,0,47,374,37,161
"진천",121,2229,1048,11619,1707,493,22,17,167,79,631,2,699,2514,16476,398,410,138407,1479,1,1351,36,1885,84,1305,77,694,174,35629,9491,3629,4,178,404,27,1063,390,47,230,1012,59,108,580,1065,0,12583,7011,1048,7865,49,1250,321,11722,0,6,1564,0,43,73,19,79
"천안",1101,144,8711,712,19376,6176,856,239,7123,847,9633,78,3738,28926,172539,1171,3870,730,2420,11657,1893,352,19985,554,6246,4440,8370,1829709,10,166889,20106,55636,2492,1056,680,3062,1935,714,291928,5846,657,11800,4205,4814,0,35,5952,9001,97,431,13222,4071,30,22,0,6924,95114,868,633,209,921
"청원",769,334,3375,1250,13182,2310,916,196,697,868,7270,0,6361,19032,138864,118,2210,20811,434,9666,226,213,8480,582,638,0,10825,30379,2089,6316,4747,2818,1079,74,339,359,4223,325,15855,34451,278,38,2453,740,0,848,1376,12733,847,367,11162,2418,4744,1966,8398,0,7394,549,637,81,2039
"청주",478,7,4022,25,9060,3882,457,141,2800,495,4771,15,2846,20033,74975,37,3087,65,1858,74834,44,154,15314,388,127,289,2980,429046,0,96700,6043,48771,1690,62,305,81,1703,319,190705,4941,318,824,3131,79,0,1,215,7055,2,210,9746,1535,0,0,101232,2243,0,278,313,136,473
"추풍령",262,47,388,160,41,2913,488,10,38,67,4900,9,268,5426,7196,20,1191,3318,195,767,21,1,4874,4,24,235,202,10912,198,1557,507,417,84,13,32,50,2038,77,2364,1933,311,2,220,26,653,15,147,288,91,2,249,67,80,46,869,814,598,0,9,7,2160
"태인",11,160,267,430,23564,217,6,7037,28,124877,167,11,3576,89,64,83,31,10937,68,422,55,1382,120,2710,491,243,5817,18764,360,2377,266,524,10,22,5,68,25,40,3516,194,5,122,91,151,2634,44,279,1697,126,1314,28752,8243,519,61,600,614,809,6,0,4,15
"통도사",2878,9,46719,265,2,3086,15,0,24,5,524,0,93,9182,2124,21,12216,1925,1,258,30,0,362232,4,4,0,72,6204,167,1696,76,356,31173,12,14331,34,122,3568,3259,310,603,105,104181,100,0,19,117,38,42,0,57,3,32,30,331,173,589,12,3,0,115
"황간",797,68,2749,257,248,10164,517,4,25,62,13844,0,301,30118,25027,92,3011,5895,70,460,20,0,7891,8,122,117,233,9018,373,2155,1137,433,1112,10,179,57,15687,497,3123,7076,808,26,1364,60,768,83,125,341,116,8,193,81,216,94,916,1908,1986,1772,12,86,0
