"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","전주","천안","청주","추풍령","통도사","판교","황간"
"영동",20,513,255,899,4,1323,4,146,6875,3,146,33,3,721,62,1552,28,9041,1001,303,12,2,10,16,0,27,609,12664,38,38,51,19,359,35,102,162,914,2270,455,7,467,1614
"영천",6494,5466,800,3,290,401,502,206,1748,2,43545,59,0,36002,4,10007,32,5912,1292,573,973,6,1436,77,62,0,408,288,1189,42,1825,12,192,67,179,940,891,365,33,433,380,174
"오산",452,7044,3631,56,4596,6948,62,2934,29162,623,1785,1246,51,26331,2407,24014,2359,400630,30331,32590,1917,977,336,1846,850,405,0,3202,371,2838,2753,3072,3199,5639,13054,38949,71409,39505,669,230,47968,405
"옥천",142,1874,1798,24331,63,6213,5,2112,19803,16,949,77,2,3789,66,8872,258,16243,3380,1823,74,10,70,55,13279,324,2686,0,251,56,502,62,2103,60,2622,4325,3773,15459,2182,44,1307,1466
"왜관",3677,6076,1658,4,4,332,2571,130,1375,0,25563,29,0,12431,3,402076,15,5498,496,373,601,1,154,10,65,1746,267,205,0,9,817,6,38,7,128,147,295,220,42,74,201,158
"용인",7,240,387,1,433,198,0,177,835,10104,125,2096,570,2621,2574,1609,38,202388,4185,1150,39,44064,6,17362,29,27,1622,54,7,0,84,6933,53,36529,207,1244,1696,641,4,3,23839,12
"울산",2228,4647,2225,25,2506,666,3079,637,10734,2,54834,45,1,67345,30,6978,69,40872,9093,625,20288,17,151503,33,123,1935,4390,463,1433,263,0,84,501,80,1417,1903,3189,2730,48,20635,1678,703
"원주",3,51,21,0,1248,37,1,52,635,237,22,1198,48736,232,118907,220,22,120622,26421,1109,2,1380,2,33781,20,8,2685,46,2,6339,48,0,75,169173,355,999,3525,161,5,2,2500,3
"유성",60,1216,732,404,101,1288,7,10686,1265,9,372,132,2,5057,187,3939,7997,54376,5312,1657,115,28,39,84,323,255,4021,2115,38,144,414,123,0,128,7558,19460,10707,8155,273,46,2199,84
"이천",51,976,108,1,718,230,1,97,1227,12509,1944,1706,18471,5124,67252,5449,34,52530,50456,1345,32,8317,30,161201,25,38,5569,58,12,30976,109,173867,108,0,1737,6937,3618,452,17,10,333,7
"익산",67,2287,428,19,334,1383,4,11005,1357,9,665,328,30,7602,945,9160,73291,111981,10226,2650,268,17,67,220,116,197,10160,2490,103,275,1332,790,6250,1800,0,14473,3794,12153,302,14,7803,79
"전주",232,2279,1273,42,292,1634,11,46717,22265,17,669,1647,169,9034,1310,12780,103275,432906,35057,6852,113,112,61,828,178,338,19977,3853,76,1050,1348,1488,19557,3773,13723,0,13306,28507,274,15,21253,59
"천안",632,4620,2056,159,817,6498,21,2087,135687,121,1378,2830,444,19139,3039,15998,4589,609389,82746,23081,381,407,151,1233,1065,735,55800,3191,248,2053,1241,3666,6376,2577,4149,15539,0,65591,1314,136,42202,372
"청주",256,3786,2198,288,572,5554,42,2544,112387,85,1635,1043,10,16648,639,17773,3632,274392,47596,24017,401,81,84,265,2367,341,31968,12825,260,625,1907,242,6910,401,10123,31182,68029,0,423,85,17703,706
"추풍령",27,129,553,293,9,1089,4,194,2958,2,196,40,1,542,5,1983,17,4685,1014,248,10,0,10,9,463,29,420,2100,43,11,86,7,266,9,318,381,1256,584,0,8,351,677
"통도사",250,9480,191,1,4,210,444,39,269,1,3274,20,0,136983,0,660,6,1019,364,70,17907,0,19864,0,24,360,529,65,118,4,20532,1,39,8,16,11,207,116,6,0,80,30
"판교",448,4722,4982,153,11877,6093,6,2742,16439,1272,2550,5428,86,26283,1585,19216,823,210048,135530,25436,751,11867,441,686,659,684,50251,1527,324,26100,1590,2878,2250,521,6777,27281,48120,20357,453,102,0,234
"황간",116,957,2125,127,0,3390,10,69,6083,0,943,10,0,2376,4,6975,7,2738,367,150,40,0,49,6,4238,218,271,1645,172,6,726,2,84,1,92,77,415,742,730,20,161,0
