"","경산","경주","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","이천","익산","장성","전주","정주","천안","청원","청주","추풍령","태인","통도사","판교","황간"
"논산",87,1087,8408,375,26,12,23,642,816,1,0,1303,1470,11,348,110,48,6,267,2272,41,157,2556,98868,38258,2525,1529,1320,350,17,9,64,145,128,4826,1302,60,76,329,174,6885,132,7740,529,54816,3133,1309,4090,2419,86,641,15,3141,52
"대구",25612,74552,6,61342,374,1,982,8,13506,128435,1817,0,52380,170,24176,607,1547,30,0,18758,0,53,1207,1607,167649,21575,2158,6439,4021,104,1550,369,3842,18307,55451,6990,152640,752,12574,439,5448,3354,1756,0,937,121,14316,7537,12274,1026,2,741,35088,6250
"대전",2246,23677,4923,11504,24007,2,674,85,33681,551,2729,28895,0,140,8245,1238,8007,110,17,49109,5,3157,84473,657,332333,38463,56998,22788,1674,196,381,617,12913,1980,63964,35307,897,899,15462,1285,2402,1176,9773,17,26470,1235,149086,109615,108184,3638,60,1084,26281,12816
"덕평",8,83,89,69,2,0,554,0,64,0,5,433,320,0,12,472,3,1933,0,399,0,807,91,6,44451,7899,38,205,25,587,3,5470,9,3,520,4,1,1659,23,1640,29,54484,23,1,274,10,331,5,121,3,3,2,5095,4
"동대구",137093,494607,3,21577,70,0,76,13,3713,25177,356,36831,10548,26,0,87,159,8,0,237689,0,18,20736,354,30128,4041,512,1494,12804,11,8951,29,732,110252,6429,1436,22188,144,77749,45,770,1109,649,0,646,82,2282,1332,7464,466,1,6675,10068,1015
"마성",28,248,207,170,4,0,1418,4,387,0,86,1043,1566,413,90,0,15,673,4,422,0,1356,60,81,117397,57037,120,1303,7,1237,6,1132,71,27,2202,80,23,3143,59,1385,341,3555,408,3,1157,35,3854,407,1329,24,9,19,12469,11
"목천",240,316,445,1168,37,0,52,8,423,21,75,1534,9524,5,209,17,0,1,11,2258,6,22,408,831,9393,881,2817,756,178,7,44,19,61,102,1952,335,94,52,116,21,575,39,132,8,475,318,794,1186,8368,19,9,114,1206,22
"문막",1,10,29,4,0,0,231,0,34,0,6,427,144,1982,78,399,0,0,0,800,0,4698,638,7,55516,22303,10,197,28,3735,1,40775,1,0,840,5,1,2158,13,3886,155,75668,309,2,136,9,585,4,44,1,1,0,2884,1
"백양사",0,68,16544,0,0,5,2,900,0,1,287,2,31,0,0,2,25,0,0,0,1,5,3,494,1610,180,26,44,0,0,0,5,0,0,263,12,0,2,2,6,373,8,97,14043,1362,15049,107,82,42,0,550,0,296,0
"부산",35580,626233,4,12229,227,7,976,159,9303,46963,1475,12981,44896,189,224817,269,1110,129,0,0,0,30,53456,2307,217849,39586,3879,10884,1025050,185,146135,487,2365,82878,90970,3411,10257,1922,146134,496,4678,4666,4271,0,22661,68,16254,4994,23055,464,15,183262,19040,2578
"삼례",1,1,24,2,0,11,0,6,1,1,33,0,0,0,0,1,2,0,0,4,0,1,2,65,109,9,2,2,0,0,0,0,0,2,58,1,0,0,5,0,9,6,8,1,11,37,3,15,5,0,9,0,18,0
"새말",2,15,382,27,1,0,209,4,50,3,149,41,2925,822,9,1368,8,4933,3,58,1,0,156,80,182731,34647,118,1403,1,3437,2,9612,31,0,3013,59,3,2927,7,182627,213,102931,494,4,1372,41,4235,25,554,5,7,0,7737,15
"서대구",30038,82016,35,112291,424,1,730,24,26399,336700,1676,2763,62792,124,34951,325,546,58,1,65001,3,59,0,1295,163023,16601,3615,5152,5940,100,2110,166,3988,14733,32081,7650,326624,760,15459,264,3665,608,3725,1,2135,341,9936,5246,6537,1798,20,2093,16551,7469
