,가산,건천,경산,경안,경주,고령,곡성,곤양,곤지암,광양,광주,구미,군위,금강,금산사,기흥,김제,김천,남구미,남안동,남양산,남원,남원주,남지,논산,다부,달성,담양,대동,대전,덕평,동광양,동광주,동대구,동서울,동수원,둔내,마성,매송,면온,목천,문막,물금,발안,백양사,부산,북대구,북대전,비봉,삼례,새말,서대구,서대전,서순천,서안동,서울,서전주,서청주,서평택,석곡,성산,속사,송광사,수원,순창,순천,승주,신탄진,안성,양산,양지,언양,여주,영동,영산,영주,영천,예천,오산,오창,옥곡,옥과,옥천,왜관,용인,울산,원주,월정,유성,음성,의성,이천,익산,일죽,장성,장평,전주,정읍,증평,진교,진부,진월,진천,창녕,창평,천안,청원,청주,추풍령,칠곡,칠서,칠원,태인,통도사,판암,포승,하동,해인사,현풍,화원,황간
오창,5,91,612,8256,1188,0,0,0,22386,0,5011,1663,1,161,100,316,302,2300,189,3,65,0,4179,0,2843,20,0,0,613,34988,2649,0,0,854,107997,36818,214,2144,0,163,8,1311,3,0,199,2041,1604,17265,0,552,4151,5100,6676,0,3,21100,366,53459,0,0,0,182,0,4979,0,0,0,29624,37,180,3987,194,4702,1134,0,0,693,0,99,70,0,0,10456,383,6218,1043,4776,3526,11472,111935,0,13118,4470,27095,549,193,2788,907,18958,0,1024,0,189853,0,0,28,25500,13,254,207,0,0,593,151,1500,0,0,0,0,0,835
옥곡,0,0,0,0,0,0,2657,190099,0,251271,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,799,0,0,0,3102,58527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18770,0,0,0,0,0,1262,0,0,12472,0,12,185618,4410,0,0,0,0,0,0,0,0,0,0,0,0,0,693,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12556,0,26086,0,0,1279,0,0,0,0,0,0,0,0,0,0,0,70161,0,0,0,0
옥과,0,0,0,0,0,0,12643,25276,0,4995,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,3012,0,0,0,7851,814019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31631,0,0,0,0,0,22673,0,0,14705,0,231,40375,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,4218,0,0,16153,0,0,0,0,0,0,0,0,0,0,0,1577,0,0,0,0
옥천,80,981,10330,8082,18108,0,0,0,16679,0,14489,31245,89,18561,518,9921,1084,45149,4039,240,773,0,3069,0,17524,64,0,0,5650,841035,2887,0,0,11420,101872,123161,83,1022,0,49,39479,1654,74,0,680,19311,25236,108363,0,1599,2945,66054,28793,0,179,219573,1381,71613,0,0,0,102,0,32014,0,0,0,149065,37530,2383,1649,2091,3373,72126,0,16,8659,1,47069,10812,0,0,35002,8341,4049,14669,3470,1977,106405,10788,117,6841,12403,12614,1621,143,9169,4723,38048,0,447,0,16239,0,0,53331,184711,31364,9042,4089,0,0,1841,1392,15064,0,0,0,0,0,26130
왜관,1156,7194,150362,934,79413,0,0,0,2007,0,70,122704,1000,652,27,899,90,18294,126780,1817,2883,0,246,0,1796,1194,0,0,11961,13160,143,0,0,285020,12268,13774,13,113,0,4,3030,107,379,0,6,53651,1178932,2121,0,132,188,1331025,1974,0,1660,24294,104,3318,0,0,0,18,0,4077,0,0,0,3572,5918,7614,193,11587,375,3703,0,370,66901,123,4956,331,0,0,6444,884,563,61149,399,118,4495,1256,1256,1041,1850,1031,7,5,674,268,974,0,23,0,1175,0,0,4865,3216,1802,2949,95787,0,0,144,5789,754,0,0,0,0,0,5280
용인,10,159,1212,1005,2467,0,0,0,4569,0,12921,3829,5,96,222,65940,597,5454,424,20,250,0,66135,0,2763,6,0,0,1358,13019,41678,0,0,1527,16472,1185618,1758,16157,0,1140,4436,17860,55,0,503,4855,3470,5474,0,1146,28873,11094,3222,0,10,1556331,659,27374,0,0,0,877,0,206253,0,0,0,8866,29447,719,112843,529,42309,786,0,2,873,0,51193,6621,0,0,4610,964,3991,1765,22014,16758,5269,27428,21,81196,7734,29010,971,1212,8811,2818,15866,0,4317,0,9695,0,0,48334,9024,4546,580,746,0,0,1012,296,232,0,0,0,0,0,756
울산,22786,58230,157346,2898,312960,0,0,0,7131,0,32,35574,1990,729,252,5704,312,23767,95124,8310,113545,0,1435,0,7170,1666,0,0,1922200,53111,1090,0,0,322467,43523,94894,59,882,0,17,22713,939,5350,0,7,614292,159003,8956,0,572,396,221481,6902,0,25978,105722,303,11257,0,0,0,29,0,17717,0,0,0,11743,15418,332418,733,1832423,1676,7870,0,8171,188582,2346,31517,1656,0,0,15980,65216,1879,15725,3817,108,17576,5834,6498,4126,14790,3310,5,36,5477,660,5452,0,25,0,4557,0,0,23295,13552,8439,2362,24672,0,0,295,388754,1509,0,0,0,0,0,7882
원주,5,94,433,13299,1397,0,0,0,45904,0,12264,1478,11,62,130,6019,369,2118,174,2,138,0,142360,0,3555,3,0,0,927,17837,7501,0,0,879,249999,253362,46588,4390,0,11408,357,119156,2,0,348,4477,2145,7713,0,988,231808,8956,4239,0,1,149548,644,26776,0,0,0,7860,0,42682,0,0,0,9176,6408,242,23203,279,105111,492,0,0,379,0,17056,5186,0,0,3356,511,27835,3352,1723,98713,7196,7062,2,67653,6979,32884,963,25967,5459,1884,5740,0,28445,0,6146,0,0,9694,4234,124,193,323,0,0,551,127,310,0,0,0,0,0,208
월정,0,7,42,11498,106,0,0,0,24974,0,7197,604,0,24,106,3279,215,752,64,0,11,0,50953,0,2295,1,0,0,130,10699,3389,0,0,127,234812,181421,20590,3931,0,23428,313,21918,56,0,228,268,473,4775,0,665,126954,1249,2822,0,0,169660,493,12939,0,0,0,29221,0,31650,0,0,0,5757,4292,20,10400,11,36170,286,0,65,17,0,7363,3208,0,0,1669,102,20312,100,112801,271,3774,2727,0,39719,4564,14549,519,91280,4233,1314,2885,0,93279,0,3259,0,0,7696,2871,154,80,75,0,0,340,15,351,0,0,0,0,0,152
유성,66,1113,7975,10607,23883,0,0,0,14832,0,234902,34989,86,3340,7420,10596,13979,35298,4297,324,1464,0,8432,0,266966,75,0,0,8539,85741,1836,0,0,14150,117584,106296,219,2653,0,126,40306,2037,42,0,9326,29940,30121,50315,0,42634,6312,75857,123283,0,252,322368,22899,61643,0,0,0,168,0,48056,0,0,0,68744,39981,3348,2434,2784,4256,15439,0,17,8799,4,34043,12436,0,0,108165,7247,4997,19124,7580,4670,2044,10163,186,11152,266121,13051,21307,225,248462,67749,47834,0,945,0,15273,0,0,81776,109632,25883,4761,5093,0,0,26202,2314,11142,0,0,0,0,0,6790
