"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","곡성","곤양","곤지암","광양","광주","구미","군북","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남지","논산","다부","단성","달성","담양","당진","대전","덕평","동광양","동광주","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","문막","문산","물금","발안","백양사","부곡","부산","북대구","북대전","북부산","북수원","북창원","비봉","사천","산인","산청","삼례","새말","생초","서김해","서대구","서대전","서부산","서서울","서순천","서안동","서안산","서울","서울산","서전주","서진주","서천","서청주","서평택","석곡","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영동","영산","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","증평","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘천","칠곡","칠서","칠원","태인","통도사","판암","하동","함안","함양","해인사","현남","현풍","화원옥포","황간","횡계"
"수원신갈",672,256,307,61075,1524,1153,7358,1439,23739,6674,198,2,303,12570,1485,84862,38098,521,551,552287,110691,728,6495,1770,265122,2326,28777,6440,2483,2106,2854,1959,46827,76,85,12785,192,3062,4,17,8430,101464,90430,548,46,88433,1143,16859,5951,43988,926,8994,0,247103,26711,10434,72112,3866,819,32054,951,2405,12348,3277,62514,33952,35278,77926,6409,448460,804,29488,11031,13522,1287,7138,13083,1018,1274,54046,18974,14182,437027,172,11373,131982,7000388,5914,6500,7306,1542,3028,11574,5,50,3248,13,9371,4894,87,2638,25,12566,64004,94206,759157,4891,3904,137315,82770,8003,84,9078,2099,623646,5262,1004,4,18766,7499,182479,18336,28131,56726,41660,935,149146,35584,51823,3997,6181,995,173,5839,50211,12440,20405,1614,150,1939,507,9726,997,768,4871,12858,20,4,665053,38342,198555,6012,3146,170,12590,5143,236,23,4655,3370,10418,1052,1325,2453,346,45749,6,66,3941,8489
"순창",87,0,859,4,6110,0,0,15,0,6,1843,115,17,24,51,0,3,142,0,62,5,1,122,0,29,0,21,0,166,0,0,96620,5,9331,22,1,0,1142,38,23272,0,156,2,52,305591,8,249,0,328,10,182,0,0,0,1,0,24,0,0,2,170,0,1,0,1,0,1,23,2321,42,86,0,800,1349,693,0,0,436,219,0,89,1515,56,178,0,9,413,0,1,1586,0,38,0,33,1916,0,124,0,49,4279,405,50,0,50,8,56,109,0,3,7,3,212,0,0,62,12,30,134,18,0,3,0,1,101,17,0,8,0,33,0,82,174,17,0,1,0,33,9083,52,13,86,1,240,5,876,12,157,1209,35,40,17,112,2,34,9,0,54,58,2,0,81,41,296,4962,1113,7,52,26067,2,0
"순천",6645,0,295,233,4721,0,0,407,1,111,651,51000,8763,736,28545,5,9,8535,0,2516,257,4,1246,0,889,0,15,0,2771,0,0,307,168,73,1232,21,0,4428,11,14730,0,4637,102,277169,1410130,176,14496,0,9999,451,11296,18,0,119,82,14,813,0,0,119,6264,0,6,0,141,1,0,1221,184831,1097,4700,12,97238,88261,1696,0,40,1067,14579,2,1740,124979,1417,9029,0,428,20601,0,0,28840,0,1393,4,27232,268,10,233993,0,2491,433,2996,81664,11,1056,301,1581,1967,1,129,257,91,3904,1,0,2331,213,164306,59044,386,0,243,0,116,3257,398,0,490,11,707,0,422,7212,2126,24,6,1,1094,76,2953,12686,5930,18,10504,148982,60914,455,3427,35757,1822,1957,761,975,7,2928,147,0,2735,2,0,0,1636,63985,10280,1151,765,164,3041,83446,21,20
"승주",136,0,4,3,68,0,0,4,0,6,27,5565,1157,11,7224,0,0,348,0,17,4,0,22,0,7,0,0,0,33,0,0,57,3,30,26,1,0,203,0,1426,0,60,0,9399,91757,3,428,0,90,3,404,0,0,1,0,0,7,0,0,1,245,0,0,0,1,0,0,11,3945,9,193,0,2901,2353,71,0,0,30,396,0,29,2488,14,69767,0,3,136,0,0,1185,0,8,0,4373,12,0,13589,0,22,74,73670,370,0,17,8,8,33,0,1,2,1,109,0,0,16,0,3766,6155,4,0,0,0,0,53,5,0,1,0,9,0,5,208,63,0,0,0,3,8,135,377,461,1,409,2282,1716,3,70,4651,14,23,5,12,0,178,4,0,110,0,0,0,18,2145,417,23,35,0,51,1421,0,0
"신림",0,1411,0,6822,0,106,419,3646,1209,39,0,0,0,14902,8,640,10,0,1045,29622,4120,4,24,10,10474,18,15,4,62,1272,186,3,192413,0,0,249,711,8,0,0,592,697,3850,0,0,1587,0,941,103214,9229,0,2180,0,562,1045,501,34,37,14,50715,0,61,390,29,1549,1222,2100,393,1,15482,0,478,7,0,3,59,4869,1,1,6901,186,1,14178,0,5791,4539,35548,258,76,1,31,837,124,0,0,525,0,746,8217,0,4,0,318,384,5280,334,44,202,17255,17044,24,0,346,2164,3666,319,3,0,96,35,12032,1273,11765,438,470,1118,12872,405,6511,356,32,0,0,627,720,454,213,5,0,2,0,882,0,0,4,490,0,0,637,195,7,82,3,1,30526,1153,0,0,46,112,84,1,0,10,0,3449,0,0,12,455
"신탄진",622,44,80,9087,457,768,4151,7419,27706,32565,71,0,138,26111,516,29167,17185,263,28,68593,7174,4520,56490,651,20088,1618,21675,4020,37064,97,1527,555,5899,26,42,40721,20,1053,2,22,22,160431,4736,885,21,8117,781,7592,139605,9056,653,975,0,2561,2486,1205,93721,0,0,4555,411,3147,228,1014,3895,10037,12332,23940,5720,33218,294,752,4898,8356,954,5063,1759,1008,1431,27825,137743,20119,46186,78,62,17051,240275,3236,3954,2542,3,188893,235,0,39,416,5,28,51478,49,834,7,440,4249,8497,76679,56449,3992,3724,5734,23828,26,9360,5,70304,52666,461,3,154648,5692,6657,11761,4835,160535,32453,133,12092,34101,30141,1869,6688,598,216,605,27412,8870,127750,557,49,550,484,1209,736,853,3087,56859,17,0,175007,90766,64897,51091,3729,71,4487,1434,303,4,3187,5636,138429,1036,746,1209,116,5245,1,51,7395,889
"안산",79,96,49,21962,294,195,1324,344,3762,640,35,1,74,2226,185,7044,4425,95,204,1736319,107823,124,1547,87,19229,100,3861,670,406,894,498,214,13144,13,15,2173,45,480,2,1,20476,17008,18367,26,1,8,240,2521,1265,203174,209,2313,0,27133,33299,1349,8107,11530,3142,8844,162,223,85844,279,44699,4901,4702,7274,669,46172,106,42616,1877,2249,243,482,4444,149,205,9538,3801,1099,2627981,26,4483,43247,66068,577,265,1184,5405,2755,82814,0,5,995,1,25826,70780,14,303,2,4693,8375,1781,29895,910,844,40407,16729,1662,11,1809,974,18747,2925,152,0,3866,1145,63426,3321,8113,7798,12986,412,29635,2003,15297,325,999,205,55,1904,3414,491,7697,299,38,358,96,2946,229,121,955,4051,5,1,42155,4252,26167,1271,425,24,2955,798,74,4,238,348,1956,151,218,481,55,13781,0,9,864,1654
"안성",614,45,547,8087,1089,1377,8481,424,21500,3782,140,0,241,2213,863,40054,29273,586,55,232642,26659,637,8132,912,286893,1171,29881,6080,3003,164,2614,1183,3743,42,66,8056,59,2554,2,9,345,104386,4153,173,21,23415,1419,12101,2059,110183,1231,847,0,19980,9423,525,117518,64,9,2634,864,2083,1210,1580,26751,21065,25731,46938,7086,242255,711,1660,8569,20399,1337,3466,1003,1264,1484,47620,15911,13116,161556,111,578,55498,2357783,4050,2890,5595,40,27,1109,3,53,219,8,688,568545,61,1531,12,474,78318,32652,3052,4994,5353,6581,3460,7221,72,11054,74,476878,24,812,4,24573,12573,29494,17978,3449,45512,236,163,5872,19112,435,2202,4773,889,257,473,23425,6727,82,1080,189,1237,931,1015,1117,612,4274,55,26,1,394364,45557,224677,8436,3197,316,2452,2986,500,16,2647,4570,11422,733,1617,1854,238,5785,6,54,3501,685
"안영",268,64,201,1376,1041,287,2152,954,4495,47816,207,4,278,2203,816,17497,9330,326,22,6522,765,4298,138657,1137,1975,1605,11557,1229,66908,110,256,1758,782,83,99,64742,34,2444,5,22,3,146115,232,108,90,243,732,4200,17550,920,745,78,0,483,371,45,8708,0,0,298,873,117,30,1116,299,2632,6984,63311,3737,2714,369,97,15374,7140,1227,5767,165,748,842,10587,142630,4524,3951,190,65,1334,28356,481,5956,4279,0,18415,15,5,130,46,29,2,5393,159,1925,38,87,60728,1234,6054,934,541,367,627,18007,92,2948,3,5956,4954,732,3,103758,2247,666,2993,451,204477,2304,58,991,33540,2831,1796,11707,397,198,84,32057,9644,11045,2552,148,1418,250,137,823,352,5799,3660,31,0,17318,44083,6223,154822,2485,215,595,1254,200,16,4562,338,118544,906,731,2161,539,814,7,239,6641,96
"양산",0,4196,167,1900,346,13063,34551,394,360907,216,5,0,0,2811,0,107,6104,0,625,9132,1294,29,308,6,1508,9,4001,12105,379,2872,545455,373,2319,108,0,954,781,154,0,125,2,7026,475,0,0,824,0,49351,12729,1874,1,177,0,176,719,117,3981,725,343,539,0,270755,573,0,617,2893353,33832,2306,0,4533,0,566,0,0,98,16,787,81,1,22091,1625,0,5732,0,2501,2932,21493,237837,205,424,220,2354,728,0,0,65,0,413,4391,99,0,0,424,3374,2530,4076,438,275808,364,637,1552,1,44527,600,5935,534,0,0,1975,9029,989,733883,222,2806,1278,1289,673,419,1068,8,167,0,84,158,288,13,690,207,0,1,0,220,0,0,2,1259,0,0,5651,6182,1557,304,702,0,1037,4441,0,0,5,241045,1181,0,0,657,130,861,0,0,1635,458
"양지",29,251,28,23189,62,63,513,4772,1068,305,5,0,11,9712,99,4067,1657,31,417,319639,57241,35,419,78,36729,121,1390,425,133,785,152,86,24789,5,6,877,116,106,0,1,1696,6989,26648,21,4,36048,95,1030,142009,194803,63,3975,0,15563,12874,2924,1209,637,101,24823,51,89,6490,139,36176,1559,2128,3616,474,311592,39,11966,446,681,40,429,7317,41,88,3687,1085,610,231614,19,3428,88587,962902,225,332,334,270,13550,2686,0,2,1632,1,1806,99798,5,134,2,12983,3424,44885,6174,268,284,2278,63757,351,3,543,862,23836,7523,54,0,903,445,143260,1516,18269,3164,12469,405,86726,2464,11090,276,290,69,15,3199,2514,734,7612,42,8,57,53,4232,64,25,228,5450,1,0,11243,2077,710,489,208,4,5892,652,19,0,240,149,627,68,61,121,11,16696,2,5,223,3195
"여주",12,1241,9,50665,78,116,553,19850,1527,567,4,0,24,66323,170,9177,742,32,984,116035,18503,24,607,166,13147,234,1029,78,242,1252,262,146,47554,10,1,2575,518,187,0,1,1221,9846,29335,17,6,9074,34,1415,510994,83788,19,7432,0,8845,4642,4356,422,429,62,27343,67,128,3077,296,8363,2339,3127,4698,151,89863,19,4442,701,414,127,683,16112,110,25,8862,2330,314,73570,20,6170,21928,177121,331,880,604,164,17199,1394,1,1,2816,1,1624,61513,7,206,3,12360,6014,19160,2652,559,1212,79365,1108,544,0,626,1216,16463,8723,84,0,1583,192,49343,1501,39103,5575,8201,800,90263,4857,23652,517,665,23,11,5675,4742,2130,4935,100,3,114,26,8429,74,144,428,7928,0,0,5221,3227,80,794,189,9,15650,1537,8,1,561,500,1031,77,63,187,20,29005,0,1,185,5383
"영동",1,32,4,418,19,496,3340,819,8012,2688,1,0,6,1733,54,5238,19463,5,28,10269,986,715,1052,205,2229,386,34283,3131,3723,76,1313,78,335,3,1,12387,36,46,0,8,9,158347,218,4,27,861,3,5979,20547,1122,4,19,0,190,319,15,6168,2,0,167,25,1722,20,229,380,8995,16204,15275,22,4698,1,61,259,46,26,1115,44,15,2,32052,16074,23,5601,5,39,2143,41629,1722,1043,165,0,11307,17,1,1,10,0,5,6529,4,138,1,14,23070,1616,6687,15333,1790,353,343,2469,2,6280,2,7903,1792,28,0,71501,7172,579,6864,162,25187,1388,38,733,6791,2437,528,193,3,2,15,6782,2559,3846,42,1,37,2,28,7,14,133,2277,0,1,9773,22611,6236,1744,11490,1,294,1959,0,0,767,1111,39626,23,11,41,1,248,0,5,37514,36
"영산",3032,0,1523,0,8087,0,0,10,0,44,1286,102,1180,24,3495,0,0,6117,0,114,11,0,255,0,32,1,0,0,128,0,0,2037,0,109,19953,92,0,965,35,172,0,202,0,149,4294,36,7143,0,224,15,4396,0,0,0,5,0,89,0,0,0,11368,0,0,0,13,0,0,87,48996,45,27033,0,7873,3,573,4,0,540,8589,3,233,55869,63,467,0,18,572,1,2,4186,0,90,0,49,2598,0,362,0,80,166,3426,165,0,55,17,70,144,0,1,2,2,377,0,0,86,9,1168,164,10,0,6,0,0,344,9,0,3,41,20,0,1521,5769,2349,0,16,0,13,375,1308,3143,2700,0,4141,596,15702,12,40315,99,94,69,33,86,0,223,1,0,58311,378705,1,0,86,2733,16648,902,5126,1,71156,446131,0,0
"영천",0,15779,10,469,24,25897,219031,974,231992,1208,0,0,0,3099,0,111,44261,0,1185,31918,1558,90,545,149,5599,353,22256,63028,1409,2178,43802,28,3741,7,0,6752,3920,11,0,8,8,40971,357,0,1,924,0,770653,34651,2035,0,122,0,528,658,97,18659,47,23,1728,0,21198,179,13,808,182061,597445,7499,0,7878,0,1132,1,1,6,1189,356,7,0,545548,9624,0,19852,0,2918,20933,71892,48753,1153,30,15,6916,91,0,0,38,0,51,9975,6,3,0,440,7890,2320,13732,2665,40358,616,938,6790,0,12360,884,16376,1923,0,0,8149,80599,1256,217767,280,16133,3646,1965,1936,8007,3105,24,71,0,5,59,7456,1076,2035,14,0,0,0,120,1,0,2,4675,0,0,18115,10436,10428,1085,1897,0,2534,73864,0,0,849,27354,5791,0,0,42,8,380,0,0,6111,173
"예천",0,6377,0,4627,0,165,1237,586,2373,3,0,0,0,1693,0,1,19,0,3745,4826,585,0,0,1,150,0,17,14,2,5287,421,0,11577,0,0,4,3188,1,0,0,15,43,223,0,1,332,0,4605,20010,1306,0,371,0,98,219,258,6,1,0,2489,0,195,35,0,239,2690,16315,5,0,2380,0,64,0,0,0,3,464,0,0,28850,8,0,2993,0,29502,696,6209,533,4,0,2,11,9,0,0,143,0,6,1221,0,0,0,2495,8,814,34,2,411,846,1549,2,0,603,411,216,3,0,0,6,67,968,2650,897,10,12,3023,1882,10,158,0,0,0,0,266,12,2,1,0,0,0,0,490,0,0,0,8,0,0,26,3,3,3,2,0,8093,10444,0,0,0,278,0,0,0,0,0,3234,0,0,2,496
"오산",775,83,276,18187,1611,1687,11811,749,30246,3579,206,0,326,6896,1019,67321,43963,623,90,253860,19087,531,8131,991,143327,1291,35298,7843,4005,445,4048,1290,11465,51,66,10784,74,2946,15,12,551,102406,19798,162,15,29124,2283,13495,2918,112645,1762,1905,0,42088,5437,1249,119385,125,32,9327,1225,3736,330,2352,30596,31643,25182,43267,7444,224061,897,1195,8951,20618,1391,5527,3557,1493,3244,62834,17359,19078,200466,172,2093,56462,2902722,5809,3680,5845,60,108,935,1,53,1164,18,530,431126,61,2186,24,2888,73533,24247,495015,4649,6525,26333,18262,7879,70,11569,369,4862,133,692,1,25634,10830,75551,28526,12406,41297,3246,220,35534,27053,3105,3273,6676,1660,304,1569,34070,7910,989,1594,220,1398,1354,2687,1506,800,7644,1013,30,1,606787,53496,246974,9308,4001,125,4743,3273,596,10,3463,5297,10784,937,1777,4102,234,12768,4,58,4759,1870
"오창",88,5,24,10005,119,114,1073,12068,1891,3236,16,0,40,41584,136,7577,4524,58,10,20108,2949,286,2276,135,351,289,3398,871,1856,9,225,161,7419,7,4,4015,8,330,1,3,7,56734,5845,64,4,2419,232,1432,246204,8092,168,1147,0,3466,806,710,8,1,0,5055,324,221,51,274,1109,1973,2700,40439,832,14409,43,307,1288,1344,118,1153,1225,148,218,6268,11066,1693,14048,13,49,4440,36966,373,898,663,0,37230,8,0,7,649,1,9,4930,11,207,2,397,57804,3039,29,4228,374,10030,8044,2076,2,1482,5,138,50,102,0,12687,1478,10834,2071,5234,27541,233114,10,22701,8114,69085,672,1705,148,38,651,5172,2002,39363,102,19,129,148,1679,447,138,572,377093,4,0,14,41648,20,4273,541,9,4886,425,69,1,981,306,8021,134,123,192,37,8654,1,12,1549,1192
"옥곡",1433,0,98,113,1921,0,0,198,0,94,85,2594,7868,318,105017,1,4,2148,0,1589,121,6,956,1,284,0,6,0,930,0,0,69,105,11,322,42,0,1940,3,826,0,1832,27,3910,63006,56,2642,0,6919,169,2932,7,0,84,56,3,432,0,0,25,2377,0,3,0,65,0,0,440,45445,459,1153,4,44715,18409,955,12,13,755,3379,3,917,29385,828,27474,0,694,6560,0,0,16001,0,695,0,1507,43,4,10582,0,1136,40,175453,4271,5,849,198,861,881,0,81,112,15,1082,0,0,891,144,939,3755,176,0,107,0,67,1501,180,0,171,4,264,0,394,1315,467,18,2,1,721,82,514,15887,1388,8,4440,17537,35720,209,960,1930,1004,961,445,376,7,1768,67,0,718,0,0,0,717,65644,3254,898,227,46,626,18861,4,8
"옥과",249,0,15,0,67,0,0,0,0,1,28,15561,341,0,6646,0,0,340,0,1,1,0,4,0,4,0,0,0,8,0,0,421,0,104,36,2,0,56,1,2990,0,8,0,11050,933757,0,804,0,16,2,728,0,0,0,1,0,2,0,0,0,383,0,0,0,1,0,0,3,8022,15,229,0,3792,4350,24,0,0,2,982,0,5,5013,0,31489,0,0,23,0,0,719,0,1,0,19821,25,0,15663,0,4,294,61875,6191,0,6,1,2,9,0,0,0,0,121,0,0,5,2,3359,688,0,0,0,0,0,4,0,0,1,0,3,0,5,869,62,0,0,0,5,109,129,371,354,0,412,7365,1630,0,87,26330,0,0,5,7,0,174,2,0,115,0,0,0,5,2221,553,38,30,0,11,766,0,0
"옥천",50,48,71,2238,334,733,5443,2503,15160,13523,34,1,251,7489,797,18730,20047,120,49,26581,3387,20397,5356,600,9148,973,27563,3951,12638,104,1044,862,1457,42,2,25441,51,794,1,18,5,1024946,696,95,122,1998,149,8236,55176,2941,103,136,0,468,862,80,22735,0,0,1029,329,1350,75,729,1204,9089,15262,146323,434,11717,86,219,4200,1610,378,2838,213,272,149,31671,105595,674,15960,70,67,7684,84614,1510,2814,2505,0,73200,54,2,3,55,10,11,15139,50,1076,18,105,164226,3844,22441,97645,1638,1011,1464,73752,9,8748,3,25606,13330,441,2,12620,6362,2190,9743,1400,180186,7134,88,3097,17468,8259,1445,3080,87,57,123,15139,7484,28416,682,44,646,56,183,286,266,2301,12498,3,7,36231,200530,28043,4392,7807,91,872,1998,39,3,2341,943,68944,406,221,861,59,1003,0,34,17603,133
"왜관",0,1440,0,335,1,6870,136954,566,71785,595,0,0,0,1952,1,109,190821,0,1066,7403,788,113,288,63,1893,120,25413,185736,642,2487,4863,1,493,0,0,2656,798,1,0,0,1,16361,752,0,2,470,0,293015,17332,819,1,41,0,129,280,42,4454,3,1,113,0,4968,26,14,274,35782,921624,4035,1,3193,0,84,2,3,1,388,45,0,0,1114777,4842,0,4189,0,1133,2522,27112,10639,430,3,1,4041,13,0,0,8,0,4,5145,0,0,0,76,4409,1001,7689,1619,7810,533,226,5003,0,94231,248,7683,839,0,0,4846,945,997,47574,69,7889,1712,1612,619,2561,1961,26,30,0,0,16,2123,345,1065,1,0,0,0,37,1,0,2,1644,0,0,7696,5438,3749,431,3688,0,481,27464,0,0,178,6677,3848,0,0,5,0,186,1,3,6714,74
"용인",100,304,46,26968,172,154,1273,863,2318,835,18,0,50,4071,202,10936,3743,101,510,403150,93828,80,1033,220,89854,357,4366,619,429,859,463,199,25959,14,6,2064,175,290,2,1,6860,13626,62173,22,5,71342,296,2120,36007,358567,170,3529,0,13484,23794,2902,6959,2473,594,17990,114,337,15298,506,55924,3921,4504,6927,921,539865,83,26208,1107,1603,143,961,5772,164,236,9739,3395,1838,347228,17,4521,134058,1671062,685,1016,748,1101,24141,7647,2,7,1169,0,8140,181562,10,316,3,9826,9157,79765,39240,774,1412,167972,42245,770,8,1166,970,89002,12062,124,0,2191,1814,3315,2240,14768,6371,23670,423,71962,5288,29648,735,866,118,17,2355,6398,2048,13240,207,13,192,91,3852,126,57,501,10466,3,0,69543,7338,4625,887,567,10,5672,1175,36,1,705,387,1396,291,243,266,31,17812,2,8,465,2804
"울산",0,20790,201,3464,417,72790,203770,1643,652507,3622,7,0,0,6147,1,181,35381,0,3106,44141,3536,183,1098,381,6611,290,23464,122802,1789,18023,738837,465,9834,130,0,10016,2841,185,0,150,6,54629,2245,0,0,2661,1,388412,59082,4304,1,812,0,1257,1595,372,26049,872,412,2614,1,330490,774,6,1831,952351,222518,9882,3,18837,1,987,1,2,118,1416,797,99,0,214969,10594,0,20077,0,15845,15661,116855,1739536,1109,513,264,14149,918,0,0,330,0,513,20869,120,2,0,1807,15769,5906,19771,3119,685486,1932,1814,7655,0,227933,3861,31231,3226,1,0,9638,55498,2368,433505,1162,22599,6690,7704,4022,15213,4165,20,257,0,101,500,9656,764,3823,250,0,0,0,666,0,0,3,5504,0,0,29758,18728,13436,1334,2514,0,7149,30979,0,0,411,589301,6629,0,0,792,157,2359,0,0,8229,1061
"원주",0,1440,12,253213,8,65,398,7413,967,772,0,0,10,29112,65,7013,38,0,583,62578,10005,22,280,79,4889,155,215,22,185,863,170,43,28583,0,0,1698,571,72,0,0,1140,8893,6664,36,2,2970,1,918,209074,26264,1,122130,0,2778,2067,41673,217,201,17,120684,29,115,1117,135,3419,1562,2279,3538,5,33063,0,1416,158,18,27,527,54321,12,1,8239,1829,8,32772,3,3294,11244,95173,214,508,156,88,14863,773,0,0,17583,0,999,19857,2,85,1,12470,5201,8763,2662,368,219,21880,45300,190,0,289,1372,9077,5544,41,0,1128,50,17330,1137,1946,4778,5058,1214,39667,3652,25937,358,405,0,0,72331,3110,1208,3236,43,0,23,1,44075,8,31,219,3866,0,1,4194,2835,67,292,59,2,62726,1185,0,0,359,115,760,64,1,67,0,86515,0,3,79,26620
"유성",1217,72,695,8943,2521,1627,8258,7597,28087,95471,524,3,496,15200,1919,224530,39365,1196,99,55082,6902,4977,86190,7154,19541,10779,40618,6513,104494,474,2086,2368,8167,104,145,286576,85,6014,16,35,14,350828,2406,408,117,3408,2625,20313,167814,11273,2283,714,0,3325,2310,701,37395,4,0,2906,2023,1060,110,8960,2166,20565,41208,88173,14267,24090,1630,538,24235,27453,2814,47150,1056,2559,2626,59605,119402,21341,33981,239,259,8284,356150,3752,40108,14333,0,112935,65,6,306,300,25,33,57984,119,3025,39,557,154231,9112,48876,171722,3292,3441,5532,27845,283,17479,12,47308,28851,1419,3,177369,13025,5275,22670,4867,3515,15010,211,9242,266897,19840,14928,12094,1546,358,581,256823,67678,71183,3329,374,2638,1043,1114,2405,758,10570,23027,123,2,98965,207095,34250,112727,6232,399,5342,5605,747,29,25152,2669,166513,1669,2531,4573,1091,5551,11,491,10805,873
"음성",226,25,48,7187,211,185,1727,27669,3424,1771,33,1,38,114680,261,15694,5645,91,25,93358,12570,162,2258,302,6655,596,6356,907,1257,102,633,334,6008,18,6,7752,34,632,0,3,133,34876,9710,41,9,5666,634,3133,607900,28606,519,729,0,3285,3789,391,21,10,1,4764,140,1211,809,688,6117,4752,5541,15123,1835,57010,154,2437,1542,2516,170,1437,1507,229,599,13304,6978,4613,66308,20,312,27445,83794,935,1835,929,3,242161,146,0,5,229,2,127,29714,18,314,2,758,35237,13190,283,2182,1423,23281,9960,1473,14,2126,63,2821,234269,153,0,7394,2214,21564,4383,5316,13607,212,37,25562,13862,67680,1798,1863,257,36,583,9488,5262,84786,115,20,212,311,647,208,278,885,56634,3,2,214,25275,15,4080,688,13,2524,672,192,3,2065,1609,4648,190,363,348,28,4053,0,9,749,448
"의성",0,55881,0,1234,0,564,8798,192,6928,13,0,0,0,675,0,6,192,0,17803,1981,395,1,14,8,85,3,298,172,18,33591,1192,0,5128,0,0,107,37816,0,0,0,5,491,167,0,0,99,0,40147,7985,625,0,171,0,34,89,77,97,1,0,7009,0,541,22,0,104,8101,172267,78,0,961,0,31,0,0,0,21,251,0,0,376922,112,0,1473,0,22148,378,3011,1447,13,0,0,72,8,0,0,67,0,2,668,0,0,0,1455,90,421,123,54,1275,427,877,76,0,1726,2992,154,6,0,0,71,892,405,6820,664,186,34,733,946,115,148,2,1,0,0,140,96,16,11,0,0,0,0,145,0,0,0,13,0,0,224,79,61,15,28,0,3275,167548,0,0,7,791,77,0,0,0,0,808,0,0,74,148
"이천",69,1498,50,62645,171,244,1159,46488,3771,1508,18,0,45,148780,245,21458,4660,109,1376,245783,39689,118,1181,355,40384,640,3956,847,748,2240,593,301,63058,20,13,7369,596,581,0,2,2318,26414,77598,23,9,14293,331,3005,927206,150232,117,11490,0,19820,10001,6071,661,718,167,41764,198,415,6504,744,26723,5518,5769,10974,770,162091,73,9560,1557,1961,195,1704,16832,174,288,12844,4954,1961,144192,28,10518,54946,292880,694,1989,1108,380,72571,3903,0,5,2908,3,2287,121394,9,400,2,14797,15304,37449,5009,912,849,141599,82400,1037,6,1409,2197,31509,27812,125,1,3863,1440,86592,3944,41046,9906,26967,1190,4483,10939,51068,1264,1241,124,54,6462,16025,4921,15497,195,22,237,132,10009,200,110,795,18169,6,0,10109,18890,181,1342,383,21,11111,2078,71,1,1414,727,1925,175,205,319,37,39644,0,5,554,6916
"익산",91,29,30,6417,104,424,3117,5787,17997,27978,55,0,15,18518,4,157189,16255,57,42,19066,1822,276,2857,11136,11080,12403,10945,2974,16349,245,169,11,4349,1,20,226876,27,160,2,2,3,71970,2196,0,5,2124,223,5575,146146,4544,181,319,0,2900,483,268,9428,0,0,3455,74,79,26,7724,880,2249,9316,56996,1429,12287,83,90,809,1398,86,5776,1143,33,255,17020,154770,1585,11949,2,143,5526,199235,1067,25802,608,0,40507,7,0,32,200,0,5,32681,0,5,2,389,32193,2611,20091,34081,409,2476,4832,6088,38,8360,17,30758,9892,1,0,16540,3553,5571,12355,4040,255192,13448,119,9674,82,16565,12422,204,116,20,421,42132,55140,38064,21,18,26,77,613,109,6,477,16364,16,0,22562,49071,13816,2833,1000,13,3034,1717,28,3,22973,349,22415,8,140,122,49,3855,4,211,1612,494
"일죽",160,43,140,33085,474,312,1984,73430,4697,2927,56,3,125,262918,592,28301,9900,191,86,120576,21378,172,3995,567,8896,1066,10025,1176,1735,375,672,581,27888,34,31,9317,17,1295,0,14,149,47889,16541,54,44,8317,768,3672,1526920,51990,425,4445,0,6388,5242,3007,24,30,7,23395,323,553,988,1382,7132,6266,8321,25770,2134,75121,199,3002,3896,4221,413,2744,10787,513,545,15674,11325,5604,82188,65,1686,26541,148394,859,3094,2220,11,125877,127,0,22,1838,6,185,40765,47,727,10,4579,35548,19320,210,2475,1076,26328,27392,2510,18,2237,195,2486,80508,290,0,9044,3144,30740,4014,28284,22542,65222,159,63037,20083,373,2216,2911,329,52,3188,16505,8949,77133,404,85,508,204,5570,388,189,1620,51420,11,2,263,32207,17,4960,1228,29,12334,927,156,4,2329,910,5242,558,443,734,91,21915,1,28,1429,3760
"장성",0,0,0,744,0,2,11,798,20,2190,0,0,0,1842,0,983019,492,0,0,2245,277,14,188,10713,1193,17975,341,66,808,1,1,0,541,0,0,16840,0,2,0,0,0,2929,148,0,1,260,0,16,20329,546,0,27,0,115,63,16,1006,0,0,279,0,0,7,34542,162,0,39,2428,1,1404,0,7,0,1,1,16361,106,0,0,18,6702,1,1308,0,1,410,23140,25,14356,1,0,2452,1,0,0,26,0,0,3686,0,0,0,39,1938,457,2026,1656,0,221,480,453,0,18,0,3512,501,0,0,1291,27,525,2,347,13093,881,2,983,10330,1700,1836,2,0,0,45,33897,62025,3031,0,0,0,0,80,0,0,0,2097,0,0,2144,3460,1163,222,41,0,608,8,0,0,11469,0,1260,0,0,0,0,366,0,0,81,34
