"","가산","건천","경산","경안","경주","고령","곡성","곤양","곤지암","광양","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","내동","논산","다부","단성","달성","담양","대동","대전","덕평","동광양","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","산청","삼례","새말","생초","서대구","서대전","서순천","서안동","서울","서전주","서진주","서청주","서평택","석곡","성산","송광사","수동","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진교","진월","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","하동","해인사","현풍","화원","황간"
"울산",21574,57592,146443,2434,282142,0,0,0,6798,0,46,34357,1801,708,177,4404,439,22953,84177,7659,103087,0,1707,0,0,6766,1493,0,0,0,1713285,52285,759,0,0,305090,38838,87198,675,0,18980,1207,0,6,619351,146407,7161,0,0,568,720,0,221706,4533,0,28551,92453,0,0,10645,0,0,0,0,0,15298,0,0,0,9439,12838,325771,642,1729278,1452,7571,0,171575,22970,4,0,0,16796,65745,1883,7176,3890,17139,4465,6103,4129,14950,2846,4,5900,535,6491,0,0,4435,0,0,21708,11553,7684,2154,22504,0,0,332,366910,0,0,0,0,0,7608
"원주",4,95,473,13873,1582,0,0,0,46579,0,12104,1604,12,67,129,4821,649,2178,219,4,121,0,121727,0,0,3483,3,0,0,0,883,16615,7865,0,0,888,262088,249842,4610,0,313,116761,0,337,3916,2555,6892,0,0,924,349248,0,9038,3875,0,4,134444,0,0,27181,0,0,0,0,0,36626,0,0,0,8430,5492,269,22943,268,102296,530,0,339,14667,4,0,0,3160,419,31864,3101,1324,6480,5227,3,69139,6802,31765,1029,5574,1737,8630,0,0,5986,0,0,9753,5275,127,224,321,0,0,615,152,0,0,0,0,0,239
"유성",83,1184,9403,9603,21816,0,0,0,13781,0,201995,31087,77,3124,6479,7855,21337,31270,3674,294,1177,0,7411,0,0,252438,38,0,0,0,7301,69365,1673,0,0,12171,106481,97490,2446,0,35873,1455,0,8326,29599,27188,39942,0,0,39887,10225,0,70833,110227,0,230,278029,8,0,55971,0,0,0,0,0,40549,0,0,0,56778,32805,3106,1921,2553,3750,13212,0,7156,27947,26,0,0,94806,5436,4172,18168,6623,1681,8131,189,9635,243560,10111,21915,230898,56435,47099,0,0,12703,0,0,73219,93769,21587,4349,4649,0,0,24382,2136,0,0,0,0,0,5776
"음성",14,178,1617,35262,3265,0,0,0,131157,0,12428,3997,14,102,229,5728,950,4907,696,14,306,0,8802,0,0,6289,13,0,0,0,2074,28969,11210,0,0,1737,654226,311588,4759,0,28,5281,0,392,7985,4205,9690,0,0,1173,10657,0,14163,5774,0,5,125979,0,0,223416,0,0,0,0,0,35290,0,0,0,24699,305,855,13619,521,9622,989,0,1071,2384,186,0,0,8947,944,27781,3299,5915,6990,75,18,29774,9963,44548,1686,7539,2910,110010,0,0,41114,0,0,212,21009,16,761,637,0,0,1012,906,0,0,0,0,0,816
"의성",71744,481,6327,33,5427,0,0,0,57,0,2,246,13305,13,3,20,2,299,209,37952,553,0,3,0,0,79,33595,0,0,0,3233,560,4,0,0,27083,600,769,0,0,87,2,0,0,8681,159163,62,0,0,16,0,0,326352,50,0,27045,1200,0,0,57,0,0,0,0,0,189,0,0,0,58,145,924,10,886,6,48,0,765,134,0,0,0,185,1338,16,5052,10,178,15,1523,33,118,27,1,50,13,21,0,0,27,0,0,201,94,66,33,107345,0,0,8,618,0,0,0,0,0,58
"이천",17,257,1822,49248,5000,0,0,0,138185,0,22837,7065,16,123,396,27556,1597,6834,586,9,388,0,169472,0,0,7812,14,0,0,0,1931,31776,44717,0,0,2560,906099,849576,23092,0,649,56575,0,880,8736,5675,10767,0,0,1844,115607,0,16859,7198,0,10,374433,1,0,76069,0,0,0,0,0,153081,0,0,0,14871,7144,715,77042,570,80070,1140,0,1299,27687,6,0,0,6674,1847,100773,3880,61423,8680,26240,34,4066,12925,50845,2109,16949,4927,24493,0,0,20198,0,0,12838,17745,230,623,1034,0,0,1655,437,0,0,0,0,0,647
"익산",21,525,3698,10633,21997,0,0,0,25679,0,154924,12062,21,180,9083,10424,18561,8212,1108,247,112,0,5560,0,0,110618,18,0,0,0,737,52781,2303,0,0,3411,170607,197287,2649,0,18130,2876,0,9284,4447,7309,52117,0,0,6037,11769,0,11685,225289,0,118,350967,6,0,34905,0,0,0,0,0,53170,0,0,0,27571,35879,586,2700,816,4707,2429,0,2991,55478,6,0,0,10119,1673,6783,11592,7848,238077,10135,98,13001,1336,13595,19678,37524,61779,34415,0,0,12022,0,0,40801,36531,15823,859,1237,0,0,18668,374,0,0,0,0,0,1105
"일죽",7,227,2107,63868,3381,0,0,0,208670,0,18453,4340,14,113,319,3992,1258,6801,412,22,302,0,48372,0,0,6601,27,0,0,0,1849,28083,20793,0,0,2083,883420,300339,4982,0,19,21342,0,1126,8325,4545,11872,0,0,1626,60541,0,17494,7456,0,9,146769,3,0,77698,0,0,0,0,0,44899,0,0,0,19418,189,859,16048,459,22812,1234,0,1216,1828,35,0,0,9481,1142,31732,2704,36204,9084,39727,20,63517,13274,733,3331,10775,5022,45623,0,0,25908,0,0,262,16579,16,849,847,0,0,1424,507,0,0,0,0,0,713
"장성",1,0,17,1723,10,0,0,0,3624,0,771631,248,2,21,14234,1234,24735,198,22,4,0,0,949,0,0,19169,0,0,0,0,3,2607,273,0,0,12,38942,33271,160,0,1974,257,0,40220,4,24,3087,0,0,9828,1540,0,43,12231,0,1,66726,11,0,3992,0,0,0,0,0,7404,0,0,0,2187,4693,2,396,1,830,130,0,5,8431,3,0,0,1166,9,812,4,1229,20038,1174,1,1724,15317,1651,1593,40673,58257,4845,0,0,1428,0,0,5302,4407,1713,27,13,0,0,11646,0,0,0,0,0,0,139
"전주",8,129,1571,13108,3328,0,0,0,27202,0,646074,7765,18,138,19770,9628,32423,4797,1062,72,43,0,5615,0,0,164641,5,0,0,0,286,53256,2034,0,0,1357,211616,207189,2896,0,17306,1430,0,28248,2709,2967,49435,0,0,20347,11157,0,3831,175629,0,75,460443,22,0,27201,0,0,0,0,0,60797,0,0,0,23666,35193,319,3031,200,4899,1468,0,1312,54417,11,0,0,6843,1201,6857,2964,6574,234752,7818,49,16955,49392,11934,43283,4424,293638,31843,0,0,8715,0,0,40948,34592,16998,444,524,0,0,52307,109,0,0,0,0,0,628
"정읍",6,40,353,4989,825,0,0,0,10620,0,624022,2891,4,22,51869,3515,421394,2162,473,27,1,0,1846,0,0,50459,1,0,0,0,17,12064,867,0,0,261,99830,94528,481,0,5753,539,0,63130,73,792,11216,0,0,58045,3508,0,835,43747,0,19,186774,149,0,7199,0,0,0,0,0,22873,0,0,0,6144,13640,7,1061,31,1376,702,0,278,20636,0,0,0,3156,244,2245,373,1987,57932,2754,8,4758,55858,4837,62509,305366,396,9231,0,0,3411,0,0,13931,9560,4406,224,147,0,0,33548,10,0,0,0,0,0,385
"증평",9,302,2844,23960,5308,0,0,0,82044,0,40147,6203,11,478,944,2161,3227,6978,986,9,401,0,6704,0,0,22508,13,0,0,0,2642,176171,7946,0,0,2735,406060,184363,3700,0,17,3149,0,1579,10134,5570,60200,0,0,5009,14733,0,20384,32627,0,12,72904,3,0,281963,0,0,0,0,0,24946,0,0,0,125143,88,948,14123,775,7099,3750,0,1576,967,55,0,0,37972,1218,21027,5494,8937,45961,115557,22,25020,36907,53211,5525,29947,9999,622,0,0,113067,0,0,67,96017,11,607,806,0,0,4947,538,0,0,0,0,0,2303
"진교",0,0,0,0,0,0,3,1532,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0
"진월",0,0,0,0,0,0,19,410,0,1031,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,5,0,48,0,0,0,299,12,0,0,0,0,0,0,0,0,0,0,0,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
"진천",20,266,2224,15399,3725,0,0,0,53256,0,13192,4920,7,172,232,1512,1432,6427,684,18,279,0,7031,0,0,7967,9,0,0,0,1536,51570,3542,0,0,2539,214029,98600,1575,0,13,3292,0,373,6825,4990,15990,0,0,1579,11260,0,17428,10538,0,12,42650,2,0,338244,0,0,0,0,0,12363,0,0,0,40765,74,1277,5264,1142,6438,1666,0,1647,691,246,0,0,14453,1057,9710,3364,6102,11781,39513,19,19855,11516,28256,1669,7757,3370,101088,0,0,361,0,0,34,42313,6,675,888,0,0,1516,848,0,0,0,0,0,1101
"창녕",0,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65373,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,50909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,50504,535274,0,0,0,0,8767,39727,382367,0
"창평",0,0,0,0,0,0,20699,23,0,6,0,0,0,0,0,0,0,0,0,0,0,4850,0,0,0,0,0,0,0,3174,0,0,0,8,109248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28432,0,0,0,0,0,0,11428,0,8368,0,0,1530,26015,3369,0,0,0,0,0,0,0,0,0,0,0,0,14553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"천안",52,1378,12206,1400,24738,0,0,0,4685,0,73001,29312,97,811,1181,132862,5031,33568,3734,222,1543,0,12981,0,0,17193,68,0,0,0,9684,300776,7165,0,0,11860,3435,803874,28137,0,193931,3785,0,2575,39571,25155,84394,0,0,6052,30934,0,84548,32322,0,204,3296959,2,0,77,0,0,0,0,0,485672,0,0,0,141139,276065,3880,8971,3524,8540,8292,0,8940,371333,0,0,0,46993,5657,33824,19312,11867,65036,248,185,15249,43010,441,6757,41266,16525,70,0,0,61,0,0,4639,86342,361454,3850,4052,0,0,5360,2798,0,0,0,0,0,5326
"청원",33,797,5390,8702,15561,0,0,0,21311,0,44929,16785,36,2526,1024,8905,4190,23944,1382,70,623,0,5388,0,0,28925,21,0,0,0,4068,344788,2366,0,0,6665,93713,134817,1451,0,68739,2302,0,1864,21037,16264,64763,0,0,5477,9824,0,54062,65492,0,48,183334,4,0,73353,0,0,0,0,0,35413,0,0,0,58654,45903,2668,2994,1458,4701,13651,0,6508,44987,29,0,0,162055,3121,8371,11085,5155,96529,23698,58,16873,40247,18780,5284,32981,10116,114062,0,0,44189,0,0,87226,624,36525,3131,2331,0,0,5036,1440,0,0,0,0,0,8631
"청주",31,514,4932,83,9029,0,0,0,248,0,20816,12904,15,757,371,36036,1809,13790,1424,111,655,0,491,0,0,8898,16,0,0,0,3789,102269,274,0,0,4671,456,437200,4719,0,175927,120,0,690,17985,11737,31275,0,0,2439,1346,0,32702,12663,0,79,636618,3,0,84,0,0,0,0,0,163096,0,0,0,43667,182280,1795,724,1195,431,6163,0,2830,190558,0,0,0,31148,2303,3585,7227,488,22592,28,63,636,16755,39,1800,16942,4323,29,0,0,13,0,0,369288,38021,329,1370,1645,0,0,1926,888,0,0,0,0,0,2798
"추풍령",17,240,2508,691,2978,0,0,0,1393,0,348,24916,17,1498,39,651,113,22355,1879,29,152,0,128,0,0,1456,23,0,0,0,1161,18154,109,0,0,4171,7804,11854,68,0,1898,66,0,15,4977,16089,1847,0,0,86,218,0,22063,1296,0,29,14461,0,0,1790,0,0,0,0,0,2577,0,0,0,2484,2670,416,121,464,209,10712,0,1045,4050,1,0,0,10126,3145,371,1939,213,3641,504,16,483,957,607,55,557,276,655,0,0,798,0,0,3419,2944,1140,29460,2673,0,0,122,302,0,0,0,0,0,7839
"칠곡",102221,9926,191545,941,81413,0,0,0,2153,0,3,119507,57341,431,50,756,98,32555,80721,137238,1655,0,277,0,0,1763,37624,0,0,0,7809,15807,181,0,0,256020,13654,15726,217,0,3371,97,0,3,31582,324247,2067,0,0,124,322,0,2136971,1530,0,107849,22942,0,0,2668,0,0,0,0,0,5159,0,0,0,2603,3207,3996,248,6010,572,3227,0,63362,3529,1,0,0,6634,127010,583,25877,491,5087,805,117542,1265,1453,958,0,542,143,1091,0,0,1020,0,0,4892,3605,1788,3495,1973,0,0,143,2795,0,0,0,0,0,5924
"칠서",0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18674,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,44798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47457,0,0,0,0,0,0,149,463373,0,0,0,0,3971,24410,165556,0
"칠원",0,0,0,0,0,11119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496747,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12229,0,0,0,0,0,0,0,0,0,0,0,0,0,514890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549189,0,0,0,0,0,0,521936,184,0,0,0,0,109754,417765,3046836,0
"태인",0,18,179,1995,422,0,0,0,4311,0,136812,1200,1,24,7110,1657,29033,753,99,10,2,0,498,0,0,20902,1,0,0,0,15,3486,632,0,0,159,32097,32704,207,0,1973,144,0,11374,80,660,4709,0,0,20518,1392,0,441,22217,0,12,65243,16,0,3086,0,0,0,0,0,8232,0,0,0,2491,5697,13,350,25,497,216,0,164,6637,0,0,0,1239,80,887,277,606,24214,1089,10,1582,16646,1577,13840,51182,34408,4281,0,0,1285,0,0,4683,4753,1957,85,101,0,0,124,6,0,0,0,0,0,160
"통도사",2186,7184,12134,640,104998,0,0,0,2121,0,2,3958,220,71,6,1467,18,2992,5919,596,45829,0,178,0,0,526,204,0,0,0,462634,5952,437,0,0,22427,10657,18252,62,0,2609,147,0,1,956542,11957,590,0,0,17,67,0,14009,375,0,2084,21291,0,0,1497,0,0,0,0,0,6422,0,0,0,1385,3354,102182,232,24823,209,1056,0,14404,5978,0,0,0,2337,5383,576,346140,330,1805,1139,461,822,390,917,0,105,3,719,0,0,876,0,0,4156,1799,1298,313,2268,0,0,5,3790,0,0,0,0,0,926
