"","가산","건천","경산","경안","경주","고령","곡성","곤양","곤지암","광양","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원","남원주","남지","내동","논산","다부","단성","달성","담양","대동","대전","덕평","동광양","동광주","동대구","동서울","동수원","마성","매송","목천","문막","발안","백양사","부산","북대구","북대전","비봉","산청","삼례","새말","생초","서대구","서대전","서순천","서안동","서울","서전주","서진주","서청주","서평택","석곡","성산","송광사","수동","수원","순창","순천","승주","신탄진","안성","양산","양지","언양","여주","영동","영산","영천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진교","진월","진천","창녕","창평","천안","청원","청주","추풍령","칠곡","칠서","칠원","태인","통도사","포승","하동","해인사","현풍","화원","황간"
"새말",8,58,217,37306,645,0,0,0,97622,0,16191,1791,1,62,282,8391,979,1977,136,1,48,0,154135,0,0,5190,4,0,0,0,441,29427,16624,0,0,736,754266,553843,13266,0,608,78290,0,424,1248,1519,10483,0,0,1452,268,0,3919,6359,0,1,440299,0,0,40284,0,0,0,0,0,81086,0,0,0,13566,9999,568,45119,81,115506,673,0,88,20840,13,0,0,3852,267,73043,479,337007,8603,7669,1,131190,10867,50392,1203,9001,2727,12454,0,0,10362,0,0,22703,8342,245,238,214,0,0,1507,55,0,0,0,0,0,321
"생초",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48811,0,0,6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,52,0,0,0,0,0,0,30412,0,0,0,0,0,5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서대구",707732,51865,1164960,14542,593808,0,0,0,31231,0,87,896917,176024,5134,205,13126,657,246451,991064,303618,6400,0,6754,0,0,16905,181103,0,0,0,19380,237963,3141,0,0,1041253,216667,278105,2412,0,54581,2349,0,16,147572,96473,31260,0,0,579,4390,0,31137,18380,0,319803,500783,0,0,42988,0,0,0,0,0,71661,0,0,0,33104,58004,25176,3710,38985,8994,38830,0,430460,67976,12,0,0,77904,1325563,8671,232835,9828,62047,12557,354697,16812,11713,15699,7,2712,496,20166,0,0,16848,0,0,78520,55131,27094,24747,1984341,0,0,444,16610,0,0,0,0,0,46744
"서대전",24,293,4003,6062,5274,0,0,0,11875,0,115757,9207,33,1316,5668,4037,20345,9793,1089,148,259,0,3741,0,0,265476,34,0,0,0,1810,90870,1279,0,0,4298,70907,69718,1117,0,20156,1295,0,6586,7725,8997,122641,0,0,31871,8288,0,20521,920,0,94,120197,21,0,38085,0,0,0,0,0,22043,0,0,0,95919,18218,821,1228,1014,2748,5601,0,2632,20171,8,0,0,27361,1773,3302,4100,4391,130352,7506,67,8208,224192,8682,11895,167601,43010,35599,0,0,11344,0,0,35913,70078,12968,1596,1473,0,0,22301,348,0,0,0,0,0,2371
"서순천",0,0,0,0,0,0,53151,101,0,12,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,8658,0,0,0,85,881334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,32975,0,302281,0,0,205,50261,88322,0,0,0,0,0,0,0,0,0,0,0,20,41669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,22805,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"서안동",61698,1541,12764,10,18920,0,0,0,21,0,4,424,28307,9,2,23,4,233,238,68756,1598,0,3,0,0,89,29143,0,0,0,10079,640,4,0,0,33870,278,391,1,0,52,1,0,0,28421,161086,101,0,0,13,5,0,281997,47,0,1746,633,0,0,32,0,0,0,0,0,130,0,0,0,79,79,3359,3,3454,4,51,0,2544,69,0,0,0,155,1295,9,22072,3,155,7,35912,9,110,11,1,56,19,10,0,0,9,0,0,134,44,55,16,104320,0,0,6,1927,0,0,0,0,0,64
"서울",306,6151,41750,1214,127980,0,0,0,8918,0,783367,120317,561,3235,14760,1901432,44930,200261,13932,981,4802,0,441473,0,0,140458,458,0,0,0,38201,640809,222911,0,0,63532,3564,1906991,621073,0,327941,104717,0,25739,245750,157991,345909,0,0,52809,580031,0,470422,122346,0,787,6197,46,0,40581,0,0,0,0,0,5771908,0,0,0,247363,2738625,15155,787958,11521,213988,49045,0,44889,2667448,10,0,0,192013,22314,1441321,85023,167313,283347,165790,1228,418920,388324,174542,55121,482686,200386,88346,0,0,51634,0,0,3633047,174306,864248,15342,19623,0,0,72315,9370,0,0,0,0,0,23862
"서전주",0,0,0,1,1,0,0,0,0,0,58,1,0,0,0,0,10,1,0,0,0,0,1,0,0,6,0,0,0,0,0,2,1,0,0,0,11,17,0,0,0,0,0,3,0,0,4,0,0,9,1,0,0,7,0,0,19,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,18,2,0,1,10,0,1,43,33,3,0,0,1,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0
"서진주",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206485,0,0,35553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18454,0,0,21074,0,0,0,0,0,0,59,0,0,0,0,0,44260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서청주",21,380,3840,41519,6885,0,0,0,108202,0,30490,21416,16,1078,650,316,3545,18364,1950,53,534,0,29697,0,0,17286,19,0,0,0,3775,172998,12845,0,0,7340,606821,103801,7175,0,16,9156,0,1012,19356,11439,67536,0,0,4021,46630,0,41302,32021,0,35,41952,4,0,602,0,0,0,0,0,6265,0,0,0,116882,61,1581,16021,1265,20456,7532,0,2958,161,107,0,0,60538,2801,25064,9113,27806,49034,237351,49,77070,32520,84728,3891,24331,6708,318455,0,0,386435,0,0,65,72991,41,1957,1794,0,0,2958,1403,0,0,0,0,0,4883
"서평택",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297326,0,0,42086,0,0,0,0,47133,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12673,0,0,0,0,0
"석곡",0,0,0,0,0,0,16924,23,0,4,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,2654,0,0,0,4,252213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30844,0,0,0,0,0,0,199,0,6645,0,0,61,24330,4170,0,0,0,0,0,0,0,0,0,0,0,2,23587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"성산",0,0,0,0,0,45540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,694,11631,0,0,0,0,179493,1315,910444,0
"송광사",0,0,0,0,0,0,34406,187,0,47,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,3492,0,0,0,46,215674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315414,0,0,0,0,0,0,9206,0,118,0,0,196,234641,22829,0,0,0,0,0,0,0,0,0,0,0,19,14463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,7211,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"수동",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98421,0,0,13481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253,0,0,4276,0,0,0,0,0,0,45164,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
