"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구","경산","영천","건천","경주","통도사","양산","서울산","부산","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","무주","판암","덕유산","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"축동",1192,243,67,190,304,1039,273,89,186,64,214,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3627,576,2384,8889,1706,511,944,754,4835,231,1484,2773,509,1933,1554,9209,9899,14700,0,3,21723,62859,5813,3417,1094,1115,14,16,41,309,21,53,23,113,47,690,0,0,0,256,0,0,1,0,47,14,23,32,10,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,18,1,4,0,0,0,1,0,0,0,0,1870,49,83,42,54,179,133,0,52,1,2,3,1,2,494,160,95,262,301,877,90,656,27,58,76,20,20,38,34,90,24,131,306,779,914,3145,13942,76,54,25,0,0,0,0,0,0,0,0,1,0,195,180,192,445,660,0,40,19,18,11,3,15,16,2,3,0,0,0,1,0,0,0,103,6,21,21,272,47,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,9,3,0,0,0,0,928,4555,541,322,24,120,506,169,142,2244,0,0,0
"사천",104799,15158,5447,11027,9154,14723,9974,4805,14277,5109,30686,1726,87,131,43,12,38,32,2,1,7,0,1,1,1,0,2,0,0,1,2,48483,11544,42534,302372,37543,11268,35605,28992,210190,13080,95969,129212,7789,39949,25762,182835,183111,253071,0,22053,95,731265,58559,31722,22932,29037,628,1336,3386,15337,1214,2335,1186,5001,2896,37081,2,1,2,18688,43,2,6,0,3918,1178,2231,1532,593,421,425,90,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,2791,838,72,354,25,10,4,5,5,2,0,3,86663,2724,5322,2909,1604,11900,4587,2,1625,59,23,21,126,97,12663,17018,9977,10628,10862,47075,4216,57186,2411,4654,5133,1448,2169,2237,5182,9114,1826,9831,7143,25654,31778,103857,621504,3240,1730,1238,3,1,32,2,17,5,3,1,7,3,6967,7149,9768,5362,9314,1,3646,1266,1351,753,435,1953,1078,293,309,67,31,40,49,27,13,62,8116,728,1303,1206,25784,2697,2288,376,358,1,0,0,0,0,2,0,0,0,1,47,16,373,12,18,1,1,1,494,331,97,8,35,47,25542,204466,23479,11644,2821,7097,26444,14228,15391,108958,1,0,0
"진주",47751,5399,1731,8684,3194,5968,3390,3660,4711,2204,18034,735,15,51,18,5,10,5,1,1,4,1,1,1,2,0,2,0,0,0,5,61585,11919,65571,491074,44845,14088,42374,32418,230471,6039,54751,92039,8396,32708,22804,211835,362544,280203,0,71931,1053865,164,20684,37187,41748,31168,174,247,803,7286,917,1075,427,2610,2317,26160,0,3,1,7672,9,2,4,0,1531,374,448,683,268,153,244,28,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1093,336,32,123,8,5,1,4,7,0,0,2,39723,897,1845,1235,880,4969,2950,1,795,48,12,7,40,27,11066,3905,2561,3373,4920,18356,4386,20356,659,2384,1349,1601,780,985,1473,3446,734,3263,3387,20771,24436,59449,36091,840,722,331,5,2,12,1,8,1,1,1,2,1,9966,8955,12369,7795,13079,2,1203,355,495,233,155,742,361,97,96,44,21,14,22,13,10,21,3941,231,1184,393,9013,1451,647,156,1228,0,0,0,0,0,2,0,0,0,0,54,10,164,3,1,0,0,0,155,115,47,6,11,42,36403,199666,27893,10828,2715,2363,8736,4380,3487,107178,2,0,0
"문산",7793,1430,540,1716,970,1410,888,565,1834,561,2291,141,7,23,4,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,57127,21699,67691,337412,37021,13109,25308,22905,131212,1079,7668,11911,713,2963,2522,16814,21088,17284,0,5467,71752,27239,76,20989,42228,5122,32,64,193,1918,243,211,107,524,294,4749,0,0,0,1945,2,0,1,0,373,127,143,108,65,48,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,81,4,37,4,1,1,1,0,0,0,3,8822,306,414,238,124,1048,475,0,181,1,4,5,14,10,2245,1273,755,1460,1099,5213,791,5695,186,502,373,254,169,264,654,963,397,989,624,4229,4560,16166,25083,263,389,100,0,0,2,0,0,0,0,0,0,0,6228,8664,9572,9496,13365,1,354,78,123,66,46,248,81,24,65,4,2,4,9,3,1,3,833,66,95,131,1823,310,164,34,96,1,0,0,0,0,0,0,0,0,0,9,2,55,0,1,0,0,0,53,23,10,0,1,5,31686,111565,17916,7791,948,650,2704,1646,1109,61773,0,0,0
"진성",6289,858,339,816,550,820,892,328,947,533,1347,68,4,4,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,41950,15890,58955,246532,33393,9126,20513,18025,94850,755,5815,8981,770,2362,2786,13414,11327,6877,0,2658,18650,13806,7313,47,18693,3071,12,33,60,1969,167,147,63,326,178,4831,0,1,0,1489,1,3,0,1,407,101,127,94,79,71,45,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,356,50,2,18,3,0,0,1,1,0,0,0,5116,92,353,202,110,837,249,0,154,3,1,10,7,6,1364,497,293,479,579,3782,500,3139,110,296,447,89,146,219,225,408,168,504,342,3143,3158,9617,19024,292,124,87,0,0,2,0,1,0,0,0,0,0,3376,4235,7227,7148,9001,0,173,38,107,42,19,114,32,7,9,3,0,0,1,3,0,0,496,50,69,101,2059,365,119,5,11,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,8,3,2,0,1,2,23561,77846,16015,5571,123,487,1639,778,516,33764,0,0,0
"지수",791,148,63,136,262,144,74,58,148,72,251,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8744,2823,13057,45088,8112,2131,4351,4320,19362,167,1211,1759,87,541,682,2138,2950,2253,0,916,15731,34327,40587,14940,28,308,2,5,15,253,63,38,14,56,28,415,0,0,0,245,1,0,0,0,46,5,18,2,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,11,1,1,2,0,0,0,0,0,0,0,1028,49,73,65,37,212,72,0,13,0,1,1,2,16,225,119,72,74,78,622,153,534,16,39,57,16,26,66,114,109,9,116,110,687,446,1100,8953,32,19,3,0,0,0,0,0,0,0,0,0,0,720,1070,1444,1376,2387,0,29,7,8,9,3,26,2,1,0,0,0,0,0,0,0,1,111,3,9,22,202,40,28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,5564,15500,2876,1293,21,61,218,128,79,8397,0,0,0
"함양",14999,2597,889,4364,2353,2682,1704,757,1917,1167,7200,295,36,22,13,1,3,12,2,1,2,0,0,0,0,0,0,0,0,1,0,2348,520,2607,27124,3342,783,3603,2630,20879,115,1002,1168,98,747,401,1913,2260,1239,0,948,27616,24937,4587,4068,1148,3567,7277,6031,5025,28899,5331,2980,9940,7982,8147,107171,0,0,0,3533,6,1,0,0,676,147,215,875,170,39,32,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,550,77,12,22,5,6,1,3,3,0,0,0,12552,125,20,8,5,40,30,1,348,8,5,10,19,10,14644,2873,1770,3611,4678,14127,36179,14477,483,1109,793,333,414,1074,1311,1271,298,2342,1837,5149,16505,15889,65203,568,289,205,0,1,9,1,2,0,0,2,0,0,8,120,608,347,789,0,646,112,171,88,70,399,259,65,74,16,5,7,30,18,13,23,1571,120,365,294,3512,505,457,92,83,1,0,0,0,0,0,0,0,0,0,23,18,145,12,11,0,0,1,103,75,40,5,4,25,2640,19093,2208,877,655,1109,5751,2396,2190,62215,0,0,0
"성산",97,21,10,25,21,67,31,20,51,39,106,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,3,4,0,1,4,3,1,19,154,113,10,32,32,75,33,14,0,3,170,88,9,5,0,6323,3542,32256,70267,12485,2691,2729,886,2285,31416,91175,0,0,0,43,1,1,0,0,13,2,10,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,51,9,16,4,0,0,0,0,0,0,0,18028,114,14,6,5,11,6,0,14,0,0,0,2,2,465,126,43,267,529,9744,380,42,3,5,5,0,4,7,6,28,2,469,188,1026,1024,518,141,15,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,8,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,12,3,2,5,48,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,45,28,273,242,164,625332,0,1,0
"고령",729,185,66,128,91,200,145,70,98,154,301,15,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,2,1,9,52,462,506,28,109,61,156,163,64,0,13,862,165,25,23,4,5853,45454,3756,98105,6547,1606,2387,605,1862,23195,61119,0,0,0,219,0,0,0,0,44,14,18,13,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,39,2,16,1,0,0,2,2,0,0,0,13668,109,3,6,4,24,21,0,31,0,1,2,3,1,310,224,130,177,241,4264,228,434,16,21,22,8,40,33,32,125,31,411,163,634,918,626,423,42,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,7,14,7,11,1,0,0,0,0,0,0,0,0,0,104,6,17,10,188,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,12,1,0,52,93,552,315,232,674607,1,0,0
"해인사",2247,330,135,253,209,359,244,98,265,111,569,45,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,22,3,29,95,8,2,18,7,55,41,461,552,47,181,89,247,286,70,0,31,2803,824,160,72,14,4726,81545,101332,2116,5019,830,1189,390,1628,17816,46701,0,0,0,410,0,0,0,0,77,14,13,10,6,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,30,3,11,1,0,1,1,0,1,0,0,5937,66,9,6,3,115,38,0,38,6,0,2,9,9,415,443,216,173,261,2227,241,1288,51,89,62,18,37,35,30,167,34,315,153,772,991,1031,2301,79,47,28,0,0,0,0,0,0,0,0,0,0,0,21,3,2,4,3,107,11,17,17,15,23,11,2,0,0,0,0,0,0,0,1,206,23,34,43,423,59,42,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9,71,13,4,62,179,1355,424,452,257564,0,0,0
"남원",6772,1318,549,802,633,776,605,358,1426,482,2492,227,8,29,14,2,17,20,0,0,6,3,0,0,0,0,0,0,1,0,1,1677,390,1510,21993,3734,1339,6269,8459,31640,101,213,1543,475,484,445,1306,1332,1085,0,444,19431,10021,2738,3013,1150,33947,13981,7721,5775,9020,86816,66163,151650,133436,2406,29599,0,0,0,1436,1,0,1,0,240,44,79,18,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,4,2,3,1,1,0,0,0,0,0,1,273565,1814,177,61,16,95,16,1,95,4,1,4,2,1,5333,1881,1047,1704,2014,353,1132,7187,368,609,610,246,247,264,716,908,187,1151,736,8200,5289,6643,11409,188,147,88,5,0,10,0,3,0,2,1,7,2,9,86,349,328,704,0,296,45,108,67,56,356,179,66,50,21,7,5,19,15,11,19,697,47,98,108,1215,138,122,125,83,0,0,0,0,0,0,1,0,0,0,13,2,147,5,5,0,0,0,116,82,21,3,11,40,2296,27243,2154,4833,83,635,1843,991,1679,120693,0,0,0
"순창",261,37,9,34,22,28,15,20,94,31,193,29,1,7,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,333,42,395,1713,297,86,317,285,3372,206,482,54,53,24,15,37,14,17,0,13,1142,758,248,281,191,4975,2918,1835,880,89826,4868,38855,10035,8955,476,7007,0,0,0,57,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,239267,1006,83,105,41,149,57,0,4,0,0,0,0,0,629,166,81,369,468,63,168,336,19,34,42,18,18,22,72,55,16,184,78,1628,1060,1302,1794,3,6,4,1,0,2,2,0,0,0,1,2,1,1,12,82,33,49,0,4,3,10,4,9,21,16,5,21,0,2,2,1,0,0,0,33,2,3,3,51,6,10,8,9,0,0,0,0,0,0,0,0,0,0,4,1,12,0,0,0,0,0,5,5,1,0,1,8,118,1914,374,131,4,32,119,64,158,28089,0,0,0
"담양",112,16,10,12,14,14,14,14,41,15,61,16,1,2,2,1,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,319,49,211,2019,349,124,417,380,4092,7018,14647,1719,1993,778,499,789,106,116,0,71,1990,1035,207,329,191,4236,3094,2309,1164,67276,40622,855,10929,7729,454,6032,0,0,0,17,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,357333,3027,1906,4045,1625,3141,1604,0,1,0,0,0,1,0,562,88,35,475,801,60,193,182,9,17,13,4,7,5,31,33,9,133,60,839,576,733,852,3,2,1,0,0,0,0,0,0,0,0,0,0,7,15,56,43,88,0,5,1,1,4,2,9,5,1,2,0,1,1,1,1,1,0,9,0,0,3,15,3,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,2,1,0,0,1,151,2575,250,181,1,18,47,31,35,34982,0,0,0
"남장수",497,94,30,73,43,61,95,22,110,51,213,23,0,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,127,23,99,921,185,77,204,158,1766,25,62,7,6,6,4,22,28,18,0,14,1101,440,91,113,68,11354,918,615,428,145452,9896,11243,1270,39441,415,2584,0,0,0,107,0,0,0,0,13,5,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,57970,387,42,17,9,42,8,0,11,0,0,0,1,1,640,164,92,197,218,57,109,565,27,47,48,16,18,24,69,55,13,133,84,685,377,641,882,18,5,16,0,0,2,0,0,0,0,0,0,1,0,2,12,11,25,0,21,0,11,4,5,42,25,5,6,0,1,0,2,1,1,0,45,2,6,3,97,11,15,6,5,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,10,4,1,0,0,0,95,1358,115,67,8,40,145,83,159,8822,0,0,0
"지리산",9946,1759,852,1434,1017,1373,1012,621,1308,667,2602,154,9,33,4,1,6,7,0,0,2,0,1,0,0,0,0,0,0,0,0,582,81,464,4301,599,147,800,716,5721,31,116,68,23,51,28,169,296,197,0,77,4886,2270,523,661,307,7405,3144,2307,2388,136942,9413,7573,41636,4939,1293,9137,0,0,0,2558,0,0,1,0,386,82,184,42,10,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,10,1,5,0,0,0,1,0,0,0,1,36266,351,39,19,3,44,12,0,292,3,2,0,4,3,2376,2236,1062,1378,1819,961,1088,7821,391,896,584,201,251,248,494,839,157,1293,911,2536,1715,2634,4213,410,180,189,0,0,7,0,3,1,1,0,2,1,1,39,148,91,105,0,418,43,108,64,70,359,140,73,28,20,5,1,25,9,5,30,1624,87,185,175,2320,324,315,74,51,0,0,0,0,0,0,0,0,0,0,12,4,95,2,7,0,0,0,40,40,13,5,2,15,414,4653,607,220,204,682,3061,1359,1963,30851,0,0,0
"가조",1750,382,142,298,241,368,223,101,208,192,842,52,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,71,24,189,535,51,9,69,56,354,14,181,479,22,108,42,178,196,85,0,32,2874,2088,329,198,46,8049,38600,23307,19285,2115,402,501,395,874,6623,204362,0,0,0,607,1,0,0,0,91,16,28,12,10,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,9,0,4,0,1,0,0,1,0,0,0,3282,21,1,1,0,13,4,0,54,2,1,0,1,1,535,234,172,135,118,1731,246,1814,60,112,167,32,36,62,60,176,61,186,187,2302,1371,1484,4716,99,55,32,0,0,1,0,0,0,0,0,0,0,0,1,0,2,10,0,100,5,22,20,14,43,11,3,2,0,0,0,0,0,0,0,248,16,154,42,560,87,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,48,276,40,30,39,100,710,276,219,86172,0,0,0
"거창",10703,2532,737,1635,1219,1720,971,553,1248,525,2767,151,4,4,4,0,3,1,0,0,5,2,0,0,2,0,0,0,0,0,2,906,231,1833,18380,1080,380,2107,1558,8870,333,3449,6968,358,1530,1613,4296,3172,1343,0,565,34857,24013,3448,4310,628,109139,113137,58051,50503,28867,6899,6094,9938,9619,201498,12184,0,0,0,2490,3,2,0,0,547,168,215,80,28,68,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,430,86,13,47,9,2,3,2,5,0,0,2,40501,359,55,13,14,154,90,1,184,8,3,3,22,8,3079,1657,970,893,1120,7353,913,10714,318,635,790,149,376,294,349,846,245,1256,659,10247,13008,12074,49397,508,195,235,0,0,3,0,0,0,0,0,0,0,1,8,35,29,202,0,420,101,132,71,51,187,77,17,13,0,3,0,6,2,2,7,1131,98,209,226,2339,760,335,15,15,0,0,0,0,0,0,0,0,0,0,2,0,20,1,0,0,0,0,8,13,4,0,1,1,2247,8303,1056,601,284,630,2647,1384,1415,405928,0,0,0
"군산",29196,4703,2311,2812,873,162,25,47,8,4,13,1,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22576,22535,146098,33929,17428,78867,20542,18332,16780,14276,14382,6189,9328,8493,22143,6994,18041,6683,5644,8058,4271,3874,3351,15847,21027,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,1,1,0,0,2,0,0,0,0,107,15,79,14,40,0,0,1,0,1,0,0,0,0,0,0,4099,3557,2761,0,0,9,2,9,1,0,0,0,1,0,0,0,0,0,0,4557,804,763,158,88,198,121,49,83,19,13,12,20,15,4,19,2382,1223,2,3113,41681,5354,3295,128,113,0,0,0,0,0,0,0,0,1,4,30,14,131,11,37,2,4,4,152,130,34,4,12,42,0,1,0,0,0,7,7,4,2,0,0,0,0
"동군산",16294,4546,1971,2976,996,197,45,50,9,3,20,8,0,0,0,1,3,3,0,3,10,5,3,1,2,0,0,0,1,0,3,1170,0,1600,0,4082,2661,0,0,0,1,1,0,0,0,0,0,0,0,5142,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17966,51,94066,351370,120203,48763,228178,64283,61107,32952,35418,48394,30557,38686,33561,108876,29412,139663,51060,70574,87224,46415,42198,31846,150592,56481,2,0,1,0,5,0,6,0,7,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,11,3,3,0,1,2,0,0,3,1,0,0,0,106,18,61,6,57,2,0,1,0,0,3,0,0,0,2,1,10163,8852,3111,0,0,17,1,10,1,0,0,0,0,0,0,0,0,0,0,4901,899,698,167,75,201,102,61,84,21,14,7,12,9,4,15,2653,2325,1,6831,137991,19087,11913,151,81,0,0,0,0,0,0,1,0,1,7,25,5,131,5,37,3,4,1,125,131,30,16,6,67,0,12241,7930,0,0,10,7,3,2,0,0,0,1
"서천",13352,4556,2334,3925,1335,276,48,65,6,10,19,3,0,0,0,1,0,3,0,1,4,5,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20468,84296,954,155263,50031,37713,136619,29561,21449,18644,19561,19686,7184,14550,13787,30824,10431,14438,4996,3711,6408,3077,2838,2440,12526,42009,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,0,0,0,0,5,0,1,0,0,89,10,111,10,85,6,0,1,0,0,0,1,0,0,0,0,5467,4478,4845,1,2,25,6,10,1,1,1,1,2,0,0,0,0,0,0,4302,426,870,214,95,295,201,110,116,46,19,19,27,14,9,30,2030,1341,1,4609,50529,7054,3608,192,121,1,0,0,0,0,0,2,0,1,5,30,11,156,10,46,4,4,1,143,163,27,8,15,68,0,0,0,0,0,4,6,1,1,0,0,0,0
"서서울",16812,688683,346197,345332,341485,389875,111518,218066,50851,97776,113343,29904,1066,9440,5215,3506,23534,50213,17711,8927,108156,34109,16812,11351,5334,2588,23388,4188,6218,4968,32243,1035,569,1614,19230,1617,874,1978,1759,5783,155,2295,2295,429,2243,1726,1707,2262,614,0,317,22078,8105,1881,1800,329,4556,63,263,502,1891,76,20,74,2887,609,3028,163566,372365,144327,2158,577635,165402,320838,49868,879602,1909564,1021347,1552178,841257,614686,760445,241976,63362,130799,55131,42509,83248,75066,59610,71101,284666,54999,27266,1491,3308,1844,17199,2844,36496,6188,52755,6513,1720,1368,5115,12721,3339,3871,83822,31,3,2,2,3,16,32,1019,99665,79499,10426,8006,25337,17187,3150,4174,13721,16305,3100,7650,4010,867,267,4172,51396,13684,72704,31486,38895,12686,26550,12098,14036,3967,2130,4764,8732,438382,297615,94729,11969,8247,72269,15474,50789,11917,7100,16936,25664,9307,0,8,38,80,368,1,1702980,141774,411417,327868,73842,151605,95613,48556,40804,21497,15537,18715,17307,11873,4358,14534,509800,462840,15,1147263,698079,3240722,3030496,4549,7107,6225,211,243,709,997,2994,17887,1447,5617,22412,7007,3390,63041,13045,51941,4183,11417,5039,55245,50267,13895,4678,6160,26049,1252,11057,1514,1218,10024,88466,67057,22310,8966,63,1,5135,4791
"홍성",62249,18953,9146,11566,7211,1759,722,2752,220,315,589,160,12,56,27,21,155,310,84,45,543,398,149,33,24,24,158,16,20,27,153,3,2,2,67,4,3,10,6,41,0,0,0,0,0,0,1,1,1,0,2,39,12,2,5,4,10,2,1,0,0,0,0,0,2,2,7,38251,108151,44865,596370,3036,43777,118497,15238,52180,85109,62504,54472,29578,42507,40126,50674,10094,21852,10321,5566,11521,5875,4293,4489,21138,17398,186,9,12,12,158,1,3,1,6,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,116,59,8,1,11,3,3,14,68,47,1,1,3,624,91,347,56,375,33,2,8,2,1,18,27,1,4,8,35,17563,14789,21596,10,17,147,55,157,41,5,40,57,12,0,0,1,0,0,0,22276,2362,2888,854,595,1599,1030,552,494,167,82,151,165,123,51,158,7903,5564,13,14381,132005,13961,11795,855,538,103,0,0,3,1,4,67,2,29,162,150,67,1255,84,318,23,46,18,805,627,177,59,73,230,7,47,9,3,10,278,180,57,37,3,0,14,6
"광천",14014,4659,2080,2928,2555,381,144,340,41,51,80,38,0,8,1,1,10,33,8,2,40,15,12,4,1,1,9,1,3,4,18,0,0,0,4,1,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,3,3,1,2,0,4,0,0,0,0,0,0,0,0,0,1,16900,42974,33880,168214,47606,599,50692,10157,18398,24841,22965,14316,9280,16752,17404,56765,5060,6599,2603,1694,2964,1607,2005,1600,6457,13439,12,3,1,0,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,10,4,2,3,1,1,1,4,3,0,0,0,86,23,119,8,166,14,1,0,0,0,6,5,5,1,1,0,8734,4423,8101,4,3,58,17,39,6,1,4,5,1,0,0,0,0,0,0,5291,437,815,226,182,444,334,193,165,55,27,26,59,18,8,40,2153,1799,3,4938,42305,5696,4152,218,193,4,0,0,0,0,3,10,1,7,25,81,29,336,25,95,5,10,47,245,247,100,15,16,116,0,4,0,0,3,38,23,11,4,0,0,1,1
"대천",39202,10503,4954,7507,4839,1626,450,1433,113,92,187,24,5,15,3,6,35,54,15,9,70,50,21,3,4,0,13,2,2,4,26,0,0,0,14,0,0,2,2,7,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,91025,212420,130517,322793,135021,60844,378,27999,30560,52478,34548,40270,23307,35239,34198,101753,16841,22703,10134,6101,11437,5873,3787,3579,19634,14738,24,2,4,2,14,1,2,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,76,23,11,6,4,4,1,0,20,6,1,2,1,329,59,235,35,307,11,2,4,1,2,8,6,1,3,2,8,9859,11293,13006,6,4,107,29,121,17,4,11,13,6,0,0,2,1,0,0,11094,1654,1946,511,320,988,684,318,369,112,85,58,89,80,20,99,4453,2930,6,6842,68403,8224,7641,581,399,12,0,0,0,0,4,25,0,11,86,85,38,751,54,296,16,44,39,652,670,158,38,111,279,3,4,0,0,2,104,59,24,15,1,0,2,2
"춘장대",4538,1507,781,932,1407,124,58,94,8,3,13,0,0,1,1,1,9,6,1,0,5,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19548,53401,26060,48736,19794,12841,30399,411,4519,7951,6594,4802,3294,3971,4045,8302,3851,4904,2032,1180,2416,1154,811,798,3776,8085,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,3,0,0,0,0,44,8,18,5,23,1,0,0,0,0,0,0,0,0,0,1,1885,1211,2003,0,1,9,3,10,0,0,0,0,0,0,0,0,0,0,0,1529,108,243,57,51,134,94,42,45,13,4,2,5,3,4,6,670,468,1,1233,9991,1330,984,81,40,0,0,0,0,0,0,5,0,1,10,9,6,97,6,21,3,4,2,60,47,13,1,4,21,0,1,0,0,0,4,5,1,1,0,0,0,0
