"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","북대구","동대구","경산","영천","건천","경주","서울산","통도사","울산","양산","부산","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","남대전","추부","금산","무주","덕유산","장수","서상","지곡","생초","산청","단성","서진주","군자","서안산","안산","군포","동군포","부곡","북수원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","장평","속사","진부","횡계","북대전","유성","계룡","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","내장산","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","담양","순창","남원","남장수","지리산","함양","거창","가조","해인사","고령","성산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","진성","지수","군북","장지","함안","산인","마산","동창원","진례","서김해","동김해","북부산","장유","가락","서부산","북창원","서서울","매송","비봉","발안","서평택","송악","당진","서산","해미","홍성","광천","대천","춘장대","서천","군산","동군산","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","춘천","홍천","횡성","북원주","남원주","신림","제천","남제천","북단양","단양","풍기","영주","예천","서안동","남안동","의성","군위","가산","다부","칠곡","남양산","물금","강릉","현남","서대전","안영","판암","서대구","화원옥포","달성","상주","선산","현풍","창녕","영산","남지","칠서","칠원","감곡","북충주","충주","청북","송탄","서안성"
"옥과",12,2,2,1,0,3,1,0,4,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,2,1,0,0,1,1,3,0,1,1,0,4,44,28,8,0,13,13,26,66,716,1,0,2,0,0,0,6,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,938331,31190,617,15625,19974,16066,5950,3271,727,450,126,103,56,85,11,27,20,20,31484,59757,6553,11947,3098,8755,2213,310,327,139,4530,1702,452,187,566,402,78,586,4323,0,786,462,763,873,8301,945,270,5138,453,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,766,3,1,0,23,62,158,46,264,1,0,0,0,0,0,0
"곡성",5,1,2,1,1,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,2,2,0,4,4,5,5,7,1,4,3,6,9,35,447,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,731869,54180,17870,447,8322,26790,5910,6966,1055,107,30,22,24,25,3,10,14,11,29529,48355,13063,13507,2091,10928,1285,173,166,60,2317,975,236,159,323,218,62,297,2052,0,397,114,413,984,5702,299,172,3650,119,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,276,0,0,0,9,23,69,15,238,0,0,0,0,0,0,0
"석곡",15,2,0,1,2,1,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,2,3,1,1,2,0,1,3,4,6,14,7,3,1,2,2,10,70,210,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220293,15980,21730,9132,210,7056,3455,2718,269,35,25,8,9,21,4,8,2,13,22443,24815,2510,2721,975,2260,688,215,157,48,964,397,70,73,144,107,27,109,796,0,118,74,224,220,2129,134,150,1687,64,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,322,1,0,0,31,29,20,21,34,0,0,0,0,1,0,1
"주암",78,17,12,7,8,7,3,8,26,5,29,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,82,7,6,10,1,4,4,11,16,1,29,18,23,46,32,11,9,18,29,92,399,2223,11,0,5,0,0,2,8,7,0,0,0,0,4,3,3,1,0,0,0,0,0,1,0,10,30,1,2,0,0,0,0,0,0,0,0,0,0,0,1,198615,10101,16663,28841,7833,797,14949,3718,1727,140,75,53,37,158,21,81,39,29,179541,239552,21869,28596,10862,19250,6587,820,1133,292,9661,4296,980,592,1364,1079,453,1186,7823,0,1616,757,2042,2339,17200,1080,681,13432,568,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,19,26,0,2511,0,0,0,79,339,241,114,323,1,1,0,0,0,0,0
"승주",129,28,8,10,9,21,5,10,38,10,69,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,7,6,12,9,4,13,14,15,3,39,13,33,39,35,7,4,13,27,58,204,1254,17,7,4,3,2,0,26,12,0,0,1,1,6,2,0,1,0,0,0,0,0,0,0,11,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,94449,5203,6103,6110,4419,14926,417,1864,780,56,14,14,18,96,16,30,24,13,72512,75852,8116,9704,4118,1587,3062,463,1120,188,3778,2075,374,172,534,478,117,383,2510,0,405,470,485,436,4659,264,196,2815,281,18,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,33,26,31,0,1674,0,0,0,34,61,95,25,105,0,0,0,0,3,2,2
"담양",94,17,8,15,13,15,4,7,31,19,59,18,0,6,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,127,6,10,11,3,5,8,13,20,6,59,35,151,584,545,70,220,577,693,546,720,764,13,4,2,2,0,0,7,1,0,0,0,0,4,4,0,0,0,0,1,0,1,1,2,19,34,2,0,0,0,0,0,0,0,0,0,0,0,0,2,467437,3268,2020,4053,1890,3018,1370,1295,36975,61991,8720,6674,3657,5273,635,1049,1985,1953,7750,14743,1519,1970,795,521,714,154,128,41,1554,767,170,94,263,242,39,254,1847,0,294,97,350,343,4527,183,129,2146,156,11,2,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,31,27,31,0,30089,32,4,1,54,91,97,40,70,15,0,0,0,2,1,0
"순창",319,47,13,41,29,18,14,24,98,49,191,24,0,8,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,408,20,23,35,18,15,24,47,48,8,157,72,137,526,379,78,117,861,1033,654,1183,1697,55,12,6,4,2,4,54,15,1,6,3,3,20,8,20,3,0,0,0,1,0,1,0,28,114,16,7,0,0,0,1,0,0,2,3,0,0,0,1,294957,1033,127,113,41,108,58,38553,4860,102803,10269,10513,5067,6425,804,1048,2038,2381,190,433,58,67,25,9,31,18,18,24,895,716,194,136,264,179,22,387,1221,0,205,89,256,216,2584,209,142,1503,128,66,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,5,102,130,89,0,26662,25,2,0,33,171,154,23,38,30,0,0,0,6,7,4
"남원",8270,1343,476,863,755,902,397,380,1510,770,2868,293,5,34,15,1,13,20,2,1,1,0,2,0,0,0,0,1,0,0,1,7553,334,578,579,227,290,289,788,855,122,2011,926,1417,2911,2065,503,1855,5949,10020,5601,8210,15869,1427,182,204,150,93,67,793,378,47,134,74,53,303,153,59,70,25,12,12,15,10,23,20,780,2187,109,30,2,1,6,0,0,1,0,0,0,0,1,0,311029,1584,177,112,40,116,54,60845,99742,8168,191647,168540,49398,33962,3312,8063,9320,13069,150,321,1894,637,661,575,1635,1749,1330,466,23673,12989,3517,1453,4674,1817,466,2970,30796,0,4366,1601,8513,10765,37291,2165,6143,37586,2780,1337,158,44,19,65,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,75,8,3,162,1,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,137,78,1278,1829,1086,3,138170,195,6,0,284,782,1096,319,1048,354,2,1,2,131,132,25
"남장수",675,100,30,86,57,67,48,35,107,65,240,31,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,574,27,48,39,17,25,19,49,67,12,162,73,150,269,202,88,151,782,654,542,694,996,97,16,19,9,3,5,59,28,1,12,7,2,23,9,10,2,0,0,0,0,0,7,0,49,152,11,3,1,0,0,1,0,0,0,0,0,0,0,0,57397,393,48,11,9,46,15,8450,10801,184726,919,52637,13953,3286,305,557,716,700,34,95,5,5,11,3,22,23,32,8,1262,524,87,48,118,132,20,109,884,0,141,34,176,166,1809,105,99,1536,87,105,14,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,98,120,89,0,8963,11,0,0,17,30,66,5,31,21,0,0,0,3,9,0
"지리산",10355,1572,611,1518,962,1441,703,561,1286,840,2824,177,8,19,1,1,7,6,3,0,1,0,0,0,0,1,0,0,1,0,0,7341,379,680,553,297,174,263,505,746,131,2293,815,1520,2289,2093,1180,1632,3034,2522,2575,3201,5391,2407,337,321,220,125,84,1435,423,46,166,50,101,265,115,33,16,11,6,0,9,12,30,15,766,3249,209,120,14,0,5,0,2,0,1,1,0,0,0,1,40132,322,43,16,6,42,22,7101,10932,176125,54782,5928,9565,10916,1936,3373,3103,2882,47,155,51,16,69,65,144,372,257,69,4871,2797,634,233,827,570,79,599,4354,0,583,172,746,734,6122,442,241,5271,459,2320,217,86,35,114,6,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,33,5,2,56,2,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,78,55,1484,2177,1049,2,34376,45,1,0,44,175,298,71,134,69,0,0,2,328,165,135
"함양",16273,2481,751,4414,1709,3651,1184,1332,1934,1494,7083,297,12,21,12,3,5,18,1,0,1,0,0,0,0,1,1,0,2,1,4,14485,434,1044,729,339,448,1066,1371,1282,222,2940,1627,2683,4561,4118,14295,43877,23162,6077,20985,19125,87092,4003,561,537,329,258,115,1732,695,81,242,115,50,332,233,78,47,11,11,7,11,9,22,17,1083,6913,622,1499,242,5,86,2,7,2,1,1,1,1,0,2,15800,111,19,11,11,47,34,2611,4341,41538,10958,8214,3617,122068,12254,5530,6696,5520,135,1303,1118,118,837,479,1878,2784,1833,539,29400,31637,4039,1020,5468,2262,584,4261,27271,0,3026,1027,3616,3070,23286,1822,888,18246,2839,3101,455,131,760,140,41,15,11,1,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,92,100,10,5,117,4,12,1,0,1,0,0,0,0,0,1,1,0,0,2,0,1,136,114,2557,2814,1396,3,59059,41,2,0,105,474,630,287,820,108,9,0,2,570,236,47
"거창",11441,1757,518,1461,1002,1675,850,566,1272,718,2785,166,4,5,0,2,4,0,1,2,2,1,0,0,0,1,1,0,0,0,0,10044,260,577,543,157,286,340,372,800,115,1596,623,1515,1245,994,7114,1230,3670,11169,15060,13301,61705,2560,402,377,252,179,88,1084,368,74,132,76,52,202,80,10,7,4,4,0,6,0,4,1,579,2683,245,492,113,10,28,6,2,0,15,8,1,0,0,1,45268,301,57,20,22,135,108,5601,6515,34470,9942,11845,120191,15300,278571,59024,51792,91524,360,4303,4789,277,1713,3406,3974,3925,1459,619,38691,28070,3737,638,3699,976,326,2619,15508,0,1576,666,3313,2846,16407,1449,904,16545,4039,2092,232,91,63,151,21,36,16,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,4,0,0,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,1645,1194,899,3,422566,486,0,0,649,2019,4321,590,1205,10846,1,1,1,210,185,43
"가조",2134,533,457,299,313,533,201,147,272,149,703,44,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,62,121,186,44,69,135,104,209,38,282,117,252,227,178,1937,371,703,3398,2370,2424,7565,619,103,80,74,27,18,287,130,4,42,16,8,52,20,3,12,3,0,0,0,0,0,0,108,661,45,111,30,0,10,2,0,1,0,0,0,0,0,0,4752,31,1,2,2,11,8,561,592,3038,270,1301,11665,269789,2502,26051,24678,29502,26,326,339,26,122,80,244,442,157,45,3516,3191,348,36,535,98,32,398,454,0,193,94,480,538,3336,220,159,3331,801,1389,66,10,2,17,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,309,242,171,0,97594,97,0,0,190,426,986,150,320,2783,0,0,0,99,63,14
"해인사",2661,361,131,287,233,394,186,106,316,141,711,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,55,111,87,29,45,68,68,173,25,587,202,421,302,247,2163,224,366,917,1320,1186,3013,491,58,47,52,23,14,212,113,17,27,23,3,30,18,1,0,0,0,0,0,0,0,0,204,1105,103,93,37,2,8,3,0,0,2,0,0,0,0,1,6862,91,18,9,3,81,27,1020,898,6263,454,2756,4928,53421,23988,2121,102001,67355,68,581,453,21,180,84,293,345,89,26,3045,1033,181,19,109,35,53,174,113,0,501,175,719,652,3642,571,228,3927,1209,496,73,25,11,32,6,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,498,477,254,1,283535,380,0,0,524,1223,2744,274,685,6310,0,0,0,92,34,5
"고령",1205,214,75,200,152,199,86,66,157,90,364,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,859,55,46,68,19,30,43,31,91,17,358,171,369,241,179,3454,210,315,679,773,610,720,284,76,22,33,18,6,129,37,5,22,14,3,11,4,0,0,0,0,0,0,0,0,0,117,530,53,110,30,0,9,0,1,0,1,1,0,0,0,0,13036,74,13,12,3,20,16,1690,1453,6896,639,2042,5383,45347,20764,93558,7390,73772,63,582,446,18,112,46,219,212,65,19,1120,295,46,12,32,17,18,68,30,0,186,150,306,479,1412,137,98,1610,256,303,55,17,9,22,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,342,189,0,801049,885,1,0,578,489,713,98,201,2061,0,0,0,49,32,7
"성산",280,73,19,52,53,106,46,26,58,42,163,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,152,3,9,7,5,10,9,5,34,11,146,250,387,281,315,7738,259,366,664,822,425,235,97,15,6,8,5,2,41,12,2,4,4,0,3,0,1,0,0,0,0,0,0,0,0,41,276,71,167,77,2,12,7,2,0,3,2,0,0,0,0,16310,79,13,2,5,14,6,2315,1948,11855,714,2283,4967,80738,24376,60935,64720,3228,32,255,167,10,49,26,81,97,30,12,381,199,45,18,34,48,33,229,18,0,251,179,441,563,2319,327,234,2520,489,72,19,7,2,8,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,268,138,63,2,851816,682,0,0,1310,1014,1342,277,644,4277,0,0,0,19,8,1
"서순천",1208,161,78,604,82,106,37,75,164,89,356,42,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,983,44,89,62,23,22,38,89,131,20,261,66,99,179,121,42,29,58,85,139,424,3118,350,68,23,16,15,9,95,43,12,18,14,6,41,23,3,7,2,3,0,0,0,0,1,101,306,17,2,2,0,0,1,0,0,0,1,0,0,0,0,669390,21935,30400,28884,24241,179632,75833,7755,8568,122,21,18,97,297,34,54,54,32,1010,4911,25188,134536,26861,33327,9460,1355,1258,395,11250,6886,917,497,1262,1153,465,1148,8720,0,1241,531,1812,1625,16512,1021,617,11628,734,163,12,8,7,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,8,2,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,168,210,145,0,5571,0,0,1,187,297,426,114,219,1,0,0,2,18,17,3
"순천",14207,2408,951,3082,1163,1601,691,849,2546,1140,5450,519,5,45,24,4,23,17,2,0,1,0,0,0,0,0,0,0,1,0,0,13503,501,1026,1038,353,455,602,1531,1667,297,2918,1093,1327,2685,2124,429,411,1064,1156,1642,5240,29769,3286,496,328,225,188,120,1164,485,128,290,162,156,784,268,194,145,17,19,19,50,4,23,22,1637,3754,162,32,7,0,5,0,0,0,1,0,0,2,1,1,1406859,40765,59767,50172,28861,237406,82500,16245,10433,263,70,117,1252,4751,350,767,792,325,9635,3005,28954,276341,157773,160492,74461,13501,10017,3061,106514,66251,8152,4427,12206,10870,2681,10445,86097,0,12156,6022,16050,15090,187129,9001,8090,132493,7527,2135,336,82,67,68,7,7,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,150,156,29,11,170,9,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,161,2143,2548,1641,2,90173,6,3,0,3585,3332,3734,1275,2779,2,3,0,3,197,242,49
"광양",9267,1700,392,994,915,1216,554,597,1519,896,2674,419,8,31,21,5,13,11,2,1,0,0,0,0,0,3,1,0,1,0,0,8400,330,692,699,223,427,569,1296,1303,283,1508,966,1095,2500,2380,312,435,1391,2016,1935,5017,22946,1820,308,229,124,68,67,698,332,153,245,112,199,442,268,129,71,20,28,23,38,2,20,24,909,2258,90,32,4,1,2,1,0,0,1,0,0,0,0,4,152972,5477,7573,12987,3002,20962,7848,1793,1371,75,10,34,1194,13358,335,535,454,210,27502,23440,205,17099,84081,297119,120225,16178,14532,3467,127136,81773,7378,3037,14982,8098,5132,11460,69048,0,13576,7336,10933,14134,186841,7936,6672,162837,4829,1435,202,62,113,62,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,84,14,3,125,8,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,275,217,1419,1175,912,0,113228,8,3,1,4151,3234,2840,1291,3705,1,8,0,2,115,97,27
"동광양",1696,324,105,195,184,481,142,223,224,220,739,46,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,66,208,71,41,91,89,215,261,67,310,109,169,246,229,84,35,100,261,192,529,2415,411,71,52,38,25,25,138,47,34,36,28,3,42,29,11,18,2,1,3,8,0,0,1,236,504,27,9,0,0,1,1,0,0,0,0,0,0,1,1,169958,4743,11610,11289,4376,28678,10523,1897,150,23,5,15,273,366,35,47,18,20,119234,276720,27681,659,4500,10197,11825,3053,1720,1201,8867,7406,455,150,955,1270,143,675,4031,0,698,325,769,798,10051,547,672,11559,460,328,62,19,30,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,314,246,158,0,5529,0,0,0,142,171,207,83,393,0,1,0,0,30,21,3
"옥곡",7423,1310,384,909,761,1257,552,547,944,625,2014,169,8,28,10,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,9093,272,493,353,94,260,357,774,733,176,927,484,715,1890,2325,353,231,436,703,1398,1928,14223,2045,541,236,130,44,68,515,227,97,131,68,40,217,196,99,46,16,7,2,11,6,11,10,465,1653,107,36,5,1,1,0,0,1,0,0,0,0,0,1,60624,2154,3607,2264,1420,10716,4477,943,351,34,14,65,786,1915,108,194,105,52,28957,159649,86103,4042,559,18762,70367,16197,8874,2023,48222,32036,2779,655,4196,2190,707,2846,16195,0,3093,1380,2861,3028,43040,1919,1655,30025,1437,1493,305,146,82,132,9,13,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,61,16,3,86,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,74,1148,999,669,0,18793,1,1,1,670,967,1001,401,726,0,0,0,3,98,144,17
"진월",3620,631,266,902,538,1104,326,210,1136,1012,1181,162,0,51,6,9,4,5,0,0,1,0,0,0,0,1,0,0,2,0,0,3128,115,445,295,57,584,603,374,344,105,501,1352,228,841,800,763,152,531,1379,637,1242,5867,2944,2149,185,66,59,91,531,151,26,99,47,27,160,134,143,27,5,2,0,9,3,9,3,309,755,70,48,19,1,3,0,0,0,0,0,0,0,0,1,52772,1484,9670,9865,2506,20090,1775,513,412,49,9,48,447,3372,50,66,54,31,27331,144295,268148,4462,9409,33,45079,8717,4942,1175,25685,19039,2369,517,4389,2603,1876,2744,14708,0,3088,1989,2157,4364,44380,1888,4310,27821,1386,1733,536,160,294,280,120,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,6,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,20,681,496,258,0,20081,0,1,2,898,1015,304,190,1059,1,0,0,1,298,208,18
"하동",6309,1282,334,1155,911,1539,614,659,1312,1980,1987,136,1,13,5,5,7,7,0,1,1,0,0,1,0,1,0,0,2,0,0,5528,214,634,542,114,218,440,811,660,131,1239,1094,616,1256,1430,683,232,1364,3201,2679,7588,68289,2259,1799,177,103,55,50,1718,248,44,887,224,24,255,198,358,95,5,19,4,5,4,8,11,549,2047,107,108,2,1,2,0,0,0,0,0,0,0,0,2,38476,1770,2409,1432,1052,6134,3163,804,472,102,19,155,1977,3640,247,372,287,141,8364,65120,111021,7541,51274,39296,223,60554,30631,10433,173873,206817,14394,4909,19698,13175,2974,17237,77876,0,12127,4156,12569,12811,115314,7203,5320,85528,8102,1502,522,85,196,149,36,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,58,35,2,74,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,74,1085,1135,683,0,38713,1,0,0,2098,2446,2641,2269,3482,0,1,0,0,187,163,41
"진교",14451,1801,550,1275,1036,1532,764,595,1676,765,2763,183,1,17,4,3,7,5,1,0,0,0,0,0,0,2,1,0,0,1,1,7950,291,584,562,176,278,281,560,870,113,2062,771,1304,1266,744,1073,480,1598,3122,3372,8734,133976,2391,355,367,225,118,71,1143,440,58,136,44,66,215,84,39,28,8,11,2,1,4,6,4,727,2678,214,200,30,2,10,0,1,0,0,0,0,0,0,0,8214,394,514,396,365,1150,701,253,204,227,26,378,3128,4587,542,548,507,218,1693,16323,16430,2655,14449,8859,57301,37,18844,12951,210315,397295,19643,6459,23691,14058,3925,16509,99672,0,11456,4012,15006,14477,101939,7962,5028,113756,7669,1928,252,68,41,87,22,5,9,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,17,5,31,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,51,1757,1849,974,2,31579,4,2,0,1769,2336,3071,1210,2486,2,1,0,0,223,159,30
"곤양",2985,507,138,382,327,541,230,158,325,164,586,61,0,4,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1849,77,122,139,66,72,96,179,245,39,401,212,341,438,473,995,327,877,2108,2600,4697,63795,592,127,123,46,28,28,256,106,25,50,16,5,58,24,20,16,0,0,0,0,2,3,1,141,653,74,127,24,0,18,2,0,1,0,0,0,0,0,1,4741,183,312,202,290,1186,803,113,102,380,35,308,1992,1817,218,159,112,55,1078,9115,14239,1376,8620,5217,27235,15563,936,18238,268553,318741,16487,3859,14038,6526,2776,9887,39989,0,5564,2002,5123,5199,33073,3129,1592,31877,3425,468,96,32,15,41,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,14,4,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,426,284,211,0,8196,0,2,0,561,1114,1085,638,1078,1,1,0,1,54,67,15
"축동",1269,241,82,159,304,654,150,87,150,92,315,27,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,711,28,64,47,28,39,40,68,115,25,183,112,185,289,240,774,145,637,1340,1167,2619,15937,310,54,35,19,14,11,96,41,14,21,6,6,32,8,4,0,1,0,0,1,0,4,1,97,490,22,49,19,2,5,0,0,1,0,0,0,0,0,0,1961,75,86,42,58,179,155,24,70,383,22,130,769,758,49,47,37,9,220,1902,2532,789,1754,1228,9947,11804,15388,3,18350,61532,5570,705,4053,1383,654,2406,8106,0,1712,348,850,758,4431,496,293,4022,761,211,36,19,16,23,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,203,151,102,3,1916,0,0,0,117,229,152,97,435,0,0,1,0,20,28,11
"사천",99977,13561,4289,9638,9283,14399,6834,4670,14513,7710,32440,1739,30,167,29,13,48,36,1,0,1,2,1,1,1,2,0,0,2,0,4,51133,1963,4688,4742,1332,2079,2396,5507,8232,1323,19152,6796,10539,13772,8957,43225,4266,12951,29467,33855,95301,627269,27987,2730,2444,1540,1223,626,8049,3117,937,1234,568,339,1613,923,179,250,70,32,17,25,8,51,36,7105,27712,2560,2937,879,61,336,29,12,5,11,16,1,1,0,14,86526,2738,5124,2587,1640,9664,5031,1919,1075,18448,1131,5146,28503,38477,3441,3651,1604,588,12949,107419,126899,7415,49035,31806,182320,226080,264875,18692,94,600218,58128,17089,41439,48082,10533,59508,295072,0,33747,11222,32525,31349,207310,19566,10995,199924,26641,14837,2318,874,592,827,239,193,155,57,15,1,6,1,0,0,4,0,1,1,0,0,0,0,1,1,205,214,35,16,325,13,17,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,495,407,15930,16889,9410,13,95848,11,6,3,6105,7664,9851,5318,10115,6,13,2,8,2268,1276,333
"진주",52377,5603,1585,8457,3519,5860,2681,4084,5401,2772,20131,889,6,35,16,6,25,16,1,2,3,1,1,1,0,2,0,1,2,1,4,21468,710,2614,1471,1551,871,1179,2020,3484,549,4708,2952,3818,4525,3941,17203,5939,12472,34576,31984,66768,40450,9418,1424,978,598,871,310,3169,1097,366,626,224,146,776,459,166,132,118,20,13,12,8,21,30,2804,9454,2698,1162,405,17,161,10,5,2,7,7,2,0,0,9,41710,937,1681,1278,787,4123,2682,766,823,9349,496,2850,35988,30996,3121,1103,368,281,6128,60970,93130,6282,32227,22736,215157,383112,295153,72117,942717,222,27701,47697,78029,73934,16550,100788,530073,0,46691,15487,43482,38965,264468,25225,10739,205984,40787,7229,986,363,206,359,100,67,102,27,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,135,920,42,19,175,4,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,259,146,5443,4026,2556,5,104368,7,3,3,9410,10187,12320,8236,15388,5,11,0,5,665,629,124
