"","가산","건천","경산","경안","경주","곤지암","광주","구미","군위","금강","금산사","기흥","김제","김천","남구미","남안동","남양산","남원주","논산","다부","대동","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대구","북대전","삼례","새말","서대구","서대전","서안동","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","황간"
"의성",96499,434,6003,34,4885,93,2,272,22420,21,2,28,10,279,184,34385,321,5,92,39716,1270,672,5,24328,795,760,2,69,1,0,9557,191444,85,17,4,300662,44,35650,1467,87,279,58,138,1802,6,691,11,53,641,167,179,1153,13,4703,6,174,14,0,29,140,21,1,43,19,16,21,220,59,67,33,124709,4,517,102
"이천",10,322,2326,49941,6782,162268,25355,7341,17,190,473,23881,1603,7965,812,13,200,201598,8525,11,743,36887,59836,4146,979744,883423,27617,616,72296,974,11900,7587,10271,1770,126086,19520,6034,18,475826,89441,181449,16377,10546,1280,74593,502,117723,1303,949,36908,6569,3684,109107,4742,63326,9126,29873,18,0,14468,45474,2486,17082,6077,24849,24258,17197,18299,323,880,931,1431,512,717
"익산",31,525,6847,11527,28990,31425,200971,15980,28,457,13343,9971,19212,10651,1763,249,163,6929,112340,14,430,57328,2021,4480,202711,207991,3228,16574,4783,11899,9106,10682,54783,13682,11836,15133,287487,207,431553,38912,63676,30192,34864,1851,2354,1241,4913,3288,3350,67053,13232,2361,7202,17069,8162,244363,11459,97,14518,0,13363,20338,50829,72202,36047,11860,45901,36831,17119,966,1711,21608,470,1138
"일죽",8,261,2435,57247,4943,205109,20398,4834,13,174,488,3654,1279,8495,541,14,182,71371,7132,6,874,28567,18099,2246,769371,251457,5971,34,25326,1189,10534,4947,10363,1771,61938,19726,6216,6,128413,82548,42755,18068,222,1376,11997,528,24086,1424,888,1956,8315,1612,27713,3406,29564,8605,51387,20,571163,12129,0,2324,13932,4422,41641,24456,277,220026,16,1001,719,1231,492,705
"장성",0,0,8,1752,33,4542,925313,303,2,16,19407,1249,21817,208,24,2,0,1132,21992,0,3,2381,344,17,37672,33056,234,2245,308,48285,32,36,3679,11875,1252,24,14246,4,76413,4154,9169,2755,4775,3,391,1,926,195,11,10420,983,12,1211,25,1060,19160,1223,1,2056,15347,1888,0,46023,65905,4249,1549,5615,4115,1787,26,9,11347,1,143
"전주",18,280,2354,13909,4399,38411,714475,12019,13,257,26202,11495,31865,5523,1058,78,34,6504,187292,7,108,62500,2393,1798,264510,247219,3576,19149,2033,33426,4612,3286,54679,28052,10583,3829,217357,108,572120,34544,79797,31696,389995,552,2564,289,5652,1831,977,79093,8477,973,7017,4629,6942,232999,9764,31,16758,60875,14561,46200,0,351721,33624,10588,52704,33989,19417,510,554,64630,195,638
"정읍",1,38,348,5657,1667,14422,663028,31255,6,67,70776,3709,461098,1986,427,27,1,1818,56539,0,8,12031,1176,323,111634,89511,616,5682,661,73058,211,1044,12153,74746,3132,773,52421,24,209115,7830,29184,6819,13312,44,742,64,1451,624,254,23151,3532,218,2141,718,2097,53297,3339,9,4941,61774,4731,68753,363827,0,8414,2888,14775,8756,4741,217,132,47378,20,578
"증평",13,373,3001,25292,7782,94406,47797,7417,12,561,1036,1692,3530,8057,1078,12,300,7710,25146,10,1235,186021,7396,3179,428231,184417,5091,36,2893,1880,13165,7055,54849,5230,12418,25124,31609,23,93209,302328,26463,128168,129,1824,11014,903,6373,4524,1334,900,35070,1617,21098,6610,7964,43683,129784,10,27182,36297,52140,4818,32182,8740,0,130957,189,117255,26,884,872,4060,583,1808
"진천",12,243,2960,16885,4067,60359,14394,5454,8,182,549,1228,923,7296,785,12,204,8626,7929,6,810,52233,4352,2050,234652,104902,2117,11,3668,786,7980,5333,15987,1242,11696,18187,8499,13,53256,350994,12559,41612,118,1681,5486,764,6890,1817,944,828,12097,1792,9344,3804,6141,11082,67073,9,24652,11132,34425,1393,9738,2808,117049,0,61,42849,14,779,891,1269,651,1115
"천안",77,1308,20825,1600,43268,5119,80643,33486,97,2011,2030,121328,5478,38207,5545,280,1469,14162,20741,37,5355,377278,7548,13518,4037,1262485,31381,193839,4408,3032,58979,31688,89921,6551,24538,104709,37006,251,4027422,97,553989,168732,288561,9986,8339,4011,8882,10169,7218,446769,48611,7147,27731,25214,12391,73226,315,184,18793,48033,486,6216,50606,15469,110,63,0,115733,385950,4680,4612,4742,2729,5443
"청원",23,683,6287,8389,19862,26754,47393,16980,39,3150,1140,9611,4182,25637,1895,64,399,6565,30807,23,1435,346724,2142,7009,105561,136845,1916,74312,3168,2001,22222,21932,61740,5392,8491,51805,53413,51,201742,90036,48706,67511,48676,4155,2922,1413,3793,18656,3602,53937,150316,3616,8151,9503,5227,87744,27975,78,16579,38009,25622,5313,35619,9572,122897,43666,106444,0,37654,2721,1955,4924,1335,9293
"청주",14,544,5620,107,10048,210,23616,14246,27,1207,540,32623,1902,13924,1389,81,394,595,10315,30,1414,126030,251,4852,551,441908,4850,191545,172,904,22371,12662,34888,2773,1368,34184,12881,97,895116,89,181805,49931,186851,3305,606,1158,353,6370,2147,227461,29869,2437,3485,7948,521,38687,47,61,757,18004,52,2181,19132,4792,78,22,400416,46213,0,1404,1770,1952,826,2692
"추풍령",13,216,2206,582,3156,2103,363,26698,10,2125,25,541,168,30948,2508,28,116,239,1300,16,556,27079,231,3829,11682,18834,87,2783,107,15,5096,16375,2245,142,185,21009,1369,26,28858,2762,4635,3119,3936,717,199,361,305,10125,892,6196,14029,3976,495,1804,249,3506,754,25,934,1153,928,50,682,253,932,640,4030,3346,1256,0,2275,187,246,8873
"칠곡",117373,11244,211722,1043,87810,2414,17,120713,67021,560,34,752,199,32826,99754,128341,913,418,21161,40636,3565,20612,142,296117,16481,17594,244,3100,165,7,39072,1032913,2885,150,370,3323057,1382,128107,29478,3042,7042,2810,3592,7633,228,5236,610,4258,57664,5079,6915,117230,666,29630,540,4560,827,132127,1526,2180,1076,7,759,173,1303,1414,6190,2860,2038,3479,0,134,2957,6502
"태인",1,31,240,1958,713,5280,131759,1256,1,26,11587,1437,40021,930,95,12,3,449,20202,0,1,3372,287,124,32152,31248,330,2134,153,11490,184,671,5019,24300,752,378,23478,19,71100,3172,9714,3433,5327,53,311,28,469,268,146,8121,1343,128,896,321,561,22525,1490,13,1485,19600,1536,13192,70639,48380,3609,1301,4844,4407,1833,136,80,0,9,116
"통도사",2234,6731,13455,437,110091,2555,4,4025,160,108,2,1098,22,2891,5969,447,64667,178,439,156,235128,6262,219,24989,10430,20300,115,1788,123,0,1244905,13320,563,25,78,14613,414,1688,26977,1812,5960,1364,3024,378635,200,41569,256,949,13328,681,2416,3011,664,339720,395,1145,935,328,865,424,1518,0,147,12,615,731,4506,1287,1012,344,2276,7,0,930
"황간",40,804,7626,787,11353,2317,971,47856,35,3111,33,601,169,53374,3233,101,390,248,2133,27,1885,67917,597,8781,13332,16081,105,2971,85,25,16301,30604,3089,187,345,46452,1537,74,24069,5839,4527,4910,2896,2750,153,1047,235,27453,2855,6411,36325,8142,450,8310,238,4704,1474,96,849,1296,962,134,766,541,1781,1067,5224,8616,2411,8310,4654,133,879,0
