"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","남원주","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","팔달","황간"
"김천",1235,20429,3179,38163,14586,1177,214157,6281,238,1973,674,0,8685,37,7482,264558,128673,1690,38611,46240,100250,2480,15075,991,36,51552,6711,782,1560,72437,4874,295773,13192,39653,11330,17767,9765,919,3954,1163,25059,5862,30619,46545,18658,842,7730,2327,16969,2833,5579,7883,4863,164,4049,1153,5575,3080,24768,14740,14806,20743,373,790,11710,0,39888
"남구미",2411,63719,317,69407,710,261,3701,608,17,517,76,23444,0,3,667,1098876,10211,112,117246,3582,15276,45,2627,112,0,122571,772,67,168,298980,781,22276,1886,4844,1737,1466,12969,162,8108,178,1347,14059,4683,2932,95147,477,27359,209,797,501,922,1349,423,15,976,389,1164,586,3410,1108,1870,1686,947,136,38510,0,2822
"남원주",1,8,249,27,1931,103,22,1,3,62,4,14,0,0,34,74,180,85,7,8998,3911,84,1,3156,2,61,54,5,963,52,29,3458,291,911,90,49,3,223,1,2098,5,7,148,17,7,319,8,512,87,74,1788,59,261,5,58,9,50,45,68,44,2,2,6,1,2,0,1
"논산",172,3321,3310,7581,7990,144921,6666,330,6909,1095,11536,7895,220,34,0,21749,57758,953,3974,32477,67678,1330,5057,1644,6858,10129,23685,15049,3506,4426,399470,184562,7478,17981,20835,9262,2265,507,670,1532,1820,1243,15617,14286,1252,548,2144,2580,177168,5120,5944,69651,5884,15260,155173,47658,16388,4797,13918,18877,17828,705,17,14753,3673,0,1228
"대구",26346,874823,7116,627525,22382,34,1118266,6705,55,4739,223,166766,292246,133,12333,0,229613,2306,873973,128331,228218,2138,34652,2818,3,193268,13440,113,2335,435060,11478,565000,24412,76276,16627,42633,40288,1254,31111,6798,27547,219293,60034,56325,783636,6095,88551,8496,15830,9856,15700,9141,12223,2,2045,335,17893,7976,57081,30925,35367,12998,85441,115,129778,0,30561
"대전",1325,24889,14649,77826,32099,60631,85556,77196,866,7735,4360,129997,2507,261,62483,276315,0,3234,37248,221763,145015,11592,243266,7651,1187,122492,31084,4161,25733,53511,41909,877998,93202,252984,112332,87829,15205,2903,4619,8069,106126,9858,84762,497801,14928,2943,20847,17713,48688,33254,30501,59447,25848,1846,74792,13973,176941,44480,336218,221783,217460,14674,246,3827,32007,0,52022
"덕평",39,257,2576,802,5727,3350,1179,14,40,4037,161,1350,41,113,1257,4485,6710,0,696,60973,218517,2364,190,6212,77,1547,656,140,6571,564,599,104779,10415,30900,1710,2690,225,5057,99,4442,159,85,9647,734,122,18217,236,4748,604,7178,17985,1991,11038,100,2297,900,3793,3362,5501,1077,93,168,3,161,285,0,175
"동대구",88100,850260,1705,1274101,4237,19,219340,1445,52,699,124,46312,52320,17,3688,1300174,28710,554,0,15904,32970,1344,6281,381,3,444377,27010,89,262,245021,3239,123774,5388,21415,2385,6748,71518,156,44524,844,6235,317047,9817,12615,208105,483,138176,1907,3975,1403,3871,3946,2304,0,1680,1272,3170,1394,11992,6287,6276,3224,6096,48,208917,0,7073
"동서울",1602,19504,2488811,67157,2690381,341531,52849,1767,6707,1061,21055,91176,2110,11143,72459,253955,433050,73000,36842,0,21616,49349,710,608000,10979,142770,59823,14441,693636,49480,46682,4125,667465,23374,95050,3614,13513,49830,4496,243742,24773,50008,5449,60673,10904,14471,14612,415557,44940,1042818,741513,158901,819441,19152,235986,87431,353848,252086,16468,66261,126,5098,245,22544,22113,0,9444
"동수원",2205,40837,4445,104319,25431,351316,95203,1615,6157,425058,22949,126452,4965,5513,72315,369543,379342,215369,41830,8767,0,605962,141642,296208,10996,209462,72962,13679,338655,49185,51221,3604760,27210,711725,133175,734093,30797,336393,8880,155826,27033,10641,630451,73218,16730,283440,30790,216874,41333,274620,523351,176745,160056,20424,218262,78017,92306,65181,544582,89660,504664,7113,315,22780,40777,0,12079
"마성",18,194,382,849,697,2973,984,31,173,8229,140,1206,14,102,513,4051,8195,3113,456,6360,279676,0,2064,4616,95,2110,1064,201,5002,528,528,365052,3716,106295,1625,3232,206,4598,102,3726,129,70,13068,570,143,7912,217,3579,652,3247,7431,2289,1662,81,2701,460,1899,1062,16501,1740,3385,62,5,155,363,0,49
"목천",397,6560,35,22235,53,20723,13482,723,607,32435,1210,18025,953,3,5567,49358,257371,142,7450,120,146076,3629,0,149,756,28400,49686,1117,570,6288,15511,283752,6,52683,95680,231099,5541,150,1624,152,4375,1506,57036,23774,2830,614,4954,275,13245,7,512,10461,5,1158,16117,4769,9,2,60942,63975,167060,1599,46,1074,6109,0,1886
