"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"대구",394260,5514,514419,24139,0,1276572,1434,10,1857,175,152061,0,12397,0,212788,1932,722614,152589,54463,1599,26243,2278,0,135237,35,1892,80976,7985,479358,7406,134812,10336,30041,29344,1137,19429,9985,21583,103807,78821,40146,617212,5627,124839,7148,0,7454,12033,8310,7169,0,2013,271,10104,6152,40354,21251,50810,8668,16,5853,23816
"대전",12323,11545,62348,37269,52378,59524,61540,721,3432,2746,90119,0,52520,251009,0,2208,39624,334428,41563,13288,217025,7465,948,102167,2193,23989,0,24220,632916,27638,203202,77232,67128,14221,2556,2742,8292,62909,4467,101104,278463,7169,0,35431,17911,96854,24385,23189,54113,19142,1175,66940,11288,133010,34978,254192,156005,417558,10067,2132,2037,36238
"덕평",74,2797,636,8884,2491,973,5,21,2342,75,1204,0,745,4267,6023,0,790,100198,70556,0,72,4534,51,1317,69,3954,0,357,75756,7051,95736,939,1118,235,2288,23,3942,114,64,6840,516,56,13530,280,3405,0,6783,13149,1515,12233,62,1662,753,2477,2010,2872,270,13,212,78,11,84
"동대구",249202,1883,1281067,6241,15,358232,288,27,796,159,56229,955,4958,968218,65520,402,0,88346,11107,2171,6426,615,4,431110,59,286,0,3431,79115,3293,41720,1173,8008,78081,197,37245,1665,6344,146386,19991,14121,161711,6,266058,2309,0,1449,3952,4280,2047,0,1873,367,2703,1439,11685,5011,16297,2768,64,13640,8320
"동서울",15239,1862136,99287,1844767,430825,71089,1641,7928,1003,26569,117800,2,97567,397468,776221,104893,58050,0,6775,67934,829,546909,11635,195193,14536,668041,148,54698,759,859703,38349,134723,1295,19129,55824,5558,315988,35987,8521,5593,66555,9635,666,50163,449495,1013,920609,784366,237898,684526,17174,317657,122164,273560,242087,18599,42225,0,5928,24413,3897,11572
"동수원",9187,2384,75418,14542,179258,53151,392,2447,225541,10856,68713,0,37901,243451,266644,128736,27721,3833,0,573995,49027,190025,4538,133958,4386,215224,0,23577,3496024,32706,391063,68919,233988,21069,237206,4270,127704,15367,3750,243305,34336,6337,3844,32872,158890,0,172015,358935,94316,84750,7021,108627,39131,57062,43331,490196,25690,258544,4455,9927,3327,5771
"마성",135,342,674,406,2278,735,10,110,4431,133,937,0,439,3882,7320,3079,665,9092,72591,0,1953,3805,40,1495,71,3874,20,401,275473,4332,209057,1083,2849,179,4642,52,3868,95,32,10499,391,73,7613,335,2778,0,3107,6404,1913,1444,51,1974,393,939,655,11625,1085,1907,54,124,42,33
"목천",3392,16,16954,0,16273,8597,465,455,1740,970,18448,0,3794,43187,271025,66,7207,102,22992,3292,0,61,561,23306,560,361,0,10535,146523,0,51335,65320,26822,5238,132,1334,177,3293,765,39437,16995,1681,6,7216,257,0,0,334,8324,0,801,13611,4154,0,0,22273,21310,109227,2283,843,437,3091
"문막",205,7516,3298,60030,3446,533,14,94,1518,275,630,12,1809,4989,11804,2989,683,566001,83856,7202,105,0,64,2107,149,32376,51,1152,87461,10960,153485,2789,1322,378,13856,399,80649,199,93,7605,713,110,13091,1095,26709,0,2637,85255,3600,15969,95,2924,873,1527,3655,2623,747,5,89,187,45,68
"백양사",0,339,0,1049,134187,0,1,6189,0,11538,0,0,4554,0,2404,0,0,17336,3098,302,557,14,0,0,1887,190,0,6085,10845,0,4513,326,713,0,0,0,207,0,0,3124,222,0,9,0,7,2585,275,367,3386,322,12328,20609,35576,596,127,1287,688,1630,0,3256,0,0
"부산",91127,2691,1249039,11985,0,127326,229,82,1698,0,40003,0,6560,199697,115800,971,438819,181631,41256,3996,18218,1665,0,0,27,252,0,3620,230430,5348,89339,7839,20605,2201528,517,453846,2314,11045,200119,45580,17080,26529,21,381608,4395,0,4436,11001,4969,3953,0,7602,335,5253,2955,25700,11064,39603,2860,0,670600,9180
"삼례",63,477,381,1357,32455,326,6,5511,82,6807,365,3,8173,521,3131,59,170,15445,1943,0,565,151,1932,225,0,391,5,15747,18104,416,5944,953,1188,27,68,7,194,69,32,3402,428,27,376,137,317,7089,339,543,2129,417,2018,3081,24569,1111,263,1611,953,2380,22,7636,11,36
"새말",47,7420,312,39073,9583,982,12,94,1280,460,1253,0,2795,778,31065,2216,249,660038,69149,451,257,31287,123,1409,252,0,3630,2118,157636,20592,143603,4245,3274,359,11246,37,48951,446,23,10705,1058,87,20448,246,537598,0,3231,63607,6494,19753,220,7196,1468,4085,4215,8168,1211,0,54,718,18,94
"서대구",163527,3556,223136,13479,18,1043097,808,106,695,181,107738,0,7424,273041,106705,407,223393,24247,15616,1708,9394,856,2,137736,108,747,0,5083,233399,1367,47631,7938,10461,31830,407,9094,2556,11212,44520,28703,22682,512041,1054,56861,5639,0,2085,4436,7024,2251,2,1944,624,2819,2368,15262,7073,19307,7961,96,4198,20903
"서대전",1740,1808,3665,5530,111969,3647,906,4671,288,15930,4579,10,410841,15246,26332,353,3442,74582,11442,1886,12187,1257,5198,5899,14381,2747,0,0,51589,15706,23807,33112,7054,603,584,217,1218,1173,327,14078,5958,990,18,1641,2449,37778,2942,3364,263256,2525,6541,187661,42919,18535,3542,22294,26581,22710,477,13696,101,572
