"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","내장산","남천안","정안","남공주","탄천","서논산","연무","지곡","남대전","판암","무주","덕유산","장수","서상","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금"
"마산",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016349,335171,476055,360962,1783033,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662836,377019,81075,0,0,0,0,0,0,0,0,0,0
"축동",545,122,40,94,137,546,163,31,98,38,119,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3808,641,2400,8865,1740,561,919,815,4564,372,1545,4364,391,2124,1593,7096,8886,14856,0,5,18190,68641,6315,3894,861,909,6,13,35,255,11,92,26,85,34,602,0,0,0,136,1,0,0,0,30,3,17,12,14,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,1,5,0,0,1,0,1,0,1,0,2355,61,166,43,35,346,102,0,32,1,2,0,1,1,288,80,47,141,224,624,122,309,14,36,52,9,16,13,25,42,14,91,33,772,930,2877,14492,782,991,407,4220,57,55,16,0,0,0,0,0,0,0,0,0,0,139,211,233,169,483,0,28,3,3,3,2,11,5,5,0,1,0,1,0,1,0,1,53,5,6,11,131,18,22,4,0,1,0,0,0,0,0,0,0,0,0,2,0,4,13,0,0,0,0,1,3,2,0,0,0,679,4182,532,270,0,9,66,441,68,106,2072,0,0,0
"사천",39443,6532,2389,4857,3640,6397,5117,2129,6755,2853,15687,982,34,71,12,12,19,23,4,2,4,2,1,1,0,0,0,0,0,0,0,46861,11636,42450,322706,42150,11382,36984,29166,214908,6841,49337,76327,5319,30294,15716,135857,159318,232099,0,21373,28,707362,64794,34335,23094,19840,434,1016,1641,7292,643,1142,648,3328,1773,22527,0,0,0,8233,22,1,2,0,1713,710,1889,585,347,270,258,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,300,29,156,17,7,10,10,58,27,37,3,42025,1410,2647,1706,828,6529,2191,16,761,39,13,11,77,80,8441,8067,4827,5552,5000,20171,2411,23529,1000,2225,2076,760,1388,1518,2377,4013,1178,5140,3569,16559,21700,79386,564322,3835,10402,4134,69007,1592,955,824,2,2,18,0,4,1,3,1,4,0,6788,7259,8867,5064,11188,0,1449,365,453,268,186,1055,582,134,206,41,23,16,24,17,6,35,3635,291,683,444,8809,1338,785,292,137,0,0,0,0,0,1,0,0,0,0,44,12,256,6,7,1,1,0,249,209,55,7,21,35,26259,207466,25244,13580,0,1552,3688,13658,6642,7243,104843,0,1,0
"진주",47355,5204,1718,9102,2873,6009,4069,3729,4865,3722,18044,688,20,29,13,3,12,9,1,0,4,2,1,0,0,0,0,1,0,0,0,63625,13200,63633,483195,45832,13670,41969,31746,233573,5995,52172,89721,8013,33417,22697,195331,349900,267563,0,74062,991154,72,23308,37695,43546,29309,165,275,860,6925,907,1089,628,2245,2130,27803,0,0,0,6758,20,0,1,0,1474,327,365,426,247,167,223,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1133,331,20,148,11,7,6,16,34,23,29,4,40223,900,1890,1326,743,5049,2617,7,695,43,15,9,52,29,10846,3727,3062,2931,4779,19958,4480,20704,618,2194,1338,1365,965,859,1396,2917,932,3385,2629,19838,24639,57362,38759,12820,101019,31944,296556,881,827,437,0,1,22,2,7,1,2,1,0,1,8151,9197,10677,6883,13736,0,992,347,444,258,173,1195,406,135,100,31,30,21,32,23,2,24,4317,178,1216,378,8462,1305,558,227,378,0,0,0,0,0,0,0,0,0,1,75,7,198,3,9,0,1,0,179,158,20,3,7,28,35313,192171,29033,12348,0,2673,2345,8666,4208,3207,105714,0,0,0
"문산",6802,1232,461,1341,868,1153,865,460,1610,557,1865,148,5,11,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56572,24943,68758,343815,38086,12933,25338,22153,135722,993,7164,11843,571,2920,2775,17208,20013,14419,0,5412,72850,29850,38,24577,44174,5052,34,53,158,1451,305,196,108,474,257,4310,0,1,0,1517,0,0,1,0,344,116,106,109,83,56,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,81,5,25,2,0,0,3,12,4,4,1,8203,210,476,269,138,1054,500,2,130,5,1,3,11,10,2081,1159,610,674,963,5341,694,4275,189,496,291,200,168,173,558,810,389,947,684,3858,4181,14004,25163,723,4252,1147,12703,245,377,141,1,0,2,2,2,0,0,0,0,0,6049,9268,8674,8446,13362,0,224,84,89,60,46,185,80,17,67,5,9,2,3,5,1,25,661,53,88,85,1507,216,129,54,22,1,0,0,0,0,0,0,0,0,0,4,0,54,2,0,0,1,0,60,16,7,1,0,19,30112,114998,19104,8578,0,1181,647,2407,1656,1098,62294,0,0,0
"진성",5541,815,279,850,510,885,944,345,754,585,1155,74,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41353,17953,59946,258873,35436,9112,20955,17661,98029,785,5733,10361,563,2416,3056,14114,11135,7217,0,3257,20206,14695,9295,41,20724,3239,10,27,79,1539,172,162,73,329,139,5340,0,0,0,1274,3,0,0,0,462,117,159,84,81,40,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,30,3,19,0,1,0,4,18,5,6,1,5243,145,356,272,87,901,227,1,134,8,3,5,6,4,1543,485,280,383,536,3960,441,2717,117,249,362,71,136,219,182,459,172,578,288,3281,3071,9700,20726,157,1012,343,5052,314,187,106,0,0,2,0,0,0,0,0,0,0,2793,4482,6357,6587,11686,0,151,36,81,41,17,115,27,7,11,1,0,2,0,1,0,1,404,26,69,71,2054,399,94,12,5,0,0,0,0,0,0,0,0,0,0,4,0,7,1,0,0,0,0,3,7,1,0,1,1,23429,86710,16785,6273,0,138,422,1669,624,449,32069,0,0,0
"지수",881,145,59,182,176,150,127,49,140,47,204,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9781,3923,15110,45858,8567,2142,4684,3900,19717,160,1460,1896,94,591,625,2219,3154,2280,1,698,15598,35603,41721,16867,17,399,2,4,11,274,66,32,8,69,16,285,0,0,0,192,0,0,0,0,40,13,8,9,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,5,2,4,0,0,0,2,0,1,0,0,1122,91,85,125,25,217,98,1,16,0,0,0,3,38,191,70,62,84,87,596,86,504,19,35,47,18,27,64,56,118,25,177,117,508,452,1278,9170,148,637,233,3032,36,15,6,0,0,0,0,0,0,0,0,0,2,913,997,1360,1111,2360,0,31,5,9,8,5,16,4,1,1,0,0,0,0,0,0,1,78,3,9,7,182,26,22,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,1,4487,15694,3104,1674,0,15,87,199,128,44,8535,0,0,0
"함양",15662,2794,948,4656,2462,3432,2305,761,2292,1172,7586,273,33,22,11,5,6,11,1,3,3,3,1,0,0,0,1,0,0,0,0,2473,389,2772,28376,3411,892,3753,2669,21784,88,994,1265,101,779,369,1919,2461,1256,0,552,18864,25285,4616,4179,1173,3617,6997,6266,5131,26819,5589,3148,9542,7405,8167,107043,0,0,1,3637,5,0,2,0,737,177,230,1093,197,138,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,873,86,8,35,2,10,2,4,7,5,45,4,13274,69,26,9,10,47,28,2,264,25,7,4,32,14,14785,3106,2072,3861,4439,16280,33375,15052,505,1164,900,366,488,663,1183,1347,341,2577,1775,6610,18251,14997,63690,1654,3903,550,9914,652,318,226,1,1,4,0,1,2,0,1,1,0,6,103,505,278,702,0,668,90,167,109,78,391,253,75,81,36,8,11,11,24,6,27,1674,126,471,301,3376,515,407,138,80,2,0,0,0,0,0,0,0,0,1,25,18,155,4,11,0,0,0,129,91,29,11,12,32,2662,18743,2233,966,1,623,1093,6354,2263,2453,65902,0,0,0
"성산",71,10,4,30,16,48,23,6,31,17,81,4,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,1,0,7,16,138,142,11,34,22,117,34,11,0,1,163,78,8,8,2,6060,2826,25198,67443,11113,2405,3047,720,2012,31609,90768,0,0,0,41,0,0,0,0,5,2,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,52,2,16,1,1,1,2,15,13,22,2,17211,78,11,12,0,12,4,4,4,1,1,0,3,5,506,103,39,202,513,9548,252,34,1,7,5,2,1,1,8,19,5,522,151,1049,797,521,128,8,21,7,123,11,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,11,0,0,1,0,1,0,0,0,0,0,0,0,10,0,2,3,34,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,20,27,214,160,109,628900,0,0,0
"고령",636,123,53,108,67,153,144,40,112,105,233,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,6,11,3,0,0,0,7,53,510,488,29,106,50,142,172,71,0,13,731,141,10,5,2,6141,35340,3979,100767,6527,1447,2142,743,1712,21942,56848,0,0,0,199,1,0,0,0,47,11,20,8,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,33,3,13,7,2,0,2,7,7,27,5,13534,78,9,5,1,23,22,2,39,3,0,2,9,6,368,191,119,177,328,4686,222,327,6,21,35,4,17,50,29,81,22,450,185,638,850,610,373,29,104,19,625,51,20,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35,5,9,3,4,2,1,0,0,0,0,0,0,0,0,0,82,3,13,8,151,48,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,2,1,0,93,87,506,280,192,666892,0,0,0
"해인사",2103,369,123,304,190,339,261,91,256,96,475,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,21,69,6,1,13,5,59,44,473,618,51,206,73,246,289,110,0,22,1379,902,115,63,12,4939,76510,104408,2216,5014,797,1086,398,1545,18363,44058,0,0,0,375,0,0,0,0,88,24,40,5,8,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,2,14,1,0,1,1,2,2,4,4,5909,46,12,5,2,125,37,0,53,4,0,1,10,5,434,465,215,195,276,2267,224,1216,46,78,74,30,33,42,30,195,31,330,132,953,903,1055,2258,77,317,61,1655,76,39,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,96,8,15,8,12,5,11,0,0,0,0,0,0,0,0,0,170,15,30,23,404,64,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,46,12,5,0,51,181,1413,439,452,257726,0,0,0
"남원",6575,1242,467,810,594,743,512,382,1431,494,2274,233,24,25,11,5,16,21,2,0,3,1,0,0,0,1,0,0,0,3,1,1585,323,1502,15609,2962,1126,2670,3697,30969,80,244,42,24,22,20,99,141,202,0,137,7411,6344,1450,1941,752,30713,12434,7482,5772,8468,91731,69416,165183,128477,2554,28886,0,0,0,1489,2,0,0,0,247,70,96,41,6,3,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,21,3,3,4,2,0,2,15,101,133,319,73,275463,1293,179,51,29,75,22,57,104,8,5,1,5,4,5351,1655,995,1573,1817,368,997,6635,370,583,505,235,255,273,641,866,189,1129,655,7593,5390,6465,11076,735,2200,479,8545,229,159,124,5,0,10,0,3,3,2,3,2,3,3,82,333,300,624,0,306,41,83,60,50,356,176,62,58,25,11,8,19,8,3,14,654,39,95,91,1270,176,137,168,90,0,0,0,0,0,0,0,0,0,0,11,5,139,7,7,0,1,0,95,106,20,2,7,28,1357,23899,1966,1689,2,73,532,1669,911,1528,118531,0,0,0
"순창",291,37,19,36,30,35,29,23,75,52,184,35,0,2,2,1,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,369,78,451,1865,318,73,363,284,3870,189,454,48,58,30,14,45,14,25,0,13,706,760,286,296,174,5564,2574,1862,969,96791,3852,38206,11481,8902,639,7421,0,0,0,68,0,0,0,0,7,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,25,1,4,12,14,74,62,174,92,252518,848,125,105,39,147,62,16,6,1,2,1,1,1,699,153,123,392,433,60,198,365,15,36,35,15,25,18,57,74,19,246,87,1508,1067,1347,1986,90,215,40,892,12,5,6,1,1,0,0,2,1,1,2,0,0,2,3,116,22,61,0,13,1,4,2,5,20,9,8,17,1,0,1,0,1,0,1,31,0,5,4,42,5,4,11,6,0,0,0,0,0,1,0,0,0,0,3,0,24,0,1,0,0,0,4,13,3,0,1,29,105,2100,277,147,0,7,50,110,42,145,29380,0,0,0
"담양",143,22,10,12,16,19,15,15,78,39,90,31,0,9,1,0,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,361,47,220,2023,325,117,515,381,4061,7331,15333,1878,2076,794,368,906,140,140,0,115,1100,955,202,366,182,4386,3091,2157,1263,72509,41569,1635,12668,7851,610,6305,0,0,0,18,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,80,34,401,138,67,148,96,326,411,863,313,388956,4471,2484,4558,1760,3138,1710,76,1,9,9,2,32,9,541,62,65,504,783,69,226,229,11,37,26,9,24,18,51,48,18,171,64,1140,605,626,908,45,221,29,1159,5,2,5,2,0,1,0,1,2,0,0,1,1,7,21,53,20,74,0,6,3,2,1,4,18,10,6,5,2,0,0,2,1,0,1,14,0,0,1,36,3,1,13,4,0,0,0,0,0,0,0,0,0,0,2,0,10,0,2,0,0,0,6,9,4,0,1,1,173,2437,266,194,0,15,48,152,58,80,35099,0,0,0
"남장수",550,92,29,73,48,77,85,43,110,42,189,16,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,10,72,834,195,78,171,199,1676,24,82,10,7,5,5,10,33,25,0,12,612,486,79,99,63,11624,660,663,419,162473,11560,12205,1294,37200,286,3356,0,0,0,116,0,0,0,0,12,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,1,2,7,47,11,62756,326,50,18,14,44,19,1,11,2,0,0,0,0,760,150,105,176,220,59,79,556,23,48,47,7,23,31,71,72,11,128,76,774,487,548,935,62,110,26,648,25,11,10,0,0,0,0,0,0,0,0,2,0,0,3,14,8,17,0,21,0,8,4,5,29,14,6,4,1,0,0,1,0,0,1,49,3,5,6,84,9,13,12,6,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,10,5,0,1,0,3,92,1232,129,96,0,11,50,137,74,126,8359,0,0,0
"지리산",9325,1817,733,1546,968,1417,1189,432,1206,646,2519,144,3,15,7,0,4,7,0,0,3,0,0,1,0,0,0,0,0,0,0,547,100,380,4202,528,200,771,646,5721,27,99,77,17,89,27,204,218,155,0,52,3226,1860,406,673,358,6426,2608,2237,2159,128745,9234,7720,38265,5650,1293,7858,0,0,0,2539,0,1,0,0,416,105,185,52,16,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,9,1,3,0,0,2,1,11,19,36,3,35487,299,39,20,6,22,13,1,213,6,5,3,3,13,2258,2030,1093,1351,1711,828,994,7405,403,793,852,211,369,260,583,748,191,1369,718,2550,1584,2811,3695,176,629,134,2389,529,238,182,0,1,6,0,0,0,1,1,0,1,0,21,121,80,122,0,480,33,102,80,55,318,214,54,19,12,7,3,17,8,7,21,1662,92,172,183,2190,322,247,94,71,1,0,0,0,0,0,0,0,0,0,6,5,72,7,9,0,1,0,50,41,12,6,4,11,435,4431,582,227,2,187,604,3012,1367,1974,30199,0,0,0
"가조",1875,341,137,277,222,377,361,98,336,154,516,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,25,140,473,42,15,56,29,203,18,193,388,17,104,32,159,194,85,0,30,1823,1831,235,135,29,7545,36154,22619,18972,2088,611,459,258,796,6005,196773,0,0,0,638,0,0,0,0,123,19,25,10,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14,0,10,3,0,0,1,2,2,5,1,3367,15,1,2,0,10,9,0,33,1,0,1,6,0,667,273,140,128,135,1473,188,1950,46,151,151,50,48,67,71,214,83,232,177,1888,1233,1255,4382,100,255,43,1219,119,76,36,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,135,6,18,17,10,51,14,5,4,2,0,0,0,0,0,0,202,13,533,42,652,68,55,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,45,232,21,16,0,37,122,803,306,248,88269,0,0,0
"거창",11906,4123,752,1516,1916,1707,1300,553,1180,620,2815,121,1,9,1,0,0,1,2,0,2,1,2,0,0,1,0,1,0,0,1,973,260,1762,18219,1078,414,1811,1424,8260,315,3026,8553,364,1372,1080,4806,3007,1086,0,446,20858,25822,3405,4032,338,112604,106716,57627,47986,28570,7180,5683,8387,8666,198195,12918,0,0,0,2603,7,0,0,0,611,173,219,115,34,115,43,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,483,91,5,35,6,1,3,6,20,27,59,5,39821,284,46,25,14,94,81,6,222,10,4,6,40,17,3485,1711,1088,758,990,7358,892,11697,298,569,1559,181,547,267,324,767,306,1316,654,9898,14745,12422,48888,1097,3583,686,14085,713,279,420,0,0,2,0,0,0,0,0,1,0,1,9,29,26,191,0,505,71,114,66,64,188,90,12,35,0,2,2,6,5,0,5,1127,88,218,193,2239,1675,269,20,18,0,0,0,0,0,0,0,0,0,0,2,4,22,0,0,0,0,0,6,14,4,2,0,0,2344,8183,1034,556,0,205,618,2675,1452,1263,414475,0,3,0
"군산",34094,5188,2703,3675,1343,194,28,30,6,4,10,1,0,0,0,1,0,3,0,2,5,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,22308,28839,178894,42426,24107,101960,27095,24016,22663,20402,17899,7969,11575,13668,30803,8255,18555,8123,6496,9285,5073,4322,3750,18712,32075,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,1,1,1,0,1,0,2,0,1,1,124,17,56,6,46,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6066,4535,4183,0,2,13,3,8,1,0,0,0,0,0,0,0,0,0,0,5004,804,625,147,70,216,116,44,61,16,8,8,14,12,6,18,3021,1847,5,4058,51405,7135,3406,132,77,0,0,0,0,1,0,0,0,1,7,31,7,131,13,38,1,3,2,109,139,25,7,12,28,0,0,0,0,2,0,6,4,0,0,0,0,0,0
"동군산",14827,4416,2023,3333,1128,171,37,41,7,10,10,4,0,0,0,0,2,3,1,1,7,5,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19190,40,67825,312144,116465,49681,215791,55997,56349,33848,35095,44529,32455,34866,37763,108660,34807,131658,46436,68949,94012,45556,42444,30697,144167,53331,7,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,2,0,0,1,0,0,20,0,1,0,0,0,126,12,51,13,31,4,4,1,1,0,1,0,0,0,0,1,0,0,0,0,10485,9613,3640,0,1,13,1,15,2,1,0,2,0,0,0,0,0,0,0,4418,676,543,126,58,167,93,42,184,8,18,12,17,7,3,17,2497,2106,2,6407,117897,17686,8972,98,58,0,0,0,0,0,0,0,0,1,5,14,6,94,5,31,0,3,1,96,74,22,7,12,36,0,0,1,0,2,1,7,4,5,0,0,0,0,0
"서천",13771,4807,2405,4789,1467,245,31,68,5,9,6,2,0,0,0,0,1,1,0,0,2,5,2,0,0,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22791,58593,747,157638,50949,42083,144186,28534,20501,22095,20802,21348,7572,13823,14859,32917,9886,13525,4101,3721,5705,2724,2556,2164,12211,48984,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,2,0,0,2,0,0,0,3,0,0,0,0,105,15,70,9,55,4,2,0,1,0,0,1,0,0,0,1,0,1,0,0,8355,4883,5656,0,0,15,7,14,3,0,2,3,1,0,0,0,0,0,0,4414,436,830,188,98,283,134,88,98,122,14,15,17,15,17,22,2179,1558,1,4703,52414,7274,3058,140,110,1,0,0,0,0,1,4,0,3,10,19,8,172,7,62,7,8,0,131,131,22,8,12,49,0,1,0,0,1,0,4,2,2,0,0,0,0,0
"서서울",16549,711001,368042,369330,359835,413621,114755,234126,48935,108426,117420,33627,1280,9433,5599,3280,22940,48177,17682,9873,107445,36625,10720,5932,2761,24112,3392,6613,4680,24374,3297,896,530,1337,15502,910,495,875,691,1332,184,2094,2724,546,2485,1479,2210,2603,481,0,205,9534,7223,1488,1473,239,4809,36,258,434,1850,73,16,74,2979,772,3109,188757,339489,144705,2162,554523,165145,319039,49467,882539,2003690,1063617,1565620,816259,621219,805862,238486,63137,124917,53363,40327,83142,73879,58215,69874,282879,54927,30170,1648,3624,1706,19586,1568,1329,410,2683,329,82,84,255,472,201,244,4228,24,1,0,4,3,13,29,59,112100,93474,13668,9713,30357,20671,2804,4373,14870,16273,3028,8972,4303,783,242,3476,49940,14449,76771,32549,39445,12857,33703,12805,13801,2640,2270,4628,9137,821,2818,798,14339,475503,312251,102489,27291,7445,80440,15376,54027,12252,8150,17789,29072,11129,0,8,18,40,245,0,1786673,144926,413150,336082,76942,154563,95818,49598,40275,21127,15770,18628,17767,11766,3899,13286,524900,502552,25,1238019,708196,3193928,2985847,4272,6427,6313,184,233,701,992,2896,18631,1302,5710,23614,7078,3262,67655,12428,54890,4109,10761,4427,56673,48705,14181,3825,7050,25991,1000,2969,945,759,11124,10223,88773,68661,22877,8948,54,0,6516,4074
"홍성",58460,18379,8780,11761,7657,1719,708,2933,200,391,598,155,9,60,24,23,148,390,90,46,526,382,46,24,27,131,8,20,29,102,17,1,0,4,64,3,5,5,3,24,0,0,0,0,0,0,1,1,0,0,0,17,25,4,3,2,4,0,0,2,1,0,0,0,0,0,7,44257,105396,46630,562812,2200,47207,120520,15657,49593,93732,64499,48192,27817,40541,52475,54268,11027,22435,9450,5494,11987,5911,4729,4332,20770,17094,254,8,13,9,189,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,123,36,14,0,7,5,4,23,62,33,0,4,5,491,58,280,41,251,32,5,4,4,3,35,33,7,2,5,35,2,7,1,49,19236,14353,25353,15,29,158,46,219,34,4,31,56,10,0,0,0,0,0,0,20529,2025,2140,651,421,1335,887,459,452,181,87,100,130,141,31,113,7945,6985,7,13711,119318,13459,9536,744,513,90,2,1,1,0,6,62,1,38,115,117,48,1089,68,327,25,65,16,737,550,171,43,80,236,11,22,8,5,113,12,235,178,53,30,0,0,27,16
"광천",14626,4942,2024,3545,2895,434,135,298,34,62,52,6,1,5,4,1,11,19,8,3,30,17,4,4,3,7,1,1,1,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,22903,44215,38457,166527,52424,596,56224,11517,18667,28240,24107,14673,10727,18735,23079,58054,5678,8004,2729,1827,3394,1777,2330,1539,7193,16929,25,3,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,1,1,0,1,0,2,15,3,1,0,1,90,26,110,9,130,5,1,1,0,0,8,4,4,0,0,4,0,2,0,4,10416,4369,11172,5,1,45,10,43,7,0,9,2,2,0,0,0,1,0,0,5461,409,589,216,162,378,296,133,122,53,18,21,39,21,4,39,2012,1910,2,5006,41787,5567,3652,232,143,2,0,0,2,4,1,8,0,11,29,71,18,280,21,90,7,27,9,226,151,44,10,21,106,0,2,0,2,6,0,15,16,7,4,0,0,1,1
"대천",37500,10389,5028,8503,5924,1955,471,1450,79,96,191,19,1,13,6,5,15,59,13,6,77,36,3,2,4,14,1,0,5,13,1,1,0,0,5,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,112522,203698,136321,321119,133038,63980,323,29806,30724,58837,37298,38528,22195,32485,41853,102722,18526,22473,9514,6417,11914,5646,3801,3665,19395,21604,25,3,2,2,27,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,85,15,7,1,8,0,1,4,24,3,0,0,0,295,56,220,39,183,17,6,2,0,2,2,2,1,0,1,2,1,1,0,6,11505,11609,17017,2,4,107,26,102,12,3,11,23,3,0,0,1,0,0,0,10664,1519,1519,463,277,909,610,308,338,131,73,99,85,88,22,106,4919,3717,8,7249,66036,7850,6374,631,349,11,0,1,1,1,2,39,1,28,102,64,37,742,32,260,12,36,20,575,560,151,43,83,223,0,6,2,0,18,2,63,48,15,11,0,0,2,1
