"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구.구.","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","장수","팔공산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","북통영","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","대동","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","수성","청도","밀양","남밀양","삼랑진","상동","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금","주암","승주","내장산","남천안","풍세","정안","남공주","탄천","서논산","연무","남논산","풍세2","지곡","남대전","판암","무주","덕유산","서상","동서울","경기광주"
"풍세",791429,110985,53701,125031,88252,162342,24586,4172,704,580,535,175,13,63,26,31,124,204,169,28,382,188,0,38,42,15,107,8,25,22,114,18,8,0,6,50,3,1,4,1,9,0,2,6,1,3,3,3,19,0,0,0,32,32,6,5,1,12,3,1,1,7,0,0,0,8,1,10,7,5,2,163675,69,6,26,2,31643,9420,12042,6973,1515,905,747,127,0,1,1,1,1,0,0,0,0,2,181,38,17,7,18,11,104,24,16,0,7,1,0,0,2,4,1,2,11,0,0,0,0,0,466,47,281,8,1,2,2,1,97,72,12,6,17,33,2,14,2,13,58,32924,30980,58388,15,24,47,18,39,6,3,7,16,14,0,1,1,2,0,6,22011,5254,5277,1173,609,979,789,352,316,119,85,78,96,66,25,108,59566,4839,14051,6292,120314,21454,10626,801,573,49,0,4,0,2,4,4,2,9,32,105,40,640,39,165,215,4,17,10,516,532,152,23,58,189,6,20,4,2,64,33,5,19,16,6,15,62,326,318,117,43,1,0,35,21,1,0,0,180147,6,331,429,12,5,16,10,0,9,22,73,76,10,18,682,120
"정안",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168818,0,15582,3529,7564,6827,54075,0,0,0,0,0,0,0,0,0
"남공주",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219332,18479,0,14475,14044,7313,64251,0,0,0,0,0,0,0,0,0
"탄천",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88016,3612,15896,0,19028,4682,22786,0,0,0,0,0,0,0,0,0
"서논산",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411796,10404,20299,21923,0,12148,220111,0,0,0,0,0,0,0,0,0
"연무",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291073,8303,11996,4546,14982,0,103789,0,0,0,0,0,0,0,0,0
"남논산",291,64,19,45,54,40,58,417,2306,1510,3826,1810,56,629,331,140,835,1234,367,380,2696,1350,0,568,203,102,717,47,107,142,411,81,70,12,46,770,70,35,95,74,302,60465,125035,8788,6095,907,500,316,60,29,0,4,380,265,65,59,31,141,30,46,38,404,1668,28084,14,132,14,93,0,0,0,56,0,0,0,0,11,1,4,2,1,0,0,0,0,1,0,3,29,54,26,34,177,0,948,408,183,67,92,74,665,27976,813874,143514,1205880,161654,35108,29730,143864,274464,58917,93021,1685141,5274,6018,12858,6605,5652,211,482,185,502,556,1450,1389,475,1624,1522,58,60,177,415,20,77,16,58,485,11,2,10,80,124,19,2,8,1,2,9,110,191,1,1,8,6,22,9,14,9,8,14,23,303,204,76,89,20,24,13,32,14,3,21,18,0,3,6,52,12,10,178,130,417,3,7,8,13,35,19,2,17,6,20,12,169,10,36,883,2,15,2,121,99,20,5,16,52,46,391,71,54,374,295,43,73,35,27,54,3072,2634,12391,6246,3408,51,0,139,87,38341,7808,22887,12,64,29,1121,307,372,3443,58,0,95,1573,2710,977,213,124,1187,89
"풍세2",2112430,286536,116031,274523,144573,240019,31217,1721,378,239,215,45,9,17,7,1,11,16,3,7,31,15,0,7,2,1,14,0,0,0,9,1,2,0,1,4,0,0,0,0,4,2,7,1,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,15,10,2,335750,34,5,28,1,68933,18072,25582,12979,1022,371,175,39,2,9,3,2,5,2,0,2,4,2,15,7,1,1,0,2,9,1,23,3,30,3,1,1,2,4,2,3,57,2,0,1,0,0,348,64,175,12,2,7,4,2,13,3,1,0,0,2,0,0,0,0,3,53138,46228,72646,7,3,65,11,30,4,0,2,0,1,0,0,0,0,0,0,53125,18619,13623,2702,511,940,692,252,304,121,70,116,113,64,27,78,144529,9527,28541,14779,233030,51956,20577,640,418,3,0,0,0,0,0,2,1,2,5,53,38,471,36,172,4,4,9,7,630,575,114,37,59,164,0,2,0,0,5,3,0,1,0,1,0,5,129,77,25,10,0,0,1,0,2,1,1,254866,55,0,2,0,0,1,27,0,0,4,29,11,1,0,973,84
"지곡",8869,1914,656,1443,845,1394,1640,509,1091,1001,3026,133,8,14,3,0,9,12,1,1,1,1,0,1,1,0,2,0,0,1,1,0,1456,324,1140,12968,1205,433,1977,1171,9849,70,781,1545,72,534,542,1153,998,533,0,228,8447,10025,1874,2164,694,13293,530,402,415,7012,973,598,1153,3275,389,1388,0,0,0,2994,5,1,2,1,429,112,174,82,17,19,41,5,0,0,0,0,0,0,0,0,0,0,0,10809,0,0,0,0,0,249,119,34,85,8,5,1,14,84,76,162,13,5997,72,19,6,5,796,603,318,299,422,477,829,314,1532,1013,3199,5379,6063,19129,625,1867,437,1258,6219,457,285,305,1,2,2,0,1,0,1,1,2,2,10,28,125,47,277,4,397,37,144,70,134,237,188,72,30,16,32,2,7,8,2,7,1194,51,237,214,2068,421,245,84,75,0,0,1,0,0,0,1,0,1,0,14,0,85,0,4,3,0,0,0,53,48,16,5,2,11,1230,9452,1256,672,1,0,0,0,0,0,0,156,606,2835,1603,1562,4658,0,0,0,23,22,55,205,9,11,6,3,24,36,1,0,245,2105,1146,1319,1977,19444,7099,292
"남대전",14960,3545,1679,5348,3708,11448,10423,5743,27989,57733,99829,5964,1308,2782,1175,591,1903,1996,433,455,3032,1882,0,490,250,99,878,56,94,182,584,91,400,240,538,6541,420,245,576,422,1123,217,1560,2819,375,928,1004,1008,1363,207,1,113,7857,3151,1072,677,109,3935,69,172,371,1599,154,230,56,1986,219,1729,0,0,1,5958,17,0,5,0,1513,489,728,807,222,176,282,32,0,0,0,0,1,0,0,0,4,1,1090,19625,223,87,89,62,947,34859,22295,3787,25503,4466,1000,772,3009,5988,701,910,11864,147,71,65,18,19,1802,4041,653,2655,3764,7305,12171,6082,98239,19096,1454,1445,3016,6202,395,1251,613,1719,11991,1898,1101,1237,107,218,21,5,13,2,5,22,111,158,31,11,19,23,97,21,838,165,386,204,206,1137,726,258,195,103,65,42,42,43,17,74,2177,169,759,272,4572,1077,556,328,335,415,13,7,11,12,27,14,0,9,5,55,25,380,18,80,719,1,4,2,322,256,80,13,35,105,370,2017,460,499,467,340,29,92,42,30,62,47389,46794,210572,283123,144375,87,0,137,68,71,40,585,2713,26,44,53,80,561,1100,0,0,2001,2798,14333,117365,16003,4266,13138,827
"판암",42327,11333,5098,12551,9936,36556,33632,19234,120322,192746,51396,64662,25569,49290,21817,6668,21467,20622,3666,3525,24533,14385,0,2957,2206,867,7810,625,1372,1414,5073,895,273,204,370,5014,362,172,445,269,859,260,1609,2219,202,823,423,729,782,144,0,72,4561,2413,577,401,83,2526,88,151,217,1220,168,279,44,1097,180,1093,1,0,0,15690,82,4,15,0,3014,1121,1559,1339,798,684,923,84,0,0,0,0,0,1,3,3,3,2,7767,9589,1746,773,933,501,8107,46728,26333,4624,31961,5829,1316,865,3762,8206,845,1223,16638,227,78,72,25,33,5155,5524,1788,6775,10844,28348,51481,20888,57293,58378,896,923,1839,4508,232,924,351,919,8469,3169,2434,2158,819,1776,88,15,37,13,27,148,851,1535,69,39,74,39,76,283,2459,718,1222,738,636,2762,1542,675,814,259,176,222,357,166,81,257,5671,540,1014,671,12265,2693,1261,1225,1237,3069,56,47,49,84,207,83,10,65,18,163,52,1259,67,183,9049,11,40,7,911,981,320,55,105,415,328,1410,383,299,3823,2156,409,698,665,293,620,59172,166901,193610,332854,138177,67,0,1500,883,124,52,649,6288,28,86,49,117,724,1110,9,0,1056,18502,391,36093,5300,2220,34678,1907
"무주",50764,9837,3760,8100,4975,9579,9052,3438,13103,11419,89761,1814,111,132,50,48,249,682,151,44,262,261,0,46,26,25,101,6,4,14,33,5,463,76,416,3745,338,123,706,424,3483,96,1544,2349,157,1144,705,1624,896,216,1,159,5496,2856,1114,592,163,3335,229,190,222,1669,399,421,108,1514,149,623,0,0,1,13792,42,1,6,0,2393,704,844,432,218,101,306,27,0,2,0,0,1,1,0,0,1,1,139,48825,18,7,20,14,208,4859,7644,649,3354,699,136,212,538,1205,75,102,492,4045,62,23,9,13,3333,2926,993,1258,1486,3637,7466,2559,48022,25388,1791,2133,2706,5412,307,1189,212,1345,8547,2436,1291,1135,22,38,48,7,22,4,5,17,31,46,8,7,39,32,62,2,2029,294,371,463,523,1242,740,302,255,82,111,131,224,57,18,72,6299,351,1041,741,10870,1586,1194,486,269,76,1,0,1,3,12,1,1,2,2,89,26,512,22,58,50,1,5,1,337,235,64,13,31,96,300,3397,436,286,68,71,1,8,2,3,2,3470,14780,56050,36829,63723,2172,0,8,4,35,38,76,1490,85,58,38,34,169,393,5,0,1491,119007,37752,499,15204,5962,38082,1792
"덕유산",7930,1465,663,1812,898,1377,1164,597,7885,1686,12596,295,17,26,17,33,30,56,11,5,28,54,0,5,2,4,14,1,0,5,7,0,995,171,766,11238,845,280,1684,1244,11597,128,1847,4050,156,2260,1102,1068,574,170,0,70,4348,4117,923,1012,391,3398,487,265,288,2123,751,1050,134,1437,209,691,0,0,0,2834,2,0,1,0,587,104,150,106,30,21,18,4,0,0,0,0,4,3,0,1,7,0,23,52953,3,2,2,1,32,690,1078,409,558,96,36,14,63,119,46,127,286,11671,126,37,4,5,587,667,179,307,292,749,841,372,11827,5787,2146,1617,3116,9726,411,1036,218,1231,7546,577,339,472,4,8,5,1,0,0,0,1,6,5,8,15,113,45,124,11,298,30,58,43,69,285,142,49,80,20,4,3,18,28,3,17,1234,76,187,212,2090,428,275,76,139,11,2,0,0,1,1,0,0,5,0,26,5,124,5,16,8,1,0,0,55,37,7,3,5,16,684,12457,1273,771,10,5,1,0,1,0,0,440,1817,5528,4799,8020,6222,0,1,0,26,16,8,225,14,7,12,4,23,80,0,0,1788,15157,4874,16604,238,5391,6220,360
"서상",17839,4916,1080,2619,1747,2473,2281,923,2006,1028,5353,157,11,17,7,2,7,11,1,3,4,1,0,0,0,0,1,0,0,0,2,0,473,130,338,3817,477,135,854,452,3594,17,170,320,17,128,48,274,251,114,1,50,2293,3967,652,727,251,34558,276,270,177,1324,226,147,125,1021,239,617,0,1,0,3966,3,2,2,0,684,176,229,132,35,29,38,3,0,0,0,0,2,0,0,0,0,1,2,44116,1,0,1,0,2,524,266,75,206,17,7,4,11,23,57,17,6,1384,17,7,2,0,1194,1284,271,553,581,609,1085,799,4153,1975,4072,4700,2918,7335,268,440,100,304,1490,1661,581,592,3,7,9,3,1,0,1,0,0,3,2,15,23,40,106,1,572,94,201,98,102,434,134,24,36,4,5,4,25,7,3,18,1768,113,412,236,2904,3054,407,111,65,1,0,0,0,0,0,1,0,1,1,14,4,63,5,3,6,0,1,0,45,32,3,5,1,10,373,3083,453,239,0,1,0,1,0,0,0,358,978,4967,2425,3512,3310,0,3,0,6,4,5,311,17,14,9,8,29,26,0,0,15902,4108,2123,5736,6889,662,16141,496
"동서울",6978,5734,2388,3188,2005,5440,643,202,94338,210181,282981,68241,4967,18821,10789,6398,51227,129992,33741,34072,363301,165535,0,29646,18290,10444,94748,7783,14485,15230,81365,12811,1137,1075,1775,10733,913,421,1134,743,2482,5817,14498,11880,1333,10714,3350,5069,7487,1293,0,375,21011,15665,3476,2665,385,15511,633,592,991,6649,484,2481,220,6994,1888,10460,189,102,138,1422,718,181,607,76,339,391,268,575,584,496,905,273,23,74,23,34,39,84,37,64,306,80,108951,40252,14804,7795,10310,6590,87079,41206,72296,12956,117546,18471,4859,4175,18399,45175,7610,11879,163622,689,590,1556,722,705,2874286,1217535,1861612,666200,268089,315104,617029,454507,27106,28024,4737,5732,12614,25166,1590,5870,1839,6707,40658,294,499,173,114128,35922,770776,115329,388439,82235,38147,120465,209469,80419,1353,721,744,384,471,7068,6030,19206,38150,252619,234015,1086885,866731,377246,258753,130861,105206,128551,146438,75884,21255,92699,2854,266,291,856,3119,1061,1217,4216,8690,28343,778,809,3092,4696,18299,125598,6108,28788,162902,25408,19939,477463,81560,374681,147160,19828,61380,27488,350871,181683,93433,19195,51490,148810,1421,4051,1346,833,42841,27699,6931,10192,10315,4393,8541,33248,210010,173215,57481,19886,1471,0,23574,14029,3368,896,2704,479,236,655,374,202,649,1688,1536,0,6558,10090,35360,36369,6214,14949,3951,4143161
"경기광주",335,658,425,480,219,606,45,10,3760,8215,11540,2641,157,572,361,171,1530,3888,1101,968,9917,4495,0,869,552,269,2201,260,391,339,2346,329,43,372,54,336,31,16,40,25,68,197,580,470,58,248,234,169,247,47,0,17,711,416,63,65,19,396,8,11,28,252,27,115,14,230,49,250,23,7,17,229,105,47,74,13,58,94,45,56,72,88,121,34,2,7,3,3,3,2,9,11,40,7,2696,1353,386,312,388,173,2114,1931,3347,595,4762,861,207,174,839,2062,339,460,8045,35,24,58,22,27,126066,50446,93936,28766,11038,10728,25274,17225,1039,869,147,148,419,722,41,161,43,142,1108,41,64,29,2746,961,25995,4521,12764,3260,1007,3438,4950,1834,38,24,30,11,12,154,641,221,790,6976,8223,49307,33681,11953,7868,4215,2542,2359,2702,2031,673,2569,419,46,66,215,623,233,174,736,598,867,23,25,95,118,368,2496,188,766,3418,1315,777,13734,2937,9294,3619,638,1555,796,8475,7227,3717,631,1178,4169,52,106,35,15,1349,883,263,326,227,107,255,1220,6423,6245,2140,968,43,0,605,337,120,40,122,72,15,80,42,11,57,136,111,0,227,457,1590,1132,233,373,3849073,189
"곤지암",2505,10902,7923,6017,1593,3810,359,47,17799,38752,31584,8854,414,2132,1135,724,5817,18632,6084,6430,56616,20271,0,4811,2582,1134,10919,1389,3292,1873,10288,1884,106,229,165,980,173,94,158,104,367,447,1359,1198,160,482,340,553,672,110,0,47,2171,1640,300,251,44,1165,128,54,71,544,51,406,25,629,146,674,116,43,108,3062,498,153,335,36,923,1390,752,516,674,476,776,204,19,29,11,7,15,25,8,24,130,42,12871,4563,2064,926,1447,806,9143,6788,10678,1607,12957,2495,657,382,2235,5574,1070,1792,21096,67,78,126,63,44,1825,254231,210526,141317,55833,54526,93475,74224,2970,3382,689,418,1095,2596,132,415,150,471,3261,438,592,128,20327,4294,132037,16753,52108,9748,7104,15556,23466,10472,181,112,119,117,53,1041,8966,1230,6403,34092,30118,180159,124614,53565,38014,16253,11186,9249,11460,7504,2508,8792,5944,1792,1055,3546,7831,4370,2044,3281,2018,3956,58,73,246,411,1442,9631,568,2898,14956,6242,2463,62913,12367,37013,22192,2472,5952,2802,34336,21784,11016,2185,4427,13978,168,641,166,147,6025,3565,896,1447,2361,525,1262,3136,17968,16896,7544,2830,188,0,3524,2214,349,79,295,376,9,376,120,57,145,207,314,0,743,1443,5242,3053,729,1149,3030424,154024
"일죽",57228,23903,6399,1661,91,224,13,2,20693,42910,45273,10726,358,2444,1077,615,3717,1509,419,484,4370,1961,0,613,266,141,1048,212,440,208,1266,171,132,45,204,841,72,48,75,52,88,399,1524,1069,224,470,289,363,542,140,0,88,2261,1636,247,458,31,901,14,31,51,492,55,369,19,414,130,3617,5,6,6,55567,58,17,38,6,3180,1643,251,68,93,59,92,32,0,2,2,1,0,2,2,1,15,6,1263,4933,190,87,123,59,734,11110,19304,2159,20887,3100,934,449,3528,10267,1197,3055,30974,82,70,135,218,76,225843,773,78885,86028,68318,77925,129841,87862,3422,6565,982,504,1628,2555,119,612,189,676,3109,44,39,16,302,168,1878,340,891,331,97,324,530,213,22,7,19,12,20,102,38868,2551,15131,16390,20525,78104,37527,22598,20463,7562,4730,4360,4906,3439,1513,4402,43339,3420,5500,13766,60939,16979,8061,14785,15114,424,11,3,20,37,155,848,53,350,1015,7569,2369,25951,1403,2839,1963,170,492,254,16902,13109,6256,1064,2157,7059,79,165,150,46,552,345,65,119,140,64,180,4959,24913,26138,12530,4186,14,0,336,195,310,122,425,18,15,15,8,15,108,407,27,0,590,3070,6377,2579,746,1262,1172503,65246
"서이천",14846,24611,11801,4733,1001,2574,166,73,8025,16366,14100,6549,113,776,291,261,1159,1544,554,696,6257,2243,0,473,496,149,967,176,651,320,1637,303,19,2,36,189,22,8,18,22,70,195,661,550,37,202,92,121,196,38,0,9,732,659,88,72,9,359,4,8,14,206,19,148,9,233,63,174,100,34,134,23676,385,126,341,45,2540,2435,783,388,447,409,663,215,5,21,9,9,6,16,12,30,92,52,1548,1634,209,93,155,118,881,3681,6835,916,8777,1298,333,162,1480,3182,368,822,11421,34,40,55,42,14,171112,79608,619,38352,17678,13886,38817,26566,1151,1278,196,142,350,899,49,151,38,141,1182,213,333,73,1918,604,13173,1439,5678,780,569,1323,3289,1897,11,4,19,25,23,77,29749,3416,12370,18587,12949,12506,12545,4836,3692,1784,1072,713,1063,774,362,717,20872,3457,4280,9918,30273,10785,5245,2408,1484,721,18,14,16,45,96,690,33,211,1250,596,598,6799,1582,2852,3774,217,380,236,3790,2203,1170,225,355,1064,32,123,37,41,713,318,82,171,226,71,123,1379,6901,11704,3518,1165,20,0,656,393,127,53,197,216,6,200,102,56,109,150,169,0,229,470,1899,898,151,286,1773324,110106
"음성",64656,34626,10435,2419,151,124,8,3,26991,48826,37864,7468,284,1568,797,337,3769,2261,961,1020,7334,2094,0,1422,611,183,1668,421,964,532,2091,353,94,15,179,878,93,65,98,155,111,211,698,603,79,268,372,228,194,68,0,34,1148,937,167,186,22,539,14,9,33,230,20,228,6,170,51,274,2,0,9,80734,43,10,43,4,3950,2163,528,153,143,66,113,38,0,0,0,0,1,0,1,0,16,7,2654,3344,188,134,153,78,1084,6868,13908,1361,13103,2056,779,281,2143,5650,566,2007,15997,59,38,72,30,28,120756,88925,36365,135,58287,77225,204020,134400,2126,4585,325,258,531,1196,58,264,171,209,1260,105,73,12,129,157,858,125,272,46,40,75,186,54,32,6,26,71,58,175,36807,2980,18760,22040,19964,40906,14051,6578,4855,1432,677,633,843,724,210,634,61145,6115,8128,14879,86297,37046,10581,3740,2961,520,8,18,15,21,52,219,8,89,324,1485,519,7047,301,876,4009,57,164,67,5158,2564,1522,270,473,1705,78,296,76,95,1030,392,209,207,241,128,272,3441,16189,17157,7359,3169,10,0,654,408,145,24,171,18,6,8,6,14,99,324,2,0,293,2030,6017,1040,217,415,639736,34802
"진천",25815,10533,3247,803,41,34,11,3,40711,67016,55643,12417,543,2399,1162,583,3927,3462,1411,1628,13000,4263,0,1526,1438,298,3277,436,1398,711,2384,425,100,49,271,1614,95,120,120,98,152,173,671,759,113,280,431,400,194,88,0,33,1353,1181,228,326,56,547,51,51,58,210,21,345,12,194,62,308,2,0,1,33078,13,7,10,2,1869,894,144,55,31,21,35,3,1,0,0,0,0,3,2,1,5,1,3928,3390,338,233,337,157,1449,7859,13572,1388,13382,2133,559,244,2568,5638,587,1517,18739,59,43,107,40,61,50139,66038,17984,58968,594,65278,243270,128766,2978,4652,928,1028,781,1714,103,242,131,320,1773,36,36,5,158,254,540,109,211,43,26,43,72,49,86,22,31,24,71,253,12845,1434,7557,9488,7103,23564,10810,5412,4288,1394,964,681,1144,703,276,839,19562,2149,4067,5075,36054,11034,4021,4059,3294,823,16,11,15,16,19,88,9,95,212,1056,603,6592,325,912,4807,47,145,75,4085,2944,1472,240,576,2149,251,390,131,201,1432,738,139,305,463,146,524,2755,21803,22415,10366,4568,24,0,784,494,127,31,210,4,10,5,2,12,103,282,3,0,363,2799,10309,1404,228,496,264469,14340
"증평",32925,14259,3063,1075,44,26,6,4,86716,178961,183850,32869,826,4418,1774,560,2927,1792,521,651,5178,1778,0,531,372,161,1004,141,330,244,1247,205,61,23,186,795,54,55,79,33,68,518,1748,1681,241,746,467,650,372,78,0,24,2287,1487,591,276,50,1210,11,32,35,631,63,593,26,421,45,305,0,1,0,43201,10,0,5,0,2034,857,157,40,47,20,20,1,0,0,0,0,3,3,1,1,23,0,1502,7037,215,108,116,71,711,23076,35845,5018,44116,6081,1744,888,4791,16597,1621,3781,44639,158,131,241,72,105,51849,79059,15230,80863,75745,71,308367,55011,7647,12020,908,450,956,2255,169,662,131,450,3413,55,25,3,132,155,248,50,102,25,16,21,32,25,29,8,20,11,25,121,17406,1827,9471,13327,8715,13843,6161,2705,2298,740,456,369,613,488,183,658,30689,3061,4745,8191,51530,18767,6184,2966,2572,478,5,3,3,3,1,13,3,20,80,616,245,2789,120,308,2247,16,70,26,2597,2290,1137,171,370,990,86,129,71,67,601,417,93,99,104,78,197,10545,79132,85922,35801,15812,21,0,363,232,284,97,722,5,19,7,18,28,295,867,2,0,525,5878,28789,3769,867,624,330672,15611
"서청주",17752,4474,457,190,33,36,10,45,151001,291804,286154,73981,2517,13934,6608,2874,18784,31279,8798,6575,43127,16605,0,4100,2200,960,8633,1309,2622,1882,8393,1881,246,106,677,4550,308,249,327,399,484,567,1990,1926,405,620,446,752,681,124,0,65,3335,2288,814,523,152,1349,105,83,195,708,68,503,34,679,184,761,0,0,0,19243,10,0,5,0,530,137,36,29,13,6,16,3,0,0,0,0,1,4,3,2,12,1,15444,7269,1839,780,768,495,7825,19064,33376,4540,42025,6381,1434,743,4603,12509,1269,2554,39811,132,123,193,63,56,91741,135229,40573,228722,288306,352102,8869,336461,10697,15268,1348,599,1786,3096,253,645,304,772,6259,9,10,5,1319,2090,1281,196,392,95,52,87,410,459,123,36,73,168,107,593,7432,6386,18490,18009,19501,112458,25358,12977,15532,3208,2886,2951,3652,2121,937,2882,15183,1468,2560,2239,19131,5567,2628,15412,11894,3251,52,41,45,54,71,89,6,133,271,2509,855,19690,686,1869,17231,90,340,133,17791,11645,4566,919,1944,5298,420,1306,449,455,7033,2470,479,992,1277,532,1480,12093,135024,120297,43534,23587,76,0,2714,1748,427,90,761,4,19,5,18,16,270,769,0,0,741,9964,47252,6973,889,1059,657737,35055
