"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"왜관",25071,281,31304,949,13,71366,97,5,77,33,6186,0,368,992019,7854,33,115596,11739,0,31,836,81,1,26006,20,92,4,323,8966,53,3093,499,1346,7167,69,2826,184,1135,5762,4818,1891,0,245,10843,294,0,199,389,513,277,5,221,73,204,246,1327,692,1473,514,10,1220,1713
"용인",275,901,1808,2075,5830,2002,26,82,4989,326,2264,0,1390,8500,11171,13863,1217,18995,0,8016,783,15708,261,4703,149,17114,0,944,958100,13127,119685,2102,3091,932,35021,392,17447,392,117,13356,670,207,0,1332,15950,0,11137,29189,3457,7377,182,3879,1152,3910,4918,13631,726,637,177,262,156,144
"울산",45791,1272,173028,3217,20,65183,144,36,2566,153,10135,0,3699,186282,50557,329,254103,58351,0,0,7939,863,0,459213,75,95,0,1694,71930,118,32313,2490,5101,817158,202,952094,1126,3945,61171,54323,5834,11001,2421,0,1753,0,1405,3563,9450,2044,4,5214,765,2462,1900,9850,3564,15711,304,134,145022,2522
"원주",116,5624,977,26162,4683,759,15,32,846,86,966,0,1636,9510,17643,1645,300,420138,0,1359,157,18837,48,3660,93,556533,42,1433,117254,15871,100178,2003,2517,411,4851,133,62356,128,77,8826,782,139,12966,933,0,0,1321,44270,3876,12796,73,3927,422,1594,2022,4948,782,9,45,79,25,69
"유성",1725,5430,11791,10055,53263,10175,2948,1799,1796,5289,13318,0,50666,45287,90355,830,8013,1200,0,4015,36300,2051,1431,16078,4343,4304,0,17220,417493,5965,43431,29316,16147,2056,964,546,2728,5124,883,52866,31069,1286,531,5934,4450,0,5691,5960,77673,5572,1489,70997,13459,22628,5912,52380,36810,89693,1302,3308,257,1643
"음성",472,18098,1759,57423,6504,1681,46,184,1055,318,1811,0,2421,7043,27412,3807,1071,850232,0,9265,0,2169,128,4011,244,2896,0,2000,511,99567,85231,8703,0,600,2804,104,4665,558,116,1999,1865,155,1725,1332,2047,0,0,15073,4588,22296,398,4914,1678,26934,23780,0,3267,0,148,305,47,174
"이천",542,22168,6058,52773,17831,3466,16,126,5916,446,6884,7,3836,19842,23272,13584,4784,779430,0,0,210,74915,289,12148,269,50346,0,2171,163906,32633,242860,7503,2335,1828,14218,231,38260,647,205,15003,1533,450,29772,3593,52080,0,11721,0,12328,41456,452,9498,1985,9194,10257,5513,1641,0,291,306,105,180
"익산",1190,4904,6812,13017,52589,7787,116,5853,1480,4277,5790,0,37499,16506,49896,1292,2972,217364,0,2140,6715,3284,2355,5594,740,5270,0,232115,248066,6146,51038,11018,13441,522,746,208,2995,1098,465,91349,6784,549,2813,7542,5125,71089,3866,11575,0,4032,5082,11425,18944,17618,3122,19378,18051,30859,320,5422,54,418
"일죽",340,27572,3316,60163,7368,1769,58,93,535,366,2935,0,2568,9774,23805,8926,1312,623755,0,0,5,15288,174,5134,248,20995,33,1645,1014,32101,52609,5061,2,959,1708,185,9705,581,279,747,2039,310,7046,1585,14237,0,23175,47525,6275,0,260,5064,1392,12060,10577,13,1461,0,137,282,215,260
"장성",0,193,0,786,1009130,0,0,2679,107,7037,0,0,3185,0,2884,0,0,11155,0,3,413,0,17593,0,1139,164,0,4028,17452,2,3797,470,689,0,0,0,221,0,0,4412,207,0,220,0,183,69,370,385,5338,210,0,14595,26364,413,133,1036,765,1324,0,1683,0,0
