"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Jangsu",1,1621,7056,233,5,135,10121,654,3152,7529,9,53,596,1,26796,22465,81534,6962,38,3,153,1,215,2679,549,5839,25851,269,10759,2098,691,28,141,702,2493,2044,276,961,9,1,6138,71782,1461,23,4,634,985,9568,55,43003,1018,455,581,5,1948,29294,1742,1443,20,3415,12234,25403,2981,10185,0,354,114684,29,0,201476,3237,1182,5501,14,390,2159,5467,11052,237,2,22,70960,5054,11509,507,325,4169,7197,18,190382,1544,1,340,0,1204,2,113,360,0,3974,6583
"Jangsung",7,2983,11074,616,3092,10756,3564,258,1649,18097,91,46,838,0,16406,11666,42927,13555,1920,7,332,2,365,1794,569,864,577,582,5406,52578,38767,17,32423,4308,697,285,936,1801,16105,2,2839,1161476,15373,28,26,3753,1323,3341,960,682,204,325,833,1941,7889,23378,1663,57651,88,138007,58056,562,1425,1928,1,8726,566,33,25,9752,22174,1977,8444,50,296,5737,1513,387,922,1405,3137,94862,10309,5180,54524,545,5719,1265,16,29084,1711,0,329,1,1004,26,417,5404,2,2682,11226
"Jecheon",81649,30654,3750,35,651,11,9118,1,1,1526,20558,198,128326,736,1976,113815,3771,12,1723,165571,7663,5269,3525,2256,27793,0,79,96,1738,34,9,55,9,96,1,0,143,25528,91,5317,52087,1063,22,10948,3520,92,2,11,8,9,0,59634,54963,358,6762,540,20,67,108511,411,881,1,584,11,3216,113,63,41,0,2,983,120,5476,6329,13879,764,6,2,34,87,1022,599803,86269,1,23,1,85770,13,20621,242,908477,10534,10774,12613,33663,2941,36,6,261427,46783,79321
"Jeongeup",56,5776,33575,1424,32,112,5767,473,2646,56117,695,129,2502,44,73978,12990,215982,8988,220,68,1264,30,855,7087,2077,814,4380,5287,7716,323861,1211,75,11191,14497,833,581,6863,3732,106,31,9573,737380,8513,773,649,14264,1895,6284,589,1745,215,1295,2073,29,8573,129117,3941,130349,374,86021,396632,5329,6769,2968,47,2843,5444,177,18,6837,74970,12297,25704,1188,1610,10700,2575,1046,4013,11,62,252818,18116,1770,47088,215,17160,2758,1252,415441,5855,32,1246,2,3831,745,2431,896,24,11324,34136
"Jeongju",277,15842,75950,3279,37,190,129593,20169,85742,151166,5021,460,5672,208,159970,73394,699074,8039,721,145,1922,64,2299,12309,6493,5682,6849,10858,159087,88172,796,312,5805,33735,3944,4883,22996,10138,32,28,16028,589657,25283,8835,4652,35061,30927,436237,548,15436,739,2511,4266,14,23343,85957,13135,55095,921,393074,18700,12813,12108,106112,332,3489,16382,476,9,2230,121650,13748,69301,7322,3260,29161,50806,29001,10464,16,155,635374,49851,497,39522,2416,46647,21449,14035,57060,13724,474,2802,3,7902,7026,5821,795,83,27042,92409
"Jinan",1,441,1968,65,1,3,3760,321,1713,3938,6,10,88,0,3300,10543,12150,84,17,0,35,1,65,231,100,1451,2048,126,5527,1519,33,6,16,1372,2714,813,98,269,1,0,547,3535,514,15,6,598,457,4232,21,7844,634,56,99,0,637,32637,27682,510,11,4540,11322,6679,282,4465,0,161,14229,14,0,975,5248,195,1875,15,41,806,2173,5112,83,0,3,18009,1388,62,243,198,1300,3288,13,95748,279,1,46,0,138,5,30,28,1,405,2437
"Jincheon",85,15360,75656,8477,185,5,6060,1019,929,250,1650,237,4475,227,475824,18282,189684,235,1032,182,2601,5,2799,60161,5450,367,7114,4015,2422,832,16,51,251,33,1073,485,7063,7913,12,19,63143,18124,2286,4654,1875,2837,558,4784,30,1504,43,3369,3461,155,5571,12232,3053,1476,861,7758,12128,284,328,3120,953,515,1531,47,0,497,9768,12517,4357,1857,3609,6532,1307,2515,4513,24,406,312576,34654,19,1282,739,31155,2193,6656,5782,16808,5419,2850,7,12999,2373,3048,54,250,61472,31040
"Jinju",2,4033,11542,446,40,1081,408204,65979,262206,24060,11,1181,715,0,28829,197139,96201,5740,1038,2,89,1,463,1989,497,79923,14490,6223,557897,626,2226,777,6363,804,2468,308382,2659,2595,64,1,5008,64212,249589,6,5,4589,764491,1419297,147,146868,2737,347,1788,47,5338,11893,8211,1845,14,2365,135530,4085,2271,385048,0,288,25872,659,0,19259,6303,1185,16326,18,354,5279,2342737,240490,3624,23,265,153228,13945,2631,109528,4021,11190,691083,22,29981,1440,34,321,0,1555,3,164,602,1,3388,17413
"Milyang",36,10,15,0,0,0,401120,0,39,41,65,8,8,222760,30,1057741,70,0,0,7,0,8,0,5,1,0,0,23,168589,0,0,4,0,0,0,0,93,3,0,2,10,0,0,97783,945,0,0,1,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,2,1068810,0,0,6,0,0,0,4,20,23,0,9,2,0,14,0,0,239,37,0,0,0,21,0,284897,0,7,643052,3,1,4,5187,10,0,25,8,30
"Muan",2,17033,10085,106,36110,65402,1031,114,333,1514,39,38,336,3,3688,4147,8443,3149,21683,11,177,1,4936,350,338,432,151,352,1102,72895,358483,5,1919,625,188,74,253,9821,186889,0,488,7614,486,13,9,1179,168,810,275701,247,114,152,239,24656,106581,1480,445,9508,116,2505,3375,125,337,293,0,1739162,287,16,312466,1764,1437,276,5811,12,163,32323,210,114,258,20580,30009,368071,76260,1177,1739,81,11252,457,29,3055,756,0,201,0,440,25,106,91897,2,965,11396
