"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Sunchang",0,16,68,0,0,2047,166,986,49,0,2,8,257,28176,1137,39862,0,0,9,0,2,20,6,7485,263,0,3227,0,0,0,231,0,4753,4,6,0,0,53,239305,199,0,0,4,87,2632,0,5777,880,6,9,0,9,0,10110,0,0,0,298,22,3074,0,551,1,98788,5,30,34,0,3,9,1215,4002,4,0,0,659,52,4868,930,37,0,0,39,0,5,0,16,0,8,0,0,48,63
"Suncheon",1,514,2067,0,0,158090,13368,59288,2352,1,9,196,6711,108769,17908,99319,34,0,76,0,86,419,250,5104,2222,15,180932,0,1,1,279763,10,1101,25,272,0,0,1600,2177206,971111,1,0,192,97373,142080,0,2905,777,73,148,1,566,18,1377,1,6,0,15654,506,126276,0,4263,0,944,71,419,2997,1,130,548,139001,10142,4,0,10,26553,2137,1180,1286747,1407,2,0,480,1,202,1,311,0,55,0,0,1170,3156
"Suwon",25072,909619,576853,30792,6249,29368,94,1985,480372,7267,96859,27964,297957,128887,273947,14,80642,20290,38569,1166,262066,225770,102923,2560,15125,21292,4808,4406,4010,23615,12,54790,202,62104,935874,17866,840,16798,66971,4116,19623,8584,5676,2985,11706,2135,7376,394,74281,28644,35446,287177,34470,5596,5811,71244,15257,43906,36891,12469,16326,10753,22300,3207,26227,18790,523903,15647,99283,179531,14316,6219,55470,9805,56916,5033477,2233652,58,1747,4170783,26385,5257,273479,8058,71008,1518,219123,7064,9244,2695,37793,558127,3986462
"Ulsan",40782,27203,22279,698,0,2209536,1,0,90709,91479,26074,10506,69324,1038186,154083,233,3745,27610,207,9140,2095,12741,1930,0,3499,30780,1,1191,0,18963,0,386,3,201726,10307,937,5289,20384,42,3,1135601,218120,3521,1,135,1,229,0,4898,6938,858,21631,22076,553,14,14717,2044,22440,5864,403,2,9363,8764,7,10456,11622,34572,1149,4820,23558,3,482,33088,516,3667,298336,65055,208,5,35200,3004756,1581,20072,2786298,2140,4526,6673,228668,17974,0,39747,21168,50513
"Wanju",89,1554,8223,0,0,205,2,23,12946,573,24,831,26013,5453,109409,1,51,29,404,31,249,2034,798,18,1981,2094,95,18449,0,11,0,4808,7,2832,1049,1,18,3341,262036,2,1100,406,6912,1,105,0,22,1,410,528,1,2375,52937,22,25920,136,382666,36894,2181,52,0,5145,16,1,28306,3580,6011,1178,582,2485,52,24,392,0,13,73202,5732,1,0,4448,1224,445,1800,41,547,1,1053,532,1958,0,28,3356,10988
"Wonju",52485,74104,73822,3287,204,15979,1,4,13937,16369,11582,577741,76696,116642,77233,9,6462,92738,114918,14256,11523,44796,404107,47,2292,1903,11,653,95,3940,3,985,0,4700,65360,501,7295,166466,15058,1152,12809,4327,3850,251,24,71,497,0,514176,204221,2482,20987,10240,1328,1486,796156,5190,10378,15397,996,792,2545,1930,445,5783,3466,25599,6881,356473,5069,801,461,5791,632,5492,1463128,228539,42,384,250321,16173,1674,838923,4572,133544,11340,132690,3085,859,75,98465,184751,330525
"Yangsan",9998,10774,6114,1326,0,4933891,0,0,20207,26661,7752,2620,18349,212388,31687,469,1315,3223,86,2401,2224,3610,848,0,1275,8791,6,219,0,4890,0,39,8,49729,7200,1889,1286,8499,27,1,978528,74186,885,1,273,0,403,0,2754,2145,1354,5894,747,948,0,3516,22,1073,1207,812,0,2928,3211,0,1683,3645,6887,615,2263,4674,2,972,10461,1041,1980,86106,24128,422,1,9713,2886630,473,6630,4082211,824,1044,1970,93301,5453,0,7523,6004,17027
"Yangyang",3979,15569,12836,912,78,1992,0,1,4536,3009,4167,10866,17244,24604,19584,1,1308,3406,205304,448,2588,6928,129040,13,453,449,2,161,24,1430,1,253,0,1005,13944,203,438,25829,5366,248,678,478,458,83,7,23,125,0,65309,3673,532,4168,2568,338,433,14204,1251,3046,2690,247,292,824,488,122,1235,783,4929,212,184374,1207,211,133,1206,192,1394,312437,64560,4,189,59072,1438,473,169010,523,771,1327,32245,319,149,28,4874,26322,60034
"Yechun",30072,471,60,3,0,2213,0,0,23,9971,4,4106,9,59395,90,0,11,22715,436,2712,131,26,2182,0,0,18,0,0,0,2,0,1,0,70,280,0,4099,555,2,0,1998,1294,1,0,0,0,0,0,2211,2198,4,102,11,0,0,13863,2,8,1,0,0,5,0,0,5,2,89,1174,1001,19,0,0,7,0,16,8411,1516,0,0,1049,3578,0,10672,739,1260,251,455,820,3,0,38403,443,931
"Yeoju",4728,49583,33374,1364,137,5041,1,21,6480,3003,38862,13898,42218,39639,38083,4,2731,3668,9624,287,9155,41254,30852,57,1858,2817,55,371,48,9270,1,606,3,11384,45883,258,256,138835,10312,673,3533,1793,965,220,122,35,494,6,25595,8755,1117,14357,5705,1008,837,18544,3245,5999,10443,1097,389,1333,6560,324,2653,1933,14916,3435,21142,2619,1094,502,15210,291,2551,1084424,137384,13,329,220924,5332,1093,93557,2083,14146,434,1173,1871,773,51,5911,148929,249581
"Yeongchun",9625,16068,6591,36,0,140250,1,0,33852,124959,9718,2133,20550,2435254,48151,6,2283,2957,40,2925,740,5064,446,0,935,20376,0,310,0,6073,0,75,0,138162,2256,28,1957,5719,63,0,104887,110263,1042,0,4,0,8,0,806,1241,56,9454,6299,41,50,3796,909,6141,3038,14,0,3040,3283,3,3584,5177,6625,240316,610,8301,2,13,17357,15,782,81066,29564,8,0,8051,213050,577,4005,89697,428,959,2586,77582,6909,0,7082,5002,10886
"Yeongdong",233,3559,10805,14,0,11626,1,4,29182,10045,677,436,85924,127087,380032,6,547,36,105,158,575,2154,300,14,3917,94774,6,763,0,399,3,148,1,67303,1933,3,75,4102,5827,186,13856,5872,4613,86,31,0,104,1,151,194,32,4393,9748,307,653,62,4647,10366,3541,233,1,56496,283,102,12666,69449,9686,11041,119,6508,302,88,2575,3,524,79914,13107,8,114,8119,17591,1790,792,5833,191,7,534,6836,52133,0,87,2480,12747
"Yeonggwang",0,3655,1131,8816,32298,0,0,0,72,0,4,57,11,0,3,0,3746,4,16,0,449,8,37,0,0,0,0,21825,70611,1,0,0,0,1,1182,51615,0,27,1,0,0,0,0,0,0,17458,0,0,15,31,6785,21517,0,0,0,18,0,0,0,1,83782,0,1,0,0,0,705,1,15,6674,1,1,1,4751,6208,81237,14695,0,0,2200,3,0,92,0,36,0,48,0,0,55,3,143,2444
"Yeongju",186048,14254,1668,143,7,18456,0,0,778,104182,79,22965,530,479769,1165,0,499,252535,1017,22697,1873,663,9653,1,49,214,0,15,0,26,0,31,0,563,13137,6,26098,16917,13,0,17560,13208,22,1,0,0,1,0,13789,12243,160,2961,160,3,8,238681,42,196,240,1,7,72,12,0,70,46,2163,10379,5746,411,0,2,16,11,463,236305,37844,0,0,35772,38470,27,116783,7201,4835,31923,11204,6268,68,2,15516,11945,28839
"Yicheon",8023,118537,151849,3325,246,13199,6,251,20965,6134,61252,18370,243770,81820,127616,9,5904,6879,18289,426,33656,174694,57229,438,5229,5310,655,1523,126,13684,3,1652,25,28691,108879,616,421,428368,32847,1937,9111,4522,4069,751,1478,99,2025,52,41638,10738,3200,36255,20416,4176,3239,32727,11531,27644,41380,4577,1056,4500,12007,1245,9934,6561,40357,6680,40025,7492,3997,1863,29502,850,5680,3305616,315729,43,1128,497274,12956,3429,182658,5980,27686,552,119898,3336,2815,128,12196,137568,578412
"Yongin",22618,854020,1172280,38349,6667,60525,171,4149,1161651,10549,97329,46272,455169,217317,514802,29,92132,19054,45198,1079,246160,222659,117813,3763,22469,32044,11392,6791,3829,23149,15,99505,325,100051,930900,20540,736,61391,137519,7282,28623,12292,11798,4250,22697,2030,10322,476,80700,38415,39328,238526,72160,8218,11881,74544,31797,90286,33869,21350,19647,17697,22372,4531,47271,25333,900274,21903,106408,386279,22425,10386,53481,13298,70914,16845028,2038717,79,3031,3650913,44709,11170,358191,15643,75763,1272,249309,9310,13202,2882,33944,600680,3206906
