"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Jincheon",15165,5281,0,502,194438,14517,75965,32492,3377,431,2386,41109,7677,2999,900,5046,5261,957,1803,5673,0,4797,5982,302,244518,56023,2825,7402,989,3020,257,1568,16746,6270
"Nonsan",11907,10192,15200,1061,49888,28363,586446,3671,7938,15708,5173,9970,119575,7104,2143,3271,69025,16768,54746,136977,4912,0,10795,14002,201769,66051,5111,4346,1963,1437,839,2495,6624,2529
"Okchun",16159,24260,46395,3811,177678,92639,516277,5105,45962,1231,25205,8576,7713,17652,5649,1903,10976,521,4064,7424,6219,10908,88101,18693,171553,72402,10963,2782,5399,1178,1895,82568,3920,2798
"Osan",119929,61677,354326,4259,217294,142072,221059,1976,40721,7226,33002,2297,111416,45393,10703,14277,57367,8381,24923,74292,413,22677,23397,0,2660796,620322,23344,18473,14573,6755,3283,10268,21277,46082
"Seoul",2475998,477853,3179490,23785,1870108,1052353,2352601,1078205,291858,77386,156364,4534232,1048225,226925,40091,919926,535421,67228,322853,700695,255681,204223,158707,2584568,1495,9280146,135860,1273585,42153,328434,19650,103730,997976,2545759
"Suwon",788166,223314,1241541,14062,689955,485526,777347,242897,131517,26954,97461,20783,337345,131452,27311,314604,179013,26281,93638,215723,57691,73300,68463,621977,8898959,1268992,76817,495536,35041,165714,9051,39594,634755,1467681
"Ulsan",11289,1928745,27430,30648,33815,701498,91869,2903,22963,214,105017,6503,39,406937,99067,106,8340,14,1024,7209,3046,5170,12149,30842,177426,97135,3001430,4212,1030959,1355,126026,11541,5329,4204
"Wonju",34820,8867,9627,230,36195,18834,49613,5028,2551,493,1760,121779,11541,7697,518,485596,9414,383,2109,7787,7008,3832,2044,15531,1233557,468783,3165,88934,899,168753,187,501,161407,78131
"Yangsan",6193,2368618,10642,11054,11648,150241,32271,1374,11333,76,26290,3756,4,519767,34126,442,1327,1,45,973,950,1454,6583,11903,76006,37965,1031129,1731,0,535,75452,5164,1757,2530
"Yeoju",6989,3980,3450,178,11459,8787,17117,1822,1855,365,975,13052,5419,1327,267,61298,2672,326,1068,3466,2731,1387,1026,5311,280978,151149,1129,162931,652,0,145,362,31773,28470
"Yeongchun",1455,243395,2881,14628,3453,556503,11581,261,6231,55,24969,880,15,121929,67516,42,851,4,200,319,234,708,2339,1916,23251,8529,124073,402,71164,155,0,1917,536,394
"Yeongdong",5557,26676,12530,6034,39127,102960,144069,2321,60450,272,37252,3599,1723,17280,5340,753,2084,156,722,1517,1537,2432,80991,7980,101374,36111,10969,886,5156,359,1997,20613,1846,1075
"Yicheon",38280,14643,10203,938,71163,30319,61647,21546,8256,1157,6525,68361,20811,7916,1335,100867,13140,1253,4644,14281,16395,7649,3557,19901,931853,623798,4610,205564,1818,40308,403,1816,35737,86310
"Yongin",45165,10224,67482,538,60634,25933,51986,29286,5765,1182,5849,9366,14206,11925,1329,52876,9393,1210,3117,10730,7700,3234,3147,41950,2581286,1386908,3638,99032,1631,39824,421,1333,104998,125268
