"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Hoengsung",12481,19681,17824,531,43,3080,0,1,4284,3999,4772,350286,13184,29283,15035,1,2098,9568,1831,3256,8631,319195,9,505,118,0,141,28,0,0,27,17824,123,2155,29108,3717,109,2859,841,266,67,17,17,64,1,146393,45917,507,4539,1816,293,330,54192,1637,2190,2309,198,178,276,75,1195,434,5665,273370,1852,123,73,0,127,1306,335774,65213,4,71,68143,4778,299,567716,1152,90946,3132,48923,776,148,27,12975,40642,57432
"Hongcheon",13096,9817,10696,628,70,4804,0,1,2970,6195,4617,1222205,13339,40299,18226,1,1292,9180,1603,1224,5477,14342,9,607,141,4,235,29,0,0,56,5391,207,2439,1438,3955,148,3641,1067,816,57,10,19,135,0,39368,1365,423,2572,2913,343,473,38777,1406,3069,2128,1317,243,271,100,1291,704,4440,7447,1377,167,275,1,144,1236,17993,19435,4,136,25683,4846,468,202761,1353,4873,4084,16913,1296,220,32,12462,8762,25848
"Hongsung",76,31630,16264,159858,30612,113,0,10,1324,35,196,766,1373,468,798,0,65173,109,6,5839,72,1353,8,31,96,26,9391,17852,0,4,163,16083,139607,1,572,11,3,98,14,4,1,50,4342,10,2,494,484,2919,169769,5,4,0,526,1,6,6,42,24526,33,2,1,48,7071,603,82369,38,14,8,61941,98966,625268,142488,1520,0,30504,118,0,2267,16,914,11,1036,48,50,5805,215,3182,27347
"Hwaseong",2301,325785,172230,183524,71383,22447,121,2248,133047,4114,6517,2238,92002,38867,104813,0,683877,1547,172,27955,9417,10883,663,6341,13698,6060,24344,42393,3,138,16823,48959,208270,104,3245,17876,1274,13410,3321,1104,954,10450,16630,2344,112,4579,2762,170164,1053774,9462,1586,1525,8463,4157,11527,2424,5534,99048,3562,830,948,9263,10535,5153,448370,5341,4014,212,70094,368674,3639672,1460538,3936,607,239083,15048,1302,19027,5509,6796,366,12239,5425,4333,22867,3047,38775,204979
"Iksan",403,10928,48028,10,0,3467,81,551,52310,4978,81,3689,161472,34213,701201,0,196,171,157,1607,14483,6680,149,6925,14168,1724,57724,0,1,120,22135,6269,9,44,23560,233059,41,19950,4648,35002,58,1806,0,350,38,2228,3416,9,9910,15467,165,39265,1113,160508,55558,18507,1370,0,11287,29,193891,18203,39148,2591,12183,1026,407,1220,0,58,489385,36201,0,19,28613,14820,51097,12552,566,4327,11,5218,8494,12238,0,189,18571,72509
"Jangsu",5,2000,5712,0,1,72087,3002,22071,6024,21,7,373,18760,67175,84788,9033,45,6,1,266,1886,511,11825,23586,167,62269,8,0,148,13073,271,967,0,0,4205,59063,2004,52,10,865,2256,59133,0,87126,3151,496,292,2,1056,187,1580,10,59,24,1365,1690,50359,0,99444,239749,504,1538,4450,356,1461,45278,55397,31,0,19,75263,6261,10943,1517,4406,26,18,1077,5,363,0,619,26,305,0,2,2100,8075
"Jangsung",2,2096,7860,0,0,7,0,1,8476,51,16,731,17854,185,52189,0,28,11,1,299,1803,1155,0,801,527,2,58369,0,1,0,799,1113,1,1,3909,1199266,0,35,13,3321,0,3,0,4,0,327,615,0,1670,33182,3,61289,131,164415,80191,2192,1,1,210,1,22301,1960,6820,463,1986,1,2,87,0,8,92078,7031,0,1,5030,35,27638,1865,0,607,2,901,35,794,0,5,2660,12158
"Jecheon",63618,40481,6984,695,38,11069,1,2,2609,17864,757,96064,3284,108619,6703,0,2802,82650,5961,5595,4265,28246,1,178,117,0,69,15,0,0,140,26497,216,7185,66526,1342,21,10981,3597,173,8,8,15,8,0,51839,45925,538,7598,1041,35,2015,50465,649,1735,1392,17,191,86,6,448,199,9477,11130,2357,9,8,3,212,1722,607076,128295,1,6,88037,16236,178,753243,3598,18068,16180,48604,3258,79,10,144536,47628,84476
"Jeongeup",124,4585,21676,2,1,143,4,12,22491,1442,41,2128,70223,6541,235568,1,77,59,41,681,6399,3817,18,4544,6281,26,420244,1,0,11,6952,2655,0,17,10746,1126570,1,1441,558,10881,0,32,0,40,6,1242,1611,2,4035,159321,38,168396,681,95244,447134,7151,39,1,2270,2,66394,9418,16352,1662,4954,24,39,514,0,23,239158,15334,0,3,12026,946,352859,5602,31,2012,2,2839,1286,6899,0,65,8981,30297
"Jeongju",471,15681,56164,14,1,86688,17063,61593,70972,4621,126,4869,158988,53661,738208,413,288,195,128,2220,12260,9217,5035,8545,11953,107427,83315,1,1055,196,17918,8758,7,39,22923,905567,22363,8969,3439,28874,37347,353931,0,8680,137,2698,3324,19,13105,78213,4617,80761,1257,457511,20536,14075,103253,2,5940,3948,154137,17658,52184,3159,15915,50503,23188,1410,0,95,665402,52730,261,12259,39400,10493,31900,11472,394,5055,11,5251,8060,10565,0,196,24580,97538
