"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Nonsan",176,9725,44585,7,0,4758,60,1215,86840,2270,71,2295,80375,29931,735679,177,374,40,801,74,1499,5943,2332,427,14816,9657,2393,15609,0,11,115,68697,298,587,11652,6410,1,41,7471,249182,180,5558,4131,39978,186,4429,0,1235,87,1187,1640,12,16372,143246,489,27601,255,76836,158752,7676,2768,0,5373,65,109,37034,18133,37550,4793,997,17146,1303,1399,1481,0,99,380297,36001,6,956,27063,1819,8311,27928,5679,3167,1159,4,2302,3545,11712,0,87,8617,63507
"Okchun",185,6687,29520,22,1,7079,3,227,72555,5535,79,1086,349051,56921,1441722,56,1310,42,619,95,1010,8119,2369,407,10787,30824,265,2231,0,90,14,357,20,653,21425,4522,0,56,13556,19545,1730,12411,4321,17641,777,1072,0,1680,56,666,886,259,13360,19133,2914,2275,154,10815,18917,12865,3048,1,7013,125,1249,21588,74615,23183,7660,563,17722,2080,1437,1353,4,1116,183391,26811,76,911,15634,4575,13080,3925,3671,8797,722,1,2087,5580,74755,0,56,8694,25158
"Osan",1772,100645,698026,16255,1989,18983,55,1735,716047,7113,4880,4525,258386,77980,259640,69,46469,1401,3904,123,36634,7411,11113,1730,14342,20500,4145,3648,1258,963,52,84381,133,2158,47174,63109,8158,80,5428,84000,3372,17984,5051,3740,2230,16512,750,8435,284,5988,3753,13414,19790,43789,5573,7488,5253,19208,54945,918,14845,6097,8500,1034,1955,32226,20913,5971,7680,6638,152944,4669,5737,3639,5321,26982,3311426,315824,40,2210,373633,7320,29729,7175,25822,15938,6187,98,12263,5825,9897,933,2725,35114,837546
"Pohang",10344,10416,7833,35,3,2443,0,0,31336,114911,14999,5738,26843,2182175,97263,1,3638,6263,23,4766,713,6972,217,1,1811,33188,0,527,0,9594,0,122,1,1,185554,3504,0,2899,10349,97,6,1352,22159,2090,2,0,0,8,0,1786,2614,126,6620,7262,48,48,5847,1883,9298,1851,1,1,210,5718,3,5465,7502,8731,244087,1668,5725,1,1,26546,0,1126,165227,25758,2,2,15733,1,1952,1139,7768,3321,231,1373,4049,281146,11712,1,10309,8871,21881
"Pyeongchang",5027,18585,15504,520,43,2557,0,0,4584,4704,3375,22004,17779,27780,21109,2,1125,3804,117730,455,7163,8284,912317,10,376,481,2,120,14,1377,0,249,0,16,1291,22500,98,633,43187,4478,292,1707,571,327,60,5,19,133,0,279659,9687,492,5080,2050,530,273,14998,1330,2585,3101,309,138,515,515,110,956,597,4996,1243,762578,908,89,109,1378,110,1370,570897,69225,7,86,83048,182,4161,571,421769,2555,142457,1075,46684,451,130,7,5744,44216,92645
"Pyeongtaek",347,276905,504828,98393,27136,17835,51,2048,364763,7718,670,1422,178003,71077,193261,40,675011,183,1250,50,31023,809,2412,1697,13560,19004,3923,10163,13047,133,23,61810,81,1984,29620,69216,108484,30,1372,43083,3826,20920,9555,3219,2163,15962,5741,5667,140,1093,937,76619,1238266,22403,3341,3774,968,9804,28398,95,7807,34202,5842,143,1388,20651,19270,119523,6673,1440,578391,4814,5897,622,42026,242475,3033444,1059131,16,955,133298,5150,27904,3640,4905,18580,1671,24,2111,7802,8612,6467,431,5705,335502
"Sacheon",1,2346,7213,3,0,255116,27565,118228,13778,2,5,316,17438,125166,66115,3139,653,2,61,0,311,1476,335,26547,9375,32,286601,20,0,4,6573,67,1602,28890,30,1185,0,0,3466,53839,168594,0,1,1647,352701,510449,0,34979,1810,118,149,24,4587,375,23550,83,8,109,51398,1616,1801544,0,11713,1,11961,1458,1083,5286,0,110,3444,547813,130541,7,0,326,76110,9392,722,81329,5468,104771,0,19,750,1,224,0,622,1,87,0,0,2108,10784
"Sancheong",1,2684,7912,4,1,56773,3931,29224,16449,3,6,231,15003,41327,50733,2213,233,2,67,0,292,1068,366,40609,13567,18,73405,14,0,4,374,72,6016,28778,23,1171,1,0,3351,10475,17322,2,2,1040,22800,99232,0,63424,3543,135,182,10,3713,266,55726,21,6,28,19010,2774,190913,0,14486,1,23239,1736,651,6183,2,175,3949,118719,80454,5,1,180,83435,7631,3148,9613,5041,55569,1,14,635,0,156,0,602,1,67,0,3,2359,10497
"Sangju",72,27067,1630,35,2,21396,0,2,2252,35647,109043,4027,1485,491005,28540,1,275,30,588,38,2674,45615,3005,0,597,24882,1,171,1,197278,1,44,0,3,417891,22310,0,45,54596,1055,11,25272,19139,857,10,0,0,11,0,1709,2238,98,4983,2084,54,169,79,1120,2494,109,9,1,97,134788,11,1919,1160,4523,27654,2025,454,3,12,139477,4,350,538942,75561,2,10,66823,18,33507,473,8640,22022,1879,9,15400,15682,2308,0,38,44728,67342
"Seocheon",6,12531,11308,293043,24448,5,0,1,477,2,32,209,177,16,41,0,28869,23,106,0,2030,37,240,0,2,1,2,15346,13013,4,1,4,0,1,4,5940,153342,0,120,1,0,4,2,0,2,2,3376,0,0,186,147,71206,84568,1,0,1,100,1,0,6,1,18951,0,2,1,2,5,5875,2,111,43042,0,0,6,54737,61099,224152,62384,0,0,8859,0,4,0,553,2,171,0,206,0,1,3961,19,614,11394
"Seosan",296,48978,80811,243976,37504,1453,3,161,14495,480,581,1504,14277,8382,24307,0,155264,199,1093,22,12723,406,2063,68,868,1015,359,12358,18527,140,0,472,5,113,2020,23468,192186,9,734,53,17,1692,1035,189,44,1065,5231,136,14,956,956,103087,435063,28,33,3,958,8,60,17,473,26647,371,127,20,208,1085,22401,1228,1374,233145,267,186,400,56053,93382,1117023,294002,0,4,47750,430,3301,3,4424,1128,1302,16,1609,506,526,6431,447,3642,57721
"Seoul",199229,6305203,4304919,620178,192220,248122,372,10190,3936118,61332,667337,13909,2746267,1166543,2989654,993,1591937,118019,283145,7420,517223,1661751,683070,29265,155789,164288,19545,107332,133334,155747,767,634477,1492,31082,383325,1296594,595950,4982,6802248,1045677,60934,217744,56230,81715,38304,94227,62745,96685,3735,361483,20060,632501,4007919,532197,83262,97920,517850,263847,678396,319527,152647,394885,130640,159266,34718,349085,197162,3505451,173897,665729,3004375,72864,76131,520642,219984,1196831,61473,796001,774,31923,5073176,139411,308121,91458,1644796,196474,350376,9426,1015877,66214,86965,81478,256168,3572716,16661496
"Siheung",24275,3358876,412255,143798,60193,45022,87,2628,519192,13267,82617,9420,358034,192893,350015,85,669785,17872,44427,1068,526457,213485,99402,3549,24969,28958,4198,27485,35766,23552,67,101012,195,4528,61504,1570610,214418,706,7045,92037,7920,39795,16078,9665,4284,22412,17762,10466,387,58768,13733,138093,1598278,46792,7613,8174,80238,20620,59911,38436,20985,105048,15209,21458,3692,45664,31538,335506,24462,74040,1175460,11471,8354,83470,78063,348685,854005,596,50,2438,2036065,20929,62847,7598,235374,43562,65250,1627,113020,17237,15744,18940,39081,308827,1855924
