"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Nonsan",7635,6636,10459,433,36131,19210,423750,2223,7492,9518,2922,7393,76403,3908,1041,2029,48222,6446,31112,79808,1442,0,7180,26947,154204,20762,3852,3321,1676,1144,384,1867,3858,2135
"Okchun",8546,18288,24241,2937,101112,61153,318614,1990,34462,784,15368,5827,4636,9908,2949,1047,7052,288,2225,4312,2933,6694,66647,26267,99958,14993,7645,1517,2987,935,1164,59977,1951,2042
"Osan",196080,135019,555774,6637,332943,282837,341678,1933,73832,11502,51153,3863,199960,84166,12040,13698,123543,10174,39111,108695,457,32181,30020,0,1979123,79037,50044,19856,34345,9099,4573,16191,26281,50081
"Seoul",1798183,434545,2357816,15564,1481940,872071,1593707,819990,246888,58376,132615,3218157,854671,185505,25140,807733,458903,41016,244012,541425,233496,156580,95305,1986229,1898,3582780,126017,1139494,39043,410721,14204,85225,1217885,2468227
"Suwon",237392,86103,325452,3702,196847,158196,197421,79613,54011,6991,35767,13053,98538,36544,4828,127677,55354,5307,23743,60025,20259,20840,13734,97399,3392523,30856,34028,233812,9535,113232,2057,10492,357534,511936
"Ulsan",8800,1250720,21337,15148,24878,518104,63423,1659,12997,218,75897,5746,33,375586,60012,125,9847,7,954,5382,2219,4177,7421,65787,159258,39149,2212836,2988,1005389,1300,76446,7543,4441,5954
"Wonju",31063,5742,7866,195,29134,14479,34295,3443,1773,350,1225,95553,7419,3267,286,578074,7433,245,1500,6379,5006,3207,1371,16739,1158316,229868,2435,36809,760,134470,166,468,114514,46993
"Yangsan",5548,1300884,7443,6366,9427,115117,21222,603,7668,118,18193,2826,12,475251,25438,51,617,0,17,566,593,1182,3300,31047,66139,13395,951467,1154,0,414,56500,2984,1634,1654
"Yeoju",9094,3672,3401,108,11666,8971,13411,2098,1730,274,940,20732,4738,1193,268,32445,3023,222,913,3090,2524,1221,845,7786,387519,103720,1073,132086,334,0,123,382,31635,29295
"Yeongchun",1053,162553,2029,5616,2010,270598,5656,123,3065,27,12829,629,9,63714,36901,27,532,2,128,200,108,403,1541,3803,18096,2910,78039,258,55532,141,0,1732,307,269
"Yeongdong",3268,17070,7309,3503,20899,75798,92729,655,46451,159,26973,2798,821,10897,2294,664,1682,84,353,966,705,1809,56732,12820,78645,9828,7278,687,3128,311,1215,38982,974,935
"Yicheon",56804,14016,9249,497,51830,29009,39476,17036,8533,671,4342,86031,20190,6805,654,53171,14152,808,2880,10657,11969,4503,1900,23326,1142701,339776,4356,133810,2027,42142,294,1024,26554,69517
"Yongin",31194,9391,53019,412,43536,23577,37346,19119,5207,1072,5194,11156,13806,7349,594,32785,8900,910,3012,9018,7171,2844,2296,44738,2498361,482620,5191,64233,1823,37526,262,1254,86259,113987
