"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Jinju",2,5163,12335,2,0,450527,80336,249957,19109,0,429,29050,218622,114169,3501,9,2,0,615,1734,740,109058,18955,82,574573,26,1,6804,2033,52,2820,4,0,5248,73265,233846,4,1,4465,905870,1730846,0,199136,3999,518,1240,1,692,1159,34026,3,45,37,391458,2290,489162,1,25549,41909,3233,1897,14513,233,16,2159866,385565,5,0,5,145738,15274,2471,117947,8086,10,42,1429,6,398,0,952,1,196,0,2,3842,19504
"Muan",9,26619,86,45796,99380,5,0,0,23,3,520,17,9,14,0,19015,35,1,3247,16,1948,0,0,1,0,83117,287096,0,0,1,11559,211541,0,265,5,1,2,0,0,0,0,183838,0,0,321,312,32565,91541,1,0,1,249,3,0,2,1,3956571,1,0,0,1,152,655,33309,0,0,0,30028,32372,400505,97628,0,0,16188,0,1,1143,0,658,3,497,1,0,124093,23,1514,8509
"Muju",11,4161,10372,0,0,17490,764,4951,16629,67,500,29530,9614,476514,1301,6,18,5,546,1655,757,2403,92013,369,15329,372,1,60,1126,737,2556,0,2,4742,14522,9278,193,40,3669,5189,17645,0,21146,861,262,242,0,667,10165,95250,198,107,2175,4591,1876,27045,0,31899,10317,6767,2361,10783,567,17,18564,11776,49,0,2,114484,13468,1012,4557,8412,156,828,1100,16,507,1,512,138,233,0,10,2403,15177
"Namwon",0,1046,3171,0,0,64577,4638,18265,3317,0,147,5895,179716,26906,61006,0,4,0,171,418,195,50738,4239,36,63933,2,0,478,25974,25,686,0,0,1570,362208,4599,4,1,250,4494,55873,1,69655,12269,96,72,0,143,26,258757,0,24,1,5553,477,51054,0,8055,331512,124,580,2883,85,1,31979,31439,6,0,0,34539,3384,101134,1490,2723,1,0,374,2,114,0,232,2,80,0,4,1026,4602
"Nonsan",264,4280,15398,0,0,6831,208,1185,10689,4009,1730,88865,33250,795373,3,4,71,81,510,7429,3736,465,13319,12605,3901,23774,0,5,229,12856,1805,1,29,9608,278636,119,6441,3384,25378,220,5298,0,1556,106,874,1349,0,568,256601,591,34545,677,104438,207782,9908,3817,1,6626,150,2582,23943,10449,1122,9,2661,1278,803,0,1,138383,13153,4,77,7095,8954,36765,6118,1568,1828,8,2298,6306,13623,0,119,9457,17411
"Okchun",183,11553,30785,2,0,10523,18,263,59063,7209,872,343895,63515,1804301,25,16,48,99,1205,7138,2240,405,9776,40281,716,1574,0,5,37,28649,5392,1,51,10008,18867,1606,16790,5984,13532,1056,2063,0,1766,59,540,599,2,1157,20333,3126,2175,298,9828,15444,12507,5196,0,4032,1546,25477,103173,25644,574,54,4548,1445,940,0,8,156068,26631,50,1179,14683,12975,2815,4061,4410,1004,4,1466,9193,99226,0,72,5247,27999
"Osan",2538,80710,498122,326,42,51503,245,3966,726177,10987,4743,301707,104987,297319,17,1081,2146,220,30596,3246,18187,1896,17442,39299,13294,2304,27,9,260,53763,48211,262,90,7646,67423,2788,31933,11811,3579,2425,24152,20,8037,236,6890,4959,235,6962,32580,6747,5625,9620,11373,35600,1013,15151,157,9126,2906,10785,26165,4865,8539,935,9485,5860,629,75,498,3106131,253864,62,2487,336707,39632,3680,36915,14309,12768,369,18262,11569,12638,14,3957,60701,718428
"Pyeongchang",4058,18032,15687,494,60,2114,0,1,4070,3295,23040,16022,20905,20091,1,1219,3404,568,3019,1798,798329,15,368,134,3,166,29,1,1,37,13107,180,966,28704,4819,134,1321,449,256,35,11,14,125,0,270841,11471,455,4237,2454,241,340,11564,1204,2198,2377,265,233,472,84,1071,621,5531,651734,343,126,84,8,117,1750,465953,62358,5,82,59162,1884,424,387321,543,189581,1718,42260,434,145,34,4384,49212,70519
"Pyeongtaek",210,286978,1236,83127,30048,142,0,12,575,25,531,541,354,727,0,377155,104,6,27326,171,1940,7,42,71,35,8661,15334,0,0,102,121861,86014,2,748,14,16,107,23,5,8,138,5350,28,0,447,444,58422,741282,6,3,2,709,4,15,40,48,34422,26,1,11,94,880,572,2777,33,37,1,22329,178658,1936244,918230,1,4,68387,132,0,4100,62,907,17,1287,32,21,7551,456,6468,28628
"Sacheon",2,5146,13145,1,0,212676,23874,88796,19135,3,197,29332,91374,137806,4063,10,4,0,537,1869,461,41206,18258,65,221494,10,0,9631,1778,34,2382,0,1,5497,90097,229032,5,1,2546,510922,475793,0,46728,3175,140,146,4,734,970,34875,1,31,34,93822,2194,1851554,1,21150,27861,2931,1983,10237,133,20,580716,160064,9,1,3,133542,23781,887,139148,8402,2,39,819,1,328,0,869,1,140,1,0,2599,17605
