"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Gumi",15802,199084,36698,141816,48885,3251167,122905,3367,218715,783,10955,9356,1774,160503,125610,1506,14034,127,2755,7151,3437,6471,35459,28808,203489,120258,117707,2790,27238,924,30696,49136,7859,7089
"Gwangjoo",165499,24936,4925,1933,199590,60108,107312,178630,18404,3997,9776,178555,46411,10862,4000,62237,25768,3640,12888,28950,56582,10830,9881,3821,4799700,43498,7078,137145,4318,19128,1117,4582,74109,14061
"Gwangju",47566,64,75122,43,123975,2119,362573,7179,1552,334983,2310,41310,0,2447,285,11585,153980,1087439,616014,604903,8767,129079,14701,81247,1195108,387551,159,13682,17,6795,369,964,18818,14877
"Gyeongju",24279,1494706,62713,70196,47243,2353311,132339,3646,42679,427,153508,12111,624,92583,282564,269,11639,22,1664,4882,3569,6371,25757,42557,309825,158725,484324,7178,529474,1539,177019,20565,7176,13707
"Gyeongsan",11633,153197,19325,119619,14854,2647742,40515,2088,23441,187,136488,4117,64,301419,0,183,3716,10,558,1447,1817,3058,9814,16294,84046,76542,143313,1092,40098,532,92109,8708,2293,2079
"Hoengsung",28595,1432,11330,135,29687,5487,44233,3620,1719,721,1229,58793,11567,373,157,0,7634,451,2738,6626,5634,3353,1840,12554,869176,321387,433,508290,557,72892,28,652,95084,48154
"Iksan",34348,8617,43292,1243,117671,28184,559015,7758,9074,28997,15627,25646,168137,11698,3237,8098,10085,20182,101753,32981,6305,81784,12476,47360,615693,219029,10978,10847,1641,2955,1151,2274,13125,11073
"Jangsung",5072,4,7265,9,12422,23,44100,684,98,56365,90,4566,930752,17,9,547,20043,48101,116495,61997,770,21219,1039,7904,104974,39298,12,747,0,544,3,95,1550,1398
"Jeongeup",14689,389,20101,129,33849,3957,141711,2141,2754,449803,3491,14062,590211,2092,688,2623,100336,107943,62214,380548,1968,57771,3330,21125,375416,150676,1174,2793,47,997,120,492,5092,3373
"Jeongju",39229,5233,55888,560,419924,8428,484436,7238,4477,36509,10207,30326,581497,4130,1430,7309,45523,55757,356017,0,6483,146236,7391,69374,810114,273075,5813,8975,604,3929,445,1525,14208,12670
"Jincheon",19896,7315,13,868,286648,18066,90600,46603,4450,608,3704,54103,10383,3527,1777,6237,6833,1444,2191,6972,0,4776,8126,324,265546,71230,3611,8021,2155,4265,533,2089,18088,8749
"Nonsan",15146,10129,18975,1252,60571,30166,678916,5120,8600,18445,6886,11300,144921,7753,3321,3506,84700,22118,62411,155173,4797,0,14616,15617,217039,85659,6487,4258,2265,1532,1243,3048,6897,3480
"Okchun",23643,29078,65163,6020,217942,112059,666741,6945,58335,1511,34260,12341,9554,21538,8440,2281,13826,839,4730,8859,8270,14763,126759,25018,228250,106923,15092,3276,6102,1069,3110,99017,5429,4380
"Osan",166826,61488,422854,5064,257978,142615,226428,1955,45314,7937,37610,2742,121629,42843,14548,16042,64944,10126,28749,78771,404,23999,28534,0,2785812,822512,30553,19254,12898,7403,3770,12069,27750,65912
"Seoul",3109468,479516,3719083,32267,1656632,1089630,2228549,1123245,307960,83386,186010,5185304,1112855,233486,57457,943806,590458,88497,347454,760653,270868,217444,194541,2777185,5957,8846905,150149,1295582,43304,310665,65861,108286,1066629,3037899
"Suwon",1246683,259338,1106372,20429,900586,569260,879926,304083,167484,35619,168079,34916,435771,141005,46577,387515,236626,38748,124196,274516,71338,90486,93245,852975,8443352,1365151,103539,598370,38863,187745,13162,53810,853944,1990593
"Ulsan",15749,2294627,35651,44285,38750,830447,96411,3670,27326,378,132113,7891,44,503843,146243,326,13191,15,1170,7717,3183,6401,18411,37479,199693,134557,2321074,4576,1067604,1378,165767,15530,7223,6153
"Wonju",39639,8702,11534,387,38879,19537,49084,6435,2744,548,2107,143610,12338,9366,588,539571,10876,680,2527,8551,7243,4320,2577,20140,1293381,590745,3521,148266,998,188627,291,595,180593,89304
"Yangsan",6764,2699790,12166,11548,12274,155010,27449,1589,10988,63,28905,4144,4,510352,37961,495,1841,1,53,969,1251,1481,7449,9790,67763,41972,1047709,1578,0,486,79071,6137,2197,3490
"Yeoju",8061,3964,3976,269,14350,9312,15625,2336,1883,369,1220,17957,5895,1410,405,81311,3038,464,1102,3552,3286,1552,1302,5881,284911,185097,1353,182727,989,0,205,522,34104,33171
"Yeongchun",1936,264519,4066,22377,4439,743403,15940,407,7537,90,32313,1249,20,152276,89524,52,1030,5,234,411,326,950,4260,2584,27882,12414,166757,446,77200,188,0,2790,692,538
"Yeongdong",8129,31282,16353,9192,51224,124223,179881,2679,76458,376,52428,4482,1937,20295,8148,863,2713,310,1032,1703,2324,2723,99025,9626,112066,49729,15719,975,6084,428,3440,24528,2161,1626
"Yicheon",42069,15946,13949,1028,97612,34375,91068,25027,8708,1472,8778,86127,23537,8321,2334,113159,14764,1804,5810,16346,18333,7518,4542,26622,950680,835959,5989,215963,1967,38708,569,2045,40190,123327
"Yongin",73007,12002,99469,961,77193,30066,58490,34805,7562,1515,8183,11909,18580,12382,1680,62887,12549,1948,4411,13321,9625,3976,4627,58745,3085867,1896421,4571,105790,1899,40067,538,1489,122192,133161
