"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Changwon",8040,4948,4869,1479,22,0,1374,1835559,16,199390,3293051,17297,16286,4147,1578,30,13167,92,204271,26938,5079,3292,2266,26,2154,572,3019,3,589,12,22000,3262,15669,4034319,1223,2377,4689,3,4479,942,14665,2897,25343,2320,34,1212,1686,4622,65287,172857,3374,1272,378,82836,795057,21,18274,8060,574,1064,21,8490,11320,787,0,2827,2864,2840,3719,85072,2894,2055,332920,89,19,5351,2902,0,8340,8,3573,1561,5834,1983,748,7057,179010,49951,8375,2785,8,5865,59717,11656,991,31172,14080,6692,4253,10464,29254,2777,3412,15971,568,495,2950,3,1624,1531,1414,4810,2876,4015,7301
"Cheonan",122,204683,986723,64623,1507,1,18484,130566,32057,22362,13913,2252126,39062,24845,2205,4560,1071511,10854,276828,1623373,5272,4151,284,5183,19,23491,20063,5,8800,8,2392,55348,61221,37225,17887,13727,1114,5,867,390315,10301,5740,163666,50968,81153,40,15413,5093,212628,101145,97508,30153,11375,6032,86559,3429,16712,688,4012,2682,579,1291619,112663,32111,1,6767,23832,1242,40970,178255,6217,10239,28971,23507,52932,26441,590,66,11575,15,120925,56661,1096448,41426,6937,651303,17695,14143,106613,36543,20525,5102,3868085,644169,3068,30105,12927,328858,23494,109665,88224,14699,2294,55042,4666,1,10239,2,36940,16501,8474,242,2861,23048,871396
"Chilgok",471910,6541,10315,2261,265,0,19,101236,493,36716,10324,28754,70496,7220,9481,29533,26724,429,6073522,45275,844,3421,42616,526,158766,509,6655,1,4439,235,10307,810,47128,33516,367,157,7348,1,26,1879,53704,308,402445,4676,332,140657,342,5596,15416,14036,185956,357816,1009,2859,88586,7,2082,3929,3911,5763,20,11622,6921,55,0,490,1287,38022,785,7553,345,3416,8651,54617,21,102,5375,0,3441,121,3276,5076,9824,208463,4680,15913,6977,1046,36889,3210,627,5886,61597,13562,554,1738,1306,6573,2054,177207,1882,16485,2087,92829,2538,12606,4674,1,217682,8418,141,147295,5390,6298,8152
"Choongju",10,45088,329545,2233,11008,1,197,23700,557,6378,3255,13205,8339,115410,1916,820,165706,222,58798,158951,335,62226,214,1061,5,6692,164955,0,2850,5,547,3589,9450,10669,1462,155,41133,0,51,1682,3220,79,25088,31769,4800,9,579,85948,21040,5494,11654,8705,3605,322,16719,61,632,235,1325,1276,8198,78484,13108,1453,1,601,2187,290,7173,16132,325,89083,1633,4803,1325,1548,16754,0,707,10,6537,4579,59502,7535,1520,158715,926,510,78023,1192,1545,24997,777607,109443,204,1541,3850,136491,549,20880,8255,4955,55178,10644,1204,0,88832,0,5381,1265,210,51,5167,73838,118962
"Chuncheon",32687,679,15461,759,209,5,25,8701,44,1792,990,1439,9648,2176,1752390,723,31485,17,56661,41761,112,382,19431,15347,3030,189,16484,0,30717,157818,377,1060,1196,2359,327,29,1016,0,26,210,1414,93,2408,665,191,5225,234,566,6783,1998,8732,2238,1373,312,9864,14,377,125,778818,4306381,131,1454,2421,446,0,286,735,188321,1138,4500,133,5270,1486,4173,164,580,686,0,308,340881,2239,974,1188,6711,18054,1028,885,350,2754,301,58,319,2797270,1141,63,560,246,3959,903,13607,2184,863208,47917,8648,2644,3403,34678,0,2074,329,40,40339,97,28964,22756
"Chungdo",8,1,2,0,0,0,0,103448,0,0,37,8,46,2,1,4444,7,0,624258,13,0,1,8,0,1,0,2,0,2,0,4,0,2,22350,0,0,3,0,2,0,3,0,28,0,0,0,0,2,4,12,23730,109,0,4,9,0,0,0,0,2,0,3,0,0,0,0,0,4,0,1,0,1,6,490745,0,0,1,0,2,0,0,0,4,26,0,3,5,0,2,0,0,0,64,6,0,0,0,5,0,65025,1,4,1,164683,0,0,3,0,1376,0,0,5,2,0,5
"Chungju",111,130134,590674,669755,8730,5,1236,97597,5852,20716,9949,1068944,35914,183804,31235,4646,3554723,3820,281388,4566300,4102,22729,556,15035,22,13845,451963,2,36759,19,2545,132177,76186,35635,16161,808,2268,1,547,13155,10303,5560,179348,33237,16129,37,7210,261891,188697,60753,64843,21917,70468,5376,67497,442,23476,1252,17752,22201,1601,431318,142550,17363,1,10096,30351,1580,67894,173566,5624,829302,34766,21849,7807,44732,1457,3,8155,12,86279,297243,363774,46764,23276,335971,20274,16980,278263,16208,7962,16375,2619479,373312,1574,16827,15143,210112,28207,84648,82595,78355,17879,49646,17782,3,85176,1,23573,60419,1205,192,18734,349012,376343
"Chungyang",6,1853,3245,327,1037,0,2129,831,12906,218,122,9734,518,270,21,72,3564,46,6253,129596,67,4587,0,32,5,105,802,0,32,0,5,1542,1402,275,597,881,9,0,19,27988,136,7,2456,464,15523,3,17,40,3304,113,1160,332,342,3,389,266,32,7,18,19,48,6308,128,34,0,6,391,8,43,200,6,184,48,319,2399,702,13,8,10,0,213,1974,4232,1286,16,3161,33,36,1254,50974,9510,2315,32237,5989,4,68,175,1892,43,1840,98,98,20,539,18,0,61,0,384,506,535,0,7572,140,4273
"Daegu",1436806,86344,120556,36068,4035,2,1754,871777,6919,763457,139233,387107,6639834,95859,74729,445630,388713,7558,26857196,816177,15704,49095,125624,853,769735,8632,88761,8,23792,1882,520508,11738,887647,336533,5115,6321,118933,2,784,28029,2365804,4322,5389742,48352,3790,692765,2088,127489,215005,178899,1928535,4270054,19001,55666,1279414,76,60969,315025,25795,42608,519,191747,42300,1251,3,13785,9217,158892,12271,66627,11339,36585,155832,960540,359,5229,97048,1,69527,1072,38423,55146,146098,3119579,36404,139574,122911,25691,562874,75546,5567,61732,1694269,239636,10436,23749,272128,183091,34594,1385691,99525,122075,63936,807093,16099,51203,91304,4,3715494,105183,3306,507818,75254,95673,216641
"Daejeon",919,93570,430526,143022,46247,8,1880,157166,107841,30534,19264,1621030,50238,169644,41771,8900,4598705,128378,610417,11571652,10209,257087,545,16412,387,8653,169375,4,38920,11,6827,1434532,295177,59245,59968,2173,2427,5,1503,546548,15166,15145,296700,39878,56921,274,19846,151806,515164,143569,122551,40701,453209,14199,152858,1131,77405,2048,19078,28370,2823,461374,618398,54905,3,54136,66647,2084,211861,820777,22760,292362,103568,34590,18693,546368,2903,5,25803,21,756529,1386189,359248,115888,26602,271883,65915,46363,298208,1257302,101723,279750,2773878,373725,3916,42344,19743,183125,91132,150365,377055,84985,17427,88388,17562,12,73795,0,46433,379595,3593,140,819627,164164,420588
"Damyang",727,1985,2598,65,2877,48,10906,7078,806,667,3523,5913,714,405,128,53,4713,80,16456,12045,30615,1887,68,43,133,97,407,2,123,0,3240,184,445,11179,5311,18206,7,7,100434,3970,2020,742,982,429,11245,82,12007,868,1108395,24108,1316,724,606,4365,11750,222,3515,1885,157,79,1291,5467,2424,3054,3,6158,13531,21,10482,7718,47,814,5452,11,1132,548,25,0,43047,0,4903,192,2598,2283,106,2627,4446,1975,448,950,1112,2695,27708,5902,13870,124412,538,1223,3485,314,7610,431,78,49,57,26,959,8,962,27,7862,353,992,1276,2677
"Dangjin",70,278643,136989,975,109609,1,9467,25760,11584,3182,3606,5510,8085,50396,432,551,23745,4054,51989,274590,1838,583082,101,3503,19,80012,36776,3,3023,0,237,6071,10183,7416,5347,5093,1239,0,603,74761,981,944,15301,72352,76227,12,1752,1277,68327,11708,23872,8828,2352,635,16748,2073,1510,49,1390,661,73477,948427,12759,3675,0,295,10833,423,4589,20950,682,33528,3357,3851,22854,3042,1137,59,1121,4,22377,5042,19633,36478,1574,1284435,2876,1356,6723,90868,27863,228264,1590328,840778,368,4382,1980,76566,2303,26765,10003,5227,502,7879,901,1,4114,1,16407,2612,3107,169,182474,4960,17064
"Danyang",89389,6809,630,5,56,1,2,13668,2,3857,1797,250,46810,41,13946,1525,544,1,98001,750,71,119,37383,672,13943,958,437,0,4895,1267,1197,18,33,4437,9,6,14,0,5,20,4311,61,66,6852,17,36685,22,10193,949,22317,11827,4161,14,5153,19516,0,341,401,7871,8121,27,5052,67,4,0,44,15,262920,34,395,19,97,2360,7710,10,7,0,0,510,2278,38,16,2603,7370,2922,573,1340,197,4,12,9,77,118921,17946,49,588,491,23591,519,36979,61,113767,3923,14465,2203,12240,11525,0,2761,6,1,309205,35,8904,19206
"Donghae",390,16225,15020,214,649,0,22,102,47,28,19,3856,442,984,8146,7,13090,25,700,15920,38,4032,620,95068,42,2393,7480,0,1455538,847,16,309,169,20,441,12,446,0,9,294,30,6,331,16818,371,39,50,23882,2867,434,180,11,574,13,204,16,38,4,121857,1293,237,14532,2089,129,0,45,297,3803,860,2586,54,3053,63,27,178,149,263,0,73,2155,908,292,7636,132,163281,5974,44,30,382,144,147,1309,324512,51109,31,138,29,56224,22,260,1063,149499,6314,66,295422,103,23215,0,28,53,40,462,348,20794,55811
"Euisung",66346,179,20,3,4,0,5,8333,4,4037,1298,38,131241,5,1929,2861,44,8,701771,487,103,11,9742,46,94,30,10,0,502,123,1492,7,302,3556,11,28,2,0,13,13,6706,72,238,209,9,21789,31,338,2638,2580,6433,10132,14,389,12250,2,340,481,915,967,1,161,88,6,0,131,66,5637,54,255,74,1,1123,5382,10,8,10,0,693,188,26,34,36,4408,587,10,1030,226,29,21,9,32,5131,605,78,331,258,945,304,11457,379,7357,194,8575,282,2331,376,0,2151,72,33,20862,74,222,697
"Euiwang",1013,325243,25229,459,28519,0,1015,5981,368,346,355,28886,474,5646,98,116,13450,129,5023,10251,108,100557,822,2025,32,386,16236,0,3147,0,39,453,887,969,441,642,1403,0,14,4598,156,65,1901,141993,3623,18,154,669,3623,1012,1164,421,91,68,2160,241,253,6,2702,268,23905,92506,1116,315,0,128,397,3946,406,1746,64,8013,369,480,2749,334,818,16,125,3,1193,683,19226,759,3025,80408,265,188,3210,381,4314,62091,902683,679879,33,325,201,251171,362,1840,873,12996,148,1639,1279,32,12068,0,438,187,438,1860,24830,38483,177980
"Eumsung",257,120827,508797,5936,7400,1,174,20349,399,6616,2412,14784,8142,139962,17399,800,400124,159,53281,151918,511,43680,408,9447,8,18197,118067,1,20985,24,669,4256,7354,9261,2000,129,16686,1,62,1316,2225,480,17871,71471,1449,9,630,312772,20227,5940,11275,9821,5907,331,13947,71,1354,145,16226,13150,6049,190901,13618,2259,0,784,5286,1362,10065,11290,234,125690,3087,4356,1527,2268,9910,0,927,11,7978,5942,142885,7156,12649,224369,1384,1381,46282,1613,1042,18831,1954741,281644,126,1776,2818,309701,1603,19729,6516,60244,99000,12387,8038,11,192525,2,4126,1752,193,427,3886,251485,318719
"Gangjin",0,0,0,0,0,62171,0,4,0,1,0,0,0,2,0,0,2,0,2,5,0,0,0,0,0,0,0,151,0,0,0,0,0,3,0,7,0,4,6,2,0,0,0,0,14,0,0,1,57,8,1,0,0,1,5,3,0,0,1,0,0,6,0,0,22533,0,2,0,8,5,0,0,0,0,60,1,0,0,2,0,1,0,0,1,0,2,3,0,0,1,0,0,45,3,0,302488,0,0,1,0,9,1,0,1,0,0,1,528276,0,0,1,0,0,0,0
"Gangneung",5446,23671,30503,556,915,0,30,767,75,631,360,7599,4104,2988,17449,168,35085,20,20108,38836,118,2403,4561,1597877,625,3846,19578,0,279885,1477,258,786,744,385,333,30,1082,0,31,474,694,104,1379,29247,903,730,183,50436,8260,2405,230,440,1620,202,3843,49,345,67,332042,2666,408,22220,2791,466,0,165,1085,23419,1809,5468,136,6337,959,705,456,457,580,1,243,4079,1833,835,16946,43,1191067,7282,579,351,2166,242,150,1800,621842,83494,45,574,327,116224,453,616,2105,473404,12336,798,614676,1010,63801,0,114,199,51,8678,471,61431,122358
"Gapyeong",2,1,0,0,1,0,0,0,0,0,0,1,1,5,274895,0,0,0,6,3,0,0,0,3,0,0,3,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,7,0,1,1,0,0,0,0,0,0,0,69,75,0,2,1,0,0,0,0,21,0,1,0,0,0,0,1,0,0,0,0,250454,0,0,2,1,8,0,1,0,0,0,0,0,862118,5,0,0,0,4,0,0,0,43,47980,0,1,0,6,0,0,0,0,1,1,0,10
"Geochang",4379,417,1250,63,2,0,139,34385,0,33403,15976,2443,7591,583,349,728,2360,9,475084,7541,2756,266,831,15,1334,24,307,0,299,1,367355,1494,2260,46378,214,660,860,0,60,233,90235,4371,5919,171,2,1336,512,549,37025,9223,12089,12170,98,4988,64383,13,61221,81784,256,237,2,1750,2160,245,0,2884,909,955,673,5211,1281,259,50597,994,42,1323,409,0,22917,0,604,46,1784,14735,160,1029,17175,23316,1595,531,0,204,16172,1865,2367,2736,10893,844,9777,19654,6181,1023,185,1077,123,110,281,0,9942,41,411,1723,336,448,1366
"Geumsan",37,5541,19030,420,591,0,9,20770,674,727,2817,53021,950,3358,918,105,119922,1606,10409,1211070,182,5120,11,378,5,370,4141,0,744,0,1426,87652,2895,9951,1511,44,58,0,15,11903,549,3178,3993,1993,137,6,687,7130,8094,8381,1480,594,13513,2649,13619,19,17112,282,586,790,74,23110,7744,161,0,26583,934,34,4105,10248,3505,8057,17791,402,346,100345,42,0,2360,2,12285,2913,15876,1562,551,15202,9756,11799,2255,30995,891,4599,128911,23069,86,586,579,9079,12885,2651,4853,2160,490,470,299,0,2068,0,719,1502,79,10,17098,5002,14960
"Gimcheon",609,11844,20897,2287,886,0,31,63450,1522,30475,10401,57120,60222,9979,1467,5148,74229,1477,775033,289299,511,10155,33,233,241,970,6448,1,947,0,2732,2909,147608,32467,1361,73,13536,1,32,7680,64016,309,618540,2790,907,148,98,11421,14979,9691,39466,45109,3400,2568,73151,15,958,2371,482,891,66,31010,13696,127,0,180,1461,44,5244,17684,106,5555,5436,11087,490,137,7971,0,1705,3,10491,31804,23966,47249,655,22024,4865,643,49017,19174,1642,11636,165266,29430,255,1072,86106,14953,1952,51095,5445,1659,4398,20951,437,7,5161,1,32223,85167,150,110,15269,6927,24772
"Gimhae",7044,7840,8923,1942,58,9,4039,6694220,28,296931,4001409,27831,17782,7776,1597,31052,24005,235,534096,45349,14838,4587,2535,13,2806,721,7289,5,379,20,48988,9513,29333,9145451,2920,6439,7131,11,12098,1797,34587,6037,26684,2809,75,1349,4693,9013,181282,451847,111628,879,2840,211046,928298,43,44495,14826,670,1147,30,14522,28340,1661,6,8056,7392,2671,10477,148292,7917,2715,658685,182745,66,15884,3725,1,23222,10,8261,3390,11878,284,654,11747,377197,107637,14791,3974,23,4411,107502,19239,2436,77202,26435,11599,5516,306445,77673,2524,3969,773371,344,493,5013,13,6629,2923,4313,5170,4677,7590,13659
"Gimje",20,5734,8222,413,15303,2,22684,2083,4151,256,1497,17577,331,1418,328,25,14379,645,5018,54121,4463,5678,6,278,17,516,1711,0,321,0,261,1283,1528,3670,18490,53233,33,0,1732,11734,409,316,2174,1778,14970,6,90,2368,434755,962,839,346,3043,152,3179,10422,2161,139,233,307,4344,19305,59186,221,0,3654,70778,24,182429,106146,3217,2127,1199,24,57408,3326,19,207,228,0,18846,1042,7760,893,229,9670,727,1412,2474,4947,6800,7919,89979,19583,63,3536,124,3932,801,696,58673,882,190,20,203,0,1074,2,563,434,16729,2,2746,2500,8001
"Gochang",220,7983,5385,43,14921,12,120857,6087,4840,785,2414,14930,124,171,35,12,758,952,6163,2088,20176,8145,4,20,39,1066,121,8,63,0,1068,42,84,7151,63585,105566,7,0,13864,16355,741,432,139,3044,170504,22,2174,134,710896,7563,465,970,37,2083,7864,37106,950,640,38,22,6532,29291,451,1819,3,1162,84548,9,1077,1674,51,125,2896,7,303729,78,0,449,13852,0,194,23,6610,1224,38,13605,2276,627,116,4651,9210,9314,114184,28912,4320,32544,154,4018,2119,139,2135,137,34,34,16,1,123,3,351,14,89303,47,2567,258,6758
"Goesan",10,8597,14566,715,344,0,8,32003,17,6131,3457,586,8538,44640,899,1255,1786,10,82652,2140,19,1185,30,641,6,1462,18142,0,1081,3,966,54,15644,9972,27,9,29784,0,2,32,5683,77,39141,10100,76,11,16,18532,709,1571,18097,5938,33,640,23583,2,123,254,513,633,278,8268,174,19,0,30,51,55,143,523,9,2934,2447,5199,28,26,15564,0,127,1,71,82,5730,13055,628,10370,1792,90,125302,26,41,1003,190349,28111,7,156,6331,34567,684,29846,145,1649,16930,14381,539,0,19375,0,5830,1094,3,12,192,15765,25917
"Goheung",0,0,0,0,0,443,0,5,0,0,1,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,21,0,0,0,0,0,1,0,1,0,620,12,0,0,0,1,0,0,0,0,2,9,9,0,0,0,0,2,0,0,0,0,0,0,0,1,0,17,0,2,0,4,1,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,12,0,0,1007672,0,0,0,0,1,1,0,0,0,0,0,37,0,0,0,0,0,0,3
"Gokseong",47,607,385,10,1290,25,4497,9035,154,514,4034,974,41,52,27,3,616,17,758,1471,104700,520,4,5,8,17,76,5,26,0,89,24,34,11296,1721,9300,1,6,120059,631,51,668,93,112,3288,2,150,95,2043314,48722,32,44,72,4825,10461,295,82,28,16,15,469,1594,329,70,4,99,24018,4,10741,1917,6,68,4503,2,599,32,0,3,324,0,718,16,448,147,12,695,4854,220,59,137,422,977,6943,1885,309,298983,36,214,3288,113,890,59,9,102,6,0,32,8,87,6,5784,25,171,100,452
"Gongju",23,38190,116726,1362,10722,1,21112,8439,76197,1325,772,356451,2347,1876,438,306,13393,28102,21197,594486,2874,79375,28,333,9,3172,1767,4,579,1,200,14012,8913,2444,11673,13342,52,0,486,351579,876,569,11440,12924,105622,7,7634,898,113915,50345,4720,2901,3896,1966,4699,3525,1780,61,334,341,629,183729,56099,16009,2,864,14639,111,20240,87442,2980,1531,2888,1446,43321,4255,58,117,4851,1,111351,12526,155181,4211,417,93985,1617,1683,3578,227614,66465,68506,1029857,134276,1537,15055,786,69013,2373,8729,43966,1398,307,4090,346,0,1148,4,1706,3683,7471,6,300901,2813,156685
"Goryeong",20743,5084,4063,1239,39,0,169,32063,98,41857,12569,12048,49826,4599,1599,1471,11238,169,2290801,16899,1796,778,6398,41,6951,147,2671,0,711,14,92306,630,66103,38857,335,669,5358,0,52,1085,48014,118,51763,1196,11,7802,167,4127,24373,3944,26619,63341,211,1199,60956,8,9352,158347,526,1024,4,4670,4739,137,0,1971,1017,3232,908,4284,2194,2020,2749,1623,59,709,3760,0,8240,10,1016,1426,3104,50909,510,4878,2417,2625,20980,1442,60,941,37662,8883,1355,618,88825,4302,514,25007,9451,2562,2184,1379,410,839,2544,0,48078,2394,326,8480,1876,3531,4279
"Gosung",245,764,2777,44,6,1,276,4878,4,1453,3859,4695,332,105,114,1,4757,15,5212,14407,796,790,80,12,81,56,397,3,102,0,4435,2074,340,9136,187,327,109,0,665,592,201,382315,530,257,5,20,469,1269,10353,50059,49,207,231,30983,17473,7,8175,359,27,59,5,3799,2249,153,1,926,309,104,582,6142,814,566,289855,1,18,4230,45,0,2819,2,655,70,2295,585,39,2132,44206,33256,196,918,6,808,32324,3428,204,6876,190,1320,1649030,60,6582,206,57,48,63,11,413,0,243,12,207,134,738,483,2772
