"","Andong","Anseong","Busan","Changnyeong","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Damyang","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gokseong","Goryeong","Gumi","Gunwi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Haman","Hapcheon","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Namwon","Nonsan","Okchun","Osan","Seoul","Sunchang","Suncheon","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Euisung",64997,172,8681,0,288,106677,238,619943,908,0,1523,15,332,3233,5,0,0,455,13305,90,2,5908,6327,0,0,0,134,1,21,50,27,0,79,198,134,1800,0,0,958,6556,15,1477,6,765,106,37,46
"Eumsung",19,44853,7985,0,240,971,354637,20742,76122,0,18,75,5668,2074,1179,0,0,4693,14,166419,12428,3443,1617,0,0,10657,11136,2078,3922,7539,41114,0,6289,9049,2384,780205,0,0,346878,4726,19998,1161,9622,1071,1805,40984,51887
"Gimcheon",830,33629,44555,0,54157,27653,70236,500991,234452,0,255,5106,77572,12701,1297,0,0,347408,152,25304,1648,40241,28118,0,0,2513,10379,343,3205,5038,7288,0,11301,68384,34504,276565,0,0,153680,30056,5466,5710,2744,15511,96115,8413,13088
"Gimhae",15468,7439,346302,0,15213,14477,14917,138905,32263,0,3157,1850,13338,2113,45,0,0,27044,1010,5207,253,1027887,65839,0,0,550,607,20,16,136,1419,0,1474,6561,5809,68039,0,0,36642,2559964,1875,3070388,912,107533,7867,2661,7185
"Gimje",33,6987,180,0,7802,129,14897,1971,62989,0,8,1132,1180,20,11595,0,0,1052,1,5584,445429,766,298,0,0,1159,61578,68404,530423,52327,1507,0,24268,1719,7351,79446,0,0,38913,569,1604,30,518,240,479,2221,2990
"Gokseong",0,0,0,0,0,0,0,0,0,50427,0,0,0,0,0,110672,0,0,0,0,1577011,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,0,392,376762,0,0,0,0,0,0,0,0,0
"Goryeong",0,0,0,5961,0,0,0,1768057,0,0,0,0,0,0,0,0,103149,0,0,0,0,0,0,21179,335226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gumi",2059,25636,168758,0,47053,269898,59313,3417680,163839,0,414,4949,333699,26439,1187,0,0,50243,252,13732,2028,150011,130351,0,0,2150,14365,393,4317,6499,6294,0,9165,40002,33197,167695,0,0,127341,128234,4264,17787,1959,54382,66816,9375,14870
"Gunwi",43283,88,3235,0,168,47741,122,292371,516,0,7128,9,180,1126,0,0,0,272,1513,49,3,2610,3893,0,0,2,44,1,5,16,12,0,60,149,106,1024,0,0,501,2481,11,544,4,423,79,21,23
"Gwangjoo",75,272290,17556,0,7349,2536,255775,64223,135167,0,76,171694,19766,4054,4967,0,0,10927,38,215121,51607,9780,4873,0,0,129020,33686,6452,17142,30995,66178,0,14493,16971,7225,3993386,0,0,74627,8460,300778,3465,79958,3128,5933,181791,27655
"Gwangju",35,68046,48,0,88001,51,131010,5735,431579,972433,1,10157,1349,25,466399,1604641,0,1718,1,58195,5396,194,43,0,0,17091,220945,1231922,783690,632286,12155,703092,156685,8954,90612,1024977,262458,2935147,449781,64,24446,954,9059,53,1841,24022,30767
"Gyeongju",30993,21036,1260006,0,57223,101449,39877,2069663,115708,0,5992,3584,40546,984219,802,0,0,143836,2682,12344,81,152993,411986,0,0,669,13041,18,1211,3661,4287,0,6068,24436,23831,182146,0,0,108874,627519,5286,216948,1692,179929,21193,6049,10914
