"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Chilgok",364947,3878,7625,953,59,3,64295,23,16,17300,43941,6180,8672,21362,16172,5910455,32386,4,1244,28046,839,122008,360,3179,4150,18,1062,22123,9572,148,4,3528,4,102,31,0,290934,2005,71,105875,4655,197,18,147054,267295,854,5,53,1,9,5,3474,4637,34,4895,3416,10,40,23715,432,3959,4,1457,6,32443,12,33,3942,0,11,2400,2339,6465,160067,4826,8070,10,5,29492,56,2081,50236,7460,0,14,116,5355,9,144405,608,14759,76243,2308,13537,2367,194246,4709,6,133019,4702,5539
"Choongju",29,29799,1807,858,150,2,27046,7478,5121,404,6025,84960,3859,1056,743,86371,1494,42,320,106,1827,6,4428,63218,5797,642,46,11724,11799,19,4,49544,12,29,3854,61,33180,26088,24,15,90963,531,1846,15666,9278,30,435,24690,0,152,215,2638,2248,155,12639,167,35,28,228,99,515,10,139,1949,4759,32,30,32353,2,256,100,32,3680,11404,2773,451,918,100,111611,24,302,695068,71199,13,629,4136,98853,705,27746,121,9448,14873,2730,3,51696,8727,653,6,70,77985,89118
"Chuncheon",21240,2708,17973,444,660,66,6290,59,31,3550,8282,3612,15381,483,27544,64078,39964,178,860,13427,13285,1707,421,13622,29373,70,916,1334,800,305,36,2015,78,400,140,95,2500,1992,245,3169,1838,7968,640,6923,1824,1468,180,332,20,437,6,446865,1130890,664,2874,2983,621,728,72259,1808,4932,81,4020,734,2531,349,511,848,1,252,2673,594,2053,5466,12701,909,310,229,3286,144,941,6156,4054,9,659,219,14104,840,10395,2548,696557,6680,3267,3681,23060,2027,192,55,21858,24906,31124
"Chungdo",5,0,1,0,0,0,63772,0,1,5,8,1,1,1630,2,564847,9,0,0,1,0,1,0,0,0,0,0,2,18563,0,0,1,0,0,0,0,13,0,0,0,1,0,0,14885,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247864,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,30,5,0,0,0,2,0,38833,0,1,96652,0,0,0,757,0,0,3,1,2
"Chungju",228,109182,627140,594495,4220,729,71812,15301,11202,873826,19613,1141,29410,2936,2736320,250875,4039101,4545,27496,766,13329,63,17448,466905,37966,3814,122288,71950,30580,12508,411,809,2116,3362,9758,5472,152278,44966,6493,80,273672,174100,18023,58122,17011,70285,6852,58106,403,20203,652,18539,18901,4228,302337,134586,26412,18635,1933,70502,148260,3316,542929,30485,13223,6088,56345,2194,12,5924,94745,224241,350008,38425,22669,264610,16321,11201,174337,3109,18896,2627796,286715,207,15759,10513,240943,31867,76184,82444,85930,46603,18092,11,72638,23094,50495,986,384,291390,321091
"Daegu",1392941,77755,108905,23413,1277,3042,836250,800950,222735,318892,6124271,117496,83079,438492,326816,18731183,735909,30018,25386,143593,3228,708947,10479,73827,35705,558445,14827,631810,392202,3598,9095,71462,1559,3006,1856322,9977,5250747,46573,1290,652077,129364,311486,203552,1949826,3999146,21693,68131,1617756,216,96669,312866,31388,47003,1395,124997,39968,20197,11864,147570,11141,76107,10244,25946,200257,717003,1780,8070,88335,2,116059,29002,29986,122968,2809802,44147,87260,129545,34824,576076,1358,23250,1529137,186749,15645,75806,148611,148858,83694,1320984,99056,128964,663892,23407,71458,58561,3401496,67498,4752,584278,103762,191887
"Daejeon",1595,89782,491952,88779,23382,2795,146794,26872,22405,1630186,37673,2412,40030,6478,3981682,590228,10186645,10367,101748,798,14718,648,15498,153070,38231,12407,1261433,254345,52666,50920,1459,1040,5305,41131,15279,18528,279801,49898,24206,477,158961,458430,40447,130467,38791,570942,20335,144889,1172,67105,2476,18379,23590,7759,310549,582133,83446,47371,2859,204028,657489,12946,203153,94787,26048,14787,511854,4575,35,20169,797821,920882,336602,107423,26443,203149,59837,35384,132905,50739,168483,2824117,289149,583,43968,17332,234904,106493,161087,331045,90208,90295,18253,27,58473,51932,280149,2607,341,146173,372481
"Damyang",0,1341,3067,48,3007,10419,7984,648,3708,6183,1,28,203,0,4542,33999,11584,21692,873,5,48,0,154,466,129,4777,309,646,11124,8683,15949,15,132575,1391,2593,836,494,669,8871,0,671,894919,22422,4,1,624,3911,9405,339,4292,1086,83,126,1551,5078,3500,8355,14748,14,10718,11643,42,282,6708,0,2142,990,40,2,53584,4890,96,2749,4,123,2324,4549,1817,418,963,1309,29854,4273,16821,133809,803,1763,4720,2,6222,419,0,62,0,407,1,12,5895,2,1024,2741
"Dangjin",203,179757,181110,680,87811,9882,15637,2151,2203,12588,3034,264,1272,356,33060,31568,122419,2121,357507,260,2077,12,49655,41801,2860,191,2704,4956,5156,4424,5309,57,830,3231,1090,461,9798,51060,77966,9,2133,34418,5513,13299,2568,1112,438,8412,3113,625,35,1302,1227,64337,1146321,2011,187,2595,849,995,3037,91,9566,1817,1459,19970,1035,79,181,143,5594,1754,56851,15062,1841,927806,908,550,2663,25234,154816,1618290,646076,72,18134,964,69724,1643,14492,2081,6426,6297,1233,17,4072,8637,739,3594,534,6517,54695
"Danyang",77725,6274,938,5,118,4,9643,0,2,349,34913,44,11927,878,596,136510,848,1,186,34883,752,5790,830,493,4695,1,17,63,1373,11,4,26,1,22,1,0,86,5011,26,12416,11285,94,7,11618,2880,18,5,9,3,1,0,7470,7017,70,2378,281,1,12,168525,76,182,2,110,1,4064,13,9,10,0,2,63,17,1133,8009,2901,241,2,1,12,18,139,105984,16020,0,2,2,17733,2,25972,87,89058,11070,2180,29438,6494,3754,17,2,252277,10705,15724
"Donghae",397,14212,10574,165,530,24,122,12,7,2710,639,1572,12064,16,11726,2407,14156,41,1845,790,74265,69,1790,5389,1163115,5,308,204,25,90,27,959,37,189,2,18,429,11854,202,55,22579,2879,132,48,38,652,23,82,13,40,3,103756,2420,388,6316,1332,135,275,3679,945,1995,36,2186,68,47,225,110,517,0,59,885,241,3515,11,128220,1396,36,38,478,111,877,268377,38054,4,161,23,39463,101,129,941,135786,115,242539,209,14203,10,46,21,490,24870,40832
"Euisung",52483,290,47,7,1,0,7724,1,0,146,117129,14,2338,2223,93,735865,864,0,12,7428,83,42,33,32,547,1,32,364,1177,8,1,2,0,4,2,0,404,188,1,20028,516,4,0,8248,10786,31,0,3,0,0,0,1237,1103,0,87,113,0,0,4090,16,71,1,8,1,4381,0,1,31,0,1,58,38,61,5206,612,24,2,0,39,3,22,5788,681,0,1,13,848,0,11953,16,9984,8033,293,2111,408,3578,63,0,21790,418,636
"Euiwang",915,289602,33271,407,24446,2582,5195,343,465,27170,377,3612,471,145,16587,4842,16729,148,62498,803,1663,27,174,13002,3346,98,980,985,1045,796,1180,925,87,3388,144,122,2320,133049,11478,14,477,4392,470,1388,298,228,183,2453,615,329,7,2438,775,28688,71473,1533,201,444,2209,776,2186,82,2969,548,669,5604,496,828,31,104,1756,540,21868,810,2830,69218,311,205,3526,6071,46049,845339,655392,6,1033,180,191820,570,2399,1575,10611,2672,1937,54,7151,389,230,978,1767,24885,176744
"Eumsung",580,87845,250104,4353,8080,214,15287,4456,2025,21954,2743,55216,14095,799,445061,44000,154513,589,37880,577,7162,18,15776,15376,20409,463,5927,7947,6619,1562,114,16406,177,1047,1793,475,16711,57125,1362,21,322136,18130,1776,8721,8505,3566,580,9532,69,1577,147,12889,10626,6994,102425,14131,2953,2703,1225,7266,11694,218,58973,2465,3102,1394,1441,13865,6,694,8510,4327,80217,5913,11408,145369,1402,918,41167,1176,16402,1774249,202320,15,1510,2492,239511,1618,14559,9635,57798,12066,8227,44,81796,3983,1199,167,821,224151,213379
"Gangneung",5608,24100,26534,376,1207,55,1269,107,73,6640,4089,4591,26467,124,34225,29411,37650,136,2364,4322,1216661,592,3393,19463,232910,62,978,876,272,363,41,2212,70,440,127,77,1742,23245,570,622,54364,8815,726,511,541,1698,141,477,16,348,8,305641,5268,761,11950,2896,520,540,15805,1893,4883,94,4957,565,745,399,351,750,0,187,1923,577,8702,100,1061417,1954,340,309,2537,196,1825,598173,78757,8,587,242,92537,743,1239,2263,461410,1322,172411,1671,40965,252,137,59,9066,72139,99436
"Geochang",1,855,2070,70,5,208,36715,26723,20350,3728,12,565,76,0,3848,530228,12686,3779,131,0,3,0,75,449,45,370765,2141,2799,45077,258,916,385,131,103,101009,6194,1698,461,5,0,1073,41278,11306,3,5,186,6793,64371,22,145166,65095,38,45,9,2010,2846,6756,699,3,703,6131,1177,318,85230,1,204,1930,280,0,32717,1097,70,1985,9,59,1159,24741,35147,1516,1,127,28604,2259,3224,3089,8552,1700,21249,10,7577,443,2,30,0,305,0,23,402,1,725,2334
"Geumsan",43,5363,22942,428,252,12,18672,658,3345,55015,1058,58,892,96,114931,13153,1107029,330,1745,14,303,27,685,5379,786,1983,64554,3750,8664,779,24,51,52,1002,810,3037,5165,3147,59,8,8569,7581,9280,2040,712,16698,2941,12267,31,13341,337,585,612,85,15494,6117,29102,664,61,3977,7190,1995,6467,15247,494,220,88430,78,1,3613,12813,6335,17101,2143,414,11614,8786,11651,1723,312,2631,135513,18654,179,1755,443,11682,13478,3671,4491,2138,930,340,0,1825,1031,1683,54,23,5373,13045
"Gimcheon",765,9184,20194,1443,326,22,41409,24510,11854,47234,26610,10441,1434,2767,67479,542393,240196,504,2567,64,285,312,862,6913,1069,2683,3624,96633,21375,709,62,7050,39,894,38319,339,395998,3686,198,209,10539,7645,5117,26965,25514,3067,1725,63119,11,1340,2022,539,714,196,19472,10266,369,499,85,3228,10699,82,4091,5686,6247,303,224,8895,8,1902,7892,14481,21006,32643,845,15112,3429,645,64608,280,4260,148606,22514,261,2176,58430,14863,3062,32159,3966,3368,16394,575,22,5611,22779,47473,127,243,7098,19460
"Gimhae",40,6053,6972,1288,130,3765,7368309,258651,4613979,20973,80,7655,154,23240,19439,566306,39323,13934,2370,22,9,10,773,4442,47,43515,8891,20812,10391635,1707,5676,4016,15091,430,20732,14055,5605,2511,225,7,7686,169888,304849,96339,806,3778,213171,843385,98,45798,12770,114,108,115,8442,20706,7385,6148,18,7297,161615,4469,1506,559638,160207,572,14978,2612,0,21052,5926,2176,10113,24,95,7088,319016,62147,13553,49,1361,80762,12422,1962,176410,21583,8428,74467,251077,56412,593,623150,51,3,2827,4900,1432,3468,36,6535,9896
"Gimje",13,4859,7057,213,17411,27582,1470,156,632,11979,197,18,320,11,12348,4003,49059,7421,4051,12,166,1,723,1247,445,304,745,654,1756,15311,65042,22,4289,3063,274,187,1275,2026,14314,13,1572,380878,3188,296,215,2573,494,1675,15496,1463,84,196,223,6793,21807,77241,2667,51714,24,199920,100753,2117,1094,829,7,62144,2091,19,1696,208,20640,1667,5620,320,174,8886,483,1001,576,7881,5501,89190,16005,230,19452,74,4188,722,330,32924,735,8,161,0,864,302,217,21369,4,2123,5828
"Gochang",0,5631,3088,12,16956,100257,4762,449,1798,3939,3,2,30,1,375,8774,1658,15769,5731,2,14,1,1268,119,30,780,24,54,5434,71026,59401,0,10089,892,643,404,67,2815,157234,1,114,382551,4920,7,2,28,1348,4395,40414,817,198,16,19,9618,32451,105,741,38140,2,425,766,21,44,2535,1,291074,53,7,1067,10551,71,13,2729,4,11,11434,1686,330,42,8361,6986,94267,18603,3801,25425,159,3156,1825,7,298,76,0,19,0,63,6,5,87000,0,136,3079
"Goesan",10,5683,456,596,35,1,16949,3159,2325,158,3231,48500,1810,595,512,47001,887,26,58,25,1066,2,1052,17879,2143,376,34,7706,6283,9,3,25101,5,11,2878,38,22089,8555,8,3,19379,315,1271,10489,3868,20,363,12636,2,125,126,991,877,20,2280,78,32,22,47,65,272,7,20,1109,2077,17,24,23623,0,180,58,101,603,6704,1300,95,541,77,97642,7,80,147770,18546,14,341,2909,21745,438,19265,73,3363,9838,855,1,10005,5128,462,3,10,17808,18496
"Gokseong",0,918,1817,18,1382,4450,9736,371,4287,3750,0,6,77,0,2052,1809,5069,108621,686,0,32,0,82,174,59,163,58,93,13312,3982,8869,6,94349,853,87,833,36,371,4230,0,412,1774376,55691,0,0,322,4839,8432,212,172,52,27,55,793,3427,1717,304,26432,3,10637,5600,13,344,5745,1,892,106,3,4,866,2566,37,1683,0,29,1785,5791,178,36,641,893,20345,3073,704,291250,88,1071,4339,2,1957,194,0,28,0,130,0,8,4779,1,452,1648
"Gongju",2,17712,77648,148,591,1137,390,53,79,197649,96,12,327,16,2556,1404,32459,1179,2424,18,162,1,2732,809,345,40,589,828,217,2574,595,5,816,76512,93,60,599,11759,5173,0,733,43898,573,280,136,322,63,318,185,193,7,186,233,141,67677,21074,245,3580,59,10666,29618,823,151,267,59,1991,215,11,6,99,65457,522,85958,264,216,35563,149,130,404,1969,3625,642405,54041,46,7678,36,52956,257,517,22168,718,192,226,0,596,168,152,414,5,1169,83341
"Goryeong",7,3147,4795,1091,16,162,24117,26976,12617,10962,59,4537,224,1,9734,1779960,16241,1933,468,3,6,2,157,2341,136,95487,1009,43604,27728,194,642,3140,73,77,48578,258,16271,1627,23,2,7173,22001,2387,11,10,239,1046,49560,11,12263,141632,76,103,12,3090,4400,2180,645,4,730,4025,2184,1063,2750,2,121,680,2357,0,9788,1848,789,4275,11,90,3006,1796,2992,17629,14,424,41015,7911,1264,1164,62376,4030,1192,9,7435,397,1,54,0,1716,11,1386,299,2,3519,3996
"Gosung",0,971,3347,59,11,263,13328,1987,8206,4958,0,119,122,0,5669,14495,19080,810,291,0,15,1,133,380,124,6394,2516,620,20903,122,370,90,931,138,430,352520,371,498,19,0,1355,11734,33594,5,0,368,28646,19950,14,9266,469,44,88,18,2940,2693,1039,402,1,542,5637,565,420,309628,2,32,4561,75,0,2960,1160,134,2665,3,39,1658,40365,20509,313,7,394,34381,4044,227,19819,418,2280,3034315,13,6594,228,2,171,0,480,3,2,290,0,862,2726
"Gumi",1651,22007,38108,11111,514,52,98361,8446,4499,134993,338888,33976,3248,22702,148256,4869273,265568,512,5758,201,675,480,2459,16909,2131,2299,5126,384777,17201,1127,54,25137,39,997,15097,278,199896,12588,529,442,31934,12116,3055,137721,183067,4316,1108,27229,15,1089,1450,1332,1870,441,52158,22174,282,969,241,5801,19560,91,6283,3008,41119,236,394,38141,0,1806,11587,11189,59564,191379,2643,35101,2277,648,342079,544,9170,340696,46471,242,1608,25354,45845,3587,180276,6261,5983,107476,1469,82,15200,125767,44256,111,821,27764,59246
"Gunpo",7139,580653,74967,1606,11210,3205,8187,1773,1162,58940,1834,25529,2010,468,41775,30276,49245,428,39359,5792,12322,165,112910,55418,25485,412,2865,4599,4125,1715,2007,7408,328,11472,799,686,11415,1281,10409,166,2292,15198,790,6684,1849,634,559,9056,1080,1993,72,17812,4029,11582,103090,5852,780,1508,18540,2948,8292,268,5505,2746,1735,6993,2185,5997,93,448,6037,1725,59263,5382,24235,78521,1390,1023,22763,5322,20583,1828165,1574641,23,2825,1267,869953,2581,10582,6107,70925,6827,11574,299,48589,2862,804,1214,14152,113449,785734
"Gunsan",15,43157,17750,255,475653,121249,234,15,90,23332,356,37,305,19,6558,1539,32101,7484,69157,12,172,3,8679,1753,1033,2,122,343,248,14031,154233,15,4409,5464,67,24,945,13048,41810,3,502,255988,7187,831,295,76,1269,245,45178,14,3,162,164,142404,189562,25,14,19565,75,145,69,3,1049,91,17,185281,25,44,1630,277,77,206,15953,810,159,94506,210,4,1075,151373,134597,486746,154672,602,35617,48,17415,144,1126,35,773,46,185,0,648,910,99,49448,11,1538,17292
"Gunwi",39688,175,41,2,0,0,3831,2,1,115,100911,22,2508,1340,121,594757,599,0,10,15517,56,12140,10,28,409,0,21,290,561,11,0,11,0,2,2,0,305,139,2,83,348,2,0,4188,9340,14,0,2,0,0,1,852,1102,0,113,57,1,0,4209,13,63,2,9,1,2477,0,1,12,0,0,56,18,48,3326,458,31,1,0,63,1,11,3704,444,0,0,4,525,0,6304,43,5270,4223,269,2419,210,2287,34,0,21970,376,429
"Gwangjoo",14633,4417,323496,5123,1064,143,22959,5548,3817,6915,4897,90953,1666,1221,263100,85002,155980,614,2325,11267,23565,475,1268,335876,55857,951,7861,12043,10833,1681,110,19881,399,826,5500,1192,30805,3665,583,334,324340,27083,3154,16758,5318,3506,1687,18901,92,4216,256,41027,2174,781,6167,12698,4718,3274,38903,9324,15264,542,59336,5958,5196,938,4910,17505,0,1504,8546,5409,5430,11774,50098,3404,3264,2071,62692,276,1448,6942224,5751,49,3555,4537,12516,5664,23001,10022,192685,15595,20467,858,193625,5742,2173,195,22609,573978,52202
"Gwangju",17,39388,104800,2711,55919,185705,138734,7091,57048,203910,225,359,8148,0,160494,306497,448988,889669,24964,104,3052,3,4052,13829,8434,38996,7794,8584,169673,376380,402390,252,1847331,43476,18861,11325,10623,17038,248920,1,22970,67947,416308,95,26,26281,48963,132993,659576,27274,6065,3412,5430,32878,135319,176858,86192,826336,985,748316,532948,3845,15675,66020,2,2879705,14701,582,469788,375015,191447,5179,90572,111,5324,85082,51509,11444,6936,17317,33859,952653,123244,250883,2122522,10329,56858,64656,79,382086,17179,25,4564,1,13613,42,1682,21119,18,36355,90783
"Gwangyang",4,4384,5262,155,2144,3096,280974,21139,109574,10603,4,1285,671,0,16233,208603,35127,23062,5158,2,107,0,231,1974,657,13631,6822,7420,323809,3581,5215,1021,55338,588,2435,30016,2554,723,14407,0,3078,369853,496734,26,1,432,285798,229592,188,8230,1147,265,424,1192,5866,2195,916,20917,9,8099,31243,377,2366,237236,1,287,15614,946,1,685,2258,443,4475,21,393,4576,208788,14165,3539,743,2333,56422,8253,271,629168,8676,3242,108602,24,3264,1355,7,356,0,1189,3,46,3678,0,2972,4820
"Gyeongju",32511,16089,14186,2520,134,9,1495575,12,49,71980,112859,14281,6524,23919,44792,2010973,111694,2,5482,9093,25,6028,1024,9148,493,8,1621,23869,99631,295,6,9492,11,447,11,0,122429,5143,661,3783,16486,131,39,250948,265291,4343,21,22,0,10,2,2307,2943,154,28464,14093,12,19,8106,1474,10579,8,4489,10,103999,16,100,7077,1,9,5534,5335,20705,489,1787,21926,20,4,26480,158,5783,207413,40716,1,32,83,22384,6,1110909,1662,14825,883376,592,2354,6081,136129,4894,4,21261,12110,29464
"Gyeongsan",32336,7145,6566,919,42,3,84688,14,4,23864,259605,8730,1886,14666,17987,3940002,35425,2,1419,3307,35,11176,359,5576,679,4,756,25507,6661,466,1,3343,0,103,9,0,192436,1850,255,10089,5473,117,15,291752,1462,985,3,8,2,1,0,821,875,49,7696,3324,5,27,3260,719,3295,5,2430,7,58851,31,18,3388,0,5,4392,2215,6279,15941,719,10409,4,2,23111,66,1385,56250,12228,0,3,40,7543,3,193873,489,3894,60198,384,1477,2132,180818,3218,5,16435,4921,6509
"Gyeryong",54,1261,9535,1027,157,8,2937,599,488,11567,721,41,1566,144,69854,17016,549071,507,940,24,702,17,211,3442,1994,215,20056,3071,1369,2451,27,21,306,406,220,373,4323,678,32,8,3690,23850,412,4494,1095,7752,350,6645,62,931,64,675,1180,86,4618,37860,869,3506,67,12996,31794,641,3020,4328,621,1810,5990,126,0,292,59199,8490,4384,4877,464,2973,1523,702,3246,181,1383,63554,4755,13,2017,306,4154,1544,2908,23255,5788,2736,549,2,1476,1179,1889,130,6,3943,7806
"Hadong",2,2571,3526,97,751,1103,183310,16409,77278,6884,0,311,198,0,8323,79234,23088,4352,610,2,26,0,155,917,148,6557,2845,2004,223867,472,1231,345,5982,122,1654,27257,1069,545,1354,0,2018,44524,251877,11,0,382,111585,264078,30,9361,728,130,116,373,3960,1397,854,951,6,1417,43072,408,784,726730,0,59,4918,261,0,743,773,112,3506,11,88,2527,347011,18636,1336,172,462,39930,4823,80,102957,2232,2971,76803,24,2637,541,5,93,0,509,1,19,611,1,1080,4074
