"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Sejong",81,7078,18760,2330,38091,1,11505,14145,117363,3658,2305,74897,5943,3089,409,1005,19766,77078,66176,1748782,1098,121819,176,229,37,477,2594,1,474,0,674,49703,25755,6458,5679,5515,65,0,178,268025,1721,1422,24256,2015,112513,27,2698,1183,69352,19282,12584,4121,10814,1037,16495,1406,5054,134,201,310,1525,33333,29571,6018,0,2024,8630,722,8915,52597,1522,2738,10959,4476,22795,15250,35,13,2590,0,19521,59541,25356,9298,131,18169,4987,4401,6167,111484,86042,171354,169280,32755,540,5593,1947,33317,7690,14496,32395,1068,286,9744,258,2,1035,1,6093,13979,3365,84,522827,2186,2375
"Seocheon",10,18823,10824,545,326469,1,19220,148,49393,40,11,24146,1186,2201,120,49,7647,8503,5692,104132,1098,42890,112,180,4,3772,1145,3,205,0,4,920,1982,34,7874,8097,38,1,700,64553,88,2,3018,7695,147365,7,16,322,25849,369,929,375,149,116,97,1682,4,5,334,103,52755,72559,15,2,0,1,3858,451,18,27,1,1091,14,131,17884,148,21,51,11,1,70,1784,10238,1173,45,56829,24,4,1581,82830,84088,63716,212324,67417,33,2634,203,17168,26,1358,12,470,82,59,97,0,312,1,516,578,3309,52,5574,687,1082
"Seosan",809,95255,79881,1354,283123,1,20934,18903,8238,2863,4004,6941,7058,30442,442,629,15798,2553,44116,295505,2615,356856,1250,1158,43,40076,16599,4,1945,1,169,6321,14561,6487,8831,9418,796,0,1501,70218,1430,706,31352,34813,218826,36,1238,781,87188,9074,14584,5307,2614,511,16169,3460,1192,47,891,592,92412,445268,8398,2417,1,256,11347,5604,2905,13810,470,12719,3131,3517,32181,2793,704,128,842,5,20381,5805,11221,7258,623,613511,2507,1340,4793,147226,59278,122951,1003298,387054,314,8754,2035,53187,3280,31256,7073,2908,414,9223,619,38,2545,3,4403,1655,5663,1586,52426,3301,4719
"Seoul",250952,8130488,4519850,124962,486632,51,316427,354864,415738,68300,38265,4145341,79258,905992,3622,21621,2679359,130752,1124986,3333397,13374,1463144,146471,373254,6438,701543,2001893,123,684867,395,15248,140107,187030,149789,97354,234071,185288,33,5126,1125916,39124,30682,339160,3097193,1332480,4433,10650,7824195,387218,56530,238842,72345,82766,21587,363568,67892,105045,3511,308037,6231,365298,8433289,62289,20549,22,39265,57901,707867,40863,103057,6354,738427,174857,85030,877670,119688,134260,1681,23998,1432,50144,142460,3501487,199162,273125,3823419,93881,80103,695939,383429,379712,1038425,103697,168479,2188,23361,47374,11993774,195994,335206,56424,1758428,5053,231817,93003,8480,1423868,44,81390,55849,149308,318385,454415,4746191,7240020
"Siheung",26239,5936880,208077,9148,27953,1,16832,54726,17637,11715,6652,228066,14035,92951,893,2295,131518,5447,120798,154191,1186,138198,20013,57970,704,535019,205367,11,91137,11,887,9622,17065,21127,5107,11248,20206,1,560,48050,8064,1769,47002,2086729,77319,573,318,3274,33849,2243,31637,15611,3111,869,41748,3492,4980,288,60169,2627,22740,1473981,1808,612,1,1957,3686,94857,687,3409,214,51060,8610,10621,43250,6766,15243,99,1147,27,2709,8547,287728,23648,34053,288717,5422,3750,90379,16131,19932,75646,243214,4144,66,1491,6315,2625754,11237,46298,1565,235397,1088,27006,26797,930,162839,4,16378,3829,7107,41573,28711,405552,1027171
"Sunchang",981,524,442,59,182,39,2267,2866,31,486,1198,88,1598,365,86,46,1991,38,19375,5557,26389,3475,53,29,264,7,440,5,71,0,5645,206,518,3069,157,7487,10,1,920,7090,3056,438,1151,57,347,152,23156,329,517320,22647,1489,1367,229,1647,5761,153,7262,2269,58,51,80,1035,841,6945,7,53,6497,86,2456,3084,79,266,2554,25,546,925,25,1,138391,0,740,103,84,2882,22,1094,1697,3093,353,2060,48,1842,4798,1886,7934,7461,846,164,1957,1196,3280,166,22,1245,42,18,137,0,1307,18,2331,434,3923,332,33
"Suncheon",1991,5739,2479,542,7299,810836,22452,66796,248,5545,21711,824,2088,3652,708,23,20950,438,28913,55690,139559,39731,515,217,679,82,2123,325626,834,1,3052,726,1413,62974,3159,32741,155,1252672,332196,80864,651,8122,3577,602,8066,216,65081,2856,2385223,905414,4883,1579,2533,93702,94662,326,2790,590,441,786,2454,11175,21711,18748,324601,78,54218,900,43800,65270,177,3106,68821,67,355,2245,259,3,50771,6,9620,984,791,6023,236,12225,65779,6153,2025,24094,2481,24689,46383,20456,4417,1890777,904,1393,37116,21342,119052,1557,461,11072,423,70,1416,790801,1331,94,22728,1291,44853,2841,240
"Sungju",708,4288,5349,2057,68,0,44,31729,328,38449,9675,14060,1029,6931,374,162,16021,266,294073,23467,908,2680,286,30,348,229,4244,0,337,2,16861,352,92266,28475,158,234,6693,0,41,1215,103420,154,35211,1292,198,240,82,4524,15623,7176,1650,4558,509,1809,63103,9,2390,5456,229,267,10,6857,2737,50,0,518,569,385,749,2928,390,1934,3446,176,83,111,4509,0,3039,1,1482,3359,5520,2449,76,5970,3477,794,30807,2448,192,2456,51154,7775,818,879,79237,9100,971,2274,2743,530,3432,3153,153,20,3377,0,4013,3348,139,660,3098,3343,2822
"Suwon",54113,1268380,1287249,25469,30117,22,49428,60363,88758,12931,7190,1250750,13817,232917,8284,4072,492320,28306,212593,661450,361,84227,40218,91965,1538,450473,494447,41,191395,62,2085,25886,44427,27216,13453,38243,45333,38,116,245180,7556,4317,86491,1531564,226799,1108,555,32221,11322,3034,46720,16264,14545,2617,63142,9542,18095,574,136416,23627,23418,1413809,2840,936,10,6271,2324,184450,1600,5996,438,174089,32170,16525,146857,21651,29325,184,2968,134,1545,24687,1115631,35693,87920,474224,15307,12443,144551,81862,56907,63211,12098001,2709857,89,952,8703,5988022,30823,59517,2586,540118,13279,41014,66479,2012,604657,19,15222,11197,23757,76154,32257,1515439,4029614
"Tongyeong",2544,5067,16580,321,37,4,2343,4880,63,6729,6602,32329,3499,2140,1417,32,43629,139,56579,134876,7144,5518,900,47,550,526,2650,6,947,5,17979,17921,3033,8247,1386,3120,1131,4,6130,6646,960,2809314,8068,2196,147,245,2941,8931,84701,252530,1115,1169,1287,103859,55371,18,31803,2459,342,785,39,31299,17085,910,2,5396,1810,1325,3863,35951,6110,3441,875107,46,100,26857,540,0,14305,4,4143,510,21907,2122,206,12128,201315,106616,2068,10658,47,5307,222423,33808,2150,40689,1437,34127,786,3631,62618,2151,1028,1786,610,88,2665,14,1009,52,1598,1642,6758,5523,4266
