"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Gongju","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Gunsan",2,50102,5753,462754,235897,11510,0,9253,397,1,31,320,122,15,80,0,68009,14,0,3822,37,509,0,1,8,12783,43646,177667,2,7,0,8,11975,54755,0,172,14,0,7,3,1,0,2691,46859,5,0,128,162,152592,182762,10,0,0,87,1,7,1,6,210437,1,0,7,5,5996,161,93571,2,2,1,227286,163488,583108,210949,0,1,7409,11,0,689,1,362,0,254,10,2,55112,17,824,26006
"Gunwi",50774,641,168,0,0,2796,0,0,314,61276,9,4031,266,514471,942,0,7,5852,14897,70,72,946,0,9,341,0,7,0,0,1,0,454,410,0,279,1426,3,0,3552,6471,9,0,0,0,0,0,1441,2101,0,123,86,0,1,8956,17,48,19,0,0,2,0,62,88,106,760,36,0,0,62,0,16,11750,1332,0,0,849,4893,10,9756,1276,720,3116,774,1120,91,0,22456,1173,1818
"Gwangjoo",16787,10042,329449,1238,77,18066,75,1644,8184,4027,90983,2430,282008,57198,153340,16,2438,10371,971,2280,271413,60844,1001,7795,16353,5084,1786,42,8,734,104,14521,5804,231,1284,182896,34095,2269,7862,4048,3432,1311,6723,33,3626,117,35773,1900,959,4218,21803,4382,3822,43817,11362,20758,66564,5499,270,4574,1722,9510,10932,11775,43294,3619,6132,4038,541,205,1745,6791505,11552,49,1797,11423,9699,3299,187709,6888,40022,2210,132302,3805,5104,45,18317,409608,71211
"Gwangju",25,23402,79588,20,2,154020,8598,59514,160771,118,182,7195,144531,292494,440982,681590,543,126,4,3178,11224,10021,42460,7383,2043,174841,397281,2,1893954,29457,29194,5709,13691,6,1,27845,9987,491904,96,36,25655,50798,146224,0,25365,7620,4194,4976,26,27783,216969,58615,1378291,1087,1064224,840928,14224,75625,1,14894,336236,202688,14435,75928,4631,27863,99491,12575,238,0,178,926676,81514,262445,2329211,46986,91,267802,16278,15,6470,1,9110,65,4957,0,40,29006,149303
"Gwangyang",1,4535,4506,0,0,256004,16978,85797,8549,1,8,216,14436,181549,33961,19608,266,4,0,276,1762,525,19925,5870,31,261177,1,0,80677,51,949,12,646,0,0,2745,445995,773737,1,0,383,304286,171598,0,6782,859,133,212,0,2709,41,2459,0,14,2,22795,2183,212850,0,11999,966,234,833,3273,206,2464,263248,19247,2,0,22,54664,9263,246,904775,2677,0,0,913,0,323,0,873,2,113,0,1,1969,7599
"Gyeongju",27884,16703,21068,310,0,1288390,0,0,85632,102490,566,7696,52457,2031715,136898,95,1936,11360,6293,1158,4169,1021,0,2099,33712,1,586,0,0,190,1,156709,4750,443,3174,7955,364,2,278910,360584,1961,1,48,0,93,0,3475,4736,369,19360,19228,186,60,12932,1892,9787,6064,190,6,504,9,6345,14560,24446,2258,19992,0,211,18103,167,2224,218628,51185,319,4,15116,1253765,1405,18380,976582,1323,2852,2023,232403,16420,0,23380,7492,45235
"Gyeongsan",27241,5407,8616,22,0,135140,0,0,21916,201740,240,2396,17501,3670382,46486,5,479,2864,10141,359,1825,1025,0,755,30751,0,194,1,0,62,0,178269,1934,27,7024,4043,148,2,385854,1548,1606,0,2,0,9,0,979,1315,39,5471,3650,35,29,4403,668,3229,3092,12,3,83,2,3873,5880,7632,612,7242,1,12,14698,10,454,65604,15973,18,1,5340,232561,484,5603,77444,679,1579,744,171725,7837,0,14401,2017,12407
"Gyeryong",101,1107,7236,3,0,4405,74,999,12320,751,16,1261,54802,15571,507621,5,120,20,27,180,2614,2232,338,18735,2694,5482,1898,0,3,228,110,5509,1648,0,10,3239,24120,383,2108,2003,818,343,7673,0,1387,92,289,1106,2,1458,37485,841,3434,88,10672,28506,2200,5353,0,4811,267,27215,14911,3215,315,2297,3058,1120,123,0,79,72088,7249,8,168,2933,3837,6573,4600,337,632,2,667,1780,4906,0,32,2989,12342
"Hadong",0,2621,3217,4,0,198669,16848,76683,6064,1,2,91,8799,79099,23707,3144,175,0,0,146,508,137,8359,4175,13,208157,0,0,6054,21,988,12,481,0,0,1681,47532,269451,3,0,335,104633,254800,0,9061,800,66,68,1,1297,71,2693,0,8,1,42519,788,804724,1,4717,1070,287,321,2331,77,1300,422989,28038,1,1,30,35595,4668,83,97715,2572,2,1,633,0,78,0,318,1,29,0,1,1062,5405
"Haman",0,8374,18418,21,3,538319,1330265,657244,42137,1,9,33,40628,1865945,135591,6746,1872,2,0,1283,2896,59,26178,15871,8,762670,21,0,13847,131,131,11,4057,3,0,6980,157016,186948,3,1,6577,289408,5591423,0,60584,344,18,22,52,11788,1307,71666,1,6,26,435019,4174,1452663,1,21434,34413,4988,1026,19691,21,13368,527240,120065,0,4,821,201418,37153,2709,157529,10370,3,40,90,3,41,0,399,1,47,0,1,4267,31234
"Hampyeong",0,3403,534,6685,20860,0,0,0,37,0,4,32,2,0,3,0,2357,4,0,388,6,37,0,0,0,1,20965,52873,0,1,0,0,949,41944,0,29,0,0,0,0,0,0,0,335,0,0,6,37,4906,14379,0,0,0,9,0,0,0,1,152387,0,0,0,1,706,22,5447,0,0,0,3909,4274,67524,12040,0,0,685,1,0,81,0,24,0,40,1,0,18130,1,90,2721
"Hamyang",1,2921,7951,2,0,32790,1717,14956,12104,3,3,199,14457,71448,61903,4575,231,1,0,324,1113,330,127359,12621,20,37512,16,0,104,70,15687,25,2016,0,0,3945,20584,5892,3,3,1112,8479,54008,0,144562,6162,116,218,9,2346,254,84174,2,17,23,7359,2058,149577,0,22923,55856,1851,722,7809,169,3089,49561,65612,0,0,75,91207,9109,6149,3134,5396,3,21,553,0,178,0,573,2,69,0,1,2193,11316
"Hapcheon",0,122,356,0,0,120,33,35,672,0,0,0,643,276679,4215,1211,11,0,0,11,52,2,72128,566,0,105,0,0,22,3,188635,0,69,0,0,132,6044,810,0,0,68,581,171,0,5709,2175,2,1,1,120,39,2802,0,0,2,100,64,3674,0,518,7591,119,19,240,2,138,3022,2996,0,0,19,4671,473,992,723,235,0,3,1,0,1,0,16,0,1,0,0,69,628
"Hoengsung",12213,20293,20715,628,54,2844,0,0,4805,3752,3690,348262,15158,28907,15720,3,2428,8852,1385,3462,8440,309743,9,663,196,2,142,37,0,296,0,78,20530,148,1690,32596,4158,132,2898,811,322,56,12,19,102,0,125065,42913,569,5319,1936,329,329,54242,1583,2301,2548,166,177,378,80,1213,514,6213,273133,1527,138,100,13,131,1289,365609,69818,5,61,46111,4680,301,554024,1109,82067,2711,38745,830,158,17,11903,40821,94804
"Hongcheon",11892,9957,13440,658,63,4506,0,1,3588,5733,3529,1122620,15594,41032,20450,1,1405,8267,1404,1427,5597,12155,10,558,150,2,281,28,1,319,0,105,6072,180,2098,1771,4370,436,3650,1017,1128,44,5,35,202,2,38940,936,533,2635,3301,332,609,41301,1419,3308,2491,1450,244,258,123,1625,847,4710,7132,1589,191,337,30,168,1469,18855,19092,3,130,13329,5049,435,192965,1318,3751,3788,13678,1263,206,29,11593,9489,43322
"Hongsung",113,30409,21650,175487,29578,154,0,14,2214,34,228,818,2394,904,1296,0,71729,103,3,5739,146,1322,3,41,130,46,9028,17833,0,43,1,303,15313,142889,1,634,10,0,176,38,3,0,83,4506,13,1,556,558,3784,193505,4,5,0,410,1,10,4,33,25418,35,1,18,154,10757,684,86927,48,14,6,58030,92040,672054,141553,0,0,11063,190,0,2639,38,917,7,1168,58,65,6292,200,3383,54487
"Hwaseong",2677,288485,210829,208935,68609,28500,114,2850,212723,4317,8657,2591,117521,57471,131826,5,802442,1551,256,22658,14032,10749,1017,8531,16136,7941,24167,39703,5,31231,131,25457,33650,201322,116,3217,25657,2048,17693,4587,1606,1157,13019,17238,3139,166,5535,2879,194568,592088,13614,1858,2164,7495,5800,16543,3218,6507,100876,4454,1118,13623,12151,13898,5915,1051162,7608,6020,223,74899,415353,3784585,1460802,17,698,47468,19942,1922,21163,7965,7264,355,13375,7209,5415,22987,3144,38581,388045
"Iksan",492,11411,50248,7,0,3180,43,561,89216,4157,129,4192,158345,35879,671976,0,279,145,172,1670,14139,6246,129,7023,12805,1538,48839,0,0,31793,124,24098,7039,4,77,22503,218314,25,20774,4907,36149,46,1651,0,278,40,2266,3807,14,14872,14543,134,36165,767,148940,54988,17540,1063,0,9611,23,201846,17315,41156,2741,15383,970,325,604,2,92,482903,40187,1,21,25340,15786,45282,12256,554,4290,13,5606,8852,10901,0,153,19326,80124
"Jangsu",6,1912,6143,0,0,86161,2608,26480,6736,8,12,421,20535,68634,83714,10737,44,5,3,271,2058,535,11851,23429,128,71686,8,1,156,57,16190,264,872,0,0,4229,56501,2208,38,16,912,2370,71713,0,85436,3293,441,356,6,1533,184,2352,5,43,21,6149,1905,48168,0,91080,198033,460,1482,4352,419,1549,50107,63797,11,0,24,73604,6546,10803,1488,3465,29,16,1119,5,428,1,655,24,232,0,1,2529,8557
"Jangsung",11,2035,7666,0,0,3,0,0,14122,55,14,768,17183,231,47410,0,45,7,4,279,1541,1169,1,752,488,1,58616,1,0,3338,0,844,1208,1,0,3769,1158620,0,35,17,3154,0,1,0,1,0,421,737,2,2428,29860,4,58350,110,159946,77369,1870,2,0,154,0,27353,2555,6903,347,2486,2,4,30,0,12,88224,7310,1,0,4124,25,27187,1733,0,588,0,817,46,826,0,6,2686,13338
"Jecheon",92792,29350,3929,511,30,11373,1,1,1798,18341,328,102556,2070,114857,4356,1,1149,117555,6672,3754,2103,29707,1,116,118,0,42,19,0,105,0,143,21290,98,8027,40314,904,11,11456,4093,96,4,3,13,10,0,50844,46354,414,6947,727,22,350,67174,452,1014,794,10,153,57,4,287,151,5569,12824,863,7,5,5,100,1028,484478,94848,0,7,42675,17405,119,692762,3827,20497,16819,29447,3614,58,21,205119,29658,87629
"Jeongeup",125,4707,22487,2,0,122,3,7,36796,1058,59,2344,71407,7368,221785,1,113,64,39,692,6564,3319,5,4148,6497,39,405635,0,0,11087,6,7096,2953,0,18,10035,1077129,1,1419,646,10925,0,41,0,31,2,1334,1658,4,6002,148899,35,159114,408,92975,435352,6941,36,0,1883,2,76727,8638,16923,1759,6196,26,16,276,0,31,232198,16625,0,1,10193,1216,361827,5396,31,1941,7,2996,1368,5884,0,46,9254,33156
"Jeongju",560,15289,57862,11,1,95690,20210,74043,113463,4247,176,6140,164372,66912,732614,411,489,164,127,2175,13249,8929,4936,8216,11152,129008,78951,0,1018,30279,94,18671,9265,5,54,21466,892386,20922,10324,3743,31808,35359,427866,0,7006,129,2442,3498,20,18957,73685,5288,78723,855,450884,2439,13326,82922,2,4768,2982,179825,15498,52801,3412,19443,42654,21785,642,0,132,641690,55031,247,11415,33075,11610,30672,11906,451,4720,15,5640,8832,10919,0,214,25438,103647
"Jincheon",179,14927,52093,12,3,9166,37,985,54,2233,345,3733,486533,27714,177835,7,42,359,15,2667,54656,6482,342,9174,7820,2999,964,2,0,14,54,8157,8633,6,26,62162,16209,1332,5261,2938,2165,491,3957,0,1879,53,2657,2572,11,3433,17049,2599,1955,1013,8317,12609,380,3419,4,1601,447,7316,11765,1003,3057,215,3310,2925,67,1,42,306367,38708,33,643,24777,7959,1879,14471,3271,4309,19,9085,3269,3500,0,345,35907,44032
"Jinju",0,4607,11820,7,5,392078,77750,262512,21942,2,23,414,33761,217114,102826,3717,817,0,0,565,2085,735,89217,15894,66,525064,9,0,6580,154,1556,54,2993,2,0,6015,68208,231439,3,2,5051,810985,1428263,0,154811,3263,312,1218,33,4903,790,41712,1,22,17,123457,2585,353554,1,23741,28083,3021,1678,14918,264,4540,2216830,271200,1,0,338,158695,17122,2785,114701,9045,6,50,1306,0,406,0,940,4,160,0,1,4942,21959
"Muan",6,21627,5500,45008,80911,5,0,1,473,0,36,504,86,14,43,0,17287,7,0,3103,38,738,0,2,5,1,80774,302838,1,5,0,4,11129,214460,0,263,4,0,3,3,0,0,4,158798,1,0,497,265,31884,98871,0,0,0,136,0,2,1,1,3518428,1,1,3,3,4543,741,32695,1,0,0,25287,29103,425781,93299,0,1,5503,4,0,969,0,490,1,462,1,2,104207,16,1217,24926
