"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Hapcheon",1857,136,298,78,3,37,10611,1,13105,5394,638,3546,305,127,257,753,3,278397,2045,660,59,353,5,532,25,179,58,2,50630,297,1757,14233,64,178,319,18,131,145538,293,3030,72,0,466,119,210,5855,1455,5633,3709,45,493,22596,0,5016,4134,28,59,2,282,709,32,464,173,220,155,790,525,42,1723,356,15,280,219,0,3942,2,154,42,252,4852,38,326,1128,2297,1031,71,2,66,4051,416,389,570,3242,465,1306,5583,2660,253,0,351,36,61,307,3189,53,67,773,90,164,440
"Hoengsung",7482,22207,19478,443,345,23,3787,59,711,264,4163,2835,1599,487188,254,17290,14,16775,17942,239,1069,8235,117865,1298,3847,13117,325560,23869,314,612,517,814,182,24,933,8,260,342,23,1251,23047,226,1307,180,33974,3894,995,2522,648,425,146,3387,14,799,24,166668,76233,237,17169,1737,197,143,241,59716,1378,2068,54,4661,457,1254,208,306,482,0,129,52820,1395,480,8667,1503,334854,3539,295,129,1521,136,119,857,445907,58621,20,338,158,91087,181,6244,1125,681463,3335,3872,40815,908,65495,524,86,38,10672,280,44622,95321
"Hongcheon",8167,1658,12682,444,247,25,4430,57,964,528,2369,4397,1622,1698136,311,21212,20,26246,26600,70,495,7895,2081,1048,321,10627,4391,76500,245,784,849,1086,191,20,1197,13,221,800,67,1963,1544,148,1516,176,833,5694,1665,3212,877,1547,180,6278,11,307,50,78480,34317,141,2857,2297,323,230,515,47425,1164,3141,71,4769,1874,1882,215,331,545,0,178,212125,1493,629,2115,1848,3037,1194,555,252,2066,199,84,374,1910532,2464,26,817,246,11393,388,5617,1610,278673,27651,4652,694,1364,20511,894,158,20,10468,140,18027,25543
"Hongsung",2,18191,28513,33,167009,10995,164,850,22,17,865,51,57,191,9,1967,36,725,5353,1019,81662,32,162,0,19867,6444,342,0,5,101,141,78,4262,5220,12,502,1174,8,9,283,12041,100165,3,14,381,27012,345,95,24,60,149,129,1619,6,2,194,157,46,143912,33,9,2,1600,181,21,56,2,3257,43,36,15348,49,4,127,51,0,165,97,4329,111,236,171573,53,12,124,2435,43576,79159,409720,79892,44,3098,13,18415,38,184,24,1266,1,107,151,0,955,41,42,2777,28,2274,1519,6592
"Hwaseong",8507,541869,1355020,24146,191219,43858,56067,24556,10508,6711,1328621,12341,29908,1751,2291,537696,8182,140383,512282,5792,1024315,7522,22491,189,53056,164811,32311,5,2271,27608,35060,19731,23077,28156,5911,2250,168955,4522,4621,91505,95623,177595,102,8366,13690,213627,60645,37430,12407,7861,5615,46428,11271,16037,389,24200,4074,159941,9244545,68268,18281,7312,18433,35832,25728,94411,3752,270189,25952,10147,106171,20875,4736,668,8487,13,77829,23911,3384034,24891,35405,3912891,14634,9561,38285,36807,75426,430577,8412003,1740953,1695,28456,5866,406706,19242,60129,48175,91483,2,30995,12861,266,88450,12556,9416,20493,16369,145888,236255,1856489
"Iksan",147,7751,52969,2528,23,21,34279,27,1947,10882,105623,5846,69,2527,291,140360,121,42580,546410,2327,11642,81,1955,68,915,11476,3075,3,1989,7072,12179,30073,58300,433,37,549,42965,3914,2708,25512,3581,56,24,10151,11550,171010,68786,17202,4705,37284,3491,29811,179,16534,774,1726,2467,28,48114,21145,49178,34148,18219,455,89753,78679,43001,12417,14615,459,2119,35786,161,0,14142,1,110722,8845,49404,8166,2020,29880,7426,9840,12424,13497,24,5454,356560,29444,909,22991,1879,22069,7888,19473,136554,9258,0,180,1503,0,8002,6570,3077,473,21,12241,20553,45229
"Imsil",42,2261,13622,612,8,104,1030,4,80,552,30848,49,9,393,10,17551,38,1225,46394,3536,3420,8,108,21,270,1869,400,0,294,171,94,1504,215,1565,5,66,12601,160,135,250,1058,7,7,12894,2899,49847,63339,151,64,2885,1458,1615,60,423,88,304,300,9,14109,48938,40446,488,1157,44,468,218933,1416,1888,736,6,113,379,5,0,26309,0,26376,379,14420,319,233,8815,968,243,288,2301,6,1592,103823,8678,3785,19291,33,6462,428,106,380055,1305,0,1,218,3,2050,99,46,480,32,3573,3026,13068
"Jangsu",296,1256,4142,85,6,108,6484,1,518,2142,5798,327,11,270,27,10327,15,11231,44990,6655,331,78,59,110,131,724,193,0,2665,22712,183,7118,2773,996,9,83,754,1534,915,327,413,9,39,972,2313,91181,18273,950,572,699,693,7609,22,39342,735,130,169,4,5279,32531,447,1690,1289,46,4366,22962,27866,777,6600,28,154,140433,20,0,177538,0,2300,313,4516,1214,130,3502,3409,5895,191,947,3,194,40239,3720,6296,7453,455,2531,3118,667,240623,550,0,3,118,22,934,504,50,350,180,434,1566,3916
"Jangsung",265,3109,9503,479,4490,19846,3585,1041,468,1746,18586,969,13,604,29,19836,274,9201,44408,14158,4298,29,319,73,250,1848,676,2,1231,787,921,5673,52195,68068,6,29689,8932,646,401,1757,1201,26574,44,2601,2492,636404,17145,652,1098,4177,1510,4625,754,824,302,324,636,1786,14845,21342,1333,1535,57546,62,177806,45962,640,2235,1996,1,9556,1219,34,9,11872,3,19957,847,8767,1186,313,8723,2001,453,1619,2990,1941,3081,86594,11526,2848,59837,527,4025,856,41,54756,1556,0,0,234,3,1707,652,246,6386,182,2656,7642,8124
"Jecheon",77219,32624,3032,49,388,19,12887,19,2460,1503,1935,25010,130,143140,923,2015,10,96160,3704,64,990,208211,4485,5766,5433,1700,24411,8131,937,81,44,3643,41,16,33,4,138,1984,76,97,34621,125,7934,33,53336,1535,3558,10377,3788,121,650,13660,7,265,217,56247,45872,237,24558,450,33,44,61,129228,241,838,15,501,1474,4885,97,59,12,0,430,14887,198,54,11804,6284,12603,3288,1133,187,23,78,52,815,725874,97786,36,556,114,124273,521,20421,404,1045268,956,12323,9044,9077,66896,2836,13,16,252902,215,41115,97065
"Jeongeup",95,2695,22890,1775,34,78,5703,9,828,2685,36397,784,37,1057,53,72761,41,10923,191257,9018,4003,48,1208,55,323,8615,1993,0,538,4181,5262,8888,169003,1368,13,11551,14709,1021,654,6894,1255,156,22,1438,6621,754449,11391,1246,1376,15282,1786,8209,482,2439,225,1290,960,13,16777,88223,352,4243,134744,257,83823,247683,5957,6785,3026,20,3012,7389,93,10,7363,2,48675,5711,17130,2116,1514,10366,2438,1072,6329,3979,13,1859,140459,10420,1038,42802,344,7729,2001,952,284685,5991,0,7,720,1,5036,960,1190,915,19,4165,10475,15822
"Jeongju",932,10752,65873,3067,45,242,125282,36,21778,83503,145364,7640,249,3575,241,147603,168,59140,669693,6883,16351,356,1765,259,1254,10723,4647,3,4254,7733,13051,165914,96067,1491,201,2192,58589,3900,5489,27701,4933,97,149,25642,12774,416506,170364,10212,7091,36112,41947,404569,368,22403,915,2203,2495,36,66593,79220,192786,22221,41308,872,243019,40702,20517,11019,113338,261,4718,25305,279,7,46145,2,137123,10097,68015,12999,2684,41529,80796,32736,12134,18952,39,7615,490726,41679,2389,59150,2268,30535,15580,14852,77435,10205,0,147,1909,54,9856,10863,2788,1177,373,17004,22274,62203
"Jinan",217,431,2443,40,3,2,4266,0,550,2030,5605,268,2,101,28,4896,8,7929,17453,116,613,20,35,75,49,314,113,0,1359,3025,89,6275,2111,37,8,13,2241,2076,852,130,192,0,29,140,613,3953,810,833,372,1146,373,7393,12,14546,834,53,77,1,2605,36183,1131,28500,511,18,5355,20360,7359,294,4875,16,167,23138,8,0,1539,0,5766,122,2675,1183,64,1665,2316,4734,88,497,0,287,20375,1649,85,299,230,1231,2638,602,109620,552,0,2,55,2,265,382,18,44,97,641,581,2451
"Jincheon",53,32367,476737,9586,4023,108,10527,439,2358,1316,10591,3820,173,5485,271,567421,186,22943,205841,303,39973,238,3636,6,5933,62840,6606,6,226,6621,4969,3727,1246,61,46,77,917,1559,411,9495,11189,1409,0,461,80228,20709,6535,5510,3085,3514,407,5921,50,1680,32,4670,3982,3305,180798,13323,1727,798,2437,897,7289,11678,300,17002,3059,1731,733,2023,29,0,807,2,7899,7698,171723,2427,4123,288988,1729,1905,5053,989,833,10984,632408,100421,127,2058,1520,59065,1243,10538,5991,22301,1,8351,2749,3,28607,2253,2238,104,180,1500,83617,97999
"Jinju",4048,3471,13000,345,35,1336,398531,11,78819,262978,24631,5636,1181,1375,10,30549,46,128436,92817,5963,2948,1475,64,888,300,1907,937,3,49496,12516,5319,616936,797,2211,1515,5711,2386,2173,307429,11684,1703,27,713,2318,4535,71216,353828,677,4676,4154,708981,1577523,9,141971,1612,404,1424,20,15949,13926,738,6432,2293,1661,3294,144760,5051,2424,433216,9,50,26098,788,0,18945,6,4635,653,18351,10768,609,9897,2344301,251036,3393,2901,17,2253,152186,14982,1733,84381,2741,8699,501861,112,36631,2415,0,38,432,227,2085,4317,77,1608,2147,3371,4334,16323
"Milyang",32,7,11,0,0,1,491265,0,5,153,35,68,7,9,329618,23,0,1469363,74,0,4,10,0,6,0,10,1,0,7,0,11,137753,0,1,9,2,0,0,0,81,0,0,1,0,12,1,29,114869,601,1,3,14,0,1,0,1,4,0,8,2,0,0,0,17,0,2,0,1,17,2018757,0,0,2,0,1,0,0,1,12,13,1,4,17,1,10,1,0,1,206,29,0,10,1,18,4,305800,0,11,0,774653,2,0,8,6109,3,0,18,2,3,25
"Muan",40,19608,20590,176,33573,76871,172,9151,30,47,49456,57,15,218,5,5735,2283,567,14671,1267,24999,21,199,6,4785,884,397,0,109,220,294,157,61513,297772,7,828,28540,74,22,379,10590,172243,8,94,651,3658511,118,32,27,627,50,130,329626,108,22,170,185,17229,95884,1394,152,163,9803,85,2384,4051,165,727,51,0,1155853,322,19,69994,699,1,1013,281,23687,118,205,54532,55,21,424,14473,20490,19693,402442,88446,254,512,24,14347,43,21,4994,745,0,1,160,0,668,38,72,86606,13,5042,1359,22131
"Muju",32,2448,11235,229,131,8,11108,208,554,3629,24669,50,17,506,14,41012,771,4054,509514,1006,2751,14,128,5,275,1705,394,0,1188,91344,185,13074,2260,54,13,33,4115,609,4083,348,1331,26,8,262,4864,16790,13326,223,92,4806,4191,19822,20,28887,360,297,290,29,14990,34935,302,137551,831,64,7231,26676,28511,2090,25315,21,290,33429,28,0,5749,0,4673,1329,13029,408,474,10876,11004,13489,189,6068,113,2492,105794,11027,541,2653,64,7792,14513,284,181551,1209,0,8,201,1,1286,105,78,146,8,5525,2535,12568
"Munkyeong",2,5720,229,1056,12,6,12647,33,3114,1315,527,5585,28863,871,748,1264,11,71336,2718,42,56,8,162,4,864,14759,695,3,361,36,7873,4024,11,2,20166,1,41,2419,24,35235,6404,55,6,8,11498,549,903,8679,3321,106,221,10918,1,107,141,463,443,5,3290,161,6,21,19,22,120,272,5,9,819,2107,17,13,125,0,226,0,102,66,1192,6960,472,118,512,93,99279,25,29,44,134008,17179,16,175,3616,21103,201,10361,120,1279,1,6451,321,1,13344,3353,431,4,3,71,9525,16595
"Naju",0,202,57,0,309,999,2,85,0,0,122,0,0,3,0,9,18,2,34,4,171,0,0,0,24,2,1,0,0,0,1,3,656,1122,0,14,177,0,0,0,69,1774,0,0,1,498844,3,0,1,2,0,3,24152,0,0,0,0,251,758,6,1,0,28,0,15,19,0,1,0,0,67374,0,0,13595,3,0,1,0,60,0,1,920,0,0,1,38,144,227,2720,772,1,23,0,50,0,0,12,2,0,0,1,0,5,0,0,1160,0,51,5,57
"Namwon",2487,1070,7671,112,55,4903,16517,1,2100,7189,11750,2351,94,335,156,9661,10,63298,24228,39240,1157,634,72,578,113,1453,279,0,24591,2424,1564,22978,163,10705,134,304,4049,8331,3448,3662,507,88,245,33148,1821,423508,110012,4773,2434,884,4829,21281,111,40984,5537,134,197,32,6618,12166,25820,178658,9678,436,7954,43989,1464,885,18288,129,562,5674,215,3,273845,0,7889,167,6109,7195,167,4122,8293,17577,1316,793,20,528,49737,5222,62189,41037,1941,3084,7751,2563,80047,632,0,34,111,146,721,2622,31,2957,1510,1204,1489,5986
"Namyangju",3,7,0,0,0,0,1,0,0,1,0,0,4,665760,0,0,0,1,7,0,0,5,10,0,0,2,8,230279,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,24,1,0,1,0,0,0,1,0,0,0,117,116,0,7,0,0,0,0,41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,12,1,0,0,0,0,0,0,4572662,6,0,0,0,1,2,0,2,47,268622,1,3,0,5,0,0,0,4,0,0,11
