"","Anseong","Busan","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Eumsung","Gimcheon","Gimje","Gumi","Gwangjoo","Gwangju","Gyeongju","Gyeongsan","Hoengsung","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Nonsan","Okchun","Osan","Seoul","Suwon","Ulsan","Wonju","Yangsan","Yeoju","Yeongchun","Yeongdong","Yicheon","Yongin"
"Gumi",8481,146826,23229,96961,31110,2672972,77116,1852,132795,635,2328,7167,1082,129113,66781,1090,10188,61,1704,4933,1523,4227,18427,26817,152767,71990,71098,1737,20331,1135,15036,30658,5111,4478
"Gwangjoo",111540,23250,4386,1275,157859,64937,108335,117542,18054,3979,7692,105215,55542,10889,1944,54174,28255,3601,15378,36809,41898,11806,8252,3375,3559131,28807,6723,110947,3458,22803,1026,4444,73058,13459
"Gwangju",32165,0,46723,0,86284,0,254628,5941,166,227978,1084,39140,0,0,0,9296,87720,871422,447496,458130,6055,86138,4649,90110,991014,207795,0,10481,0,5471,0,381,12810,9759
"Gyeongju",29609,1181222,36733,43424,40294,1910517,105738,2558,33150,360,127530,11420,549,0,194636,126,11760,10,1142,4451,2366,5825,16209,66429,283497,112590,344015,3569,533901,1466,118804,15886,6389,10945
"Gyeongsan",3339,103949,4581,40005,6523,846327,15358,514,10765,91,63878,1793,15,223496,0,76,1483,3,160,364,370,1556,3429,5078,36078,13653,74504,689,35928,273,50881,2951,919,792
"Hoengsung",23027,1409,8425,87,25888,4657,37428,3231,1307,554,982,46493,9583,312,47,0,6746,343,2186,7196,4215,2795,1070,10705,817674,212752,301,568885,359,48951,23,540,65823,33425
"Iksan",22864,6020,29441,579,85585,22172,437972,5148,7081,25061,9734,26061,99072,10152,1408,6740,3153,12800,64066,20566,4099,55037,8333,54607,511495,116905,6096,9858,830,3023,652,1699,13217,8184
"Jangsung",2632,0,4134,0,7349,0,24546,1312,0,33816,0,3229,773226,0,0,521,12492,25043,74586,42269,364,11015,500,6985,70473,17517,0,295,0,559,0,0,1016,729
"Jeongeup",9115,429,14437,119,24424,3273,98260,2213,2018,360041,1979,13228,429043,1509,219,2381,63204,71189,32011,287058,1424,41193,2842,22644,309358,59831,873,2312,45,1224,111,569,3848,2447
"Jeongju",22978,4878,38767,258,82150,6051,356263,4992,3281,46870,5876,27866,440147,3141,417,5680,24624,35966,268051,0,3905,102673,5160,68902,634812,134370,4484,8493,464,3589,185,1154,10361,8549
"Jincheon",11472,4605,0,343,142887,11641,59015,23713,2607,456,1765,34619,6767,2962,520,4212,4377,355,1476,4203,0,2821,4457,335,238573,45945,2192,6584,1410,3127,196,1276,14972,6124
"Nonsan",8982,8783,12184,846,43977,26982,540098,3276,8725,11658,4286,10572,98034,6734,1545,2787,57790,12882,42635,112320,2705,0,9450,15859,179386,46203,4918,3998,2008,1706,574,2091,5052,2640
"Okchun",12365,20153,34898,3120,141645,80066,365254,3708,39628,1002,19289,8390,6554,14532,4274,1550,8620,492,3085,5584,4786,8918,80769,19250,135675,45267,8642,2364,4835,1031,1594,69043,3036,2665
"Osan",122667,70936,382964,4442,208189,165586,222114,1864,42496,7247,31972,2649,120566,55996,7190,13473,68634,8045,25475,75100,449,20051,21628,0,2225561,313060,24661,18405,17582,7413,3651,10407,21195,47368
"Seoul",1866766,427359,2508670,17702,1629512,919719,1756333,969520,257117,66330,135503,3709508,875989,209679,28195,853724,484534,53755,281234,610596,256073,181420,122054,2199429,1465,7316352,124133,1188231,41649,367967,15942,92538,1072702,2430243
"Suwon",474655,180055,779607,8184,485944,365552,492239,200017,98184,17986,72657,21409,242907,104993,11763,259797,131833,15816,64000,148326,49714,50728,43922,348223,7221303,753136,56302,424494,28401,165954,4943,27202,602576,1325400
"Ulsan",8443,1458656,22138,16824,26840,543028,64096,2026,17889,211,83247,6475,38,373057,71103,144,7783,5,1018,5659,2507,5426,9041,29220,155339,66176,2531453,3430,1046910,1186,91243,9702,3592,4044
"Wonju",33073,7573,7706,191,34566,17275,41595,4648,2057,472,1540,101127,9201,4965,284,595779,8665,267,1551,8273,6675,3691,1792,15822,1172851,402582,2806,60832,807,149931,150,447,144850,61218
"Yangsan",5941,1938394,8931,9474,10462,135455,24086,1104,9452,282,23222,3472,6,540901,31433,213,959,0,27,619,796,1563,5551,14697,71899,31547,1019142,1475,0,471,70878,4449,1655,1877
"Yeoju",7711,3921,3188,161,12203,9465,14567,2326,1579,294,1669,16236,4853,1297,223,46093,2685,378,1075,3305,2650,1527,853,6086,329223,151571,984,152601,388,0,158,391,35383,29127
"Yeongchun",1113,207963,2455,7877,2721,357878,7223,184,4730,33,16536,969,5,116352,51138,31,685,1,192,192,194,514,2566,2326,18998,5645,99612,298,69428,167,0,1650,361,377
"Yeongdong",4783,21158,10249,4280,28331,89064,112034,2288,48878,186,30751,3668,1106,14724,3118,685,1741,115,603,1213,1225,1852,66890,8709,88106,24123,8684,771,4384,371,1365,19554,1703,1213
"Yicheon",54719,13626,8584,558,61641,29090,47957,22872,8310,1011,6611,65081,21952,7855,1171,76537,13592,1313,4449,13276,14169,6295,3146,19744,981901,563329,3471,175514,1795,45704,455,1228,27720,76102
"Yongin",29996,9881,54522,507,52252,25883,45013,24482,5804,1051,5587,10338,14552,11806,888,43109,9438,1146,3300,10334,6613,3209,2994,40660,2448283,1194453,4063,77505,2095,38671,337,1446,95525,131198
