"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Gyeongju",36024,20483,16932,4090,354,127,1619715,821,6435,113,80481,132592,13751,6670,26391,49717,886,1981763,101621,1540,12871,8755,45,7031,989,8999,340,165,11545,1422,26284,102286,503,398,12073,24,6393,18939,198,135736,4182,839,3699,12549,19804,2294,255601,285533,3079,339,2893,4,2719,5332,2287,2996,60,26957,15350,123,936,1160,10539,1909,11696,786,4892,655,109779,56,304,6458,0,4943,199,4944,11449,21388,516,1379,32228,441,691,28937,4416,652,11646,194725,42022,1062,858,1092,22862,79,1244793,10946,17055,8,902573,339,1852,19784,165532,9133,274,19903,10458,8615,29021
"Gyeongsan",35239,7668,6992,1557,96,62,91370,274,15795,944,25730,310431,8710,1884,20975,21231,337,4071195,34446,1037,3683,3519,19,13194,1006,6585,457,76,11265,593,27783,6887,229,353,4602,24,2213,55126,414,214915,2072,364,10411,5120,17626,6170,307634,1955,804,1392,24916,3,2329,3674,852,991,24,10028,4013,92,525,523,4370,967,7527,306,3157,4293,78595,15,171,3449,0,2902,39,4622,4432,6641,14242,556,16372,3794,833,24197,1462,310,3327,57344,15394,578,1700,2695,7581,711,218480,3438,4651,3,66691,320,1138,5289,217874,6056,112,15010,4353,4266,7017
"Gyeryong",15,1067,9643,1516,219,3,3063,127,836,384,12465,1073,28,1402,165,74419,303,17633,529780,754,2909,25,654,11,109,3517,2005,0,134,20921,3837,1203,2781,76,13,181,4565,455,395,4819,384,46,9,3511,28026,4283,3211,1465,9308,326,6255,33,867,52,566,1365,40,5379,38683,2449,668,4064,92,14238,35804,1089,3688,4516,695,835,6068,98,1,1029,0,66309,15005,5447,4504,424,3767,1532,743,6144,5058,249,2765,58904,4648,411,3950,450,2905,1518,3620,22281,5514,0,2909,572,0,2095,1106,3148,93,5,7120,4380,7408
"Hadong",1104,665,2694,163,421,1059,165880,25,16304,71556,5518,1872,289,303,7,6044,7,50547,15703,4734,583,2488,22,302,86,387,230,0,5037,1830,1497,210617,206,1421,413,4636,1055,765,26318,3208,285,588,156,1298,54132,269943,690,1696,376,111305,236327,11,7761,781,123,220,235,4232,2259,1081,1361,1062,579,1486,47306,404,483,686540,3,43,4343,201,0,3463,0,1797,227,3171,9383,86,2211,316254,22684,1141,445,129,440,34350,2952,776,99143,1677,1883,88199,58,8504,697,0,9,134,37,440,3975,27,542,705,426,859,3322
"Haman",41837,18471,25017,6353,124,3683,552902,150,974507,603724,66560,66517,17883,8221,79,62462,438,1200621,133070,11728,9743,12013,290,11489,1619,11409,3684,119,65756,12144,62988,914234,1374,5374,15451,9863,4125,52195,11687,120828,8454,166,5864,16904,155435,277654,2595,25707,5616,273569,5203502,35,62764,32307,3027,6185,77,29073,25079,1109,5915,5669,15193,7309,384432,5627,5441,1437250,46,229,18675,10763,2,19051,47,6967,8839,27426,34762,3520,35652,620134,131330,47721,4620,62,12250,302614,55855,3280,127567,52609,27249,34712,186,68380,15267,9,59,2971,2040,27906,25808,6548,2312,23459,9518,15844,30942
"Hampyeong",3,2634,1814,8,5706,20771,72,1786,5,33,4221,4,1,26,0,389,288,143,923,277,2467,0,17,4,481,100,30,0,23,15,10,65,13987,39844,0,213,2969,11,5,17,959,42531,2,73,863601,165,10,5,34,31,52,5028,11,4,11,9,2616,12940,151,23,21,816,13,423,325,27,66,23,0,298659,30,1,26675,130,0,93,19,1995,23,17,6404,34,10,59,842,3187,3869,54395,11111,70,439,10,1440,34,3,506,60,0,0,10,3,57,12,6,18217,3,625,82,1865
"Hamyang",1068,5415,9645,128,10,864,29734,10,4078,13127,15455,1984,86,514,230,21695,54,58818,68535,3383,1521,309,50,257,227,1417,366,0,69664,13571,821,39000,2121,871,106,66,1912,10551,10400,2198,1258,1,139,4234,33197,9338,2864,2398,801,8508,53709,10,174916,7097,271,358,8,9558,16731,356,41320,606,458,2036,24092,13628,2061,152065,131,84,27089,125,0,41815,0,3580,311,10812,3758,177,8386,34595,74123,709,1440,8,1017,97936,9283,5021,4144,1695,5657,25715,2530,52012,1060,0,54,141,37,958,1934,29,198,595,2124,2851,12164
"Hapcheon",1909,121,293,109,2,48,13857,4,15955,7330,1493,2569,331,145,267,860,6,275067,2357,904,85,309,5,460,11,230,90,1,60281,400,2006,18383,58,191,290,30,155,161520,521,2979,75,1,322,310,6767,1448,6748,3856,66,742,29997,0,5914,5747,62,76,1,397,808,47,604,152,240,213,1032,589,21,3083,455,14,435,220,0,5029,0,169,107,278,5345,44,273,1899,3543,1060,57,0,78,5345,657,635,826,3673,472,3149,6489,3316,238,0,485,38,35,652,3394,67,50,755,156,237,534
"Hoengsung",7302,21863,19526,264,373,24,3801,64,853,284,3487,2583,1805,474174,233,16275,33,17333,16000,203,1047,7269,111177,1376,3864,12079,312163,19740,382,503,477,835,155,16,1060,19,247,288,17,1343,21296,190,1047,36791,3582,494,2532,546,401,106,3091,4,290,46,164085,80008,244,14209,1819,206,163,273,61395,1297,1787,39,4274,439,1242,179,208,493,0,145,40489,1324,408,6325,1328,324341,3017,295,115,1565,114,119,950,443111,60969,29,488,179,83128,333,6494,1143,674596,2983,3660,40128,788,54159,631,114,17,11728,261,48718,82771
"Hongcheon",9131,1697,13558,466,302,25,4694,51,894,586,2504,4633,1959,1699058,308,20703,14,27881,26801,90,541,8160,2333,922,294,10226,5221,64561,222,694,774,1300,185,20,1387,25,214,825,68,2013,1494,135,1422,909,5390,951,3335,943,1623,178,6083,13,310,64,83206,34542,162,2199,2083,305,185,523,52327,1197,3080,41,4259,2100,1725,237,292,672,1,212,158754,1460,629,1779,1829,3499,1013,648,272,2144,175,106,546,1841845,3482,60,874,238,11014,566,5841,1543,280473,24715,4728,845,1376,17880,1007,174,23,11683,150,18823,24958
"Hongsung",10,18910,29210,41,166902,11762,200,934,27,23,1233,41,70,218,11,2112,30,854,6088,1077,73243,38,154,2,18960,6197,392,0,7,64,144,75,4502,6134,15,499,1213,6,10,348,11569,100229,0,451,26324,412,114,34,53,228,140,2391,15,0,214,162,28,148486,35,7,3,1627,197,20,51,1,2905,49,42,16152,60,10,119,61,1,179,74,5533,123,194,162596,43,13,162,2329,46461,97105,464255,92414,98,3438,20,16975,54,240,29,1204,0,122,183,0,938,51,41,2991,35,2480,1526,7516
"Hwaseong",7946,544161,1308766,24240,196386,47568,55457,23738,10544,7295,1274070,11490,24507,1529,2265,526533,8156,140479,508745,6247,1032239,6534,18824,130,53271,163767,28274,5,2214,28430,34055,20151,24477,31923,5027,2928,157968,4737,4749,94483,91183,193347,55,9700,208505,30256,38842,12796,7551,5981,45331,13202,15520,314,20346,3878,154922,8752205,63928,16112,6729,19320,33380,25225,84805,3467,237591,24305,9588,102485,19898,4223,867,8949,7,72896,35010,3233417,22630,30567,3956710,12916,10223,36118,26721,76827,469583,7926844,1662067,2713,35771,6144,394897,28141,57843,49087,78621,1,30237,11890,153,73450,13098,12395,22579,14266,139970,192272,1585171
"Iksan",118,8126,51815,2647,22,23,32102,34,1923,10602,110631,5392,99,2367,276,138967,146,44436,574109,3033,9654,110,1279,81,935,11506,2941,1,2387,7625,11762,29813,60933,427,52,896,42569,3843,3168,27037,4028,31,32,12095,174799,37383,16246,4204,37640,2460,27337,147,14893,859,1852,2933,28,46297,20238,46867,34247,22581,502,90800,72327,41614,12362,16583,485,2506,34339,172,1,15512,1,113225,12635,49271,8819,2004,29100,6923,11807,11544,11388,31,4067,362137,30998,2259,31775,1764,22126,12340,17745,140363,9506,0,211,1588,2,8474,6606,4500,394,28,11442,21152,44749
"Imsil",50,2395,13777,793,3,98,871,7,74,429,32505,22,14,323,8,17831,41,1048,44609,3192,2846,6,159,16,273,2090,337,1,189,165,106,1205,249,1254,5,86,12604,114,152,198,1185,8,1,2851,38994,43167,133,60,3051,1053,985,20,402,68,332,333,8,13675,51702,36864,563,763,43,523,208692,1151,2423,693,5,99,349,12,0,21518,0,28093,393,14490,195,283,8666,819,315,261,2031,5,1203,105100,9198,6037,32078,44,6542,597,119,382489,1255,0,0,246,2,2137,143,58,246,26,3351,3282,13011
"Jangsu",266,1060,3949,68,3,122,6215,4,603,2030,6400,267,19,265,30,10988,10,11837,49165,6565,313,71,43,72,158,760,199,0,3431,25120,210,6875,2771,1021,14,74,797,1677,1110,402,416,9,22,2691,84189,10097,1059,544,545,786,5551,8,39517,836,154,235,5,4898,32803,511,1585,1253,78,4141,20234,26741,635,7566,31,159,131973,29,0,188473,1,2002,439,4674,1133,145,3160,3448,7288,159,557,6,159,42510,4374,10462,8171,491,2502,4915,774,251446,705,0,7,123,6,956,624,70,277,164,437,1688,3521
