"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",141524,6913,813,7,16,37,34976,14,10531,4293,152,367275,22,18940,5793,130,8,1253590,1027,695,133,64039,400,68034,1088,358,4866,1722,3652,25,459,9805,25,189,7,19,20,16446,126,686,7294,19,56685,12446,9894,6152,39436,32113,25,1175,44116,4,1036,1800,6881,9294,10,5209,154,36,318,262,80838,126,875,193,32,3748,16265,29,57,6,0,2284,3643,73,33,2055,13875,4315,471,2782,537,35,17,11,108,209012,23616,481,1998,606,29047,1400,51548,1213,59912,276,34631,2631,32579,11965,11155,111,120,119029,53,8180,19787
"Ansan",7933,406758,125758,4036,28664,9068,24916,3833,5668,3449,121261,7995,36045,793,721,90990,1229,58569,79487,1175,155719,5929,15279,231,287467,90012,23539,4,1005,4340,9927,11647,5063,5987,8550,672,20475,3332,709,26778,640977,47003,185,2594,44869,4059,21103,5925,1388,774,20122,2909,6293,106,18334,1949,18782,441460,8022,2032,1020,4278,33723,3134,10721,440,29905,3804,3236,20872,3070,7266,187,1216,1,9597,5917,67496,10386,16929,323479,2504,1848,33940,3835,13635,64230,6805679,6790403,386,5983,2952,777137,3805,22805,6151,69408,0,12828,8165,302,53461,7835,2248,3927,13813,21530,129569,722349
"Anseong",731,139754,615048,21036,49849,6690,30648,10689,8247,3178,917487,11488,1060,13213,1669,667108,4147,85384,480598,2886,245830,875,13649,38,27915,296269,28762,15,1143,22847,21984,12195,8088,4689,293,1019,90379,3100,2866,44586,62756,28474,17,302072,107727,21358,19479,8482,12955,3051,23147,1479,13135,253,22613,16711,33288,965460,54277,12151,4322,9436,4535,25435,67232,2556,454320,13770,6331,18150,11135,244,46,6117,8,50382,27142,1077404,11247,22211,1078495,8182,8343,20578,14620,12811,100203,4191248,392152,1837,22094,3360,411893,14284,26178,39819,87805,3,17416,11476,31,82862,7378,8718,3086,1278,21101,232613,756665
"Boeun",21,3555,20799,81093,242,42,6711,467,1856,1057,56692,2623,977,650,403,674227,360,28747,126129,58,1028,6,262,9,520,5731,636,2,97,573,2644,3236,264,9,757,28,1052,721,46,18488,2024,489,3,7927,4228,726,5327,1747,1677,71,6823,13,148,50,375,596,48,17981,2920,334,116,343,59,1939,3548,68,9317,461,1824,197,260,1400,3,161,1,2258,417,16850,4444,374,17613,213,143,82298,1318,470,1001,114943,18286,10,734,2789,9375,396,8516,2546,1734,0,4610,321,2,2279,2063,70,15,3,1993,4326,14112
"Boryeong",8,29877,49735,238,312207,29144,297,8826,55,48,2056,178,65,254,32,5478,576,2749,41580,2409,100532,65,394,1,21171,8099,765,2,5,438,686,139,18645,13452,21,1419,7266,17,14,1242,13166,448598,2,609,54506,1041,398,116,180,500,175,5926,4,1,322,318,178984,182978,15,3,8,4046,292,28,36,0,4063,55,69,29432,130,8,223,137,1,156,593,6494,432,435,206048,131,10,484,20494,278430,231159,538440,115778,283,7630,49,18693,105,722,9,1735,0,124,362,0,1191,141,190,5955,34,2475,1910,9125
"Buan",25,9100,6387,59,30728,29431,3270,8294,263,1321,16300,32,2,54,11,1482,1523,2396,3844,11160,9823,6,44,6,1495,178,54,0,166,19,59,4264,33536,95938,2,5975,13797,218,386,122,3427,112630,7,126,238328,3991,264,75,10,1562,3579,22710,322,142,27,55,12871,41843,14,51,128,19047,27,89,462,6,139,1865,6,79888,12,19,969,5192,0,9,26,7578,312,32,21113,1839,581,206,8149,17979,16106,169482,34212,2393,22131,38,4827,2642,103,54,158,1,1,39,0,158,135,13,40531,5,2526,235,7042
"Busan",11676,18440,20605,3445,166,2949,11590424,217,244724,2217624,56366,35977,14894,2661,78223,46398,476,1714332,85944,9302,9721,3732,39,3138,2939,11653,464,74,49190,16103,43913,7294178,2015,5295,14576,10650,4874,28282,4116,50851,4084,144,1559,23392,163620,301883,1628997,58398,1605,168584,555946,31,32897,14524,1263,1910,56,34899,31078,964,6061,4975,6018,7147,120192,4220,5307,402167,492403,144,12897,5113,0,17917,84,6671,5381,18733,675,967,30225,280888,55570,24238,2746,105,7997,175484,39153,2523,129090,26467,15343,3905,6936385,78683,5997,9,5827658,458,754,14773,153006,5678,2976,8258,7186,18944,24665
"Buyeo",10,3804,10704,294,10329,8253,535,36627,143,17,31151,428,9,66,66,4874,14165,4806,103297,482,9657,10,53,6,326,367,98,0,3,694,961,124,3825,4147,7,193,69312,49,5,1864,1406,81175,2,234,14596,114,926,220,159,27,145,1612,5,1,62,70,1014,18092,64,13,3,918,34,22,81,10,440,21,280,9153,217,20,76,17,0,157,1907,13800,1056,74,11493,8,19,1218,58190,69042,4458,105993,15887,21,704,124,6206,25,1272,44,294,0,322,59,0,226,407,451,2432,5,14851,397,12312
"Changnyeong",9344,6283,6759,1492,41,210,241248,149,183891,159217,15727,24606,6124,1362,44,18399,189,726089,28894,709,2856,2092,29,4263,384,5222,563,40,30466,713,25722,302045,172,418,4264,524,932,31976,1063,33787,1625,39,2270,4886,9419,24336,7617,13054,698,15975,969234,9,3756,13427,465,889,10,7457,2024,84,570,303,2586,609,21195,556,1807,73154,38,37,526,2629,0,2364,11,896,1984,6093,20991,491,7139,31724,5310,14640,1269,49,1884,66982,12666,443,10237,31446,7231,4166,414,5167,2147,0,43,388,338,6234,15321,2957,164,5828,2311,4653,8043
"Changwon",6172,4219,5229,1337,30,1189,2023781,41,215326,3363140,17699,15146,4131,1480,10,12973,116,220719,23773,4814,3130,1568,33,1973,483,2828,575,20,26676,2875,14745,4378186,831,1953,3012,4432,901,15691,2865,26175,1694,47,1348,3736,63978,118503,240,1429,518,69365,747674,13,15412,9934,436,1027,17,7060,10025,393,2247,2107,2679,2765,84245,2110,1320,275479,38,70,4302,1974,0,7648,9,2961,3377,5072,1639,609,7378,145061,33779,8847,1263,15,6083,51754,10261,1411,54457,15467,5174,5380,262,24543,2674,0,165,433,405,4804,1697,1541,1128,3940,2517,3152,5926
"Cheonan",137,124706,994306,53955,2117,15670,91175,30044,17946,12873,718091,28046,558,2389,3507,1013685,11663,243634,1658239,6136,10011,556,4122,41,22130,35218,8722,7,2439,58128,54139,34089,17004,11383,150,2232,259730,10034,5487,154503,48199,69381,45,6789,221804,50561,84102,24613,12482,5528,75207,2895,14721,1516,4130,3528,1294,995768,112396,28144,6179,18395,3014,44259,149136,5853,15601,25119,18294,37862,23411,886,83,12685,5,121284,70194,993555,33519,7615,561337,16082,11991,91564,39529,19066,9203,3557240,482568,4412,51744,11353,321117,30336,93510,86428,16415,2,49987,4877,2,12454,27541,19910,7283,391,3360,21475,746665
"Chilgok",398572,5795,9314,2155,132,32,86338,366,29017,11099,24610,61366,6923,8547,24337,23927,345,5727388,39406,972,3071,33106,507,151453,450,4234,4206,200,7132,1067,26596,27731,200,143,5297,23,2099,41527,222,382150,2736,621,118061,5044,12781,7676,163056,315053,1100,1772,77989,2,1641,2886,3000,5281,18,8137,4892,65,446,825,33829,626,6906,292,2260,5884,42338,40,74,4998,0,3307,154,2794,4597,7717,177593,4126,12317,5070,978,38720,1569,513,5195,57113,10987,674,2440,952,7176,2365,164103,1590,15325,10,83929,2264,10825,6067,215680,9660,76,140003,4229,6412,7102
"Choongju",19,32762,1557,824,67,2,27571,6,8300,3871,388,7471,101340,2937,967,438,2,71470,988,15,191,148,1430,7,5615,63347,4399,19,434,22,10923,11939,11,1,48518,8,28,3825,53,34246,29972,14,6,78666,366,1064,14221,10495,20,324,19351,1,79,202,1907,1824,47,17578,99,13,24,17,218,47,337,8,126,1611,4859,33,18,26751,0,192,13,39,36,4161,9288,2300,525,866,100,110147,8,13,143,702807,90245,14,311,4513,119406,492,26908,77,6501,1,13826,1992,1,117991,6035,907,4,44,31,64311,92472
"Chuncheon",33758,779,12244,581,240,33,8287,52,1583,957,1795,8769,3067,2202184,647,26807,16,59463,37865,130,485,20580,19313,2999,159,14075,38143,130043,313,752,1375,2217,207,20,2040,24,209,1189,97,2979,627,170,3491,962,6018,1005,8397,2296,1329,363,9192,14,326,130,696452,3878255,161,972,2106,310,231,582,193133,1109,3511,94,5327,1396,3366,213,561,894,0,389,170382,1792,851,934,6723,26796,763,719,309,3638,254,86,510,2650694,1943,36,691,353,4307,1048,12715,1635,816225,41884,8181,4024,3979,29225,2741,307,28,42602,113,29046,20963
"Chungdo",3,0,1,0,0,0,69871,0,0,0,3,6,1,0,1835,2,0,641559,4,0,0,0,0,0,0,0,0,0,0,0,2,14925,0,0,0,0,0,0,0,10,0,0,0,1,0,0,15612,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,271397,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,24,4,0,0,0,1,0,42226,0,0,0,105303,0,0,0,849,0,0,1,0,0,1
"Chungju",125,92108,661692,715525,6256,1211,82908,5004,17909,10179,1025463,27061,856,28993,3183,3550817,3830,269155,4453684,4945,37485,981,12529,35,13290,494121,35656,30,2723,131443,75060,36446,13161,754,551,1202,11368,10230,5283,175922,30977,15701,45,263399,198069,36357,60728,20427,74205,5868,65612,332,22007,845,17358,22106,2117,409167,145005,15833,11388,20773,3229,71844,146389,4599,658024,33138,17561,6976,43902,1750,11,9646,13,86392,404573,385266,41499,21391,393464,17777,14073,250090,15152,9632,18567,2665858,318435,2233,27724,11309,209639,33336,82357,81932,82914,3,48301,17498,6,91267,21578,85683,958,246,16405,307055,354905
"Chungyang",8,1194,3634,305,1121,1360,784,13284,238,86,10596,402,5,23,58,3534,19,5915,136855,95,4282,5,19,2,115,289,42,0,7,1972,1262,258,691,627,1,29,29296,96,18,2555,472,14115,5,70,2243,72,1084,297,434,9,475,214,36,5,24,28,78,5830,150,36,6,289,14,56,207,11,206,48,266,1890,691,19,11,21,0,324,2285,4689,1144,34,3701,45,27,1042,41086,9057,2205,34853,4524,5,225,186,2108,95,1853,109,114,0,600,23,0,80,332,556,283,5,7437,116,4186
"Daegu",1347005,79091,117210,38230,2770,1938,884486,5689,772827,160166,357875,6260137,111105,71990,496105,373721,7283,24203092,755031,17564,48752,115619,1193,775330,8693,82110,23086,2066,480987,14163,643292,344721,2901,6713,96418,600,29300,2123381,4539,5299245,47645,3106,642330,122138,211608,119338,1900053,4220892,22671,43687,1259031,74,63998,308471,24592,43322,554,158024,40840,1117,12982,9908,158021,10226,56597,8668,31224,122882,811332,492,5714,88562,0,73430,1262,32755,53997,133524,2744953,35036,135806,94343,25204,632786,31758,3975,52746,1599159,216485,15296,44804,197781,154760,34281,1311823,82694,113450,114,750254,16598,52046,170293,3504508,119627,2447,493800,60537,94710,196807
"Daejeon",921,72956,472913,132383,41241,2834,152607,102475,30805,19289,1658899,43455,1086,39252,6493,4445582,133883,595045,10906678,10524,270290,886,14851,330,10563,164311,37111,18,7512,1439721,256266,55664,46975,1997,726,3145,588257,13914,16768,292526,37476,53043,232,151184,480060,75761,119143,38715,549531,16129,147372,845,71169,2025,17264,27269,4366,406615,590191,41877,53232,47082,4849,196759,687908,17386,218923,95144,29149,16372,530176,3415,16,28027,18,757311,1651801,375962,105015,25530,282282,62084,42620,181535,603580,107833,283508,2819732,315479,6380,67526,18618,196844,112377,144431,339791,88921,2,89107,18189,13,75762,46553,444737,2397,191,782385,148560,394114
"Damyang",627,1150,2964,69,2805,11801,7673,595,650,3391,6921,711,12,127,49,4640,179,18088,11344,26382,1437,169,55,138,114,981,157,0,3288,186,457,10992,7436,19242,14,97763,2892,2116,811,1318,392,9942,55,570,1183221,22162,1646,872,831,3886,8434,216,3318,1289,128,109,1179,4913,3065,2389,6502,13908,76,10805,11107,97,439,5883,23,1419,774,44,2,50664,0,5794,131,3115,2414,85,2900,4310,1996,425,376,1088,2280,29945,4685,18467,123332,645,1465,4837,420,10695,500,0,9,73,21,906,1073,20,6692,338,786,968,2815
"Dangjin",109,185715,207650,1278,93277,8268,25054,9280,3339,4061,11890,6648,228,540,462,38027,3583,50157,288084,1714,488471,194,2060,16,61439,43815,2360,1,167,5195,8259,7312,4967,4850,48,1046,69146,1010,1478,16050,52621,74875,13,1479,57306,5943,23781,7158,2573,659,14342,2415,1173,51,1106,795,61134,951044,10650,2673,288,4483,1011,4140,15050,542,35952,2776,3386,19157,2820,50,139,1064,2,19495,6385,23501,28622,1341,1371683,2748,1118,3213,67348,25257,223678,1701769,681072,467,9129,1486,55420,2728,26754,8176,5119,1,7947,809,2,3739,21194,2060,3036,226,150912,4697,26189
"Danyang",81375,5822,895,7,52,11,13058,8,3491,1629,382,37745,35,12759,1131,621,1,98814,735,128,164,38841,630,6681,1106,416,4239,990,677,10,28,3342,8,8,25,11,23,3587,51,104,5931,25,18515,9830,1730,17286,11153,3609,13,2868,16823,0,339,241,6717,9168,51,4265,120,5,62,30,204685,73,499,25,159,1509,5674,14,10,3,0,749,2135,44,16,1588,9485,2753,574,1087,207,8,20,14,179,117405,18283,97,929,491,21337,535,30401,90,93890,206,12400,2125,12053,11492,3881,15,6,282448,38,8380,15566
"Donghae",311,13650,11058,177,420,30,94,59,35,35,3199,385,1329,9290,8,11180,17,813,12551,35,2537,633,77921,44,2294,5543,1448365,768,8,212,157,17,114,18,692,6,225,28,15,347,13551,233,34,20681,2359,244,46,23,542,20,285,7,38,4,108077,1798,189,10393,1200,118,50,213,4031,819,1748,33,3044,57,28,179,105,166,0,57,2028,826,300,4745,33,124445,4098,34,28,441,129,105,816,291112,47374,9,188,32,46586,27,121,779,135884,166,71,270806,98,21600,16,56,18,403,272,22486,43275
"Euisung",57315,185,39,13,1,9,8982,9,4672,1422,83,129828,5,1744,2483,53,7,719003,577,137,34,6151,52,42,34,27,471,94,1287,14,270,4098,6,40,8,7,18,6627,63,317,199,3,23160,433,2433,1412,8612,11381,13,297,12536,1,300,493,1413,981,0,136,100,12,118,90,5823,52,281,52,1,910,4968,6,15,7,0,687,144,29,42,54,5667,425,22,827,174,42,12,7,28,6394,781,109,472,211,946,304,12353,366,7039,15,8690,294,1961,684,3664,99,29,19537,46,406,622
"Euiwang",942,299308,20901,446,28021,972,5234,332,406,352,18129,386,5008,106,102,11364,119,4626,10274,98,82627,865,1873,26,232,12981,3260,0,49,428,959,1043,377,612,1269,38,2869,158,84,2236,123517,3806,6,500,2967,498,1463,749,139,104,2141,245,200,2,2721,308,27196,70249,1012,251,127,309,3957,396,1344,56,4105,353,477,2691,303,901,23,142,0,1106,689,13388,869,3255,58813,246,163,3502,387,4603,60108,914569,667946,40,551,167,188857,535,2335,768,11532,0,1717,1426,34,9267,520,208,427,2024,20861,32429,198570
"Eumsung",341,89507,320771,5694,9349,201,16068,320,5485,1992,31337,4900,51261,14146,686,463672,209,47432,164427,654,57287,552,7342,5,15626,13317,18012,20,384,5386,8114,7300,1935,105,17062,126,1494,1630,568,18267,62314,1534,7,299052,21515,4017,8880,8481,4760,396,10854,51,1434,99,12054,12250,7675,126962,14046,2173,870,3075,1926,7927,11127,215,77928,2455,3251,1261,1447,11962,0,1067,11,7521,8505,101483,5915,11077,216239,1740,1156,41870,1171,1287,24786,1772078,224267,208,3268,2631,257074,1674,15513,7540,56920,1,11697,7404,9,197564,3405,2018,134,600,4259,218212,239281
